,ScanOrder,Original order,Order in fixture,Scan/-Fixture,Geno,Row,Plant,WR_number,WR,WR_LEcheck,WR_AHcheck,Root,RatiobyPlant,TWRRatio,MWRRatio,BWRRatio,CT notes,ai 1 (dont use),bi1(dont use),ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,Majorthicc2,MinorThicc2,CT_Error,K,BL,UL,test notes,MOI_solid,E_MPa,E_GPa,MOItruex,MOItruey,MOI_true_average,,,,,,,
,234,234,,7-Thicc2-1,HickKing,1350,1,2,MWR,,,2,0.340765,,1.016875594,,Scanned 7/8,,,0.896,1.45,1.837,2.751,5.502,3.724,2.751,1.862,#REF!,#REF!,,273.22124,17.37393,30.32072,,13.3939274,2087.911297,2.087911297,,,,,,,,,,
,235,235,,7-Thicc2-1,HickKing,1350,1,2,MWR,,,3,0.340765,,1.016875594,,Scanned 7/8,,,0.866,1.508,1.722,2.611,5.222,3.674,2.611,1.837,#REF!,#REF!,,131.44996,17.51622,21.03033,,10.47119373,1284.901365,1.284901365,,,,,,,,,,
,236,236,,7-Thicc2-1,HickKing,1350,1,2,MWR,,,4,0.340765,,1.016875594,,Scanned 7/8,,,0.863,1.662,1.961,2.1515,4.303,3.444,2.1515,1.722,#REF!,#REF!,,215.88553,17.12567,21.9209,,12.74277494,1734.063704,1.734063704,,,,,,,,,,
,237,237,,8-Thin1-1,HickKing,1350,4,1,MWR,,,4,0.805237,,1.083741233,,Scanned 7/8,,,0.184,0.865,0.788,1.373,2.746,1.576,1.373,0.788,#REF!,#REF!,,157.32358,10.19151,13.36033,,0.527641652,30518.29566,30.51829566,,,,,,,,,,
,238,238,,8-Thin1-1,HickKing,1350,7,3,BWR,,,4,0.484431,,,0.59582583,Scanned 7/8,,,0.259,0.405,0.838,0.97,1.94,1.676,0.97,0.838,#REF!,#REF!,,108.73116,8.14994,8.45913,,0.448325737,24823.66356,24.82366356,,,,,,,,,,
,239,239,,8-Thin1-1,HickKing,1314,9,2,BWR,,,4,-0.12919,,,-0.11476151,Scanned 7/8,,,0.11,0.926,0.556,1.673,3.346,1.112,1.673,0.556,#REF!,#REF!,,123.14219,9.98803,10.00083,,0.225844853,55808.73809,55.80873809,,,,,,,,,,
,240,240,,8-Thin1-1,HickKing,1314,9,1,MWR,,,1,-0.12919,,1.125752762,,Scanned 7/8,,,0.582,1.078,1.24,1.663,3.326,2.48,1.663,1.24,#REF!,#REF!,,120.82388,4.61682,8.11906,,2.490274297,4966.050353,4.966050353,,,,,,,,,,
,241,241,,8-Thin1-1,HickKing,1314,5,1,MWR,,,4,0.743681,,1.031855731,,Scanned 7/8,,,0.492,1.126,1.02,1.712,3.424,2.04,1.712,1.02,#REF!,#REF!,,91.40053,2.04817,5.82388,,1.426902034,6556.319116,6.556319116,,,,,,,,,,
,242,242,,8-Thin1-1,HickKing,1327,5,1,MWR,,,1,0.41849,,0.728790765,,Scanned 7/8,,,0.574,0.796,1.268,1.747,3.494,2.536,1.747,1.268,#REF!,#REF!,,60.15404,,5.65875,no BL ,2.797309672,2201.04935,2.20104935,,,,,,,,,,
,243,243,,8-Thin1-1,HickKing,1327,5,1,MWR,,,2,0.41849,,0.728790765,,Scanned 7/8,,,0.586,1.129,1.533,2.022,4.044,3.066,2.022,1.533,#REF!,#REF!,,79.42636,6.22575,8.55866,,5.721336575,1420.930019,1.420930019,,,,,,,,,,
,244,244,,8-Thin1-1,HickKing,1327,5,1,MWR,,,3,0.41849,,0.728790765,,Scanned 7/8,,,0.739,0.908,1.482,1.802,3.604,2.964,1.802,1.482,#REF!,#REF!,,76.04389,4.45429,7.13219,,4.606693085,1689.587052,1.689587052,,,,,,,,,,
,245,245,,8-Thin1-1,HickKing,1327,5,1,MWR,,,4,0.41849,,0.728790765,,Scanned 7/8,,,0.461,0.904,1.11,1.573,3.146,2.22,1.573,1.11,#REF!,#REF!,,91.40053,2.04817,5.82388,,1.689614159,5536.900262,5.536900262,,,,,,,,,,
,246,246,,8-Thin1-1,HickKing,1367,2,1,MWR,,,1,0.648131,,1.157133048,,Scanned 7/8,,,0.297,0.356,0.96,0.926,1.852,1.92,0.926,0.96,#REF!,#REF!,,67.99634,1.62553,4.63207,,0.643449647,10816.24451,10.81624451,,,,,,,,,,
,247,247,,8-Thin1-1,HickKing,1367,2,1,MWR,,,2,0.648131,,1.157133048,,Scanned 7/8,,,0.144,0.919,0.682,1.458,2.916,1.364,1.458,0.682,#REF!,#REF!,,96.97005,2.05595,6.71907,,0.36324574,27323.89558,27.32389558,,,,,,,,,,
,248,248,,8-Thin1-1,HickKing,1367,2,1,MWR,,,3,0.648131,,1.157133048,,Scanned 7/8,,,0.149,0.703,0.612,1.255,2.51,1.224,1.255,0.612,#REF!,#REF!,,88.21633,3.94289,7.05051,,0.225937268,39963.78734,39.96378734,,,,,,,,,,
,249,249,,8-Thin1-1,HickKing,1367,2,2,BWR,,,1,0.648131,,,0.56011762,Scanned 7/8,,,0.12,1.32,0.926,2.044,4.088,1.852,2.044,0.926,#REF!,#REF!,,211.03779,17.27396,11.71518,,1.274687517,16945.79796,16.94579796,,,,,,,,,,
,250,250,,8-Thin1-1,HickKing,1367,2,2,BWR,,,2,0.648131,,,0.56011762,Scanned 7/8,,,0.093,1.155,0.674,1.781,3.562,1.348,1.781,0.674,#REF!,#REF!,,143.35822,7.4428,11.71518,,0.428285618,34260.57411,34.26057411,,,,,,,,,,
,251,251,,8-Thin1-1,HickKing,1367,3,1,BWR,,,1,0.835768,,,0.83576778,Scanned 7/8,,,0.22,1.378,0.805,2.159,4.318,1.61,2.159,0.805,#REF!,#REF!,,162.37829,8.45853,12.863,,0.884565842,18788.98525,18.78898525,,,,,,,,,,
,252,252,,8-Thin1-1,HickKing,1367,3,1,BWR,,,2,0.835768,,,0.83576778,Scanned 7/8,,,0.156,1.126,0.669,1.656,3.312,1.338,1.656,0.669,#REF!,#REF!,,125.66406,2.74102,11.10271,,0.389429249,33028.43886,33.02843886,,,,,,,,,,
,253,253,,8-Thin1-1,HickKing,1367,3,1,BWR,,,3,0.835768,,,0.83576778,Scanned 7/8,,,0.245,1.221,0.739,1.976,3.952,1.478,1.976,0.739,#REF!,#REF!,,127.60414,6.04033,11.53137,,0.626339984,20852.59723,20.85259723,,,,,,,,,,
,254,254,,8-Thin1-1,HickKing,1367,3,1,BWR,,,4,0.835768,,,0.83576778,Scanned 7/8,,,0.098,0.57,0.582,1.026,2.052,1.164,1.026,0.582,#REF!,#REF!,,45.91071,0.73991,3.28445,,0.158856941,29581.03326,29.58103326,,,,,,,,,,
,255,255,,8-Thin1-1,HickKing,1367,8,1,MWR,,,1,0.530427,,0.727664158,,Scanned 7/8,,,0.466,1.006,1.218,1.876,3.752,2.436,1.876,1.218,#REF!,#REF!,,121.03112,10.44129,15.90413,,2.662346517,4653.052993,4.653052993,,,,,,,,,,
,256,256,,8-Thin1-1,HickKing,1367,8,1,MWR,,,2,0.530427,,0.727664158,,Scanned 7/8,,,0.35,1.406,1.11,1.821,3.642,2.22,1.821,1.11,#REF!,#REF!,,168.32836,17.54451,17.64239,,1.955999608,8808.339705,8.808339705,,,,,,,,,,
,257,257,,8-Thin1-1,HickKing,1367,5,1,MWR,,,1,0.966861,,0.897922711,,Scanned 7/8,,,0.104,0.44,0.52,0.914,1.828,1.04,0.914,0.52,#REF!,#REF!,,47.30756,1.93735,3.24024,,0.100936004,47972.23667,47.97223667,,,,,,,,,,
,258,258,,8-Thin1-1,HickKing,1367,5,1,MWR,,,2,0.966861,,0.897922711,,Scanned 7/8,,,0.089,0.46,0.437,1.054,2.108,0.874,1.054,0.437,#REF!,#REF!,,45.21881,2.16681,4.35965,,0.069083575,66996.15099,66.99615099,,,,,,,,,,
,259,259,,8-Thin1-1,HickKing,1367,5,1,MWR,,,3,0.966861,,0.897922711,,Scanned 7/8,,,0.122,0.558,0.541,0.956,1.912,1.082,0.956,0.541,#REF!,#REF!,,67.32436,4.1847,5.44475,,0.118888424,57961.30985,57.96130985,,,,,,,,,,
,260,260,,8-Thin1-1,HickKing,1367,5,1,MWR,,,4,0.966861,,0.897922711,,Scanned 7/8,,,0.123,0.504,0.582,1.118,2.236,1.164,1.118,0.582,#REF!,#REF!,,49.09613,1.00509,3.82419,,0.173101423,29030.34173,29.03034173,,,,,,,,,,
,261,261,,8-Thin1-1,HickKing,1367,5,2,BWR,,,1,0.966861,,,1.07677562,Scanned 7/8,,,0.65,1.224,1.231,2.226,4.452,2.462,2.226,1.231,#REF!,#REF!,,147.61266,11.39823,16.1408,,3.261288358,4632.761395,4.632761395,,,,,,,,,,
,262,262,,8-Thin1-1,HickKing,1367,5,2,BWR,,,2,0.966861,,,1.07677562,Scanned 7/8,,,0.308,0.77,1.368,1.895,3.79,2.736,1.895,1.368,#REF!,#REF!,,82.04674,8.17188,13.09453,,3.810284357,2203.989233,2.203989233,,,,,,,,,,
,263,263,,8-Thin1-1,HickKing,1367,6,1,MWR,,,1,0.744465,,0.961447302,,Scanned 7/8,,,0.991,1.152,1.493,1.808,3.616,2.986,1.808,1.493,#REF!,#REF!,,59.58231,2.04759,7.3716,,4.725717222,1290.491454,1.290491454,,,,,,,,,,
,264,264,,8-Thin1-1,HickKing,1367,6,1,MWR,,,2,0.744465,,0.961447302,,Scanned 7/8,,,0.102,1.102,0.614,2.07,4.14,1.228,2.07,0.614,#REF!,#REF!,,135.08755,10.21699,11.50647,,0.376326967,36741.38401,36.74138401,,,,,,,,,,
,265,265,,8-Thin1-1,HickKing,1367,6,1,MWR,,,3,0.744465,,0.961447302,,Scanned 7/8,,,0.114,0.779,0.516,1.477,2.954,1.032,1.477,0.516,#REF!,#REF!,,58.71963,0.59208,5.62313,low BL,0.159374737,37711.11346,37.71111346,,,,,,,,,,
,266,266,,8-Thin1-1,HickKing,1367,6,1,MWR,,,4,0.744465,,0.961447302,,Scanned 7/8,,,0.085,1.2,0.445,1.729,3.458,0.89,1.729,0.445,#REF!,#REF!,,167.42172,6.70372,10.28252,,0.119664383,143203.0997,143.2030997,,,,,,,,,,
,267,267,,8-Thin1-1,HickKing,1367,7,1,TWR,,,1,0.756286,1.062549498,,,Scanned 7/8,,,0.17,1.1,0.898,1.913,3.826,1.796,1.913,0.898,#REF!,#REF!,,140.83274,12.53355,13.84021,,1.088012441,13248.76187,13.24876187,,,,,,,,,,
,268,268,,8-Thin1-1,HickKing,1367,7,1,TWR,,,2,0.756286,1.062549498,,,Scanned 7/8,,,0.108,0.995,0.61,1.503,3.006,1.22,1.503,0.61,#REF!,#REF!,,109.02626,7.84182,10.94166,,0.267940502,41648.39543,41.64839543,,,,,,,,,,
,269,269,,8-Thin1-1,HP301,1345,5,1,MWR,,,1,0.043927,,0.787768493,,Scanned 7/8,,,0.783,0.901,1.521,1.733,3.466,3.042,1.733,1.521,#REF!,#REF!,,208.85674,15.81524,16.11872,good test,4.7893446,4463.524628,4.463524628,,,,,,,,,,
,270,270,,8-Thin1-1,HP301,1345,6,1,MWR,,,1,0.16704,,0.897506057,,Scanned 7/8,,,0.081,0.806,0.594,1.263,2.526,1.188,1.263,0.594,#REF!,#REF!,,106.81991,9.23156,9.5074,good test,0.20789908,52590.2418,52.5902418,,,,,,,,,,
,271,271,,8-Thin1-1,HP301,1345,6,1,MWR,,,2,0.16704,,,,Scanned 7/8,,,,,,,0,0,0,0,#REF!,#REF!,,,,,diseased,0,#DIV/0!,#DIV/0!,,,,,,,,,,
,272,272,,8-Thin1-1,HP301,1345,6,1,MWR,,,3,0.16704,,0.897506057,,Scanned 7/8,,,0.092,0.784,0.61,1.283,2.566,1.22,1.283,0.61,#REF!,#REF!,,163.51527,10.89313,10.9303,good test,0.228721001,73174.16912,73.17416912,,,,,,,,,,
,273,273,,8-Thin1-1,HP301,1345,6,1,MWR,,,4,0.16704,,0.897506057,,Scanned 7/8,,,0.12,0.671,0.582,1.352,2.704,1.164,1.352,0.582,#REF!,#REF!,,148.4028,8.34922,10.16343,good test,0.209331954,72562.47625,72.56247625,,,,,,,,,,
,274,274,,8-Thin1-1,HP301,1345,6,2,BWR,,,1,0.16704,,,0.18611617,Scanned 7/8,,,0.114,1.254,0.658,1.881,3.762,1.316,1.881,0.658,#REF!,#REF!,,155.17486,14.04747,22.1872,good test,0.420878129,37737.27453,37.73727453,,,,,,,,,,
,275,275,,8-Thin1-1,HP301,1345,6,2,BWR,,,2,0.16704,,,0.18611617,Scanned 7/8,,,0.12,1.115,0.562,1.812,3.624,1.124,1.812,0.562,#REF!,#REF!,,131.12256,19.02845,19.02845,good test,0.252613771,53128.30067,53.12830067,,,,,,,,,,
,276,276,,8-Thin1-1,HP301,1345,8,1,MWR,,,1,0.213393,,0.966729393,,Scanned 7/8,,,0.219,0.949,0.954,1.764,3.528,1.908,1.764,0.954,#REF!,#REF!,,57.61554,2.18998,4.54862,good test,1.202911249,4902.431985,4.902431985,,,,,,,,,,
,277,277,,8-Thin1-1,HP301,1345,8,1,MWR,,,2,0.213393,,0.966729393,,Scanned 7/8,,,0.304,0.835,0.793,1.417,2.834,1.586,1.417,0.793,#REF!,#REF!,,120.27151,12.58129,12.58129,good test,0.554982506,22181.4022,22.1814022,,,,,,,,,,
,278,278,,9-Thicc1-1,HickKing,1350,4,2,BWR,,,1,0.805237,,,0.7430162,Scanned 7/8,,,1.298,1.442,2.555,2.982,5.964,5.11,2.982,2.555,#REF!,#REF!,,495.66379,17.84106,31.39482,,39.06341738,1298.740806,1.298740806,,,,,,,,,,
,279,279,,9-Thicc1-1,HickKing,1350,4,2,BWR,,,2,0.805237,,,0.7430162,Scanned 7/8,,,1.159,1.478,2.804,2.894,5.788,5.608,2.894,2.804,#REF!,#REF!,,304.89419,17.40435,37.34212,,50.10977308,622.7765329,0.622776533,,,,,,,,,,
,280,280,,9-Thicc1-1,HickKing,1350,1,3,BWR,,,1,0.340765,,,0.43230406,Scanned 7/8,,,1.076,1.58,2.265,2.914,5.828,4.53,2.914,2.265,#REF!,#REF!,,512.3821,22.7283,33.54305,,26.59402348,1972.038676,1.972038676,,,,,,,,,,
,281,281,,9-Thicc1-1,HickKing,1350,1,3,BWR,,,2,0.340765,,,0.43230406,Scanned 7/8,,,1.179,1.629,2.209,2.949,5.898,4.418,2.949,2.209,#REF!,#REF!,,169.39544,9.36521,19.89701,,24.96616299,694.4731196,0.69447312,,,,,,,,,,
,282,282,,9-Thicc1-1,HickKing,1314,1,1,TWR,,,1,0.149894,0.950270875,,,Scanned 7/8,,,0.558,1.674,1.465,2.722,5.444,2.93,2.722,1.465,#REF!,#REF!,,206.85175,26.95407,30.46533,,6.721881876,3149.733793,3.149733793,,,,,,,,,,
,283,283,,9-Thicc1-1,HickKing,1314,1,1,TWR,,,2,0.149894,0.950270875,,,Scanned 7/8,,,0.182,1.729,0.927,2.591,5.182,1.854,2.591,0.927,#REF!,#REF!,,194.88075,34.34901,34.70021,,1.621050322,12304.89671,12.30489671,,,,,,,,,,
,284,284,,9-Thicc1-1,HickKing,1314,1,1,TWR,,,3,0.149894,0.950270875,,,Scanned 7/8,,,0.745,1.749,1.544,2.718,5.436,3.088,2.718,1.544,#REF!,#REF!,,279.07468,14.82883,26.39664,,7.857442684,3635.337534,3.635337534,,,,,,,,,,
,285,285,,9-Thicc1-1,HickKing,1314,1,1,TWR,,,4,0.149894,0.950270875,,,Scanned 7/8,,,0.327,1.623,1.175,2.698,5.396,2.35,2.698,1.175,#REF!,#REF!,,238.75452,24.64105,32.59105,,3.437521527,7109.052188,7.109052188,,,,,,,,,,
,286,286,,9-Thicc1-1,HickKing,1314,2,1,MWR,,,1,-0.26531,,1.02203305,,Scanned 7/8,,,0.534,2.391,1.533,3.318,6.636,3.066,3.318,1.533,#REF!,#REF!,,212.01324,12.77036,22.62732,,9.388424706,2311.403583,2.311403583,,,,,,,,,,
,287,287,,9-Thicc1-1,HickKing,1314,2,1,MWR,,,2,-0.26531,,1.02203305,,Scanned 7/8,,,0.413,2.437,1.233,3.803,7.606,2.466,3.803,1.233,#REF!,#REF!,,306.24868,10.66039,24.34772,,5.598935141,5598.533944,5.598533944,,,,,,,,,,
,288,288,,9-Thicc1-1,HickKing,1314,2,1,MWR,,,3,-0.26531,,1.02203305,,Scanned 7/8,,,0.531,2.181,1.542,3.024,6.048,3.084,3.024,1.542,#REF!,#REF!,,198.33786,7.07972,27.42798,,8.708127705,2331.236641,2.331236641,,,,,,,,,,
,289,289,,9-Thicc1-1,HickKing,1314,1,2,MWR,,,2,0.149894,,0.34147237,,Scanned 7/8,,,0.56,1.443,1.72,2.454,4.908,3.44,2.454,1.72,#REF!,#REF!,,221.20396,32.32335,43.33348,,9.80730723,2308.599747,2.308599747,,,,,,,,,,
,290,290,,9-Thicc1-1,HickKing,1314,1,2,MWR,,,3,0.149894,,0.34147237,,Scanned 7/8,,,0.729,1.669,1.569,2.863,5.726,3.138,2.863,1.569,#REF!,#REF!,,279.03051,10.98108,33.79501,,8.685204729,3288.343363,3.288343363,,,,,,,,,,
,291,291,,9-Thicc1-1,HickKing,1327,3,2,BWR,,,1,0.788172,,,0.86831427,Scanned 7/8,,,0.961,2.101,1.925,3.94,7.88,3.85,3.94,1.925,#REF!,#REF!,,119.91712,21.65295,26.90068,,22.07386106,556.0430434,0.556043043,,,,,,,,,,
,292,292,,9-Thicc1-1,HickKing,1327,3,2,BWR,,,2,0.788172,,,0.86831427,Scanned 7/8,,,0.313,2.246,1.095,3.184,6.368,2.19,3.184,1.095,#REF!,#REF!,,175.86617,18.33938,21.60061,,3.283260168,5482.549159,5.482549159,,,,,,,,,,
,293,293,,9-Thicc1-1,HickKing,1327,2,1,BWR,,,1,0.619558,,,0.61955753,Scanned 7/8,,,1.463,1.771,2.832,3.004,6.008,5.664,3.004,2.832,#REF!,#REF!,,164.61818,22.62433,32.26262,,53.58824778,314.4226082,0.314422608,,,,,,,,,,
,294,294,,9-Thicc1-1,HickKing,1327,2,1,BWR,,,2,0.619558,,,0.61955753,Scanned 7/8,,,1.155,1.683,2.293,3.077,6.154,4.586,3.077,2.293,#REF!,#REF!,,214.02725,20.5494,30.639,,29.13597406,751.8739814,0.751873981,,,,,,,,,,
,295,295,,9-Thicc1-1,HickKing,1327,2,1,BWR,,,3,0.619558,,,0.61955753,Scanned 7/8,,,1.124,2.031,2.306,3.309,6.618,4.612,3.309,2.306,#REF!,#REF!,,283.68465,34.66185,47.37116,,31.86871537,911.122573,0.911122573,,,,,,,,,,
,296,296,,9-Thicc1-1,HickKing,1327,2,1,BWR,,,4,0.619558,,,0.61955753,Scanned 7/8,,,1.362,1.513,2.494,2.859,5.718,4.988,2.859,2.494,#REF!,#REF!,,209.33632,27.92841,32.20477,,34.83320087,615.1155809,0.615115581,,,,,,,,,,
,297,297,,9-Thicc1-1,HickKing,1367,4,1,BWR,,,1,0.626092,,,0.62609191,Scanned 7/8,,,1.132,1.564,2.221,2.285,4.57,4.442,2.285,2.221,#REF!,#REF!,,132.00032,10.86445,21.48816,,19.66173151,687.1613898,0.68716139,,,,,,,,,,
,298,298,,9-Thicc1-1,HickKing,1367,1,2,BWR,,,1,0.783057,,,0.82115604,Scanned 7/8,,,1.126,1.457,2.149,2.557,5.114,4.298,2.557,2.149,#REF!,#REF!,,105.61124,13.94925,19.87807,,19.93103519,542.3577029,0.542357703,,,,,,,,,,
,299,299,,10-Norm2-1,HickKing,1314,8,1,TWR,,,2,,,,,Scanned 7/8,,,1.232,1.205,1.856,2.364,4.728,3.712,2.364,1.856,#REF!,#REF!,,185.74089,8.33208,18.47092,,11.87056169,1601.554713,1.601554713,,,,,,,,,,
,300,300,,10-Norm2-1,HickKing,1314,8,1,TWR,,,3,,,,,Scanned 7/8,,,0.628,1.323,1.513,2.216,4.432,3.026,2.216,1.513,#REF!,#REF!,,195.51624,13.80649,15.62408,,6.028044109,3319.800163,3.319800163,,,,,,,,,,
,301,301,,10-Norm2-1,HickKing,1314,8,1,TWR,,,4,,,,,Scanned 7/8,,,0.885,1.049,1.776,2.201,4.402,3.552,2.201,1.776,#REF!,#REF!,,228.55861,8.42391,20.04387,,9.683643848,2415.818511,2.415818511,,,,,,,,,,
,302,302,,10-Norm2-1,HickKing,1327,1,2,BWR,,,1,0.37682,,,0.50787366,Scanned 7/8,,,0.513,1.228,1.414,2.369,4.738,2.828,2.369,1.414,#REF!,#REF!,,452.22679,28.17113,35.90722,,5.260211065,8799.513112,8.799513112,,,,,,,,,,
,303,303,,10-Norm2-1,HickKing,1327,1,1,MWR,,,1,0.37682,,0.741955242,,Scanned 7/8,,,0.638,1.353,1.562,2.484,4.968,3.124,2.484,1.562,#REF!,#REF!,,254.09024,16.0619,19.86379,,7.435061437,3497.912559,3.497912559,,,,,,,,,,
,304,304,,10-Norm2-1,HickKing,1327,1,1,MWR,,,2,0.37682,,0.741955242,,Scanned 7/8,,,0.24,1.414,1.33,2.397,4.794,2.66,2.397,1.33,#REF!,#REF!,,207.63627,17.09407,24.11722,,4.429072999,4798.394018,4.798394018,,,,,,,,,,
,305,305,,10-Norm2-1,HickKing,1327,1,1,MWR,,,3,0.37682,,0.741955242,,Scanned 7/8,,,0.27,1.028,1.379,2.218,4.436,2.758,2.218,1.379,#REF!,#REF!,,188.64054,14.89125,23.86945,,4.568190662,4226.650484,4.226650484,,,,,,,,,,
,306,306,,10-Norm2-1,HickKing,1327,1,1,MWR,,,4,0.37682,,0.741955242,,Scanned 7/8,,,0.285,1.347,1.431,2.256,4.512,2.862,2.256,1.431,#REF!,#REF!,,123.80789,,17.07217,no break no BL,5.192157739,2440.652624,2.440652624,,,,,,,,,,
,307,307,,10-Norm2-1,HickKing,1327,3,1,MWR,,,1,0.788172,,0.907703876,,Scanned 7/8,,,0.1,1.769,0.639,2.544,5.088,1.278,2.544,0.639,#REF!,#REF!,,233.23081,18.57823,20.55593,,0.521326214,45791.18521,45.79118521,,,,,,,,,,
,308,308,,10-Norm2-1,HickKing,1327,4,1,MWR,,,1,0.120424,,0.609601282,,Scanned 7/8,,,0.975,1.17,2.084,2.426,4.852,4.168,2.426,2.084,#REF!,#REF!,,381.59489,26.77074,35.09306,,17.24542183,2264.82294,2.26482294,,,,,,,,,,
,309,309,,10-Norm2-1,HickKing,1327,4,1,MWR,,,2,0.120424,,0.609601282,,Scanned 7/8,,,0.269,1.619,1.474,2.554,5.108,2.948,2.554,1.474,#REF!,#REF!,,128.86116,18.93627,25.09696,,6.423965869,2053.167298,2.053167298,,,,,,,,,,
,310,310,,10-Norm2-1,HickKing,1327,4,1,MWR,,,3,0.120424,,0.609601282,,Scanned 7/8,,,0.583,1.551,1.696,2.452,4.904,3.392,2.452,1.696,#REF!,#REF!,,222.45598,26.51871,26.62418,,9.394807612,2423.604335,2.423604335,,,,,,,,,,
,311,311,,10-Norm2-1,HickKing,1327,4,1,MWR,,,4,0.120424,,0.609601282,,Scanned 7/8,,,0.799,1.177,1.541,2.209,4.418,3.082,2.209,1.541,#REF!,#REF!,,161.00025,12.93138,18.5903,,6.348827297,2595.604771,2.595604771,,,,,,,,,,
,312,312,,10-Norm2-1,HickKing,1327,5,2,BWR,,,2,0.41849,,,0.57422565,Scanned 7/8,,,0.389,1.456,1.295,2.282,4.564,2.59,2.282,1.295,#REF!,#REF!,,109.08993,19.17851,19.47686,no BL hit top of fixture,3.892376364,2868.635464,2.868635464,,,,,,,,,,
,313,313,,10-Norm2-1,HickKing,1327,5,2,BWR,,,3,0.41849,,,0.57422565,Scanned 7/8,,,0.19,1.229,1.146,2.312,4.624,2.292,2.312,1.146,#REF!,#REF!,,56.09928,9.06545,12.49342,,2.732949231,2101.025145,2.101025145,,,,,,,,,,
,314,314,,10-Norm2-1,HickKing,1327,6,2,BWR,,,1,0.698179,,,0.87558081,Scanned 7/8,,,0.272,1.446,0.918,2.133,4.266,1.836,2.133,0.918,#REF!,#REF!,,150.70327,13.84119,17.82803,,1.296011277,11901.98565,11.90198565,,,,,,,,,,
,315,315,,10-Norm2-1,HickKing,1327,6,2,BWR,,,2,0.698179,,,0.87558081,Scanned 7/8,,,0.211,1.327,1.291,2.19,4.38,2.582,2.19,1.291,#REF!,#REF!,,201.11998,20.54455,27.18504,,3.700945784,5562.218189,5.562218189,,,,,,,,,,
,316,316,,10-Norm2-1,HickKing,1327,6,2,BWR,,,3,0.698179,,,0.87558081,Scanned 7/8,,,0.336,1.377,1.201,2.381,4.762,2.402,2.381,1.201,#REF!,#REF!,,187.77811,12.65886,23.2453,,3.239502347,5932.970533,5.932970533,,,,,,,,,,
,317,317,,10-Norm2-1,HickKing,1327,6,2,BWR,,,4,0.698179,,,0.87558081,Scanned 7/8,,,0.288,1.261,0.989,2.129,4.258,1.978,2.129,0.989,#REF!,#REF!,,202.76896,17.89352,21.88733,,1.617537722,12830.76595,12.83076595,,,,,,,,,,
,318,318,,10-Norm2-1,HickKing,1367,4,1,BWR,,,2,0.626092,,,0.62609191,Scanned 7/8,,,0.917,1.475,1.864,2.125,4.25,3.728,2.125,1.864,#REF!,#REF!,,85.3459,,11.94882,no BL,10.80902546,808.1679986,0.808167999,,,,,,,,,,
,319,319,,10-Norm2-1,HickKing,1367,4,1,BWR,,,3,0.626092,,,0.62609191,Scanned 7/8,,,0.552,1.713,1.317,2.575,5.15,2.634,2.575,1.317,#REF!,#REF!,,204.3598,11.85206,15.3869,,4.619813458,4527.688666,4.527688666,,,,,,,,,,
,320,320,,10-Norm2-1,HickKing,1367,1,1,MWR,,,1,0.783057,,0.953603162,,Scanned 7/8,,,0.256,1.177,1.008,2.024,4.048,2.016,2.024,1.008,#REF!,#REF!,,159.68881,10.76305,14.62337,,1.62810341,10039.17501,10.03917501,,,,,,,,,,
,321,321,,10-Norm2-1,HickKing,1367,1,1,MWR,,,2,0.783057,,0.953603162,,Scanned 7/8,,,0.793,1.134,1.701,2.394,4.788,3.402,2.394,1.701,#REF!,#REF!,,118.53764,15.69475,21.1398,,9.253946157,1311.097034,1.311097034,,,,,,,,,,
,322,322,,10-Norm2-1,HickKing,1367,1,1,MWR,,,3,0.783057,,0.953603162,,Scanned 7/8,,,0.1,1.041,0.942,2.083,4.166,1.884,2.083,0.942,#REF!,#REF!,,131.14977,6.60291,12.19789,,1.367514247,9816.15032,9.81615032,,,,,,,,,,
,323,323,,10-Norm2-1,HickKing,1367,1,1,MWR,,,4,0.783057,,0.953603162,,Scanned 7/8,,,0.259,1.046,1.121,1.935,3.87,2.242,1.935,1.121,#REF!,#REF!,,225.05887,19.12303,20.88027,,2.140857144,10760.04214,10.76004214,,,,,,,,,,
,324,324,,10-Norm2-1,HickKing,1367,7,2,MWR,,,1,0.756286,,0.812880896,,Scanned 7/8,,,1.107,1.852,2.389,2.976,5.952,4.778,2.976,2.389,#REF!,#REF!,,243.34449,,24.17747,no break no BL,31.86920703,781.5482344,0.781548234,,,,,,,,,,
,325,325,,10-Norm2-1,HickKing,1367,7,2,MWR,,,2,0.756286,,0.812880896,,Scanned 7/8,,,0.757,1.962,1.657,3.085,6.17,3.314,3.085,1.657,#REF!,#REF!,,351.03578,31.61511,35.57215,,11.02332406,3259.450101,3.259450101,,,,,,,,,,
,326,326,,10-Norm2-1,HickKing,1367,7,2,MWR,,,3,0.756286,,0.812880896,,Scanned 7/8,,,0.803,1.469,1.898,2.608,5.216,3.796,2.608,1.898,#REF!,#REF!,,232.59512,19.10262,28.88118,,14.00509608,1699.886922,1.699886922,,,,,,,,,,
,327,327,,10-Norm2-1,HP301,1345,2,1,MWR,,,1,0.238172,,0.62425691,,Scanned 7/8,,,0.334,1.272,1.153,1.98,3.96,2.306,1.98,1.153,#REF!,#REF!,,247.0832,18.02219,20.22032,good test,2.383652782,10609.76466,10.60976466,,,,,,,,,,
