,ScanOrder,Original order,Order in fixture,Scan/-Fixture,Geno,Row,Plant,WR_number,WR,WR_LEcheck,WR_AHcheck,Root,RatiobyPlant,TWRRatio,MWRRatio,BWRRatio,CT notes,ai 1 (dont use),bi1(dont use),ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,Majorthicc2,MinorThicc2,CT_Error,K,BL,UL,test notes,MOI_solid,E_MPa,E_GPa,MOItruex,MOItruey,MOI_true_average,,,,,,,
,14,14,,1-Norm1,LH252,1261,5,1,MWR,,,4,0.469159,,0.884623778,,Scanned 7/2,,,0.606,0.975,1.291,1.734,3.468,2.582,,,,,,867.78507,38.96644,39.59938,,2.930337894,30310.98149,30.31098149,,,,,,,,,,
,15,15,,1-Norm1,LH252,1339,2,1,BWR,,,1,0.562376,,,0.5623755,Scanned 7/2,,,0.695,0.849,1.564,1.802,3.604,3.128,,,,,,234.49065,15.0268,26.87388,,5.414457064,4432.779647,4.432779647,,,,,,,,,,
,16,16,,1-Norm1,LH252,1339,2,1,BWR,,,2,0.562376,,,0.5623755,Scanned 7/2,,,0.43,0.761,1.274,1.605,3.21,2.548,,,,,,443.42014,16.17239,32.10287,,2.606592865,17411.96315,17.41196315,,,,,,,,,,
,17,17,,1-Norm1,LH252,1339,2,1,BWR,,,3,0.562376,,,0.5623755,Scanned 7/2,,,0.791,0.894,1.856,1.936,3.872,3.712,,,,,,,,,way too high. discard,9.72140754,0,0,,,,,,,,,,
,18,18,,1-Norm1,LH252,1339,2,1,BWR,,,4,0.562376,,,0.5623755,Scanned 7/2,,,0.76,0.821,1.816,1.907,3.814,3.632,,,,,,823.77708,54.22366,67.14416,,8.969910442,9399.984212,9.399984212,,,,,,,,,,
,19,19,,1-Norm1,LH252,1364,1,1,BWR,,,1,0.313246,,,0.31324631,Scanned 7/2,,,0.454,0.742,1.621,1.725,3.45,3.242,,,,,,578.67811,50.46837,50.96047,,5.770693728,10263.95066,10.26395066,,,,,,,,,,
,20,20,,1-Norm1,LH252,1364,1,1,BWR,,,2,0.313246,,,0.31324631,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT3,,,,Not using CT3,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,21,21,,1-Norm1,GT112,1323,1,2,MWR,,,1,0.530488,,0.903464049,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,256.20619,18.82278,21.47023,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,22,22,,1-Norm1,GT112,1323,1,2,MWR,,,2,0.530488,,0.903464049,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT1,362.54332,21.08687,21.10766,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,23,23,,1-Norm1,GT112,1323,1,2,MWR,,,3,0.530488,,0.903464049,,Scanned 7/2,,,0.127,1.711,0.555,2.703,5.406,1.11,,,,,,209.34179,18.60757,26.59453,,0.362923321,59040.03193,59.04003193,,,,,,,,,,
,24,24,,1-Norm1,GT112,1323,1,2,MWR,,,4,0.530488,,0.903464049,,Scanned 7/2,,,0.647,1.533,1.264,2.108,4.216,2.528,,,,,,317.63894,10.25473,21.01839,,3.343502943,9723.834423,9.723834423,,,,,,,,,,
,25,25,,1-Norm1,GT112,1323,2,1,TWR,,,1,0.190973,0.947640058,,,Scanned 7/2,,,*,*,*,*,#VALUE!,#VALUE!,,,,,CT2,153.83755,16.05644,16.42166,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,
,26,26,,1-Norm1,GT112,1323,2,1,TWR,,,2,0.190973,0.947640058,,,Scanned 7/2,,,0.986,1.523,1.478,2.086,4.172,2.956,,,,,,304.75676,14.8274,21.78321,,5.289656706,5897.003518,5.897003518,,,,,,,,,,
,27,27,,1-Norm1,GT112,1323,2,1,TWR,,,3,0.190973,0.947640058,,,Scanned 7/2,,,0.103,1.886,0.725,2.719,5.438,1.45,,,,,,198.37514,14.00956,21.74911,,0.813791424,24950.52362,24.95052362,,,,,,,,,,
,28,28,,1-Norm1,GT112,1323,2,1,TWR,,,4,0.190973,0.947640058,,,Scanned 7/2,,,0.472,1.003,1.168,1.587,3.174,2.336,,,,,,177.47674,9.44439,12.43235,,1.98607359,9146.430381,9.146430381,,,,,,,,,,
