"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"12","A632_1321_1","2","Bottom","A632","1321"," 1",1.41,2.05,2.735,3.3,202.51006,20.59314,24.77087,31.3967652,37.379995,53.0228423179641,48.5096039475703,390.921111105621,0.390921111105621,5.47,6.6
"13","A632_1321_1","2","Middle","A632","1321"," 1",0.59675,1.4675,1.3455,2.3565,106.3625875,8.5934225,10.505925,8.20502245,9.241357,4.50812161170035,4.26319697886153,2414.89803199136,2.41489803199137,2.691,4.713
"14","A632_1321_10","2","Bottom","A632","1321","10",1.048,1.478,2.437,3.016,172.86229,16.8298,20.51822,22.5732223,26.9219115,34.282698356514,32.9466094603262,516.09635440729,0.51609635440729,4.874,6.032
"15","A632_1321_10","2","Middle","A632","1321","10",0.334,1.335,0.953,1.976,103.01976,9.45923,10.1369,1.7034042,4.0246319,1.34320628390948,1.30414039247076,7850.24743504746,7.85024743504746,1.906,3.952
"16","A632_1321_2","3","Middle","A632","1321"," 2",0.883666666666667,1.61666666666667,1.90933333333333,2.696,127.055486666667,13.0743033333333,17.5523266666667,16.3870575333333,14.2361874333333,14.7381246164616,13.862005864875,882.382175251052,0.882382175251052,3.81866666666667,5.392
"17","A632_1321_3","2","Middle","A632","1321"," 3",0.963,1.318,1.899,2.52,142.009905,10.77727,16.37198,12.48238525,11.56088555,13.5535326937974,12.6291084124012,1072.43667116688,1.07243667116688,3.798,5.04
"18","A632_1321_4","2","Bottom","A632","1321"," 4",1.2125,1.74,2.3815,2.9735,268.296315,14.07814,38.74653,17.6488978,22.3755049,31.5425480349131,29.106580125084,870.609619462791,0.870609619462791,4.763,5.947
"19","A632_1321_4","2","Middle","A632","1321"," 4",0.8695,1.472,1.5835,2.27725,82.4564425,8.8862375,11.122245,14.698009575,11.7687708,7.10136747328778,6.34140238522451,1188.46975461164,1.18846975461164,3.167,4.5545
"20","A632_1321_5","2","Bottom","A632","1321"," 5",1.39266666666667,1.99766666666667,2.561,3.32733333333333,180.74939,10.833155,21.0979966666667,24.9715860666667,32.5228818,43.893692711989,39.6558811797036,421.483180063025,0.421483180063025,5.122,6.65466666666667
"21","A632_1321_5","2","Middle","A632","1321"," 5",0.98775,1.61975,1.7185,2.30825,101.7104975,8.1754225,11.516855,10.05630685,8.134960325,9.20043849422399,7.97450707290324,1131.52141818026,1.13152141818026,3.437,4.6165
"22","A632_1321_6","2","Bottom","A632","1321"," 6",1.6875,1.9735,2.967,3.1295,259.373405,16.04752,24.826085,26.0203115,26.66621795,64.1955120859812,56.7474112454813,413.548359715761,0.413548359715761,5.934,6.259
"23","A632_1321_6","2","Middle","A632","1321"," 6",0.556,0.989,1.309,1.6985,76.93607,5.490585,7.9983,3.97887585,2.77841825,2.99199982356336,2.85849475963494,2631.92773924693,2.63192773924693,2.618,3.397
"24","A632_1321_8","2","Bottom","A632","1321"," 8",0.774333333333333,1.72733333333333,1.652,2.84733333333333,164.424616666667,12.438705,18.1722333333333,9.33883186666667,18.4633620666667,10.0819726286982,9.45212268931684,1669.27100858195,1.66927100858195,3.304,5.69466666666667
