Geno,Plant,WR,Root,K,BL,UL,Testing Notes,DCMax,DCMin,a,b,MOI,E_MPa,E_GPa,,,,,,,,,,,,,,
B73,4,1,3,58.95309,6.16097,6.46561,good test,4.32,3.94,1.97,2.16,12.97006973,465.232225,0.465232225,,,,,,,,,,,,,,
B73,4,1,4,49.98383,5.74637,7.27589,good test,4.28,4.12,2.06,2.14,14.69282533,348.2007817,0.348200782,,,,,,,,,,,,,,
B73,4,2,1,116.8885,13.17131,20.07622,good test,4.93,4.74,2.37,2.465,25.77222077,464.2217338,0.464221734,,,,,,,,,,,,,,
B73,4,2,2,170.47035,31.20461,33.15494,hit top of fixture no BL,5.61,5.32,2.66,2.805,41.46366212,420.8106502,0.42081065,,,,,,,,,,,,,,
B73,4,2,3,112.97854,14.06515,21.82295,good test,4.84,4.64,2.32,2.42,23.73390513,487.2280499,0.48722805,,,,,,,,,,,,,,
B73,4,2,4,124.74643,24.71801,26.84251,hit top of fixture no BL,5.09,4.98,2.49,2.545,30.85856379,413.7689938,0.413768994,,,,,,,,,,,,,,
B73,4,3,1,194.42787,25.6273,25.95995,good test,4.12,3.39,1.695,2.06,7.878911265,2525.793468,2.525793468,,,,,,,,,,,,,,
B73,4,3,2,287.72287,43.08811,45.00459,good test,5.39,5.34,2.67,2.695,40.288624,730.9665028,0.730966503,,,,,,,,,,,,,,
B73,4,3,3,163.18623,12.99308,34.29671,good test,5.61,5.49,2.745,2.805,45.56693248,366.55508,0.36655508,,,,,,,,,,,,,,
B73,4,3,4,311.90841,45.76444,55.00023,good test,5.84,5.65,2.825,2.92,51.70446983,617.4538775,0.617453878,,,,,,,,,,,,,,
B73,5,1,1,20.59264,6.4959,6.75629,good test,4.2,4.18,2.09,2.1,15.05733228,139.9811379,0.139981138,,,,,,,,,,,,,,
B73,5,1,2,,,,fell out of fixture. Too mucousy.,4.57,4.15,2.075,2.285,16.03357579,0,0,,,,,,,,,,,,,,
B73,5,1,3,29.35947,7.55591,7.55591,good test,4.51,3.93,1.965,2.255,13.43767372,223.6297851,0.223629785,,,,,,,,,,,,,,
B73,5,1,4,,,,hit top of fixture bad test,4.13,3.89,1.945,2.065,11.93352519,0,0,,,,,,,,,,,,,,
B73,5,2,1,122.80279,24.64585,26.77698,good test,5.58,5.15,2.575,2.79,37.41328005,335.9603119,0.335960312,,,,,,,,,,,,,,
B73,5,2,2,,,,bad test discard,5.43,5.11,2.555,2.715,35.56578745,0,0,,,,,,,,,,,,,,
B73,5,2,3,122.7437,23.63947,24.89625,good test,4.08,3.57,1.785,2.04,9.112440595,1378.700799,1.378700799,,,,,,,,,,,,,,
B73,5,2,4,127.11284,23.82592,24.17058,good test,5.06,4.98,2.49,2.53,30.6766862,424.1178049,0.424117805,,,,,,,,,,,,,,
B73,5,3,1,266.66779,26.4416,36.61389,good test,5.72,4.63,2.315,2.86,27.86819884,979.4159852,0.979415985,,,,,,,,,,,,,,
B73,5,3,2,305.05991,55.34361,56.52829,good test,5.8,5.18,2.59,2.9,39.57192447,789.0481266,0.789048127,,,,,,,,,,,,,,
B73,5,3,3,347.58174,52.47672,63.09343,good test,6.25,6.17,3.085,3.125,72.06185014,493.6931161,0.493693116,,,,,,,,,,,,,,
B73,5,3,4,236.10261,49.50163,52.17684,good test,6.2,6.17,3.085,3.1,71.48535534,338.0564562,0.338056456,,,,,,,,,,,,,,
B73,6,1,1,65.35467,8.93309,11.04961,good test,4.44,3.76,1.88,2.22,11.58554327,577.3853352,0.577385335,,,,,,,,,,,,,,
B73,6,1,2,99.8054,14.73037,20.59959,good test,4.78,4.75,2.375,2.39,25.1465624,406.2383711,0.406238371,,,,,,,,,,,,,,
B73,6,1,3,96.1858,15.36784,15.98804,good test,5.02,3.87,1.935,2.51,14.28257492,689.3026963,0.689302696,,,,,,,,,,,,,,
B73,6,1,4,140.97916,29.93805,30.34426,good test,5.31,5.08,2.54,2.655,34.17083227,422.2842548,0.422284255,,,,,,,,,,,,,,
B73,6,2,1,103.53286,10.3427,17.49466,good test,4.45,4.25,2.125,2.225,16.76859593,631.956286,0.631956286,,,,,,,,,,,,,,
B73,6,2,2,107.90999,15.87598,18.37689,broke gradually ,4.81,4.51,2.255,2.405,21.65930918,509.9441081,0.509944108,,,,,,,,,,,,,,
B73,6,2,3,168.93426,25.97118,38.11458,good test,5.8,5.38,2.69,2.9,44.33479649,390.0125132,0.390012513,,,,,,,,,,,,,,
B73,6,2,4,123.18703,20.42542,25.3303,good test,5.8,5.62,2.81,2.9,50.53669529,249.4960489,0.249496049,,,,,,,,,,,,,,
B73,6,3,1,240.73178,28.86229,46.96871,Weird BL. Broke gradually. Probably okay?,5.44,4.66,2.33,2.72,27.02256365,911.8269107,0.911826911,,,,,,,,,,,,,,
B73,6,3,2,295.5183,49.70814,56.60788,good test,5.82,5.79,2.895,2.91,55.45345049,545.4580204,0.54545802,,,,,,,,,,,,,,
B73,6,3,3,272.66296,48.97462,49.78386,good test,6.01,5.13,2.565,3.005,39.82873069,700.7049827,0.700704983,,,,,,,,,,,,,,
B73,6,3,4,273.86582,36.89283,44.94873,good test,5.67,5.59,2.795,2.835,48.61702517,576.5738995,0.576573899,,,,,,,,,,,,,,
Oh43,1,1,1,73.48959,11.44853,14.49338,good test,4.73,4.59,2.295,2.365,22.45272701,335.0134591,0.335013459,,,,,,,,,,,,,,
Oh43,1,1,2,233.50637,32.58854,40.74757,got mixed up with a lower whorl,4.73,4.6,2.3,2.365,22.59979681,1057.547115,1.057547115,,,,,,,,,,,,,,
Oh43,1,1,3,96.96958,19.98269,19.98269,good test,4.8,4.68,2.34,2.4,24.15175505,410.9531806,0.410953181,,,,,,,,,,,,,,
Oh43,1,1,4,,,,,4.24,4.1,2.05,2.12,14.34456311,0,0,,,,,,,,,,,,,,
Oh43,1,2,1,138.34352,,,Dont use BL or UL,5.11,4.64,2.32,2.555,25.05790397,565.092584,0.565092584,,,,,,,,,,,,,,
Oh43,1,2,2,125.58846,18.67444,33.07038,good test,5.59,5.29,2.645,2.795,40.62082342,316.4510486,0.316451049,,,,,,,,,,,,,,
Oh43,1,2,3,121.11033,22.98234,25.83434,good test,5.28,5.17,2.585,2.64,35.81586551,346.1077019,0.346107702,,,,,,,,,,,,,,
Oh43,1,2,4,127.38387,30.97203,32.50254,good test,5.43,5.4,2.7,2.715,41.97116342,310.6482832,0.310648283,,,,,,,,,,,,,,
Oh43,1,3,1,222.14006,,42.02143,no BL no break,4.84,4.7,2.35,2.42,24.66657404,921.7721394,0.921772139,,,,,,,,,,,,,,
Oh43,1,3,2,,,,too thick to test,6.66,6.29,3.145,3.33,81.35721326,0,0,,,,,,,,,,,,,,
Oh43,2,1,1,74.64367,,13.74225,no BL no break,4.03,3.67,1.835,2.015,9.778520208,781.3135809,0.781313581,,,,,,,,,,,,,,
Oh43,2,1,2,114.53187,17.77049,22.51159,good test,5.4,4.7,2.35,2.7,27.52055781,425.9657159,0.425965716,,,,,,,,,,,,,,
Oh43,2,2,1,101.57884,,20.83614,no BL no break,4.67,4.27,2.135,2.335,17.8472129,582.556928,0.582556928,,,,,,,,,,,,,,
Oh43,2,2,2,114.68077,,33.86291,no BL,5.55,5.47,2.735,2.775,44.58870517,263.2517496,0.26325175,,,,,,,,,,,,,,
Oh43,2,2,3,190.73798,27.00961,40.42011,good test,5.93,5.76,2.88,2.965,55.62782021,350.9543772,0.350954377,,,,,,,,,,,,,,
Oh43,2,3,1,163.23296,22.14098,22.62478,good test,4.37,3.87,1.935,2.185,12.43323753,1343.783029,1.343783029,,,,,,,,,,,,,,
Oh43,3,1,1,62.52214,15.27429,15.71394,good test,4.81,4.31,2.155,2.405,18.90369866,338.5264257,0.338526426,,,,,,,,,,,,,,
Oh43,3,1,2,76.2946,,12.42658,no BL,3.55,3.12,1.56,1.775,5.292514223,1475.493475,1.475493475,,,,,,,,,,,,,,
Oh43,3,1,3,58.93048,9.6515,10.00332,good test,3.92,3.73,1.865,1.96,9.985790747,604.0363076,0.604036308,,,,,,,,,,,,,,
Oh43,3,1,4,,,,,3.79,3.57,1.785,1.895,8.464742612,0,0,,,,,,,,,,,,,,
Oh43,3,2,1,80.501,16.68914,24.20286,good test,5.04,4.9,2.45,2.52,29.10641219,283.0858272,0.283085827,,,,,,,,,,,,,,
Oh43,3,2,2,136.76194,27.43805,30.09813,good test,6.38,6.2,3.1,3.19,74.63897143,187.544846,0.187544846,,,,,,,,,,,,,,
Oh43,3,2,3,107.58421,,24.74909,no BL,5.36,4.71,2.355,2.68,27.491435,400.5499226,0.400549923,,,,,,,,,,,,,,
Oh43,3,2,4,,,,,6.59,6.46,3.23,3.295,87.20730535,0,0,,,,,,,,,,,,,,
Oh43,3,3,1,213.6397,37.58775,40.79914,good test,5.66,5.4,2.7,2.83,43.7489475,499.8271892,0.499827189,,,,,,,,,,,,,,
Oh43,3,3,2,229.28421,30.55741,45.85977,good test,6.02,5.68,2.84,3.01,54.15161297,433.3794131,0.433379413,,,,,,,,,,,,,,
Oh43,4,1,1,66.90284,,,no BL no UL. Hit top of fixture.,4.46,3.67,1.835,2.23,10.82188589,632.7718206,0.632771821,,,,,,,,,,,,,,
Oh43,4,1,2,63.57555,8.75543,11.76668,good test,4.49,3.72,1.86,2.245,11.34605957,573.5226755,0.573522676,,,,,,,,,,,,,,
Oh43,4,1,3,83.65201,12.17155,19.34379,good test,4.65,4.39,2.195,2.325,19.31151796,443.3691744,0.443369174,,,,,,,,,,,,,,
Oh43,4,1,4,,,,,4.47,3.47,1.735,2.235,9.167815111,0,0,,,,,,,,,,,,,,
Oh43,4,2,1,,,,too short,5.7,5.16,2.58,2.85,38.44092763,0,0,,,,,,,,,,,,,,
Oh43,4,2,2,164.65504,23.99881,45.87537,good test,6.12,5.91,2.955,3.06,62.0131459,271.7670449,0.271767045,,,,,,,,,,,,,,
Oh43,4,2,3,129.15589,31.20428,39.36015,good test,6.3,6.1,3.05,3.15,70.19399383,188.330123,0.188330123,,,,,,,,,,,,,,
Oh43,4,3,1,122.72751,9.72717,27.84951,good test,5.64,5.12,2.56,2.82,37.15856087,338.0559344,0.338055934,,,,,,,,,,,,,,
Oh43,5,1,1,68.66569,16.88981,16.89926,good test,4.07,4.05,2.025,2.035,13.27178622,529.5609318,0.529560932,,,,,,,,,,,,,,
Oh43,5,1,2,71.32771,13.8219,14.3122,good test,4.27,4.11,2.055,2.135,14.55201854,501.6959192,0.501695919,,,,,,,,,,,,,,
Oh43,5,1,3,71.96461,13.42426,13.46813,good test,4.44,4.13,2.065,2.22,15.35334553,479.7571756,0.479757176,,,,,,,,,,,,,,
Oh43,5,1,4,,,,,4.22,3.74,1.87,2.11,10.83670264,0,0,,,,,,,,,,,,,,
Oh43,5,2,1,111.9337,18.83248,23.37102,good test,4.62,4.41,2.205,2.31,19.45035994,589.031803,0.589031803,,,,,,,,,,,,,,
Oh43,5,2,2,,,,too short,5.49,5.28,2.64,2.745,39.66833852,0,0,,,,,,,,,,,,,,
Oh43,5,2,3,105.26155,24.62507,26.77585,good test,5.07,4.43,2.215,2.535,21.63660102,497.9505895,0.49795059,,,,,,,,,,,,,,
Oh43,5,2,4,106.94334,24.94904,27.48355,good test,5.49,4.74,2.37,2.745,28.69969413,381.4011535,0.381401154,,,,,,,,,,,,,,
Oh43,5,3,1,68.4882,7.09349,16.0389,good test,5.34,4.7,2.35,2.67,27.21477384,257.582616,0.257582616,,,,,,,,,,,,,,
Oh43,5,3,2,177.3148,17.88194,23.58996,good test,4.99,4.45,2.225,2.495,21.58492169,840.8141969,0.840814197,,,,,,,,,,,,,,
Oh43,5,3,3,176.0072,36.38087,37.00059,good test,6.29,5.79,2.895,3.145,59.9316501,300.5935971,0.300593597,,,,,,,,,,,,,,
Oh43,6,1,1,73.71071,10.15998,13.32581,good test,3.91,3.7,1.85,1.955,9.721915194,776.0403322,0.776040332,,,,,,,,,,,,,,
Oh43,6,1,2,74.8461,10.56564,17.20819,good test,4.3,4.15,2.075,2.15,15.08629669,507.7992532,0.507799253,,,,,,,,,,,,,,
Oh43,6,1,3,63.73937,3.82511,11.2834,good test,4.16,4.01,2.005,2.08,13.16728838,495.4695236,0.495469524,,,,,,,,,,,,,,
Oh43,6,1,4,,,,,4.01,3.81,1.905,2.005,10.8865231,0,0,,,,,,,,,,,,,,
Oh43,6,2,1,88.92569,16.84461,21.30442,good test,5.08,4.65,2.325,2.54,25.07220151,363.0281486,0.363028149,,,,,,,,,,,,,,
Oh43,6,2,2,,,,too short,5.92,4.36,2.18,2.96,24.08524527,0,0,,,,,,,,,,,,,,
Oh43,6,2,3,88.90784,20.05901,24.93525,good test,4.98,4.69,2.345,2.49,25.21841397,360.8509196,0.36085092,,,,,,,,,,,,,,
Oh43,6,2,4,130.66546,16.63254,22.57911,good test,4.84,4.79,2.395,2.42,26.11089754,512.2058424,0.512205842,,,,,,,,,,,,,,
Oh43,6,3,1,202.06092,23.65553,38.60097,good test,6.56,6.38,3.19,3.28,83.62493135,247.315923,0.247315923,,,,,,,,,,,,,,
A632,1,1,1,66.10386,8.77109,8.85718,good test,3.37,2.54,1.27,1.685,2.710821675,2495.924231,2.495924231,,,,,,,,,,,,,,
A632,1,1,2,95.60838,,19.91836,no BL,4.6,3.91,1.955,2.3,13.49764503,725.0091434,0.725009143,,,,,,,,,,,,,,
A632,1,1,3,154.29222,,27.29908,no BL,4.73,3.86,1.93,2.365,13.35343367,1182.650994,1.182650994,,,,,,,,,,,,,,
A632,1,1,4,,,,,4.61,3.75,1.875,2.305,11.93341179,0,0,,,,,,,,,,,,,,
A632,1,2,1,198.50837,16.20532,35.8213,good test,5.44,5.36,2.68,2.72,41.12095266,494.1072002,0.4941072,,,,,,,,,,,,,,
A632,1,2,2,183.63327,,41.51675,no BL,5.46,4.51,2.255,2.73,24.58624285,764.4775347,0.764477535,,,,,,,,,,,,,,
A632,1,2,3,255.14179,26.70255,42.25251,good test,5.6,4.89,2.445,2.8,32.14285899,812.4611847,0.812461185,,,,,,,,,,,,,,
A632,1,2,4,,,,,5.32,5.21,2.605,2.66,36.93130898,0,0,,,,,,,,,,,,,,
A632,2,1,1,83.85496,15.26836,16.06865,good test,4.27,3.92,1.96,2.135,12.6257148,679.7955355,0.679795536,,,,,,,,,,,,,,
