"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"1","A632_1282_1","2","Middle","A632","1282"," 1",0.0265,0.05875,1.164,2.09475,19.70885625,10.435285,13.93184,5.107173925,6.629704475,2.59458685066589,2.59458599200326,777.497024971102,0.777497024971102,2.328,4.1895
"2","A632_1282_2","2","Middle","A632","1282"," 2",0.0225,0.0625,1.03975,2.01025,12.420086,9.22877,11.25659,4.7237922,8.2100689,1.7746549738613,1.77465441474179,716.335046069462,0.716335046069462,2.0795,4.0205
"3","A632_1282_3","2","Bottom","A632","1282"," 3",0.053,0.078,2.4585,2.8585,15.7945465,10.94512,17.152935,23.35580725,19.5347033,33.3599896444534,33.35998052436,48.4603761006924,0.0484603761006924,4.917,5.717
"4","A632_1282_3","2","Middle","A632","1282"," 3",0.668,1.466,1.39966666666667,2.23933333333333,13.8848946666667,9.09798333333333,12.77416,6.97949006666667,5.76810133333333,4.82247158382586,4.47927699596575,294.698848538084,0.294698848538084,2.79933333333333,4.47866666666667
"5","A632_1282_4","2","Bottom","A632","1282"," 4",0.0355,0.0805,1.747,2.8115,21.8442735,10.09786,22.763735,20.7832246,16.10087405,11.7731824811576,11.7731796526457,189.910622222124,0.189910622222124,3.494,5.623
"6","A632_1282_4","2","Middle","A632","1282"," 4",0.502,1.118,1.03575,1.77625,12.98200175,5.552495,9.18671,2.958488025,2.876966875,1.55005100694517,1.43897250150028,857.237577881501,0.857237577881501,2.0715,3.5525
"8","A632_1282_6","1","Bottom","A632","1282"," 6",0.219,0.803,0.69,1.795,13.2201385,8.24112,8.3742,2.29825125,2.26763425,0.463114946795625,0.456490876043589,2921.8151319624,2.9218151319624,1.38,3.59
"9","A632_1282_7","2","Middle","A632","1282"," 7",0.57525,1.24675,1.3055,1.91825,13.349397,8.3803575,11.4554325,5.264501525,3.902534975,3.35206867871841,3.16567708074843,407.618857606431,0.407618857606431,2.611,3.8365
"10","A632_1282_8","2","Bottom","A632","1282"," 8",0.019,0.074,1.009,2.576,21.818114,14.58835,15.12836,5.8527642,18.8261775,2.07824349647685,2.07824309784721,1074.54919526712,1.07454919526712,2.018,5.152
"11","A632_1282_8","2","Middle","A632","1282"," 8",0.59775,1.34025,1.1625,2.03125,10.4036365,6.7852825,9.58287,5.193218825,5.138210725,2.50622083293915,2.28140771806226,424.884962356496,0.424884962356496,2.325,4.0625
"12","A632_1321_1","2","Bottom","A632","1321"," 1",1.41,2.05,2.735,3.3,20.251006,20.59314,24.77087,31.3967652,37.379995,53.0228423179641,48.5096039475703,39.0921111105621,0.0390921111105621,5.47,6.6
"13","A632_1321_1","2","Middle","A632","1321"," 1",0.59675,1.4675,1.3455,2.3565,10.63625875,8.5934225,10.505925,8.20502245,9.241357,4.50812161170035,4.26319697886153,241.489803199136,0.241489803199136,2.691,4.713
"14","A632_1321_10","2","Bottom","A632","1321","10",1.048,1.478,2.437,3.016,17.286229,16.8298,20.51822,22.5732223,26.9219115,34.282698356514,32.9466094603262,51.609635440729,0.051609635440729,4.874,6.032
"15","A632_1321_10","2","Middle","A632","1321","10",0.334,1.335,0.953,1.976,10.301976,9.45923,10.1369,1.7034042,4.0246319,1.34320628390948,1.30414039247076,785.024743504746,0.785024743504746,1.906,3.952
"16","A632_1321_2","3","Middle","A632","1321"," 2",0.883666666666667,1.61666666666667,1.90933333333333,2.696,12.7055486666667,13.0743033333333,17.5523266666667,16.3870575333333,14.2361874333333,14.7381246164616,13.862005864875,88.2382175251052,0.0882382175251052,3.81866666666667,5.392
"17","A632_1321_3","2","Middle","A632","1321"," 3",0.963,1.318,1.899,2.52,14.2009905,10.77727,16.37198,12.48238525,11.56088555,13.5535326937974,12.6291084124012,107.243667116688,0.107243667116688,3.798,5.04
"18","A632_1321_4","2","Bottom","A632","1321"," 4",1.2125,1.74,2.3815,2.9735,26.8296315,14.07814,38.74653,17.6488978,22.3755049,31.5425480349131,29.106580125084,87.0609619462791,0.0870609619462791,4.763,5.947
