General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{C92BE010-6F3F-4765-990D-D61F34C75BA7}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P4 W1 3"
Break (Standard) : Load at Break (Standard),"12.17155",N
Maximum Load : Maximum Load,"19.34379",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29446","2.61741"
"17.80000","0.29612","2.63103"
"17.90000","0.29778","2.64521"
"18.00000","0.29940","2.65777"
"18.10000","0.30106","2.67152"
"18.20000","0.30277","2.68678"
"18.30000","0.30445","2.70038"
"18.40000","0.30611","2.71355"
"18.50000","0.30775","2.72577"
"18.60000","0.30951","2.74150"
"18.70000","0.31132","2.75745"
"18.80000","0.31306","2.77067"
"18.90000","0.31470","2.78187"
"19.00000","0.31629","2.79272"
"19.10000","0.31787","2.80322"
"19.20000","0.31945","2.81404"
"19.30000","0.32108","2.82644"
"19.40000","0.32278","2.83878"
"19.50000","0.32440","2.84984"
"19.60000","0.32604","2.86248"
"19.70000","0.32773","2.87674"
"19.80000","0.32942","2.89079"
"19.90000","0.33111","2.90498"
"20.00000","0.33290","2.92189"
"20.10000","0.33477","2.94095"
"20.20000","0.33654","2.95606"
"20.30000","0.33811","2.96633"
"20.40000","0.33980","2.98084"
"20.50000","0.34145","2.99350"
"20.60000","0.34318","3.00905"
"20.70000","0.34481","3.02202"
"20.80000","0.34641","3.03365"
"20.90000","0.34805","3.04767"
"21.00000","0.34968","3.06038"
"21.10000","0.35133","3.07399"
"21.20000","0.35297","3.08752"
"21.30000","0.35461","3.10120"
"21.40000","0.35625","3.11385"
"21.50000","0.35792","3.12819"
"21.60000","0.35957","3.14176"
"21.70000","0.36122","3.15613"
"21.80000","0.36287","3.17023"
"21.90000","0.36457","3.18563"
"22.00000","0.36629","3.20134"
"22.10000","0.36792","3.21374"
"22.20000","0.36955","3.22652"
"22.30000","0.37117","3.23983"
"22.40000","0.37280","3.25275"
"22.50000","0.37450","3.26850"
"22.60000","0.37619","3.28165"
"22.70000","0.37785","3.29582"
"22.80000","0.37945","3.30686"
"22.90000","0.38112","3.32180"
"23.00000","0.38280","3.33553"
"23.10000","0.38454","3.35004"
"23.20000","0.38615","3.36187"
"23.30000","0.38789","3.37708"
"23.40000","0.38964","3.39326"
"23.50000","0.39130","3.40626"
"23.60000","0.39305","3.42122"
"23.70000","0.39477","3.43680"
"23.80000","0.39632","3.44679"
"23.90000","0.39793","3.45900"
"24.00000","0.39953","3.47299"
"24.10000","0.40116","3.48688"
"24.20000","0.40279","3.50029"
"24.30000","0.40446","3.51452"
"24.40000","0.40615","3.53004"
"24.50000","0.40782","3.54422"
"24.60000","0.40944","3.55638"
"24.70000","0.41108","3.56971"
"24.80000","0.41271","3.58309"
"24.90000","0.41439","3.59773"
"25.00000","0.41602","3.61083"
"25.10000","0.41793","3.63267"
"25.20000","0.41987","3.65342"
"25.30000","0.42160","3.66882"
"25.40000","0.42327","3.67968"
"25.50000","0.42492","3.69221"
"25.60000","0.42652","3.70415"
"25.70000","0.42816","3.71964"
"25.80000","0.42986","3.73596"
"25.90000","0.43149","3.74873"
"26.00000","0.43311","3.76256"
"26.10000","0.43473","3.77517"
"26.20000","0.43641","3.79169"
"26.30000","0.43811","3.80798"
"26.40000","0.43972","3.81987"
"26.50000","0.44136","3.83614"
"26.60000","0.44318","3.85531"
"26.70000","0.44478","3.86650"
"26.80000","0.44639","3.87954"
"26.90000","0.44810","3.89448"
"27.00000","0.44978","3.90946"
"27.10000","0.45135","3.91987"
"27.20000","0.45301","3.93434"
"27.30000","0.45468","3.94868"
"27.40000","0.45625","3.95876"
"27.50000","0.45786","3.97211"
"27.60000","0.45946","3.98602"
"27.70000","0.46110","4.00101"
"27.80000","0.46274","4.01467"
"27.90000","0.46443","4.03034"
"28.00000","0.46619","4.04837"
"28.10000","0.46786","4.06165"
"28.20000","0.46951","4.07549"
"28.30000","0.47108","4.08724"
"28.40000","0.47273","4.10188"
"28.50000","0.47458","4.12260"
"28.60000","0.47634","4.13765"
"28.70000","0.47811","4.15391"
"28.80000","0.47981","4.16786"
"28.90000","0.48146","4.18086"
"29.00000","0.48311","4.19372"
"29.10000","0.48475","4.20569"
"29.20000","0.48638","4.21914"
"29.30000","0.48807","4.23447"
"29.40000","0.48972","4.24748"
"29.50000","0.49144","4.26379"
"29.60000","0.49313","4.27846"
"29.70000","0.49467","4.28927"
"29.80000","0.49650","4.31073"
"29.90000","0.49825","4.32764"
"30.00000","0.49984","4.33883"
"30.10000","0.50151","4.35481"
"30.20000","0.50327","4.37202"
"30.30000","0.50495","4.38646"
"30.40000","0.50651","4.39850"
"30.50000","0.50814","4.41158"
"30.60000","0.50979","4.42686"
"30.70000","0.51143","4.44111"
"30.80000","0.51308","4.45625"
"30.90000","0.51472","4.47058"
"31.00000","0.51642","4.48637"
"31.10000","0.51806","4.49995"
"31.20000","0.51973","4.51509"
"31.30000","0.52146","4.53178"
"31.40000","0.52305","4.54276"
"31.50000","0.52459","4.55309"
"31.60000","0.52618","4.56682"
"31.70000","0.52788","4.58513"
"31.80000","0.52964","4.60396"
"31.90000","0.53144","4.62318"
"32.00000","0.53309","4.63697"
"32.10000","0.53472","4.65059"
"32.20000","0.53636","4.66587"
"32.30000","0.53804","4.68170"
"32.40000","0.53968","4.69614"
"32.50000","0.54127","4.70861"
"32.60000","0.54285","4.72212"
"32.70000","0.54461","4.74112"
"32.80000","0.54645","4.76098"
