General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{2A1ACF08-F3D3-4213-B084-F94A6C79BB1D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W2 4"
Break (Standard) : Load at Break (Standard),"30.97203",N
Maximum Load : Maximum Load,"32.50254",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.54319"
"0.10000","0.00008","0.54438"
"0.20000","0.00035","0.54934"
"0.30000","0.00207","0.58745"
"0.40000","0.00534","0.65196"
"0.50000","0.00741","0.68537"
"0.60000","0.00911","0.71159"
"0.70000","0.01076","0.73656"
"0.80000","0.01241","0.76203"
"0.90000","0.01412","0.78664"
"1.00000","0.01585","0.81282"
"1.10000","0.01759","0.83829"
"1.20000","0.01934","0.86468"
"1.30000","0.02115","0.89079"
"1.40000","0.02293","0.91535"
"1.50000","0.02470","0.94026"
"1.60000","0.02647","0.96410"
"1.70000","0.02809","0.98521"
"1.80000","0.02970","1.00669"
"1.90000","0.03144","1.03055"
"2.00000","0.03308","1.05165"
"2.10000","0.03472","1.07284"
"2.20000","0.03635","1.09429"
"2.30000","0.03807","1.11843"
"2.40000","0.03968","1.13913"
"2.50000","0.04126","1.15976"
"2.60000","0.04279","1.17863"
"2.70000","0.04434","1.19887"
"2.80000","0.04618","1.22617"
"2.90000","0.04792","1.24876"
"3.00000","0.04960","1.26935"
"3.10000","0.05132","1.29291"
"3.20000","0.05308","1.31730"
"3.30000","0.05478","1.33825"
"3.40000","0.05639","1.35859"
"3.50000","0.05799","1.37850"
"3.60000","0.05960","1.39808"
"3.70000","0.06125","1.41887"
"3.80000","0.06302","1.44320"
"3.90000","0.06475","1.46616"
"4.00000","0.06634","1.48568"
"4.10000","0.06804","1.50922"
"4.20000","0.06966","1.53004"
"4.30000","0.07123","1.54916"
"4.40000","0.07276","1.56845"
"4.50000","0.07455","1.59527"
"4.60000","0.07633","1.61942"
"4.70000","0.07808","1.64326"
"4.80000","0.07982","1.66769"
"4.90000","0.08147","1.68865"
"5.00000","0.08309","1.70932"
"5.10000","0.08477","1.73203"
"5.20000","0.08647","1.75516"
"5.30000","0.08817","1.77717"
"5.40000","0.08977","1.79711"
"5.50000","0.09142","1.81904"
"5.60000","0.09306","1.83949"
"5.70000","0.09472","1.86122"
"5.80000","0.09639","1.88453"
"5.90000","0.09796","1.90393"
"6.00000","0.09957","1.92527"
"6.10000","0.10134","1.95071"
"6.20000","0.10304","1.97406"
"6.30000","0.10459","1.99313"
"6.40000","0.10621","2.01554"
"6.50000","0.10795","2.04127"
"6.60000","0.10970","2.06621"
