General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{61A9D01C-473E-4AD4-B6D2-A93D20E4A8E3}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W2 3"
Break (Standard) : Load at Break (Standard),"27.00961",N
Maximum Load : Maximum Load,"40.42011",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29454","7.01175"
"17.80000","0.29620","7.04374"
"17.90000","0.29791","7.07747"
"18.00000","0.29959","7.10831"
"18.10000","0.30126","7.14038"
"18.20000","0.30305","7.17653"
"18.30000","0.30473","7.20775"
"18.40000","0.30627","7.23059"
"18.50000","0.30799","7.26475"
"18.60000","0.30981","7.30107"
"18.70000","0.31144","7.32789"
"18.80000","0.31306","7.35414"
"18.90000","0.31469","7.38173"
"19.00000","0.31631","7.40893"
"19.10000","0.31787","7.43282"
"19.20000","0.31942","7.45787"
"19.30000","0.32101","7.48604"
"19.40000","0.32263","7.51442"
"19.50000","0.32425","7.54052"
"19.60000","0.32589","7.56911"
"19.70000","0.32753","7.59852"
"19.80000","0.32926","7.63065"
"19.90000","0.33084","7.65560"
"20.00000","0.33268","7.69365"
"20.10000","0.33446","7.72578"
"20.20000","0.33620","7.75700"
"20.30000","0.33787","7.78316"
"20.40000","0.33959","7.81259"
"20.50000","0.34129","7.84168"
"20.60000","0.34292","7.86743"
"20.70000","0.34456","7.89256"
"20.80000","0.34618","7.91777"
"20.90000","0.34784","7.94660"
"21.00000","0.34946","7.97180"
"21.10000","0.35110","7.99839"
"21.20000","0.35274","8.02597"
"21.30000","0.35439","8.05431"
"21.40000","0.35609","8.08491"
"21.50000","0.35783","8.11629"
"21.60000","0.35946","8.14231"
"21.70000","0.36108","8.16830"
"21.80000","0.36275","8.19724"
"21.90000","0.36464","8.23713"
"22.00000","0.36645","8.27085"
"22.10000","0.36811","8.29559"
"22.20000","0.36969","8.31797"
"22.30000","0.37139","8.34718"
"22.40000","0.37307","8.37386"
"22.50000","0.37471","8.39851"
"22.60000","0.37634","8.42246"
"22.70000","0.37797","8.44689"
"22.80000","0.37959","8.47017"
"22.90000","0.38115","8.49291"
"23.00000","0.38279","8.52008"
"23.10000","0.38440","8.54444"
"23.20000","0.38604","8.57191"
"23.30000","0.38796","8.61435"
"23.40000","0.38987","8.65285"
"23.50000","0.39149","8.67588"
"23.60000","0.39311","8.70079"
"23.70000","0.39487","8.73334"
"23.80000","0.39655","8.76013"
"23.90000","0.39817","8.78386"
"24.00000","0.39975","8.80766"
"24.10000","0.40136","8.83235"
"24.20000","0.40303","8.86047"
"24.30000","0.40469","8.88747"
"24.40000","0.40632","8.91234"
"24.50000","0.40795","8.93793"
"24.60000","0.40963","8.96444"
"24.70000","0.41135","8.99403"
"24.80000","0.41306","9.02130"
"24.90000","0.41467","9.04363"
"25.00000","0.41624","9.06467"
"25.10000","0.41774","9.08430"
"25.20000","0.41945","9.11622"
"25.30000","0.42122","9.14917"
"25.40000","0.42286","9.17498"
"25.50000","0.42446","9.19802"
"25.60000","0.42612","9.22451"
"25.70000","0.42782","9.25326"
"25.80000","0.42952","9.28151"
"25.90000","0.43119","9.30852"
"26.00000","0.43285","9.33464"
"26.10000","0.43450","9.36020"
"26.20000","0.43620","9.38759"
"26.30000","0.43796","9.41760"
"26.40000","0.43956","9.43914"
"26.50000","0.44139","9.47548"
"26.60000","0.44330","9.51222"
"26.70000","0.44492","9.53199"
"26.80000","0.44652","9.55303"
"26.90000","0.44820","9.58091"
"27.00000","0.44992","9.61041"
"27.10000","0.45148","9.63109"
"27.20000","0.45297","9.64957"
"27.30000","0.45455","9.67326"
"27.40000","0.45620","9.70152"
"27.50000","0.45786","9.73019"
"27.60000","0.45954","9.76018"
"27.70000","0.46126","9.79111"
"27.80000","0.46287","9.81493"
"27.90000","0.46452","9.84167"
"28.00000","0.46619","9.86943"
"28.10000","0.46791","9.90068"
"28.20000","0.46973","9.93601"
"28.30000","0.47144","9.96383"
"28.40000","0.47328","10.00008"
"28.50000","0.47511","10.03449"
"28.60000","0.47670","10.05376"
"28.70000","0.47820","10.07229"
"28.80000","0.47976","10.09462"
"28.90000","0.48134","10.11899"
"29.00000","0.48288","10.14049"
"29.10000","0.48445","10.16486"
"29.20000","0.48608","10.19194"
"29.30000","0.48771","10.21955"
"29.40000","0.48936","10.24831"
"29.50000","0.49106","10.27936"
"29.60000","0.49284","10.31370"
"29.70000","0.49445","10.33628"
"29.80000","0.49628","10.37342"
"29.90000","0.49819","10.41288"
"30.00000","0.49990","10.43907"
"30.10000","0.50160","10.46593"
"30.20000","0.50328","10.49253"
"30.30000","0.50485","10.51348"
"30.40000","0.50650","10.54093"
"30.50000","0.50818","10.56853"
"30.60000","0.50979","10.59259"
"30.70000","0.51137","10.61598"
"30.80000","0.51300","10.64300"
"30.90000","0.51466","10.67031"
"31.00000","0.51621","10.69104"
"31.10000","0.51780","10.71577"
"31.20000","0.51947","10.74466"
"31.30000","0.52115","10.77329"
"31.40000","0.52284","10.80229"
"31.50000","0.52452","10.83028"
"31.60000","0.52622","10.85843"
"31.70000","0.52797","10.89012"
"31.80000","0.52970","10.91901"
"31.90000","0.53140","10.94656"
"32.00000","0.53306","10.97082"
"32.10000","0.53467","10.99248"
"32.20000","0.53630","11.01634"
"32.30000","0.53788","11.03843"
"32.40000","0.53951","11.06371"
"32.50000","0.54120","11.09053"
"32.60000","0.54286","11.11499"
"32.70000","0.54458","11.14491"
"32.80000","0.54623","11.16957"
"32.90000","0.54791","11.19673"
"33.00000","0.54953","11.22086"
"33.10000","0.55126","11.25073"
"33.20000","0.55304","11.28348"
"33.30000","0.55480","11.31264"
"33.40000","0.55646","11.33761"
"33.50000","0.55814","11.36400"
"33.60000","0.55979","11.38910"
"33.70000","0.56142","11.41306"
"33.80000","0.56307","11.43833"
"33.90000","0.56469","11.46168"
"34.00000","0.56629","11.48386"
"34.10000","0.56784","11.50051"
"34.20000","0.56943","11.52251"
"34.30000","0.57112","11.55028"
"34.40000","0.57283","11.57892"
"34.50000","0.57457","11.60770"
"34.60000","0.57623","11.63173"
"34.70000","0.57789","11.65735"
"34.80000","0.57959","11.68405"
"34.90000","0.58124","11.70766"
"35.00000","0.58295","11.73523"
"35.10000","0.58464","11.76215"
"35.20000","0.58639","11.79173"
"35.30000","0.58803","11.81454"
"35.40000","0.58966","11.83743"
"35.50000","0.59129","11.86001"
"35.60000","0.59282","11.87583"
"35.70000","0.59444","11.90000"
"35.80000","0.59616","11.92849"
"35.90000","0.59789","11.95613"
"36.00000","0.59959","11.98219"
"36.10000","0.60127","12.00590"
"36.20000","0.60295","12.03031"
"36.30000","0.60453","12.04897"
"36.40000","0.60631","12.08005"
"36.50000","0.60807","12.10854"
"36.60000","0.60971","12.12933"
"36.70000","0.61135","12.15255"
"36.80000","0.61303","12.17677"
"36.90000","0.61471","12.20072"
"37.00000","0.61632","12.22195"
"37.10000","0.61782","12.23730"
"37.20000","0.61946","12.26209"
"37.30000","0.62111","12.28706"
"37.40000","0.62274","12.31129"
"37.50000","0.62436","12.33331"
"37.60000","0.62600","12.35694"
"37.70000","0.62766","12.38096"
"37.80000","0.62937","12.40843"
"37.90000","0.63105","12.43346"
"38.00000","0.63269","12.45576"
"38.10000","0.63438","12.48090"
"38.20000","0.63609","12.50592"
"38.30000","0.63785","12.53428"
"38.40000","0.63958","12.55892"
"38.50000","0.64129","12.58219"
"38.60000","0.64302","12.60674"
"38.70000","0.64477","12.63299"
"38.80000","0.64644","12.65467"
"38.90000","0.64806","12.67468"
"39.00000","0.64972","12.69777"
"39.10000","0.65138","12.72101"
"39.20000","0.65302","12.74402"
"39.30000","0.65471","12.77028"
"39.40000","0.65640","12.79618"
"39.50000","0.65798","12.81568"
"39.60000","0.65955","12.83532"
"39.70000","0.66136","12.86885"
"39.80000","0.66313","12.89689"
"39.90000","0.66475","12.91632"
"40.00000","0.66642","12.94025"
"40.10000","0.66815","12.96794"
"40.20000","0.66981","12.99003"
"40.30000","0.67145","13.01172"
"40.40000","0.67314","13.03530"
"40.50000","0.67484","13.06079"
"40.60000","0.67648","13.08269"
"40.70000","0.67819","13.10883"
"40.80000","0.67986","13.13102"
"40.90000","0.68152","13.15410"
"41.00000","0.68316","13.17623"
"41.10000","0.68474","13.19671"
"41.20000","0.68643","13.22496"
"41.30000","0.68807","13.24889"
"41.40000","0.68985","13.28020"
"41.50000","0.69157","13.30790"
"41.60000","0.69336","13.33972"
"41.70000","0.69512","13.36850"
"41.80000","0.69676","13.38945"
"41.90000","0.69832","13.40775"
"42.00000","0.69980","13.42221"
"42.10000","0.70140","13.44565"
"42.20000","0.70309","13.47313"
"42.30000","0.70466","13.49195"
"42.40000","0.70632","13.51669"
"42.50000","0.70802","13.54426"
"42.60000","0.70973","13.57102"
"42.70000","0.71139","13.59383"
"42.80000","0.71295","13.60977"
"42.90000","0.71458","13.63250"
"43.00000","0.71641","13.66782"
"43.10000","0.71804","13.68782"
"43.20000","0.71967","13.71111"
"43.30000","0.72140","13.73912"
"43.40000","0.72304","13.76113"
"43.50000","0.72466","13.78294"
"43.60000","0.72632","13.80731"
"43.70000","0.72798","13.83117"
"43.80000","0.72958","13.85103"
"43.90000","0.73112","13.86862"
"44.00000","0.73280","13.89477"
"44.10000","0.73443","13.91713"
"44.20000","0.73606","13.94011"
"44.30000","0.73773","13.96425"
"44.40000","0.73945","13.99096"
"44.50000","0.74107","14.01008"
"44.60000","0.74272","14.03228"
"44.70000","0.74463","14.06895"
"44.80000","0.74640","14.09425"
"44.90000","0.74807","14.11478"
"45.00000","0.74977","14.13904"
"45.10000","0.75141","14.15866"
"45.20000","0.75299","14.17690"
"45.30000","0.75452","14.19312"
"45.40000","0.75614","14.21523"
"45.50000","0.75773","14.23500"
"45.60000","0.75934","14.25627"
"45.70000","0.76106","14.28540"
"45.80000","0.76284","14.31468"
"45.90000","0.76461","14.34283"
"46.00000","0.76632","14.36615"
"46.10000","0.76783","14.37821"
"46.20000","0.76971","14.41721"
"46.30000","0.77156","14.44910"
"46.40000","0.77321","14.46822"
"46.50000","0.77490","14.49084"
"46.60000","0.77650","14.50794"
"46.70000","0.77811","14.52685"
"46.80000","0.77972","14.54572"
"46.90000","0.78138","14.56877"
"47.00000","0.78303","14.59083"
"47.10000","0.78469","14.61392"
"47.20000","0.78635","14.63791"
"47.30000","0.78802","14.66165"
"47.40000","0.78962","14.68080"
"47.50000","0.79118","14.69908"
"47.60000","0.79286","14.72478"
"47.70000","0.79448","14.74650"
"47.80000","0.79613","14.76974"
"47.90000","0.79771","14.78783"
"48.00000","0.79944","14.81634"
"48.10000","0.80130","14.84996"
"48.20000","0.80305","14.87538"
"48.30000","0.80472","14.89528"
"48.40000","0.80637","14.91507"
"48.50000","0.80808","14.93944"
"48.60000","0.80970","14.95769"
"48.70000","0.81123","14.97027"
"48.80000","0.81281","14.98800"
"48.90000","0.81443","15.00889"
"49.00000","0.81608","15.03071"
"49.10000","0.81771","15.05221"
"49.20000","0.81935","15.07456"
"49.30000","0.82102","15.09860"
"49.40000","0.82262","15.11921"
"49.50000","0.82441","15.15187"
"49.60000","0.82622","15.18373"
"49.70000","0.82787","15.20360"
"49.80000","0.82963","15.23233"
"49.90000","0.83143","15.26095"
"50.00000","0.83313","15.28211"
"50.10000","0.83482","15.30312"
"50.20000","0.83646","15.32081"
"50.30000","0.83808","15.33872"
"50.40000","0.83971","15.35630"
"50.50000","0.84130","15.37335"
"50.60000","0.84299","15.39652"
"50.70000","0.84472","15.42157"
"50.80000","0.84637","15.44041"
"50.90000","0.84803","15.46008"
"51.00000","0.84970","15.48189"
"51.10000","0.85126","15.49633"
"51.20000","0.85282","15.51268"
"51.30000","0.85451","15.53942"
"51.40000","0.85627","15.56712"
"51.50000","0.85789","15.58462"
