General : Start date,9/3/2020,
General : End date,9/3/2020,
General : Unique identifier,{BA151A17-72A3-4FB9-95E7-F56258A6FA7C},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1282 P6 W1 2,
Break (Standard) : Load at Break (Standard),6.06919,N
Maximum Load : Maximum Load,6.32654,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.48617
0.1,0,0.4868
0.2,0.00023,0.489
0.3,0.00094,0.50037
0.4,0.00265,0.52866
0.5,0.00715,0.60554
0.6,0.00971,0.64656
0.7,0.01135,0.67146
0.8,0.01282,0.69381
0.9,0.01441,0.71682
1,0.01604,0.74133
1.1,0.01767,0.76532
1.2,0.01934,0.79067
1.3,0.02105,0.81605
1.4,0.02276,0.84112
1.5,0.02455,0.86707
1.6,0.02636,0.89349
1.7,0.02798,0.91681
1.8,0.02962,0.94074
1.9,0.03125,0.96428
2,0.03288,0.98719
2.1,0.03453,1.00985
2.2,0.03621,1.03352
2.3,0.0379,1.05638
2.4,0.03954,1.07984
2.5,0.04117,1.10232
2.6,0.04277,1.12427
2.7,0.04437,1.14573
2.8,0.04599,1.16874
2.9,0.04764,1.19118
3,0.0493,1.21356
3.1,0.05087,1.23528
3.2,0.05252,1.2572
3.3,0.05418,1.27935
3.4,0.05585,1.3013
3.5,0.05761,1.3256
3.6,0.05941,1.34965
3.7,0.06124,1.37388
3.8,0.06306,1.39832
3.9,0.06478,1.4208
4,0.06641,1.44279
4.1,0.06807,1.46502
4.2,0.06972,1.48732
4.3,0.07138,1.50885
4.4,0.07309,1.53208
4.5,0.07477,1.55492
4.6,0.07644,1.57821
4.7,0.07809,1.59943
4.8,0.0797,1.6202
4.9,0.0813,1.64129
5,0.08286,1.66249
5.1,0.08461,1.6855
5.2,0.08627,1.70787
5.3,0.08793,1.73037
5.4,0.08964,1.75231
5.5,0.09141,1.77684
5.6,0.09308,1.79804
5.7,0.09471,1.82109
5.8,0.09633,1.84172
5.9,0.098,1.86369
6,0.09968,1.88697
6.1,0.10132,1.90804
6.2,0.10299,1.92904
6.3,0.1046,1.95001
6.4,0.10619,1.97004
6.5,0.10788,1.9921
6.6,0.10956,2.0132
6.7,0.11115,2.03386
6.8,0.11272,2.05372
6.9,0.1144,2.0746
7,0.11612,2.09784
7.1,0.1178,2.11905
7.2,0.11943,2.14006
7.3,0.12099,2.15899
7.4,0.1226,2.1788
7.5,0.12419,2.19859
7.6,0.12587,2.21906
7.7,0.12761,2.24036
7.8,0.12938,2.26206
7.9,0.1311,2.28369
8,0.13283,2.30458
8.1,0.13459,2.32726
8.2,0.13626,2.34646
8.3,0.13794,2.36767
8.4,0.13981,2.39058
8.5,0.1415,2.41063
8.6,0.14312,2.42958
8.7,0.14473,2.44917
8.8,0.14636,2.46804
8.9,0.14805,2.48787
9,0.14967,2.5079
9.1,0.15126,2.52586
9.2,0.15285,2.54357
9.3,0.15445,2.56206
9.4,0.15611,2.5805
9.5,0.15778,2.5997
9.6,0.15948,2.61901
9.7,0.16115,2.63691
9.8,0.1628,2.65422
9.9,0.16445,2.67213
10,0.16599,2.688
10.1,0.16764,2.70503
10.2,0.16949,2.72592
10.3,0.17125,2.7445
10.4,0.17309,2.76247
10.5,0.17489,2.7815
10.6,0.17649,2.79798
10.7,0.17808,2.81329
10.8,0.17977,2.83083
10.9,0.18144,2.84774
11,0.18311,2.86486
11.1,0.1848,2.88217
11.2,0.18655,2.9
11.3,0.18818,2.91568
11.4,0.18976,2.93179
11.5,0.19132,2.9472
11.6,0.19312,2.96644
11.7,0.19482,2.98324
11.8,0.19652,2.99919
11.9,0.19824,3.0153
12,0.19992,3.03162
12.1,0.20154,3.046
12.2,0.20317,3.06086
12.3,0.20486,3.0773
12.4,0.20652,3.09258
12.5,0.20818,3.10759
12.6,0.20976,3.12147
12.7,0.21135,3.13616
12.8,0.21305,3.15263
12.9,0.21467,3.1672
13,0.21629,3.18228
13.1,0.21792,3.1976
13.2,0.21957,3.21227
13.3,0.22121,3.22746
13.4,0.22285,3.24168
13.5,0.22474,3.26092
13.6,0.22654,3.277
13.7,0.22818,3.29158
13.8,0.22991,3.30733
13.9,0.23157,3.3216
14,0.23313,3.33524
14.1,0.23475,3.34898
14.2,0.23644,3.36452
14.3,0.23805,3.37798
14.4,0.23968,3.39245
14.5,0.24129,3.40577
14.6,0.2429,3.41985
14.7,0.24445,3.43256
14.8,0.24609,3.4478
14.9,0.24788,3.46447
15,0.24961,3.48009
15.1,0.25134,3.49548
15.2,0.25308,3.51112
15.3,0.25478,3.52524
15.4,0.25644,3.53993
15.5,0.25809,3.5538
15.6,0.25972,3.56738
15.7,0.26138,3.58182
15.8,0.26304,3.59517
15.9,0.26472,3.61017
16,0.26638,3.62322
16.1,0.26806,3.63738
16.2,0.26972,3.65132
16.3,0.27141,3.66518
16.4,0.27306,3.67911
16.5,0.27468,3.69192
16.6,0.27625,3.70476
16.7,0.27781,3.71703
16.8,0.27952,3.73153
16.9,0.28122,3.74616
17,0.2828,3.75784
17.1,0.28439,3.76987
17.2,0.28601,3.78305
17.3,0.28771,3.79668
17.4,0.28935,3.80938
17.5,0.29098,3.82203
17.6,0.29264,3.83475
17.7,0.29433,3.84787
17.8,0.29613,3.86253
17.9,0.29789,3.87695
18,0.29947,3.88836
18.1,0.30119,3.90131
18.2,0.30302,3.91607
18.3,0.30479,3.92996
18.4,0.30642,3.94154
18.5,0.30799,3.95139
18.6,0.30953,3.96213
18.7,0.31113,3.97247
18.8,0.31274,3.98411
18.9,0.31436,3.99544
19,0.31604,4.00858
19.1,0.31767,4.02001
19.2,0.31935,4.03172
19.3,0.32108,4.04508
19.4,0.3228,4.05765
19.5,0.32446,4.06896
19.6,0.32614,4.08128
19.7,0.32783,4.09325
19.8,0.32948,4.10327
19.9,0.33107,4.11347
20,0.33289,4.1277
20.1,0.33476,4.14165
20.2,0.33644,4.15248
20.3,0.33804,4.1621
20.4,0.33976,4.17298
20.5,0.34139,4.18385
20.6,0.34302,4.19436
20.7,0.34464,4.20463
20.8,0.3462,4.21357
20.9,0.34785,4.22485
21,0.34947,4.23504
21.1,0.35104,4.24396
21.2,0.35271,4.25476
21.3,0.35425,4.2639
21.4,0.35599,4.27653
21.5,0.35793,4.29155
21.6,0.35973,4.30297
21.7,0.36144,4.31387
21.8,0.36309,4.32458
21.9,0.36474,4.33473
22,0.36647,4.34632
22.1,0.36817,4.35646
22.2,0.36972,4.36519
22.3,0.3713,4.37381
22.4,0.37289,4.38307
22.5,0.37445,4.39261
22.6,0.37604,4.40224
22.7,0.37778,4.41421
22.8,0.3796,4.42661
22.9,0.38128,4.43741
23,0.3829,4.44651
23.1,0.38455,4.45704
23.2,0.38624,4.46751
23.3,0.3881,4.4811
23.4,0.38994,4.49362
23.5,0.39158,4.50292
23.6,0.39312,4.51089
23.7,0.3948,4.52107
23.8,0.39648,4.53116
23.9,0.39813,4.54097
24,0.3998,4.55092
24.1,0.40145,4.56004
24.2,0.40308,4.56958
24.3,0.40468,4.57835
24.4,0.40635,4.58861
24.5,0.40797,4.59797
24.6,0.40949,4.60613
24.7,0.41116,4.61657
24.8,0.41297,4.62841
24.9,0.41473,4.63899
25,0.41637,4.6474
25.1,0.41804,4.65691
25.2,0.41974,4.66646
25.3,0.42135,4.67461
25.4,0.42294,4.68278
25.5,0.42452,4.69091
25.6,0.42618,4.69832
25.7,0.42782,4.70659
25.8,0.42947,4.71674
25.9,0.43116,4.72619
26,0.43287,4.73457
26.1,0.43459,4.74444
26.2,0.43634,4.75495
26.3,0.43811,4.76464
26.4,0.43978,4.77363
26.5,0.44131,4.77945
26.6,0.44297,4.78799
26.7,0.44484,4.80139
26.8,0.44674,4.81424
26.9,0.44842,4.82217
27,0.44992,4.82829
27.1,0.45149,4.83439
27.2,0.45309,4.84284
27.3,0.4547,4.85084
27.4,0.45638,4.86015
27.5,0.45806,4.8684
27.6,0.45974,4.8769
27.7,0.46139,4.88488
27.8,0.46302,4.89297
27.9,0.46458,4.89881
28,0.46634,4.90888
28.1,0.46826,4.92029
28.2,0.46995,4.92825
28.3,0.47158,4.93528
28.4,0.47316,4.94218
28.5,0.4747,4.94751
28.6,0.47638,4.95551
28.7,0.4781,4.96465
28.8,0.47979,4.97274
28.9,0.48139,4.97883
29,0.483,4.98578
29.1,0.48466,4.99405
29.2,0.48628,4.9999
29.3,0.48796,5.00763
29.4,0.48964,5.01578
29.5,0.49128,5.02313
29.6,0.49296,5.03017
29.7,0.49475,5.0391
29.8,0.49649,5.04629
29.9,0.49814,5.05307
30,0.49981,5.06061
30.1,0.50154,5.06795
30.2,0.50318,5.07341
30.3,0.50473,5.07879
30.4,0.50631,5.08457
30.5,0.50784,5.08941
30.6,0.50938,5.09478
30.7,0.51096,5.10015
30.8,0.51261,5.10679
30.9,0.51428,5.11431
31,0.516,5.12195
31.1,0.51762,5.12877
31.2,0.5192,5.13361
31.3,0.52097,5.14172
31.4,0.52278,5.15072
31.5,0.52457,5.15828
31.6,0.52631,5.16601
31.7,0.52804,5.17331
31.8,0.52975,5.17964
31.9,0.53141,5.18581
32,0.53303,5.18979
32.1,0.53472,5.19677
32.2,0.53633,5.20163
32.3,0.53807,5.20842
32.4,0.53978,5.21425
32.5,0.54132,5.21782
32.6,0.54289,5.22223
32.7,0.5445,5.22777
32.8,0.54621,5.23415
32.9,0.54781,5.23948
33,0.54957,5.24697
33.1,0.55133,5.254
33.2,0.55314,5.26227
33.3,0.55492,5.26941
33.4,0.5566,5.27476
33.5,0.55827,5.28082
33.6,0.55993,5.2868
33.7,0.56152,5.29088
33.8,0.5631,5.29539
33.9,0.56475,5.30065
34,0.56653,5.30805
34.1,0.56819,5.31303
34.2,0.56979,5.31801
34.3,0.57145,5.32319
34.4,0.57303,5.32681
34.5,0.57477,5.33349
34.6,0.5765,5.33974
34.7,0.5781,5.34457
34.8,0.57973,5.34959
34.9,0.58146,5.35608
35,0.58308,5.361
35.1,0.58471,5.36654
35.2,0.58635,5.37103
35.3,0.58798,5.37602
35.4,0.58963,5.38187
35.5,0.59121,5.38589
35.6,0.59282,5.3904
35.7,0.59446,5.39552
35.8,0.59609,5.40032
35.9,0.5978,5.40542
36,0.59951,5.41129
36.1,0.60113,5.4154
36.2,0.60276,5.41986
36.3,0.60467,5.42758
36.4,0.60649,5.43431
36.5,0.60816,5.43823
36.6,0.60978,5.44263
36.7,0.61135,5.44628
36.8,0.61303,5.4513
36.9,0.61471,5.45639
37,0.6163,5.4597
37.1,0.61781,5.46293
37.2,0.61943,5.46724
37.3,0.62105,5.47128
37.4,0.62265,5.47573
37.5,0.62424,5.47961
37.6,0.62592,5.48455
37.7,0.62752,5.48848
37.8,0.62924,5.49372
37.9,0.63105,5.50038
38,0.63283,5.50516
38.1,0.63453,5.50927
38.2,0.63617,5.51261
38.3,0.63781,5.51566
38.4,0.63945,5.51909
38.5,0.64104,5.52216
38.6,0.64267,5.5253
38.7,0.64428,5.52938
38.8,0.64593,5.53296
38.9,0.64759,5.53759
39,0.64927,5.54182
39.1,0.65106,5.54792
39.2,0.65282,5.55363
39.3,0.6545,5.55711
39.4,0.65614,5.56118
39.5,0.65785,5.56604
39.6,0.6597,5.5724
39.7,0.6616,5.57983
39.8,0.66326,5.58255
39.9,0.6648,5.58491
40,0.66645,5.58767
40.1,0.66816,5.59179
40.2,0.66972,5.5935
40.3,0.67131,5.59645
40.4,0.67296,5.59995
40.5,0.67463,5.60359
40.6,0.67628,5.60683
40.7,0.67788,5.61002
40.8,0.67954,5.6142
40.9,0.68124,5.61837
41,0.68286,5.62182
41.1,0.68466,5.62813
41.2,0.68646,5.63381
41.3,0.68808,5.63668
41.4,0.68972,5.6402
41.5,0.69142,5.64407
41.6,0.69308,5.64841
41.7,0.69478,5.65262
41.8,0.69639,5.65499
41.9,0.698,5.65794
42,0.69963,5.66105
42.1,0.7013,5.66518
42.2,0.70299,5.66885
42.3,0.70473,5.67372
42.4,0.70635,5.67709
42.5,0.70802,5.68062
42.6,0.70975,5.68517
42.7,0.7114,5.68866
42.8,0.71302,5.69201
42.9,0.71479,5.69767
43,0.71656,5.70312
43.1,0.71836,5.70865
43.2,0.71999,5.71139
43.3,0.72155,5.71387
43.4,0.72314,5.71689
43.5,0.72475,5.72021
43.6,0.72644,5.72417
43.7,0.72809,5.72789
43.8,0.7297,5.73068
43.9,0.73134,5.73382
44,0.73293,5.73671
44.1,0.73449,5.73823
44.2,0.73608,5.74061
44.3,0.73772,5.7432
44.4,0.73949,5.74875
44.5,0.74119,5.7521
44.6,0.74284,5.75501
44.7,0.74453,5.75886
44.8,0.74619,5.76222
44.9,0.74785,5.76616
45,0.74956,5.76966
45.1,0.75126,5.77408
45.2,0.75292,5.77711
45.3,0.75464,5.78133
45.4,0.75639,5.78648
45.5,0.75812,5.79008
45.6,0.75977,5.79351
45.7,0.76144,5.79692
45.8,0.76308,5.79994
45.9,0.76478,5.80339
46,0.76635,5.80538
46.1,0.76809,5.80964
46.2,0.77,5.81608
46.3,0.77171,5.81982
46.4,0.7733,5.82139
46.5,0.77498,5.82463
46.6,0.7766,5.8271
46.7,0.77814,5.82951
46.8,0.77969,5.83199
46.9,0.78132,5.83444
47,0.78294,5.83706
47.1,0.78449,5.83969
47.2,0.78622,5.84401
47.3,0.78794,5.84795
47.4,0.7897,5.85225
47.5,0.79131,5.85526
47.6,0.79302,5.85905
47.7,0.79489,5.86518
47.8,0.79665,5.86944
47.9,0.79832,5.87183
48,0.79996,5.87415
48.1,0.80156,5.87626
48.2,0.80329,5.88049
48.3,0.80497,5.88312
48.4,0.8065,5.88416
48.5,0.80808,5.88592
48.6,0.80973,5.88885
48.7,0.81137,5.89172
48.8,0.81293,5.89364
48.9,0.8145,5.89608
49,0.81613,5.89918
49.1,0.81782,5.90246
49.2,0.81944,5.90606
49.3,0.82106,5.90836
49.4,0.82271,5.91223
49.5,0.82459,5.91889
49.6,0.82634,5.9232
49.7,0.82813,5.92837
49.8,0.82993,5.93361
49.9,0.83151,5.93553
50,0.83308,5.93719
50.1,0.83469,5.93932
50.2,0.83637,5.94246
50.3,0.83798,5.94462
50.4,0.83963,5.9475
50.5,0.84128,5.9509
50.6,0.84292,5.95372
50.7,0.84451,5.95624
50.8,0.84614,5.95958
50.9,0.84805,5.96724
51,0.84983,5.9713
51.1,0.85145,5.97494
51.2,0.85308,5.97788
51.3,0.85485,5.98255
51.4,0.85645,5.98503
51.5,0.85798,5.98641
51.6,0.85955,5.98865
51.7,0.86121,5.99221
51.8,0.86291,5.99615
51.9,0.86454,5.99874
52,0.86617,6.00161
52.1,0.86787,6.00509
52.2,0.86955,6.00859
52.3,0.87129,6.01233
52.4,0.87303,6.01645
