General : Start date,9/3/2020,
General : End date,9/3/2020,
General : Unique identifier,{18E0D87E-F2FD-4BB1-B2D9-CCDE22DA3242},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1282 P3 W2 1,
Break (Standard) : Load at Break (Standard),18.50618,N
Maximum Load : Maximum Load,21.20415,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.50906
0.1,0.00013,0.51293
0.2,0.00102,0.54269
0.3,0.00254,0.59314
0.4,0.00459,0.65947
0.5,0.00694,0.73535
0.6,0.00917,0.80685
0.7,0.01109,0.86635
0.8,0.01284,0.92088
0.9,0.01456,0.97361
1,0.01625,1.02546
1.1,0.01789,1.07535
1.2,0.01953,1.12464
1.3,0.02119,1.17438
1.4,0.02289,1.22571
1.5,0.02455,1.27462
1.6,0.02619,1.323
1.7,0.02776,1.36721
1.8,0.02934,1.41408
1.9,0.03095,1.46104
2,0.03266,1.51107
2.1,0.03442,1.56277
2.2,0.03614,1.61274
2.3,0.03782,1.65987
2.4,0.03948,1.70756
2.5,0.04112,1.75308
2.6,0.04275,1.79803
2.7,0.04446,1.84552
2.8,0.04611,1.89059
2.9,0.04775,1.93313
3,0.04946,1.9796
3.1,0.05119,2.02651
3.2,0.05288,2.07113
3.3,0.05447,2.11097
3.4,0.05613,2.15459
3.5,0.0578,2.19814
3.6,0.05963,2.24767
3.7,0.0613,2.29095
3.8,0.06287,2.33056
3.9,0.06453,2.37444
4,0.06616,2.41713
4.1,0.06778,2.45956
4.2,0.06935,2.50041
4.3,0.07102,2.54553
4.4,0.07262,2.58733
4.5,0.07429,2.63194
4.6,0.07598,2.67706
4.7,0.07771,2.7235
4.8,0.07948,2.77156
4.9,0.08119,2.81773
5,0.08286,2.86202
5.1,0.08449,2.90512
5.2,0.08598,2.9427
5.3,0.08793,2.99875
5.4,0.08978,3.04976
5.5,0.09149,3.0948
5.6,0.09314,3.13807
5.7,0.09481,3.18346
5.8,0.09645,3.22701
5.9,0.09808,3.27028
6,0.09971,3.3161
6.1,0.10132,3.36033
6.2,0.10292,3.40494
6.3,0.10459,3.45236
6.4,0.10628,3.50125
6.5,0.10797,3.54801
6.6,0.10974,3.59902
6.7,0.11134,3.64192
6.8,0.11303,3.68865
6.9,0.11478,3.73827
7,0.11634,3.77949
7.1,0.11791,3.82104
7.2,0.11948,3.86175
7.3,0.1211,3.90611
7.4,0.12279,3.95154
7.5,0.12444,3.99609
7.6,0.12598,4.03591
7.7,0.12761,4.08039
7.8,0.12923,4.12492
7.9,0.13083,4.16845
8,0.13247,4.21513
8.1,0.13419,4.2639
8.2,0.13592,4.31271
8.3,0.13764,4.36008
8.4,0.13937,4.40748
8.5,0.14106,4.45237
8.6,0.14293,4.50493
8.7,0.14482,4.5569
8.8,0.14655,4.60079
8.9,0.14815,4.63796
9,0.14971,4.67382
9.1,0.15137,4.71356
9.2,0.15301,4.75249
9.3,0.15461,4.78789
9.4,0.1562,4.82429
9.5,0.15785,4.86076
9.6,0.15952,4.8986
9.7,0.16118,4.93698
9.8,0.16278,4.9713
9.9,0.16449,5.00993
10,0.16609,5.04312
10.1,0.16788,5.08463
10.2,0.16967,5.12505
10.3,0.17138,5.1612
10.4,0.17303,5.19371
10.5,0.17475,5.22892
10.6,0.17644,5.26002
10.7,0.17818,5.2937
10.8,0.17989,5.32725
10.9,0.18158,5.3592
11,0.18316,5.38792
11.1,0.18482,5.41995
11.2,0.18648,5.45218
11.3,0.18811,5.48215
11.4,0.18969,5.50898
11.5,0.19136,5.54103
11.6,0.19305,5.5724
11.7,0.19471,5.604
11.8,0.19628,5.63068
11.9,0.19792,5.66097
12,0.19967,5.69558
12.1,0.20144,5.73084
12.2,0.20311,5.76031
12.3,0.20474,5.78784
12.4,0.20637,5.81658
12.5,0.20809,5.84808
12.6,0.20971,5.87587
12.7,0.21135,5.90373
12.8,0.21304,5.9341
12.9,0.21475,5.96441
13,0.21649,5.99631
13.1,0.21819,6.02605
13.2,0.21981,6.05178
13.3,0.22141,6.07791
13.4,0.22321,6.11389
13.5,0.22501,6.14832
13.6,0.22674,6.18003
13.7,0.2284,6.2094
13.8,0.22992,6.23299
13.9,0.23148,6.26043
14,0.23319,6.29499
14.1,0.23492,6.33193
