General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{221A7F3D-2DE5-442A-BC91-2108AC7B6F0D}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P4 W1 4"
Break (Standard) : Load at Break (Standard),"8.16967",N
Maximum Load : Maximum Load,"9.29235",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29433","5.59272"
"17.80000","0.29598","5.60793"
"17.90000","0.29762","5.62255"
"18.00000","0.29925","5.63677"
"18.10000","0.30084","5.64920"
"18.20000","0.30248","5.66274"
"18.30000","0.30440","5.68291"
"18.40000","0.30617","5.69794"
"18.50000","0.30781","5.70982"
"18.60000","0.30950","5.72340"
"18.70000","0.31116","5.73657"
"18.80000","0.31287","5.75124"
"18.90000","0.31453","5.76355"
"19.00000","0.31618","5.77641"
"19.10000","0.31780","5.78939"
"19.20000","0.31948","5.80362"
"19.30000","0.32117","5.81843"
"19.40000","0.32291","5.83485"
"19.50000","0.32459","5.84914"
"19.60000","0.32629","5.86362"
"19.70000","0.32801","5.87931"
"19.80000","0.32964","5.89236"
"19.90000","0.33117","5.90299"
"20.00000","0.33296","5.92063"
"20.10000","0.33488","5.94116"
"20.20000","0.33662","5.95581"
"20.30000","0.33821","5.96661"
"20.40000","0.33978","5.97777"
"20.50000","0.34149","5.99244"
"20.60000","0.34318","6.00685"
"20.70000","0.34478","6.01849"
"20.80000","0.34644","6.03176"
"20.90000","0.34808","6.04514"
"21.00000","0.34977","6.05948"
"21.10000","0.35145","6.07355"
"21.20000","0.35305","6.08674"
"21.30000","0.35473","6.10120"
"21.40000","0.35635","6.11485"
"21.50000","0.35811","6.13117"
"21.60000","0.35978","6.14547"
"21.70000","0.36137","6.15762"
"21.80000","0.36296","6.16915"
"21.90000","0.36458","6.18111"
"22.00000","0.36619","6.19367"
"22.10000","0.36781","6.20597"
"22.20000","0.36945","6.21867"
"22.30000","0.37108","6.23068"
"22.40000","0.37272","6.24271"
"22.50000","0.37434","6.25415"
"22.60000","0.37592","6.26507"
"22.70000","0.37759","6.27794"
"22.80000","0.37929","6.29105"
"22.90000","0.38098","6.30393"
"23.00000","0.38266","6.31668"
"23.10000","0.38438","6.33107"
"23.20000","0.38608","6.34497"
"23.30000","0.38786","6.36126"
"23.40000","0.38972","6.37929"
