General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{3EB29738-5840-467C-A441-99A2B39FA280}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1395 P6 W2 1"
Break (Standard) : Load at Break (Standard),"15.12154",N
Maximum Load : Maximum Load,"18.13068",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.37310"
"0.10000","0.00010","0.37431"
"0.20000","0.00102","0.39277"
"0.30000","0.00301","0.43010"
"0.40000","0.00516","0.46737"
"0.50000","0.00717","0.50117"
"0.60000","0.00915","0.53445"
"0.70000","0.01098","0.56393"
"0.80000","0.01292","0.59742"
"0.90000","0.01463","0.62469"
"1.00000","0.01638","0.65260"
"1.10000","0.01806","0.68045"
"1.20000","0.01960","0.70884"
"1.30000","0.02116","0.73884"
"1.40000","0.02279","0.77072"
"1.50000","0.02436","0.80061"
"1.60000","0.02593","0.82989"
"1.70000","0.02751","0.85956"
"1.80000","0.02920","0.89230"
"1.90000","0.03090","0.92533"
"2.00000","0.03264","0.95943"
"2.10000","0.03433","0.99138"
"2.20000","0.03605","1.02315"
"2.30000","0.03791","1.05914"
"2.40000","0.03975","1.09336"
"2.50000","0.04146","1.12442"
"2.60000","0.04309","1.15482"
"2.70000","0.04479","1.18627"
"2.80000","0.04645","1.21543"
"2.90000","0.04807","1.24445"
"3.00000","0.04971","1.27488"
"3.10000","0.05134","1.30489"
"3.20000","0.05300","1.33542"
"3.30000","0.05469","1.36741"
"3.40000","0.05629","1.39344"
"3.50000","0.05785","1.42182"
"3.60000","0.05943","1.45116"
"3.70000","0.06107","1.48027"
"3.80000","0.06272","1.51040"
"3.90000","0.06433","1.53825"
"4.00000","0.06584","1.56357"
"4.10000","0.06759","1.59579"
"4.20000","0.06939","1.62925"
"4.30000","0.07112","1.65832"
"4.40000","0.07283","1.68763"
"4.50000","0.07447","1.71555"
"4.60000","0.07609","1.74146"
"4.70000","0.07777","1.77038"
"4.80000","0.07951","1.80218"
"4.90000","0.08114","1.82833"
"5.00000","0.08279","1.85570"
"5.10000","0.08446","1.88500"
"5.20000","0.08613","1.91451"
"5.30000","0.08780","1.94399"
"5.40000","0.08934","1.97265"
"5.50000","0.09100","2.00097"
"5.60000","0.09275","2.03200"
"5.70000","0.09440","2.06009"
"5.80000","0.09611","2.09015"
"5.90000","0.09776","2.11896"
"6.00000","0.09952","2.15074"
"6.10000","0.10122","2.18023"
"6.20000","0.10287","2.20913"
"6.30000","0.10456","2.23773"
"6.40000","0.10625","2.26677"
"6.50000","0.10799","2.29688"
"6.60000","0.10970","2.32553"
"6.70000","0.11141","2.35489"
"6.80000","0.11307","2.38289"
"6.90000","0.11472","2.41125"
"7.00000","0.11636","2.43924"
"7.10000","0.11808","2.46950"
"7.20000","0.11976","2.49874"
"7.30000","0.12125","2.52267"
"7.40000","0.12289","2.55232"
"7.50000","0.12470","2.58608"
"7.60000","0.12643","2.61636"
"7.70000","0.12806","2.64622"
"7.80000","0.12971","2.67515"
"7.90000","0.13127","2.70069"
"8.00000","0.13279","2.72760"
"8.10000","0.13437","2.75512"
"8.20000","0.13596","2.78254"
"8.30000","0.13758","2.81020"
"8.40000","0.13936","2.84270"
"8.50000","0.14110","2.87310"
"8.60000","0.14275","2.89981"
"8.70000","0.14424","2.92367"
"8.80000","0.14611","2.95834"
"8.90000","0.14793","2.99028"
"9.00000","0.14957","3.01845"
"9.10000","0.15123","3.04848"
"9.20000","0.15292","3.07867"
"9.30000","0.15448","3.10532"
"9.40000","0.15609","3.13476"
"9.50000","0.15780","3.16695"
"9.60000","0.15951","3.19927"
"9.70000","0.16120","3.23039"
"9.80000","0.16291","3.26299"
"9.90000","0.16462","3.29423"
"10.00000","0.16641","3.32761"
"10.10000","0.16817","3.35945"
"10.20000","0.16986","3.39021"
"10.30000","0.17156","3.42282"
"10.40000","0.17327","3.45439"
"10.50000","0.17501","3.48859"
"10.60000","0.17680","3.52317"
"10.70000","0.17847","3.55417"
"10.80000","0.18022","3.58804"
"10.90000","0.18188","3.61951"
"11.00000","0.18352","3.64948"
"11.10000","0.18508","3.67814"
"11.20000","0.18652","3.70298"
"11.30000","0.18803","3.73152"
"11.40000","0.18969","3.76426"
"11.50000","0.19141","3.79718"
"11.60000","0.19301","3.82311"
"11.70000","0.19470","3.85736"
"11.80000","0.19640","3.89256"
"11.90000","0.19798","3.92387"
"12.00000","0.19954","3.95535"
"12.10000","0.20142","3.99928"
"12.20000","0.20323","4.03836"
"12.30000","0.20491","4.07369"
"12.40000","0.20654","4.10819"
"12.50000","0.20822","4.14481"
"12.60000","0.20991","4.17984"
"12.70000","0.21148","4.20988"
"12.80000","0.21310","4.24289"
"12.90000","0.21478","4.27785"
"13.00000","0.21644","4.31379"
"13.10000","0.21808","4.34727"
"13.20000","0.21971","4.38086"
"13.30000","0.22131","4.41462"
"13.40000","0.22295","4.45001"
"13.50000","0.22458","4.48641"
"13.60000","0.22620","4.52270"
"13.70000","0.22788","4.56138"
"13.80000","0.22949","4.59406"
"13.90000","0.23122","4.63199"
"14.00000","0.23301","4.67293"
"14.10000","0.23472","4.71057"
"14.20000","0.23638","4.74315"
"14.30000","0.23800","4.77572"
"14.40000","0.23964","4.81171"
"14.50000","0.24132","4.84878"
"14.60000","0.24294","4.88380"
"14.70000","0.24450","4.91551"
"14.80000","0.24607","4.94741"
"14.90000","0.24774","4.98287"
"15.00000","0.24942","5.01826"
"15.10000","0.25109","5.05339"
"15.20000","0.25270","5.08559"
"15.30000","0.25432","5.11716"
