General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{3D956D84-915F-45E5-B22B-F4DDD9B3B09C}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W3 1"
Break (Standard) : Load at Break (Standard),"44.64424",N
Maximum Load : Maximum Load,"46.58828",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.74570"
"0.10000","0.00008","0.74798"
"0.20000","0.00042","0.75883"
"0.30000","0.00127","0.78829"
"0.40000","0.00538","0.94231"
"0.50000","0.00786","1.02184"
"0.60000","0.00946","1.06954"
"0.70000","0.01111","1.12043"
"0.80000","0.01286","1.17354"
"0.90000","0.01455","1.22230"
"1.00000","0.01617","1.26933"
"1.10000","0.01788","1.32066"
"1.20000","0.01957","1.37018"
"1.30000","0.02121","1.41829"
"1.40000","0.02288","1.46612"
"1.50000","0.02457","1.51577"
"1.60000","0.02622","1.56456"
"1.70000","0.02787","1.61277"
"1.80000","0.02955","1.66088"
"1.90000","0.03123","1.70747"
"2.00000","0.03287","1.75325"
"2.10000","0.03456","1.80162"
"2.20000","0.03623","1.84760"
"2.30000","0.03788","1.89281"
"2.40000","0.03949","1.93535"
"2.50000","0.04118","1.98084"
"2.60000","0.04286","2.02683"
"2.70000","0.04453","2.07331"
"2.80000","0.04618","2.11786"
"2.90000","0.04783","2.16178"
"3.00000","0.04954","2.20753"
"3.10000","0.05116","2.24973"
"3.20000","0.05278","2.29390"
"3.30000","0.05449","2.34107"
"3.40000","0.05616","2.38454"
"3.50000","0.05779","2.42638"
"3.60000","0.05946","2.47065"
"3.70000","0.06116","2.51660"
"3.80000","0.06283","2.56033"
"3.90000","0.06456","2.60691"
"4.00000","0.06632","2.65366"
"4.10000","0.06812","2.70206"
"4.20000","0.06977","2.74342"
"4.30000","0.07151","2.79007"
"4.40000","0.07339","2.83866"
"4.50000","0.07500","2.87901"
"4.60000","0.07659","2.91967"
"4.70000","0.07825","2.96263"
"4.80000","0.07998","3.00963"
"4.90000","0.08161","3.05330"
"5.00000","0.08307","3.08899"
"5.10000","0.08461","3.12883"
"5.20000","0.08617","3.16839"
"5.30000","0.08777","3.21253"
"5.40000","0.08937","3.25528"
"5.50000","0.09095","3.29697"
"5.60000","0.09259","3.34055"
"5.70000","0.09424","3.38411"
"5.80000","0.09598","3.43093"
"5.90000","0.09764","3.47479"
"6.00000","0.09930","3.51767"
"6.10000","0.10094","3.55932"
"6.20000","0.10275","3.60852"
"6.30000","0.10459","3.65766"
"6.40000","0.10637","3.70455"
"6.50000","0.10806","3.74733"
"6.60000","0.10968","3.78729"
"6.70000","0.11135","3.82926"
"6.80000","0.11302","3.87136"
"6.90000","0.11457","3.90789"
"7.00000","0.11609","3.94467"
"7.10000","0.11775","3.98705"
"7.20000","0.11945","4.03114"
"7.30000","0.12115","4.07210"
"7.40000","0.12288","4.11544"
"7.50000","0.12450","4.15489"
"7.60000","0.12623","4.19988"
"7.70000","0.12800","4.24610"
"7.80000","0.12980","4.29291"
"7.90000","0.13150","4.33423"
"8.00000","0.13318","4.37493"
"8.10000","0.13486","4.41557"
"8.20000","0.13650","4.45494"
"8.30000","0.13814","4.49654"
"8.40000","0.13978","4.53706"
"8.50000","0.14135","4.57386"
"8.60000","0.14302","4.61677"
"8.70000","0.14468","4.65868"
"8.80000","0.14635","4.70189"
"8.90000","0.14796","4.74222"
"9.00000","0.14952","4.78014"
"9.10000","0.15118","4.82439"
"9.20000","0.15287","4.86813"
"9.30000","0.15450","4.90950"
"9.40000","0.15623","4.95710"
"9.50000","0.15802","5.00637"
"9.60000","0.15985","5.05587"
"9.70000","0.16153","5.09722"
"9.80000","0.16316","5.13693"
"9.90000","0.16478","5.17694"
"10.00000","0.16649","5.22278"
"10.10000","0.16818","5.26590"
"10.20000","0.16981","5.30540"
"10.30000","0.17145","5.34664"
"10.40000","0.17310","5.38797"
"10.50000","0.17472","5.42815"
"10.60000","0.17644","5.47444"
"10.70000","0.17817","5.52025"
"10.80000","0.17972","5.55469"
"10.90000","0.18139","5.59935"
"11.00000","0.18311","5.64620"
"11.10000","0.18480","5.68950"
"11.20000","0.18643","5.73007"
"11.30000","0.18809","5.77291"
"11.40000","0.18973","5.81476"
"11.50000","0.19133","5.85331"
"11.60000","0.19295","5.89371"
"11.70000","0.19455","5.93423"
"11.80000","0.19619","5.97717"
"11.90000","0.19783","6.01933"
"12.00000","0.19944","6.06096"
"12.10000","0.20112","6.10552"
"12.20000","0.20279","6.14804"
"12.30000","0.20445","6.19088"
"12.40000","0.20610","6.23341"
"12.50000","0.20780","6.27744"
"12.60000","0.20958","6.32738"
"12.70000","0.21128","6.36991"
"12.80000","0.21297","6.41178"
"12.90000","0.21470","6.45859"
"13.00000","0.21650","6.50876"
"13.10000","0.21815","6.54936"
"13.20000","0.21974","6.58645"
"13.30000","0.22139","6.62746"
"13.40000","0.22305","6.66979"
"13.50000","0.22469","6.71203"
"13.60000","0.22632","6.75153"
"13.70000","0.22789","6.78789"
"13.80000","0.22951","6.82793"
"13.90000","0.23120","6.87163"
"14.00000","0.23289","6.91423"
"14.10000","0.23451","6.95212"
"14.20000","0.23624","6.99718"
"14.30000","0.23808","7.04751"
"14.40000","0.23980","7.08899"
"14.50000","0.24145","7.12696"
"14.60000","0.24311","7.16520"
"14.70000","0.24480","7.20651"
"14.80000","0.24644","7.24356"
"14.90000","0.24804","7.27941"
"15.00000","0.24969","7.31986"
"15.10000","0.25132","7.36025"
"15.20000","0.25296","7.40021"
"15.30000","0.25460","7.44008"
"15.40000","0.25623","7.47939"
"15.50000","0.25787","7.52023"
"15.60000","0.25955","7.56478"
"15.70000","0.26123","7.60803"
"15.80000","0.26294","7.65259"
"15.90000","0.26458","7.69193"
"16.00000","0.26623","7.73195"
"16.10000","0.26802","7.78198"
"16.20000","0.26989","7.83566"
"16.30000","0.27161","7.87807"
"16.40000","0.27314","7.90832"
"16.50000","0.27475","7.94524"
"16.60000","0.27649","7.99227"
"16.70000","0.27815","8.03231"
"16.80000","0.27971","8.06708"
"16.90000","0.28130","8.10324"
"17.00000","0.28288","8.13981"
"17.10000","0.28452","8.18231"
"17.20000","0.28620","8.22653"
"17.30000","0.28785","8.26830"
"17.40000","0.28947","8.30758"
"17.50000","0.29121","8.35419"
"17.60000","0.29291","8.39772"
"17.70000","0.29456","8.43800"
"17.80000","0.29622","8.47938"
"17.90000","0.29789","8.52050"
"18.00000","0.29960","8.56368"
"18.10000","0.30127","8.60361"
"18.20000","0.30292","8.64177"
"18.30000","0.30457","8.68170"
"18.40000","0.30626","8.72411"
"18.50000","0.30806","8.77276"
"18.60000","0.30976","8.81300"
"18.70000","0.31137","8.84800"
"18.80000","0.31305","8.88995"
"18.90000","0.31471","8.93069"
