General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{9E967185-B0E3-4727-B7B9-9939FB4FE7EB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P6 W3 4"
Break (Standard) : Load at Break (Standard),"36.89283",N
Maximum Load : Maximum Load,"44.94873",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29480","8.88740"
"17.80000","0.29643","8.92486"
"17.90000","0.29803","8.96039"
"18.00000","0.29967","8.99888"
"18.10000","0.30132","9.04021"
"18.20000","0.30291","9.07602"
"18.30000","0.30456","9.11679"
"18.40000","0.30626","9.16012"
"18.50000","0.30801","9.20946"
"18.60000","0.30977","9.25730"
"18.70000","0.31143","9.29827"
"18.80000","0.31307","9.33599"
"18.90000","0.31470","9.37340"
"19.00000","0.31639","9.41562"
"19.10000","0.31801","9.45200"
"19.20000","0.31959","9.48497"
"19.30000","0.32118","9.51929"
"19.40000","0.32286","9.56133"
"19.50000","0.32460","9.60652"
"19.60000","0.32627","9.64595"
"19.70000","0.32792","9.68358"
"19.80000","0.32962","9.72676"
"19.90000","0.33146","9.78127"
"20.00000","0.33309","9.81785"
"20.10000","0.33474","9.85825"
"20.20000","0.33645","9.90374"
"20.30000","0.33810","9.94327"
"20.40000","0.33980","9.98770"
"20.50000","0.34142","10.02621"
"20.60000","0.34307","10.06833"
"20.70000","0.34476","10.11438"
"20.80000","0.34639","10.15427"
"20.90000","0.34802","10.19496"
"21.00000","0.34963","10.23492"
"21.10000","0.35128","10.27607"
"21.20000","0.35297","10.31893"
"21.30000","0.35471","10.36392"
"21.40000","0.35631","10.39770"
"21.50000","0.35781","10.42313"
"21.60000","0.35970","10.48600"
"21.70000","0.36152","10.53749"
"21.80000","0.36320","10.57825"
"21.90000","0.36478","10.61034"
"22.00000","0.36639","10.64795"
"22.10000","0.36803","10.68868"
"22.20000","0.36962","10.72528"
"22.30000","0.37120","10.76232"
"22.40000","0.37283","10.80610"
"22.50000","0.37451","10.85271"
"22.60000","0.37621","10.90135"
"22.70000","0.37788","10.94688"
"22.80000","0.37955","10.99234"
"22.90000","0.38124","11.03941"
"23.00000","0.38286","11.07639"
"23.10000","0.38463","11.12915"
"23.20000","0.38650","11.19127"
"23.30000","0.38830","11.24553"
"23.40000","0.38995","11.28616"
"23.50000","0.39163","11.32882"
"23.60000","0.39330","11.37039"
"23.70000","0.39486","11.40371"
"23.80000","0.39637","11.43265"
"23.90000","0.39800","11.47418"
"24.00000","0.39962","11.51546"
"24.10000","0.40120","11.55468"
"24.20000","0.40278","11.59475"
"24.30000","0.40437","11.63700"
"24.40000","0.40601","11.68530"
"24.50000","0.40772","11.73291"
"24.60000","0.40947","11.78852"
"24.70000","0.41118","11.83972"
"24.80000","0.41279","11.88015"
"24.90000","0.41447","11.92826"
"25.00000","0.41632","11.99086"
"25.10000","0.41812","12.04657"
"25.20000","0.41976","12.08340"
"25.30000","0.42137","12.11955"
"25.40000","0.42304","12.16193"
"25.50000","0.42470","12.20296"
"25.60000","0.42629","12.23867"
"25.70000","0.42787","12.27468"
"25.80000","0.42954","12.31981"
"25.90000","0.43119","12.36258"
"26.00000","0.43289","12.40966"
"26.10000","0.43455","12.45307"
"26.20000","0.43616","12.49427"
"26.30000","0.43774","12.53229"
"26.40000","0.43940","12.57724"
"26.50000","0.44110","12.62638"
"26.60000","0.44276","12.67086"
"26.70000","0.44441","12.71578"
"26.80000","0.44613","12.76750"
"26.90000","0.44785","12.81693"
"27.00000","0.44954","12.86239"
"27.10000","0.45122","12.90629"
"27.20000","0.45288","12.94814"
"27.30000","0.45448","12.98498"
"27.40000","0.45615","13.02875"
"27.50000","0.45788","13.07672"
"27.60000","0.45959","13.12367"
"27.70000","0.46125","13.16424"
"27.80000","0.46291","13.20588"
"27.90000","0.46457","13.24787"
"28.00000","0.46620","13.28749"
"28.10000","0.46789","13.33321"
"28.20000","0.46968","13.38993"
"28.30000","0.47156","13.45484"
"28.40000","0.47324","13.49770"
"28.50000","0.47487","13.53508"
"28.60000","0.47648","13.57207"
"28.70000","0.47813","13.61405"
"28.80000","0.47976","13.65385"
"28.90000","0.48141","13.69594"
"29.00000","0.48308","13.73977"
"29.10000","0.48478","13.78279"
"29.20000","0.48636","13.81576"
"29.30000","0.48801","13.85698"
"29.40000","0.48970","13.89967"
"29.50000","0.49119","13.92210"
"29.60000","0.49276","13.95244"
"29.70000","0.49454","14.00429"
"29.80000","0.49617","14.04064"
"29.90000","0.49780","14.07594"
"30.00000","0.49946","14.11559"
"30.10000","0.50103","14.14568"
"30.20000","0.50263","14.18252"
"30.30000","0.50424","14.22134"
"30.40000","0.50593","14.26905"
"30.50000","0.50760","14.31279"
"30.60000","0.50925","14.35207"
