General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{2ACFCA94-4B98-4CAB-90DB-472706841A8E}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 1"
Break (Standard) : Load at Break (Standard),"8.77109",N
Maximum Load : Maximum Load,"8.85718",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.85643"
"0.10000","0.00013","0.85762"
"0.20000","0.00069","0.86477"
"0.30000","0.00185","0.87945"
"0.40000","0.00369","0.90274"
"0.50000","0.00599","0.93124"
"0.60000","0.00851","0.96154"
"0.70000","0.01079","0.98598"
"0.80000","0.01278","1.00711"
"0.90000","0.01460","1.02499"
"1.00000","0.01638","1.04347"
"1.10000","0.01815","1.06130"
"1.20000","0.01978","1.07651"
"1.30000","0.02146","1.09327"
"1.40000","0.02321","1.11053"
"1.50000","0.02517","1.13120"
"1.60000","0.02681","1.14616"
"1.70000","0.02842","1.16136"
"1.80000","0.03009","1.17747"
"1.90000","0.03172","1.19308"
"2.00000","0.03331","1.20766"
"2.10000","0.03492","1.22345"
"2.20000","0.03659","1.23963"
"2.30000","0.03816","1.25450"
"2.40000","0.03972","1.26889"
"2.50000","0.04143","1.28599"
"2.60000","0.04313","1.30298"
"2.70000","0.04486","1.31940"
"2.80000","0.04637","1.33299"
"2.90000","0.04817","1.35201"
"3.00000","0.04992","1.36894"
"3.10000","0.05160","1.38475"
"3.20000","0.05321","1.39888"
"3.30000","0.05496","1.41653"
"3.40000","0.05673","1.43314"
"3.50000","0.05830","1.44713"
"3.60000","0.05982","1.45972"
"3.70000","0.06143","1.47506"
"3.80000","0.06310","1.49120"
"3.90000","0.06477","1.50785"
"4.00000","0.06641","1.52264"
"4.10000","0.06805","1.53845"
"4.20000","0.06968","1.55247"
"4.30000","0.07125","1.56727"
"4.40000","0.07284","1.58200"
"4.50000","0.07453","1.59914"
"4.60000","0.07619","1.61476"
"4.70000","0.07789","1.63215"
"4.80000","0.07969","1.64964"
"4.90000","0.08135","1.66449"
"5.00000","0.08305","1.67995"
"5.10000","0.08476","1.69601"
"5.20000","0.08646","1.71166"
"5.30000","0.08817","1.72735"
"5.40000","0.08981","1.74164"
"5.50000","0.09139","1.75407"
"5.60000","0.09294","1.76663"
"5.70000","0.09451","1.77966"
"5.80000","0.09618","1.79482"
"5.90000","0.09787","1.80944"
"6.00000","0.09953","1.82400"
"6.10000","0.10115","1.83747"
"6.20000","0.10283","1.85248"
"6.30000","0.10451","1.86660"
"6.40000","0.10618","1.88055"
"6.50000","0.10785","1.89457"
"6.60000","0.10952","1.90937"
"6.70000","0.11114","1.92265"
"6.80000","0.11276","1.93594"
"6.90000","0.11439","1.94874"
"7.00000","0.11599","1.96141"
"7.10000","0.11760","1.97396"
"7.20000","0.11934","1.98912"
"7.30000","0.12102","2.00285"
"7.40000","0.12273","2.01677"
"7.50000","0.12445","2.03108"
"7.60000","0.12608","2.04356"
"7.70000","0.12772","2.05602"
"7.80000","0.12942","2.06939"
"7.90000","0.13111","2.08256"
"8.00000","0.13269","2.09341"
"8.10000","0.13438","2.10666"
"8.20000","0.13605","2.11972"
"8.30000","0.13770","2.13176"
"8.40000","0.13937","2.14429"
"8.50000","0.14109","2.15808"
"8.60000","0.14273","2.16963"
"8.70000","0.14436","2.18142"
"8.80000","0.14601","2.19349"
"8.90000","0.14764","2.20476"
"9.00000","0.14928","2.21656"
"9.10000","0.15103","2.23083"
"9.20000","0.15285","2.24529"
"9.30000","0.15461","2.25845"
"9.40000","0.15622","2.26853"
"9.50000","0.15815","2.28634"
"9.60000","0.15995","2.29864"
"9.70000","0.16153","2.30761"
"9.80000","0.16325","2.32000"
"9.90000","0.16494","2.33164"
"10.00000","0.16651","2.34081"
"10.10000","0.16817","2.35177"
"10.20000","0.16973","2.36139"
"10.30000","0.17130","2.37172"
"10.40000","0.17295","2.38376"
"10.50000","0.17458","2.39582"
"10.60000","0.17618","2.40651"
"10.70000","0.17786","2.41931"
"10.80000","0.17952","2.43135"
"10.90000","0.18113","2.44280"
"11.00000","0.18280","2.45531"
"11.10000","0.18447","2.46748"
"11.20000","0.18615","2.47938"
"11.30000","0.18786","2.49218"
"11.40000","0.18959","2.50536"
"11.50000","0.19142","2.51995"
"11.60000","0.19320","2.53347"
"11.70000","0.19479","2.54229"
"11.80000","0.19640","2.55305"
"11.90000","0.19807","2.56492"
"12.00000","0.19977","2.57759"
"12.10000","0.20138","2.58775"
"12.20000","0.20287","2.59595"
"12.30000","0.20448","2.60763"
"12.40000","0.20623","2.62198"
"12.50000","0.20789","2.63392"
"12.60000","0.20948","2.64464"
"12.70000","0.21109","2.65608"
"12.80000","0.21284","2.66991"
"12.90000","0.21452","2.68151"
"13.00000","0.21614","2.69214"
"13.10000","0.21783","2.70368"
"13.20000","0.21957","2.71678"
"13.30000","0.22122","2.72665"
"13.40000","0.22285","2.73613"
"13.50000","0.22451","2.74745"
"13.60000","0.22612","2.75712"
"13.70000","0.22774","2.76737"
"13.80000","0.22937","2.77708"
"13.90000","0.23098","2.78750"
"14.00000","0.23261","2.79845"
"14.10000","0.23428","2.80873"
"14.20000","0.23592","2.81959"
"14.30000","0.23752","2.82922"
"14.40000","0.23905","2.83729"
