General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{5D62F293-4884-4002-B1E5-108A5BD6D0C9}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P6 W2 1"
Break (Standard) : Load at Break (Standard),"27.05068",N
Maximum Load : Maximum Load,"29.84427",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29500","6.64133"
"17.80000","0.29658","6.66232"
"17.90000","0.29818","6.68566"
"18.00000","0.29973","6.70725"
"18.10000","0.30137","6.73355"
"18.20000","0.30305","6.76266"
"18.30000","0.30468","6.78810"
"18.40000","0.30632","6.81387"
"18.50000","0.30795","6.84034"
"18.60000","0.30959","6.86717"
"18.70000","0.31128","6.89728"
"18.80000","0.31279","6.91677"
"18.90000","0.31459","6.95177"
"19.00000","0.31635","6.98386"
"19.10000","0.31813","7.01613"
"19.20000","0.31978","7.04086"
"19.30000","0.32143","7.06506"
"19.40000","0.32312","7.09247"
"19.50000","0.32473","7.11396"
"19.60000","0.32633","7.13726"
"19.70000","0.32795","7.16105"
"19.80000","0.32953","7.18294"
"19.90000","0.33113","7.20716"
"20.00000","0.33276","7.23139"
"20.10000","0.33439","7.25742"
"20.20000","0.33600","7.28193"
"20.30000","0.33766","7.30860"
"20.40000","0.33935","7.33538"
"20.50000","0.34108","7.36457"
"20.60000","0.34274","7.38985"
"20.70000","0.34446","7.42046"
"20.80000","0.34627","7.45183"
"20.90000","0.34797","7.47748"
"21.00000","0.34973","7.50657"
"21.10000","0.35142","7.53150"
"21.20000","0.35305","7.55373"
"21.30000","0.35471","7.57846"
"21.40000","0.35642","7.60502"
"21.50000","0.35804","7.62529"
"21.60000","0.35968","7.64745"
"21.70000","0.36130","7.67108"
"21.80000","0.36288","7.69066"
"21.90000","0.36452","7.71482"
"22.00000","0.36616","7.73944"
"22.10000","0.36774","7.75891"
"22.20000","0.36951","7.78945"
"22.30000","0.37126","7.81752"
"22.40000","0.37286","7.83702"
"22.50000","0.37454","7.86238"
"22.60000","0.37624","7.88831"
"22.70000","0.37789","7.91023"
"22.80000","0.37957","7.93479"
"22.90000","0.38127","7.96024"
"23.00000","0.38292","7.98352"
"23.10000","0.38454","8.00532"
"23.20000","0.38624","8.03224"
"23.30000","0.38793","8.05653"
"23.40000","0.38966","8.08409"
"23.50000","0.39142","8.11193"
"23.60000","0.39312","8.13590"
"23.70000","0.39477","8.15696"
"23.80000","0.39642","8.17924"
"23.90000","0.39807","8.20137"
"24.00000","0.39972","8.22439"
"24.10000","0.40141","8.24922"
"24.20000","0.40311","8.27376"
"24.30000","0.40479","8.29856"
"24.40000","0.40642","8.31938"
"24.50000","0.40810","8.34305"
"24.60000","0.40969","8.36280"
"24.70000","0.41128","8.38318"
"24.80000","0.41287","8.40296"
"24.90000","0.41453","8.42761"
