General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{DD647D3A-CCF9-422D-8BB1-8CC938F70868}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W1 1"
Break (Standard) : Load at Break (Standard),"21.78923",N
Maximum Load : Maximum Load,"21.78923",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29490","4.08771"
"17.80000","0.29657","4.10858"
"17.90000","0.29822","4.12843"
"18.00000","0.29976","4.14367"
"18.10000","0.30136","4.16138"
"18.20000","0.30301","4.18189"
"18.30000","0.30468","4.20191"
"18.40000","0.30638","4.22396"
"18.50000","0.30811","4.24623"
"18.60000","0.30977","4.26537"
"18.70000","0.31143","4.28446"
"18.80000","0.31310","4.30282"
"18.90000","0.31464","4.31657"
"19.00000","0.31639","4.33903"
"19.10000","0.31821","4.36274"
"19.20000","0.31987","4.38077"
"19.30000","0.32149","4.39773"
"19.40000","0.32310","4.41293"
"19.50000","0.32474","4.43015"
"19.60000","0.32638","4.44887"
"19.70000","0.32802","4.46758"
"19.80000","0.32966","4.48728"
"19.90000","0.33122","4.50228"
"20.00000","0.33283","4.52030"
"20.10000","0.33454","4.54190"
"20.20000","0.33617","4.56007"
"20.30000","0.33785","4.58068"
"20.40000","0.33952","4.59972"
"20.50000","0.34125","4.62037"
"20.60000","0.34288","4.63694"
"20.70000","0.34455","4.65409"
"20.80000","0.34628","4.67471"
"20.90000","0.34794","4.69203"
"21.00000","0.34956","4.70705"
"21.10000","0.35121","4.72403"
"21.20000","0.35286","4.74093"
"21.30000","0.35448","4.75611"
"21.40000","0.35611","4.77200"
"21.50000","0.35771","4.78709"
"21.60000","0.35934","4.80358"
"21.70000","0.36102","4.82257"
"21.80000","0.36266","4.83889"
"21.90000","0.36431","4.85683"
"22.00000","0.36605","4.87738"
"22.10000","0.36774","4.89561"
"22.20000","0.36933","4.90970"
"22.30000","0.37092","4.92424"
"22.40000","0.37274","4.94806"
"22.50000","0.37442","4.96423"
"22.60000","0.37614","4.98241"
"22.70000","0.37784","4.99890"
"22.80000","0.37951","5.01378"
"22.90000","0.38115","5.02871"
"23.00000","0.38280","5.04396"
"23.10000","0.38451","5.06033"
"23.20000","0.38617","5.07487"
"23.30000","0.38788","5.09200"
"23.40000","0.38955","5.10702"
"23.50000","0.39118","5.12169"
"23.60000","0.39269","5.13328"
"23.70000","0.39430","5.14795"
"23.80000","0.39613","5.17131"
"23.90000","0.39786","5.19021"
"24.00000","0.39953","5.20558"
"24.10000","0.40122","5.22374"
"24.20000","0.40291","5.24186"
"24.30000","0.40452","5.25622"
"24.40000","0.40626","5.27622"
"24.50000","0.40798","5.29506"
"24.60000","0.40970","5.31308"
"24.70000","0.41140","5.33079"
"24.80000","0.41304","5.34602"
"24.90000","0.41474","5.36273"
"25.00000","0.41645","5.38049"
"25.10000","0.41809","5.39449"
"25.20000","0.41976","5.41068"
"25.30000","0.42145","5.42750"
"25.40000","0.42302","5.43936"
"25.50000","0.42454","5.45166"
"25.60000","0.42613","5.46634"
"25.70000","0.42789","5.48854"
"25.80000","0.42957","5.50573"
"25.90000","0.43118","5.52009"
"26.00000","0.43284","5.53790"
"26.10000","0.43449","5.55458"
"26.20000","0.43617","5.57258"
"26.30000","0.43785","5.59082"
"26.40000","0.43949","5.60557"
"26.50000","0.44110","5.62032"
"26.60000","0.44274","5.63570"
"26.70000","0.44446","5.65426"
"26.80000","0.44616","5.67125"
"26.90000","0.44768","5.68177"
"27.00000","0.44954","5.70552"
"27.10000","0.45145","5.73041"
"27.20000","0.45313","5.74574"
"27.30000","0.45470","5.75801"
"27.40000","0.45629","5.77145"
"27.50000","0.45790","5.78578"
"27.60000","0.45945","5.79880"
"27.70000","0.46106","5.81367"
"27.80000","0.46271","5.83035"
"27.90000","0.46440","5.84947"
"28.00000","0.46600","5.86394"
"28.10000","0.46761","5.87922"
"28.20000","0.46929","5.89707"
"28.30000","0.47104","5.91771"
"28.40000","0.47270","5.93442"
"28.50000","0.47442","5.95223"
"28.60000","0.47614","5.97118"
"28.70000","0.47786","5.98933"
"28.80000","0.47949","6.00283"
"28.90000","0.48124","6.02209"
"29.00000","0.48298","6.04023"
"29.10000","0.48477","6.06018"
"29.20000","0.48646","6.07669"
"29.30000","0.48813","6.09265"
"29.40000","0.48973","6.10562"
"29.50000","0.49140","6.12268"
"29.60000","0.49306","6.13852"
"29.70000","0.49470","6.15497"
"29.80000","0.49638","6.17281"
"29.90000","0.49802","6.18901"
"30.00000","0.49968","6.20568"
"30.10000","0.50136","6.22398"
"30.20000","0.50284","6.23427"
"30.30000","0.50465","6.25800"
"30.40000","0.50661","6.28641"
"30.50000","0.50855","6.31340"
"30.60000","0.51018","6.32694"
"30.70000","0.51171","6.33769"
"30.80000","0.51349","6.35988"
"30.90000","0.51529","6.38201"
"31.00000","0.51683","6.39356"
"31.10000","0.51842","6.40848"
"31.20000","0.52012","6.42941"
"31.30000","0.52171","6.44476"
"31.40000","0.52320","6.45727"
"31.50000","0.52480","6.47526"
"31.60000","0.52645","6.49598"
"31.70000","0.52815","6.51768"
"31.80000","0.52978","6.53580"
"31.90000","0.53147","6.55735"
"32.00000","0.53310","6.57580"
"32.10000","0.53472","6.59439"
"32.20000","0.53646","6.61764"
"32.30000","0.53805","6.63434"
"32.40000","0.53973","6.65415"
"32.50000","0.54143","6.67549"
"32.60000","0.54312","6.69505"
"32.70000","0.54473","6.71273"
"32.80000","0.54637","6.73054"
"32.90000","0.54807","6.75184"
"33.00000","0.54970","6.76997"
"33.10000","0.55132","6.78827"
"33.20000","0.55293","6.80507"
"33.30000","0.55449","6.82115"
"33.40000","0.55612","6.83993"
"33.50000","0.55767","6.85535"
"33.60000","0.55939","6.87796"
"33.70000","0.56122","6.90441"
"33.80000","0.56298","6.92660"
"33.90000","0.56468","6.94699"
"34.00000","0.56640","6.96776"
"34.10000","0.56804","6.98553"
"34.20000","0.56970","7.00379"
"34.30000","0.57134","7.02094"
"34.40000","0.57293","7.03763"
"34.50000","0.57453","7.05378"
"34.60000","0.57621","7.07337"
"34.70000","0.57783","7.09136"
"34.80000","0.57953","7.11078"
"34.90000","0.58125","7.13196"
"35.00000","0.58294","7.15091"
"35.10000","0.58469","7.17303"
"35.20000","0.58645","7.19475"
"35.30000","0.58809","7.21064"
"35.40000","0.58972","7.22815"
"35.50000","0.59136","7.24473"
"35.60000","0.59302","7.26343"
"35.70000","0.59470","7.28327"
"35.80000","0.59635","7.30147"
"35.90000","0.59802","7.31973"
"36.00000","0.59963","7.33789"
"36.10000","0.60115","7.34965"
"36.20000","0.60278","7.36896"
"36.30000","0.60453","7.39200"
"36.40000","0.60620","7.41325"
"36.50000","0.60795","7.43506"
"36.60000","0.60971","7.45765"
"36.70000","0.61139","7.47669"
"36.80000","0.61296","7.49139"
"36.90000","0.61476","7.51609"
"37.00000","0.61652","7.53846"
"37.10000","0.61815","7.55492"
"37.20000","0.61981","7.57358"
"37.30000","0.62145","7.59109"
"37.40000","0.62305","7.60631"
"37.50000","0.62465","7.62356"
"37.60000","0.62625","7.64137"
"37.70000","0.62786","7.65919"
"37.80000","0.62953","7.67896"
"37.90000","0.63119","7.69874"
"38.00000","0.63284","7.71853"
"38.10000","0.63452","7.73815"
"38.20000","0.63617","7.75590"
"38.30000","0.63783","7.77535"
"38.40000","0.63953","7.79611"
"38.50000","0.64119","7.81597"
"38.60000","0.64289","7.83588"
