General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{1110EEAA-A886-4640-829B-AAC54F5F2DCA}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1399 P3 W1 1"
Break (Standard) : Load at Break (Standard),"14.81693",N
Maximum Load : Maximum Load,"15.14627",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.58417"
"0.10000","0.00009","0.58461"
"0.20000","0.00098","0.59534"
"0.30000","0.00370","0.62497"
"0.40000","0.00594","0.64604"
"0.50000","0.00778","0.66260"
"0.60000","0.00949","0.67726"
"0.70000","0.01119","0.69303"
"0.80000","0.01288","0.70761"
"0.90000","0.01456","0.72161"
"1.00000","0.01616","0.73434"
"1.10000","0.01777","0.74760"
"1.20000","0.01944","0.76109"
"1.30000","0.02105","0.77352"
"1.40000","0.02266","0.78598"
"1.50000","0.02429","0.79858"
"1.60000","0.02599","0.81183"
"1.70000","0.02773","0.82507"
"1.80000","0.02944","0.83793"
"1.90000","0.03116","0.85054"
"2.00000","0.03286","0.86307"
"2.10000","0.03459","0.87567"
"2.20000","0.03625","0.88766"
"2.30000","0.03796","0.89961"
"2.40000","0.03972","0.91215"
"2.50000","0.04141","0.92341"
"2.60000","0.04308","0.93493"
"2.70000","0.04465","0.94472"
"2.80000","0.04618","0.95465"
"2.90000","0.04788","0.96636"
"3.00000","0.04954","0.97824"
"3.10000","0.05121","0.98960"
"3.20000","0.05289","1.00106"
"3.30000","0.05460","1.01365"
"3.40000","0.05630","1.02501"
"3.50000","0.05807","1.03741"
"3.60000","0.05975","1.04833"
"3.70000","0.06142","1.05956"
"3.80000","0.06305","1.07005"
"3.90000","0.06482","1.08257"
"4.00000","0.06657","1.09395"
"4.10000","0.06826","1.10504"
"4.20000","0.06990","1.11506"
"4.30000","0.07148","1.12478"
"4.40000","0.07313","1.13587"
"4.50000","0.07478","1.14693"
"4.60000","0.07638","1.15711"
"4.70000","0.07801","1.16774"
"4.80000","0.07959","1.17780"
"4.90000","0.08112","1.18740"
"5.00000","0.08277","1.19843"
"5.10000","0.08442","1.20944"
"5.20000","0.08600","1.21968"
"5.30000","0.08774","1.23155"
"5.40000","0.08959","1.24497"
"5.50000","0.09138","1.25707"
"5.60000","0.09316","1.26912"
"5.70000","0.09482","1.27914"
"5.80000","0.09648","1.28927"
"5.90000","0.09812","1.29920"
"6.00000","0.09972","1.30927"
"6.10000","0.10139","1.32010"
"6.20000","0.10307","1.33060"
"6.30000","0.10471","1.34113"
"6.40000","0.10639","1.35202"
"6.50000","0.10806","1.36279"
"6.60000","0.10971","1.37378"
"6.70000","0.11141","1.38547"
"6.80000","0.11305","1.39591"
"6.90000","0.11468","1.40668"
"7.00000","0.11636","1.41818"
"7.10000","0.11812","1.43056"
"7.20000","0.11976","1.44129"
"7.30000","0.12151","1.45339"
"7.40000","0.12319","1.46431"
"7.50000","0.12478","1.47388"
"7.60000","0.12641","1.48420"
"7.70000","0.12806","1.49553"
"7.80000","0.12969","1.50391"
"7.90000","0.13123","1.51422"
"8.00000","0.13285","1.52522"
"8.10000","0.13455","1.53665"
"8.20000","0.13621","1.54761"
"8.30000","0.13785","1.55868"
"8.40000","0.13954","1.57008"
"8.50000","0.14114","1.58010"
"8.60000","0.14293","1.59274"
"8.70000","0.14465","1.60482"
"8.80000","0.14626","1.61509"
"8.90000","0.14785","1.62537"
"9.00000","0.14951","1.63685"
"9.10000","0.15121","1.64946"
"9.20000","0.15282","1.66122"
"9.30000","0.15447","1.67320"
"9.40000","0.15614","1.68573"
"9.50000","0.15782","1.69872"
"9.60000","0.15948","1.71146"
"9.70000","0.16121","1.72544"
"9.80000","0.16290","1.73810"
"9.90000","0.16458","1.75134"
"10.00000","0.16623","1.76399"
"10.10000","0.16791","1.77704"
"10.20000","0.16943","1.78800"
"10.30000","0.17129","1.80449"
"10.40000","0.17322","1.82075"
"10.50000","0.17492","1.83395"
"10.60000","0.17653","1.84622"
"10.70000","0.17817","1.85887"
"10.80000","0.17982","1.87118"
"10.90000","0.18139","1.88287"
"11.00000","0.18298","1.89518"
"11.10000","0.18454","1.90802"
"11.20000","0.18613","1.92039"
"11.30000","0.18781","1.93399"
"11.40000","0.18954","1.94865"
"11.50000","0.19117","1.96051"
"11.60000","0.19282","1.97408"
"11.70000","0.19456","1.98790"
"11.80000","0.19618","2.00043"
"11.90000","0.19805","2.01669"
"12.00000","0.19976","2.03005"
"12.10000","0.20146","2.04378"
"12.20000","0.20315","2.05686"
"12.30000","0.20483","2.07029"
"12.40000","0.20653","2.08332"
"12.50000","0.20816","2.09558"
"12.60000","0.20979","2.10806"
"12.70000","0.21143","2.12052"
"12.80000","0.21307","2.13346"
"12.90000","0.21467","2.14506"
"13.00000","0.21623","2.15704"
"13.10000","0.21787","2.16994"
"13.20000","0.21956","2.18430"
"13.30000","0.22123","2.19767"
"13.40000","0.22290","2.21032"
"13.50000","0.22454","2.22307"
"13.60000","0.22620","2.23686"
"13.70000","0.22796","2.25120"
"13.80000","0.22971","2.26497"
"13.90000","0.23138","2.27714"
"14.00000","0.23301","2.28968"
"14.10000","0.23458","2.30017"
"14.20000","0.23614","2.31116"
"14.30000","0.23772","2.32281"
"14.40000","0.23938","2.33557"
"14.50000","0.24108","2.34852"
"14.60000","0.24272","2.36054"
"14.70000","0.24438","2.37223"
"14.80000","0.24607","2.38580"
"14.90000","0.24773","2.39868"
"15.00000","0.24934","2.41051"
"15.10000","0.25109","2.42523"
"15.20000","0.25290","2.44084"
"15.30000","0.25467","2.45480"
"15.40000","0.25637","2.46780"
"15.50000","0.25810","2.48137"
"15.60000","0.25978","2.49301"
"15.70000","0.26145","2.50559"
"15.80000","0.26315","2.51895"
"15.90000","0.26475","2.52973"
"16.00000","0.26635","2.54117"
"16.10000","0.26801","2.55443"
"16.20000","0.26967","2.56713"
"16.30000","0.27128","2.57942"
"16.40000","0.27291","2.59248"
"16.50000","0.27459","2.60601"
"16.60000","0.27633","2.62106"
"16.70000","0.27813","2.63668"
"16.80000","0.27978","2.64979"
"16.90000","0.28144","2.66314"
"17.00000","0.28321","2.67843"
"17.10000","0.28487","2.69222"
"17.20000","0.28649","2.70459"
"17.30000","0.28815","2.71867"
"17.40000","0.28976","2.73053"
"17.50000","0.29137","2.74332"
"17.60000","0.29299","2.75566"
"17.70000","0.29456","2.76725"
"17.80000","0.29610","2.77781"
"17.90000","0.29776","2.79073"
"18.00000","0.29942","2.80434"
"18.10000","0.30112","2.81751"
"18.20000","0.30281","2.83031"
"18.30000","0.30447","2.84287"
"18.40000","0.30626","2.85656"
"18.50000","0.30801","2.86966"
"18.60000","0.30966","2.88068"
"18.70000","0.31137","2.89286"
"18.80000","0.31306","2.90452"
"18.90000","0.31467","2.91463"
"19.00000","0.31632","2.92584"
