General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{FB1902CD-D12D-458E-A7C4-C8152800B498}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1402 P7 W1 3"
Break (Standard) : Load at Break (Standard),"11.71028",N
Maximum Load : Maximum Load,"13.95766",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29468","5.89017"
"17.80000","0.29638","5.91996"
"17.90000","0.29802","5.94796"
"18.00000","0.29963","5.97303"
"18.10000","0.30121","5.99821"
"18.20000","0.30285","6.02624"
"18.30000","0.30449","6.05374"
"18.40000","0.30611","6.08104"
"18.50000","0.30778","6.11046"
"18.60000","0.30945","6.13850"
"18.70000","0.31110","6.16520"
"18.80000","0.31270","6.19038"
"18.90000","0.31433","6.21668"
"19.00000","0.31599","6.24423"
"19.10000","0.31763","6.26998"
"19.20000","0.31927","6.29487"
"19.30000","0.32091","6.31954"
"19.40000","0.32276","6.35145"
"19.50000","0.32463","6.38342"
"19.60000","0.32644","6.41161"
"19.70000","0.32822","6.43826"
"19.80000","0.32982","6.45734"
"19.90000","0.33149","6.48098"
"20.00000","0.33317","6.50475"
"20.10000","0.33486","6.52910"
"20.20000","0.33655","6.55446"
"20.30000","0.33820","6.57844"
"20.40000","0.33985","6.60248"
"20.50000","0.34150","6.62683"
"20.60000","0.34315","6.65039"
"20.70000","0.34466","6.66777"
"20.80000","0.34631","6.69309"
"20.90000","0.34809","6.72149"
"21.00000","0.34968","6.74198"
"21.10000","0.35127","6.76277"
"21.20000","0.35287","6.78374"
"21.30000","0.35454","6.80863"
"21.40000","0.35618","6.83077"
"21.50000","0.35773","6.84920"
"21.60000","0.35928","6.86886"
"21.70000","0.36089","6.89086"
"21.80000","0.36250","6.91272"
"21.90000","0.36416","6.93663"
"22.00000","0.36590","6.96401"
"22.10000","0.36770","6.99258"
"22.20000","0.36940","7.01565"
"22.30000","0.37106","7.03654"
"22.40000","0.37277","7.06080"
"22.50000","0.37453","7.08675"
"22.60000","0.37621","7.10829"
"22.70000","0.37790","7.13208"
"22.80000","0.37962","7.15582"
"22.90000","0.38132","7.17895"
"23.00000","0.38296","7.19899"
"23.10000","0.38450","7.21546"
"23.20000","0.38615","7.23833"
"23.30000","0.38784","7.26256"
"23.40000","0.38951","7.28566"
"23.50000","0.39122","7.31011"
"23.60000","0.39293","7.33360"
"23.70000","0.39464","7.35752"
"23.80000","0.39644","7.38429"
"23.90000","0.39808","7.40297"
"24.00000","0.39967","7.42048"
"24.10000","0.40144","7.44703"
"24.20000","0.40322","7.47210"
"24.30000","0.40486","7.49066"
"24.40000","0.40653","7.51217"
"24.50000","0.40829","7.53760"
"24.60000","0.40992","7.55605"
"24.70000","0.41156","7.57620"
"24.80000","0.41324","7.59850"
"24.90000","0.41483","7.61754"
"25.00000","0.41645","7.63956"
"25.10000","0.41821","7.66678"
"25.20000","0.41988","7.68931"
"25.30000","0.42148","7.70832"
"25.40000","0.42315","7.73116"
"25.50000","0.42481","7.75366"
"25.60000","0.42648","7.77613"
"25.70000","0.42819","7.79985"
"25.80000","0.42989","7.82239"
"25.90000","0.43163","7.84638"
"26.00000","0.43343","7.87233"
"26.10000","0.43516","7.89398"
"26.20000","0.43678","7.91129"
"26.30000","0.43829","7.92535"
"26.40000","0.43986","7.94338"
"26.50000","0.44149","7.96345"
"26.60000","0.44308","7.98208"
"26.70000","0.44477","8.00465"
"26.80000","0.44638","8.02364"
"26.90000","0.44801","8.04411"
"27.00000","0.44976","8.07052"
"27.10000","0.45140","8.09124"
"27.20000","0.45301","8.11017"
"27.30000","0.45461","8.13030"
"27.40000","0.45638","8.15699"
"27.50000","0.45810","8.18000"
"27.60000","0.45974","8.19993"
"27.70000","0.46145","8.22225"
"27.80000","0.46314","8.24358"
"27.90000","0.46481","8.26446"
"28.00000","0.46646","8.28423"
"28.10000","0.46807","8.30210"
"28.20000","0.46975","8.32423"
"28.30000","0.47135","8.34243"
"28.40000","0.47296","8.36220"
"28.50000","0.47459","8.38202"
"28.60000","0.47626","8.40412"
"28.70000","0.47803","8.42928"
"28.80000","0.47978","8.45391"
"28.90000","0.48136","8.46996"
"29.00000","0.48296","8.48735"
"29.10000","0.48466","8.51008"
"29.20000","0.48640","8.53385"
"29.30000","0.48807","8.55292"
"29.40000","0.48978","8.57426"
"29.50000","0.49141","8.59185"
"29.60000","0.49305","8.61057"
"29.70000","0.49474","8.63163"
"29.80000","0.49640","8.65064"
"29.90000","0.49804","8.66939"
"30.00000","0.49967","8.68741"
"30.10000","0.50131","8.70605"
"30.20000","0.50292","8.72273"
"30.30000","0.50454","8.74024"
"30.40000","0.50619","8.75988"
"30.50000","0.50787","8.77904"
"30.60000","0.50953","8.79812"
"30.70000","0.51124","8.81869"
"30.80000","0.51285","8.83463"
"30.90000","0.51447","8.85174"
"31.00000","0.51608","8.86863"
"31.10000","0.51768","8.88452"
"31.20000","0.51931","8.90210"
"31.30000","0.52095","8.92050"
"31.40000","0.52259","8.93889"
"31.50000","0.52420","8.95617"
"31.60000","0.52588","8.97624"
"31.70000","0.52763","8.99849"
"31.80000","0.52932","9.01744"
"31.90000","0.53102","9.03639"
"32.00000","0.53270","9.05359"
"32.10000","0.53438","9.07115"
"32.20000","0.53610","9.09007"
"32.30000","0.53773","9.10472"
"32.40000","0.53964","9.13089"
"32.50000","0.54140","9.15015"
"32.60000","0.54315","9.16861"
"32.70000","0.54471","9.17963"
"32.80000","0.54636","9.19569"
"32.90000","0.54808","9.21541"
"33.00000","0.54969","9.23082"
"33.10000","0.55122","9.24356"
"33.20000","0.55275","9.25777"
"33.30000","0.55447","9.27946"
"33.40000","0.55621","9.30085"
"33.50000","0.55785","9.31725"
"33.60000","0.55951","9.33370"
"33.70000","0.56119","9.35220"
"33.80000","0.56281","9.36610"
"33.90000","0.56460","9.38843"
"34.00000","0.56645","9.41210"
"34.10000","0.56814","9.42799"
"34.20000","0.56975","9.44029"
"34.30000","0.57145","9.45734"
"34.40000","0.57314","9.47456"
"34.50000","0.57472","9.48714"
"34.60000","0.57631","9.50127"
"34.70000","0.57802","9.52061"
"34.80000","0.57969","9.53760"
"34.90000","0.58130","9.55179"
"35.00000","0.58284","9.56417"
"35.10000","0.58437","9.57683"
"35.20000","0.58599","9.59343"
"35.30000","0.58767","9.61200"
"35.40000","0.58927","9.62630"
"35.50000","0.59089","9.64182"
"35.60000","0.59251","9.65663"
"35.70000","0.59417","9.67231"
"35.80000","0.59598","9.69460"
"35.90000","0.59777","9.71426"
"36.00000","0.59941","9.72599"
"36.10000","0.60103","9.73906"
"36.20000","0.60275","9.75590"
"36.30000","0.60444","9.77172"
"36.40000","0.60609","9.78541"
"36.50000","0.60782","9.80298"
"36.60000","0.60953","9.81913"
"36.70000","0.61116","9.83213"
"36.80000","0.61284","9.84800"
"36.90000","0.61452","9.86320"
"37.00000","0.61609","9.87476"
"37.10000","0.61762","9.88499"
"37.20000","0.61934","9.90412"
"37.30000","0.62104","9.92160"
"37.40000","0.62266","9.93499"
"37.50000","0.62431","9.95013"
"37.60000","0.62600","9.96620"
"37.70000","0.62766","9.98006"
"37.80000","0.62937","9.99566"
"37.90000","0.63105","10.01045"
"38.00000","0.63267","10.02279"
"38.10000","0.63429","10.03543"
"38.20000","0.63600","10.05236"
"38.30000","0.63766","10.06526"
"38.40000","0.63941","10.08248"
"38.50000","0.64120","10.10044"
"38.60000","0.64290","10.11549"
"38.70000","0.64458","10.12921"
"38.80000","0.64622","10.14219"
"38.90000","0.64786","10.15457"
"39.00000","0.64962","10.17302"
"39.10000","0.65143","10.19354"
"39.20000","0.65323","10.21306"
"39.30000","0.65484","10.22440"
"39.40000","0.65646","10.23577"
"39.50000","0.65815","10.25052"
"39.60000","0.65986","10.26707"
"39.70000","0.66150","10.28076"
"39.80000","0.66306","10.29028"
"39.90000","0.66470","10.30442"
"40.00000","0.66638","10.31978"
"40.10000","0.66818","10.33948"
"40.20000","0.66990","10.35593"
"40.30000","0.67155","10.36929"
"40.40000","0.67331","10.38923"
"40.50000","0.67526","10.41449"
"40.60000","0.67700","10.42930"
"40.70000","0.67848","10.43558"
"40.80000","0.68005","10.44698"
"40.90000","0.68171","10.46194"
"41.00000","0.68329","10.47434"
"41.10000","0.68492","10.48914"
"41.20000","0.68647","10.50133"
"41.30000","0.68799","10.51272"
"41.40000","0.68967","10.53158"
"41.50000","0.69135","10.54855"
"41.60000","0.69298","10.56429"
"41.70000","0.69457","10.57731"
"41.80000","0.69620","10.59288"
"41.90000","0.69793","10.61094"
"42.00000","0.69960","10.62661"
"42.10000","0.70117","10.63815"
"42.20000","0.70286","10.65522"
"42.30000","0.70477","10.68095"
"42.40000","0.70657","10.69882"
"42.50000","0.70825","10.71243"
"42.60000","0.70990","10.72531"
"42.70000","0.71148","10.73654"
"42.80000","0.71307","10.74852"
"42.90000","0.71468","10.76166"
"43.00000","0.71627","10.77500"
"43.10000","0.71782","10.78628"
"43.20000","0.71945","10.80128"
"43.30000","0.72122","10.82236"
"43.40000","0.72294","10.83999"
"43.50000","0.72459","10.85523"
"43.60000","0.72615","10.86502"
"43.70000","0.72791","10.88580"
"43.80000","0.72979","10.90961"
"43.90000","0.73158","10.92851"
"44.00000","0.73327","10.94229"
