General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{1EE7911E-2E6F-475F-802C-D532BF694BD4}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1392 P2 W1 1"
Break (Standard) : Load at Break (Standard),"8.04212",N
Maximum Load : Maximum Load,"10.67891",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.63955"
"0.10000","0.00008","0.64137"
"0.20000","0.00055","0.65098"
"0.30000","0.00142","0.66982"
"0.40000","0.00314","0.70638"
"0.50000","0.00577","0.76180"
"0.60000","0.00854","0.81738"
"0.70000","0.01079","0.85857"
"0.80000","0.01249","0.88723"
"0.90000","0.01401","0.91189"
"1.00000","0.01567","0.93966"
"1.10000","0.01734","0.96678"
"1.20000","0.01900","0.99269"
"1.30000","0.02071","1.01914"
"1.40000","0.02242","1.04479"
"1.50000","0.02419","1.07049"
"1.60000","0.02592","1.09496"
"1.70000","0.02773","1.11995"
"1.80000","0.02947","1.14234"
"1.90000","0.03123","1.16577"
"2.00000","0.03311","1.19028"
"2.10000","0.03491","1.21318"
"2.20000","0.03668","1.23459"
"2.30000","0.03827","1.25281"
"2.40000","0.03988","1.27174"
"2.50000","0.04150","1.29022"
"2.60000","0.04309","1.30846"
"2.70000","0.04465","1.32649"
"2.80000","0.04621","1.34459"
"2.90000","0.04791","1.36571"
"3.00000","0.04957","1.38449"
"3.10000","0.05114","1.40196"
"3.20000","0.05269","1.41851"
"3.30000","0.05430","1.43647"
"3.40000","0.05607","1.45727"
"3.50000","0.05785","1.47761"
"3.60000","0.05956","1.49608"
"3.70000","0.06124","1.51370"
"3.80000","0.06298","1.53327"
"3.90000","0.06471","1.55359"
"4.00000","0.06641","1.57402"
"4.10000","0.06809","1.59558"
"4.20000","0.06975","1.61601"
"4.30000","0.07138","1.63763"
"4.40000","0.07305","1.65844"
"4.50000","0.07467","1.67857"
"4.60000","0.07632","1.69995"
"4.70000","0.07795","1.72065"
"4.80000","0.07950","1.74044"
"4.90000","0.08115","1.76172"
"5.00000","0.08281","1.78431"
"5.10000","0.08465","1.81041"
"5.20000","0.08649","1.83548"
"5.30000","0.08817","1.85764"
"5.40000","0.08980","1.87808"
"5.50000","0.09146","1.89947"
"5.60000","0.09316","1.92253"
"5.70000","0.09486","1.94515"
"5.80000","0.09652","1.96657"
"5.90000","0.09805","1.98525"
"6.00000","0.09969","2.00647"
"6.10000","0.10145","2.03093"
"6.20000","0.10311","2.05255"
"6.30000","0.10478","2.07395"
"6.40000","0.10643","2.09530"
"6.50000","0.10800","2.11445"
"6.60000","0.10981","2.14062"
"6.70000","0.11157","2.16432"
"6.80000","0.11317","2.18404"
"6.90000","0.11485","2.20750"
"7.00000","0.11651","2.23086"
"7.10000","0.11815","2.25338"
"7.20000","0.11973","2.27437"
"7.30000","0.12133","2.29622"
"7.40000","0.12297","2.31869"
"7.50000","0.12459","2.33996"
"7.60000","0.12616","2.35965"
"7.70000","0.12784","2.38299"
"7.80000","0.12952","2.40546"
"7.90000","0.13117","2.42629"
"8.00000","0.13282","2.44782"
"8.10000","0.13452","2.46977"
"8.20000","0.13617","2.48969"
"8.30000","0.13781","2.51108"
"8.40000","0.13968","2.53630"
"8.50000","0.14146","2.55862"
"8.60000","0.14308","2.57675"
"8.70000","0.14467","2.59588"
"8.80000","0.14635","2.61706"
"8.90000","0.14795","2.63712"
"9.00000","0.14948","2.65525"
"9.10000","0.15114","2.67699"
"9.20000","0.15280","2.69842"
"9.30000","0.15448","2.71985"
"9.40000","0.15620","2.74335"
"9.50000","0.15787","2.76421"
"9.60000","0.15958","2.78683"
"9.70000","0.16135","2.80963"
"9.80000","0.16297","2.82900"
"9.90000","0.16475","2.85182"
"10.00000","0.16650","2.87295"
"10.10000","0.16821","2.89438"
"10.20000","0.16988","2.91432"
"10.30000","0.17150","2.93255"
"10.40000","0.17312","2.95105"
"10.50000","0.17474","2.97060"
"10.60000","0.17636","2.98976"
"10.70000","0.17797","3.00933"
"10.80000","0.17950","3.02586"
"10.90000","0.18109","3.04446"
"11.00000","0.18274","3.06478"
"11.10000","0.18438","3.08356"
"11.20000","0.18601","3.10356"
"11.30000","0.18766","3.12311"
"11.40000","0.18935","3.14327"
"11.50000","0.19101","3.16262"
"11.60000","0.19269","3.18135"
"11.70000","0.19451","3.20469"
"11.80000","0.19637","3.22931"
"11.90000","0.19808","3.24701"
"12.00000","0.19971","3.26344"
"12.10000","0.20137","3.28188"
"12.20000","0.20304","3.30046"
"12.30000","0.20468","3.31800"
"12.40000","0.20635","3.33763"
"12.50000","0.20803","3.35730"
"12.60000","0.20963","3.37448"
"12.70000","0.21119","3.39215"
"12.80000","0.21290","3.41263"
"12.90000","0.21461","3.43318"
"13.00000","0.21624","3.45302"
"13.10000","0.21791","3.47309"
"13.20000","0.21981","3.49991"
"13.30000","0.22156","3.51977"
"13.40000","0.22318","3.53895"
"13.50000","0.22481","3.55579"
"13.60000","0.22650","3.57820"
"13.70000","0.22819","3.59785"
"13.80000","0.22993","3.62075"
"13.90000","0.23159","3.64104"
"14.00000","0.23318","3.65991"
"14.10000","0.23478","3.68037"
"14.20000","0.23643","3.70046"
"14.30000","0.23806","3.72032"
"14.40000","0.23969","3.74024"
"14.50000","0.24132","3.75870"
"14.60000","0.24289","3.77751"
"14.70000","0.24450","3.79667"
"14.80000","0.24617","3.81900"
"14.90000","0.24782","3.83928"
"15.00000","0.24956","3.86293"
"15.10000","0.25128","3.88607"
"15.20000","0.25298","3.90757"
"15.30000","0.25470","3.93058"
"15.40000","0.25629","3.94814"
"15.50000","0.25783","3.96532"
"15.60000","0.25944","3.98467"
"15.70000","0.26111","4.00541"
"15.80000","0.26277","4.02476"
"15.90000","0.26440","4.04303"
"16.00000","0.26605","4.06269"
"16.10000","0.26774","4.08354"
"16.20000","0.26942","4.10334"
"16.30000","0.27105","4.11974"
"16.40000","0.27270","4.13830"
"16.50000","0.27448","4.16142"
"16.60000","0.27623","4.18308"
"16.70000","0.27795","4.20224"
"16.80000","0.27974","4.22415"
"16.90000","0.28138","4.24158"
"17.00000","0.28300","4.25773"
"17.10000","0.28456","4.27425"
"17.20000","0.28617","4.29118"
"17.30000","0.28784","4.31075"
"17.40000","0.28948","4.32902"
"17.50000","0.29109","4.34582"
"17.60000","0.29281","4.36522"
"17.70000","0.29459","4.38633"
"17.80000","0.29634","4.40647"
"17.90000","0.29803","4.42380"
"18.00000","0.29968","4.44043"
"18.10000","0.30116","4.45003"
"18.20000","0.30281","4.46727"
"18.30000","0.30467","4.49072"
"18.40000","0.30644","4.50892"
"18.50000","0.30804","4.52237"
"18.60000","0.30969","4.53820"
"18.70000","0.31130","4.55368"
"18.80000","0.31284","4.56762"
"18.90000","0.31444","4.58356"
"19.00000","0.31607","4.60037"
"19.10000","0.31771","4.61783"
"19.20000","0.31944","4.63657"
"19.30000","0.32122","4.65760"
"19.40000","0.32293","4.67741"
"19.50000","0.32466","4.69594"
"19.60000","0.32622","4.70904"
"19.70000","0.32795","4.72870"
"19.80000","0.32976","4.74936"
"19.90000","0.33150","4.76804"
"20.00000","0.33325","4.78739"
"20.10000","0.33491","4.80291"
"20.20000","0.33649","4.81556"
"20.30000","0.33814","4.83188"
"20.40000","0.33980","4.84781"
"20.50000","0.34136","4.86060"
"20.60000","0.34292","4.87362"
"20.70000","0.34454","4.88873"
"20.80000","0.34618","4.90589"
"20.90000","0.34784","4.92296"
"21.00000","0.34948","4.94005"
"21.10000","0.35119","4.95925"
"21.20000","0.35291","4.98034"
"21.30000","0.35458","4.99686"
"21.40000","0.35626","5.01390"
"21.50000","0.35797","5.03240"
"21.60000","0.35990","5.05730"
"21.70000","0.36155","5.07132"
"21.80000","0.36309","5.08330"
"21.90000","0.36473","5.09855"
"22.00000","0.36641","5.11631"
"22.10000","0.36798","5.12833"
"22.20000","0.36955","5.14092"
"22.30000","0.37117","5.15663"
"22.40000","0.37280","5.17185"
"22.50000","0.37448","5.18921"
"22.60000","0.37620","5.20600"
"22.70000","0.37785","5.22140"
"22.80000","0.37949","5.23634"
"22.90000","0.38112","5.25151"
"23.00000","0.38293","5.27285"
"23.10000","0.38465","5.28956"
"23.20000","0.38644","5.31085"
"23.30000","0.38807","5.32476"
"23.40000","0.38976","5.34088"
"23.50000","0.39148","5.35829"
"23.60000","0.39318","5.37493"
"23.70000","0.39485","5.39103"
"23.80000","0.39651","5.40628"
"23.90000","0.39821","5.42536"
"24.00000","0.39988","5.43994"
"24.10000","0.40147","5.45353"
"24.20000","0.40313","5.46848"
"24.30000","0.40480","5.48491"
"24.40000","0.40644","5.49930"
"24.50000","0.40807","5.51404"
"24.60000","0.40968","5.52705"
"24.70000","0.41127","5.54091"
"24.80000","0.41285","5.55339"
"24.90000","0.41456","5.57156"
"25.00000","0.41626","5.58848"
"25.10000","0.41790","5.60474"
"25.20000","0.41951","5.61809"
"25.30000","0.42110","5.63079"
"25.40000","0.42273","5.64536"
"25.50000","0.42439","5.66046"
"25.60000","0.42605","5.67569"
"25.70000","0.42768","5.68893"
"25.80000","0.42934","5.70385"
"25.90000","0.43101","5.71919"
