General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{556EA0A5-5C73-41CA-8DDC-6EA1769349E6}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P5 W1 2"
Break (Standard) : Load at Break (Standard),"19.96242",N
Maximum Load : Maximum Load,"19.96460",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.91559"
"0.10000","0.00010","0.91746"
"0.20000","0.00116","0.94200"
"0.30000","0.00388","1.00259"
"0.40000","0.00609","1.04684"
"0.50000","0.00784","1.07950"
"0.60000","0.00944","1.10903"
"0.70000","0.01108","1.13997"
"0.80000","0.01272","1.16975"
"0.90000","0.01436","1.19912"
"1.00000","0.01596","1.22756"
"1.10000","0.01767","1.25879"
"1.20000","0.01938","1.28909"
"1.30000","0.02114","1.32017"
"1.40000","0.02284","1.34850"
"1.50000","0.02450","1.37744"
"1.60000","0.02619","1.40631"
"1.70000","0.02788","1.43485"
"1.80000","0.02952","1.46112"
"1.90000","0.03132","1.49195"
"2.00000","0.03314","1.52297"
"2.10000","0.03488","1.55282"
"2.20000","0.03665","1.58286"
"2.30000","0.03826","1.60857"
"2.40000","0.03980","1.63326"
"2.50000","0.04147","1.66320"
"2.60000","0.04311","1.69089"
"2.70000","0.04471","1.71765"
"2.80000","0.04636","1.74581"
"2.90000","0.04802","1.77449"
"3.00000","0.04960","1.80093"
"3.10000","0.05117","1.82744"
"3.20000","0.05281","1.85542"
"3.30000","0.05441","1.88142"
"3.40000","0.05614","1.91070"
"3.50000","0.05782","1.93898"
"3.60000","0.05950","1.96669"
"3.70000","0.06115","1.99334"
"3.80000","0.06282","2.01967"
"3.90000","0.06446","2.04509"
"4.00000","0.06611","2.07071"
"4.10000","0.06770","2.09424"
"4.20000","0.06929","2.11829"
"4.30000","0.07097","2.14407"
"4.40000","0.07263","2.16936"
"4.50000","0.07429","2.19391"
"4.60000","0.07594","2.21920"
"4.70000","0.07758","2.24374"
"4.80000","0.07922","2.26854"
"4.90000","0.08095","2.29565"
"5.00000","0.08268","2.32117"
"5.10000","0.08432","2.34542"
"5.20000","0.08601","2.37090"
"5.30000","0.08787","2.40020"
"5.40000","0.08958","2.42385"
"5.50000","0.09122","2.44677"
"5.60000","0.09289","2.47027"
"5.70000","0.09454","2.49292"
"5.80000","0.09614","2.51497"
"5.90000","0.09782","2.53874"
"6.00000","0.09944","2.56032"
"6.10000","0.10108","2.58316"
"6.20000","0.10274","2.60636"
"6.30000","0.10439","2.62919"
"6.40000","0.10609","2.65300"
"6.50000","0.10779","2.67724"
"6.60000","0.10947","2.70079"
"6.70000","0.11121","2.72627"
"6.80000","0.11287","2.74907"
"6.90000","0.11458","2.77320"
"7.00000","0.11633","2.79840"
"7.10000","0.11814","2.82447"
"7.20000","0.11978","2.84566"
"7.30000","0.12147","2.86867"
"7.40000","0.12313","2.89108"
"7.50000","0.12476","2.91209"
"7.60000","0.12645","2.93537"
"7.70000","0.12814","2.95847"
"7.80000","0.12979","2.97959"
"7.90000","0.13141","3.00133"
"8.00000","0.13304","3.02221"
"8.10000","0.13471","3.04498"
"8.20000","0.13637","3.06637"
"8.30000","0.13799","3.08778"
"8.40000","0.13955","3.10738"
"8.50000","0.14113","3.12829"
"8.60000","0.14278","3.15062"
"8.70000","0.14455","3.17697"
"8.80000","0.14625","3.20001"
"8.90000","0.14795","3.22408"
"9.00000","0.14975","3.25076"
"9.10000","0.15139","3.27124"
"9.20000","0.15299","3.29221"
"9.30000","0.15453","3.31157"
"9.40000","0.15617","3.33355"
"9.50000","0.15790","3.35795"
"9.60000","0.15964","3.38136"
"9.70000","0.16141","3.40638"
"9.80000","0.16306","3.42814"
"9.90000","0.16487","3.45367"
"10.00000","0.16662","3.47740"
"10.10000","0.16820","3.49675"
"10.20000","0.16979","3.51695"
"10.30000","0.17149","3.54049"
"10.40000","0.17324","3.56431"
"10.50000","0.17478","3.58269"
"10.60000","0.17633","3.60302"
"10.70000","0.17794","3.62366"
"10.80000","0.17951","3.64493"
"10.90000","0.18117","3.66765"
"11.00000","0.18288","3.69198"
"11.10000","0.18456","3.71465"
"11.20000","0.18617","3.73552"
"11.30000","0.18785","3.75813"
"11.40000","0.18958","3.78221"
"11.50000","0.19124","3.80362"
"11.60000","0.19294","3.82639"
"11.70000","0.19462","3.84819"
"11.80000","0.19653","3.87629"
"11.90000","0.19833","3.90039"
"12.00000","0.19990","3.91807"
"12.10000","0.20149","3.93749"
"12.20000","0.20316","3.95888"
"12.30000","0.20488","3.98151"
"12.40000","0.20658","4.00385"
"12.50000","0.20811","4.02211"
"12.60000","0.20964","4.04142"
"12.70000","0.21138","4.06661"
"12.80000","0.21302","4.08801"
"12.90000","0.21469","4.11089"
"13.00000","0.21639","4.13505"
"13.10000","0.21798","4.15499"
"13.20000","0.21974","4.18029"
"13.30000","0.22148","4.20527"
"13.40000","0.22317","4.22734"
"13.50000","0.22482","4.24857"
"13.60000","0.22647","4.27088"
"13.70000","0.22808","4.29082"
"13.80000","0.22970","4.31035"
"13.90000","0.23127","4.32890"
"14.00000","0.23285","4.34751"
"14.10000","0.23452","4.36894"
"14.20000","0.23616","4.38926"
"14.30000","0.23784","4.41048"
"14.40000","0.23947","4.42955"
"14.50000","0.24102","4.44712"
"14.60000","0.24269","4.46856"
"14.70000","0.24434","4.48800"
"14.80000","0.24599","4.50801"
"14.90000","0.24762","4.52750"
"15.00000","0.24925","4.54707"
"15.10000","0.25108","4.57190"
"15.20000","0.25287","4.59498"
"15.30000","0.25458","4.61463"
"15.40000","0.25626","4.63395"
"15.50000","0.25792","4.65318"
"15.60000","0.25957","4.67162"
"15.70000","0.26125","4.69166"
"15.80000","0.26287","4.70876"
"15.90000","0.26452","4.72766"
"16.00000","0.26619","4.74633"
"16.10000","0.26788","4.76637"
"16.20000","0.26961","4.78730"
"16.30000","0.27142","4.80978"
"16.40000","0.27305","4.82635"
"16.50000","0.27472","4.84592"
"16.60000","0.27645","4.86629"
"16.70000","0.27809","4.88365"
"16.80000","0.27972","4.90076"
"16.90000","0.28144","4.92081"
"17.00000","0.28312","4.93876"
"17.10000","0.28478","4.95716"
"17.20000","0.28645","4.97574"
"17.30000","0.28812","4.99336"
"17.40000","0.28984","5.01320"
"17.50000","0.29149","5.03052"
"17.60000","0.29319","5.05046"
"17.70000","0.29488","5.06925"
"17.80000","0.29652","5.08675"
"17.90000","0.29825","5.10731"
"18.00000","0.29994","5.12678"
"18.10000","0.30148","5.14153"
"18.20000","0.30308","5.15892"
"18.30000","0.30471","5.17728"
"18.40000","0.30637","5.19638"
"18.50000","0.30791","5.21065"
"18.60000","0.30950","5.22785"
"18.70000","0.31115","5.24691"
"18.80000","0.31281","5.26588"
"18.90000","0.31442","5.28223"
"19.00000","0.31601","5.29877"
"19.10000","0.31767","5.31739"
"19.20000","0.31932","5.33479"
"19.30000","0.32101","5.35322"
"19.40000","0.32285","5.37671"
"19.50000","0.32461","5.39708"
"19.60000","0.32632","5.41577"
"19.70000","0.32805","5.43436"
"19.80000","0.32989","5.45762"
"19.90000","0.33167","5.47685"
"20.00000","0.33329","5.49120"
"20.10000","0.33486","5.50540"
"20.20000","0.33644","5.51941"
"20.30000","0.33806","5.53585"
"20.40000","0.33965","5.55073"
"20.50000","0.34115","5.56266"
"20.60000","0.34273","5.57723"
"20.70000","0.34435","5.59404"
"20.80000","0.34600","5.61067"
"20.90000","0.34764","5.62781"
"21.00000","0.34933","5.64560"
"21.10000","0.35108","5.66616"
"21.20000","0.35285","5.68629"
"21.30000","0.35456","5.70374"
"21.40000","0.35621","5.71911"
"21.50000","0.35791","5.73647"
"21.60000","0.35972","5.75725"
"21.70000","0.36156","5.77845"
"21.80000","0.36332","5.79636"
"21.90000","0.36493","5.81013"
"22.00000","0.36651","5.82326"
"22.10000","0.36811","5.83815"
"22.20000","0.36970","5.85169"
"22.30000","0.37132","5.86750"
"22.40000","0.37299","5.88333"
"22.50000","0.37451","5.89443"
"22.60000","0.37607","5.90885"
"22.70000","0.37769","5.92383"
"22.80000","0.37936","5.94142"
"22.90000","0.38098","5.95689"
"23.00000","0.38259","5.97256"
"23.10000","0.38436","5.99331"
"23.20000","0.38607","6.01129"
"23.30000","0.38781","6.02958"
"23.40000","0.38952","6.04693"
"23.50000","0.39121","6.06333"
"23.60000","0.39284","6.07774"
"23.70000","0.39447","6.09274"
"23.80000","0.39614","6.11023"
"23.90000","0.39785","6.12689"
"24.00000","0.39952","6.14249"
"24.10000","0.40127","6.16066"
"24.20000","0.40301","6.17744"
"24.30000","0.40471","6.19398"
"24.40000","0.40638","6.20829"
"24.50000","0.40793","6.22010"
"24.60000","0.40951","6.23358"
"24.70000","0.41112","6.24858"
"24.80000","0.41282","6.26576"
"24.90000","0.41450","6.28216"
"25.00000","0.41617","6.29683"
"25.10000","0.41787","6.31323"
"25.20000","0.41951","6.32689"
"25.30000","0.42118","6.34277"
"25.40000","0.42286","6.35777"
"25.50000","0.42456","6.37394"
"25.60000","0.42620","6.38674"
"25.70000","0.42789","6.40241"
"25.80000","0.42966","6.42031"
"25.90000","0.43145","6.43853"
"26.00000","0.43310","6.45099"
"26.10000","0.43480","6.46635"
"26.20000","0.43647","6.48108"
"26.30000","0.43827","6.50057"
"26.40000","0.44001","6.51641"
"26.50000","0.44156","6.52748"
"26.60000","0.44325","6.54389"
"26.70000","0.44492","6.55919"
"26.80000","0.44649","6.57157"
"26.90000","0.44808","6.58479"
"27.00000","0.44973","6.60029"
"27.10000","0.45137","6.61516"
"27.20000","0.45303","6.63085"
"27.30000","0.45466","6.64580"
"27.40000","0.45628","6.66014"
"27.50000","0.45793","6.67508"
"27.60000","0.45961","6.69133"
"27.70000","0.46132","6.70805"
"27.80000","0.46308","6.72612"
"27.90000","0.46465","6.73718"
"28.00000","0.46648","6.75830"
"28.10000","0.46837","6.77897"
"28.20000","0.46999","6.79056"
"28.30000","0.47156","6.80141"
"28.40000","0.47323","6.81702"
"28.50000","0.47485","6.82972"
"28.60000","0.47637","6.84029"
"28.70000","0.47797","6.85372"
"28.80000","0.47953","6.86561"
"28.90000","0.48108","6.87749"
"29.00000","0.48262","6.88921"
"29.10000","0.48425","6.90393"
"29.20000","0.48592","6.91971"
"29.30000","0.48761","6.93577"
"29.40000","0.48941","6.95463"
"29.50000","0.49105","6.96784"
"29.60000","0.49287","6.98704"
"29.70000","0.49459","7.00232"
"29.80000","0.49626","7.01596"
"29.90000","0.49793","7.03026"
"30.00000","0.49967","7.04572"
"30.10000","0.50145","7.06353"
"30.20000","0.50307","7.07449"
"30.30000","0.50473","7.08821"
"30.40000","0.50642","7.10280"
"30.50000","0.50806","7.11523"
"30.60000","0.50966","7.12796"
"30.70000","0.51132","7.14270"
"30.80000","0.51299","7.15764"
"30.90000","0.51460","7.17031"
"31.00000","0.51618","7.18271"
"31.10000","0.51782","7.19765"
"31.20000","0.51950","7.21290"
"31.30000","0.52116","7.22725"
"31.40000","0.52290","7.24459"
"31.50000","0.52465","7.26054"
"31.60000","0.52640","7.27648"
"31.70000","0.52808","7.29039"
"31.80000","0.52973","7.30273"
"31.90000","0.53135","7.31400"
"32.00000","0.53298","7.32666"
"32.10000","0.53459","7.33906"
"32.20000","0.53622","7.35166"
"32.30000","0.53785","7.36459"
"32.40000","0.53953","7.37904"
"32.50000","0.54121","7.39368"
"32.60000","0.54285","7.40715"
"32.70000","0.54444","7.41973"
"32.80000","0.54609","7.43358"
"32.90000","0.54786","7.45138"
"33.00000","0.54952","7.46464"
"33.10000","0.55121","7.47898"
"33.20000","0.55290","7.49367"
"33.30000","0.55457","7.50643"
"33.40000","0.55631","7.52100"
"33.50000","0.55794","7.53266"
"33.60000","0.55955","7.54454"
"33.70000","0.56121","7.55820"
"33.80000","0.56285","7.57072"
"33.90000","0.56450","7.58276"
"34.00000","0.56617","7.59678"
"34.10000","0.56786","7.61162"
"34.20000","0.56950","7.62380"
"34.30000","0.57120","7.63850"
"34.40000","0.57289","7.65133"
"34.50000","0.57460","7.66571"
"34.60000","0.57619","7.67634"
"34.70000","0.57794","7.69363"
"34.80000","0.57979","7.71272"
"34.90000","0.58150","7.72604"
"35.00000","0.58313","7.73742"
"35.10000","0.58477","7.74942"
"35.20000","0.58637","7.76041"
"35.30000","0.58799","7.77266"
"35.40000","0.58963","7.78477"
"35.50000","0.59121","7.79509"
"35.60000","0.59286","7.80735"
"35.70000","0.59452","7.82027"
"35.80000","0.59622","7.83458"
"35.90000","0.59791","7.84762"
"36.00000","0.59953","7.85823"
"36.10000","0.60131","7.87577"
"36.20000","0.60315","7.89319"
"36.30000","0.60487","7.90579"
"36.40000","0.60652","7.91659"
"36.50000","0.60816","7.92690"
"36.60000","0.60974","7.93692"
"36.70000","0.61141","7.95007"
"36.80000","0.61305","7.96243"
"36.90000","0.61462","7.97172"
"37.00000","0.61616","7.98169"
"37.10000","0.61777","7.99363"
"37.20000","0.61944","8.00739"
"37.30000","0.62114","8.02208"
"37.40000","0.62287","8.03588"
"37.50000","0.62452","8.04760"
"37.60000","0.62620","8.05985"
"37.70000","0.62786","8.07218"
"37.80000","0.62948","8.08253"
"37.90000","0.63124","8.09856"
"38.00000","0.63309","8.11628"
"38.10000","0.63484","8.12943"
"38.20000","0.63654","8.14113"
"38.30000","0.63813","8.14904"
"38.40000","0.63969","8.15732"
"38.50000","0.64133","8.16856"
"38.60000","0.64299","8.18140"
"38.70000","0.64468","8.19541"
"38.80000","0.64633","8.20722"
"38.90000","0.64800","8.22096"
"39.00000","0.64969","8.23474"
"39.10000","0.65130","8.24482"
"39.20000","0.65290","8.25581"
"39.30000","0.65446","8.26470"
"39.40000","0.65623","8.28119"
"39.50000","0.65796","8.29463"
"39.60000","0.65970","8.30863"
"39.70000","0.66142","8.32186"
"39.80000","0.66311","8.33408"
"39.90000","0.66484","8.34775"
"40.00000","0.66648","8.35824"
"40.10000","0.66807","8.36714"
"40.20000","0.66972","8.37877"
"40.30000","0.67137","8.39028"
"40.40000","0.67296","8.40007"
"40.50000","0.67451","8.40959"
"40.60000","0.67620","8.42455"
"40.70000","0.67785","8.43798"
"40.80000","0.67951","8.45177"
"40.90000","0.68118","8.46469"
"41.00000","0.68288","8.47900"
"41.10000","0.68452","8.48996"
"41.20000","0.68617","8.50327"
"41.30000","0.68805","8.52433"
"41.40000","0.68982","8.53917"
"41.50000","0.69154","8.55210"
"41.60000","0.69317","8.56221"
"41.70000","0.69474","8.57029"
"41.80000","0.69638","8.58257"
"41.90000","0.69809","8.59557"
"42.00000","0.69967","8.60298"
"42.10000","0.70132","8.61459"
"42.20000","0.70301","8.62791"
"42.30000","0.70466","8.63864"
"42.40000","0.70628","8.64919"
"42.50000","0.70785","8.65809"
"42.60000","0.70948","8.67027"
"42.70000","0.71121","8.68587"
"42.80000","0.71285","8.69872"
"42.90000","0.71454","8.71331"
"43.00000","0.71625","8.72697"
"43.10000","0.71790","8.73926"
"43.20000","0.71952","8.75097"
"43.30000","0.72125","8.76674"
"43.40000","0.72290","8.77855"
"43.50000","0.72455","8.79077"
"43.60000","0.72633","8.80709"
"43.70000","0.72810","8.82298"
"43.80000","0.72974","8.83380"
"43.90000","0.73148","8.84916"
"44.00000","0.73325","8.86526"
"44.10000","0.73493","8.87739"
"44.20000","0.73660","8.88979"
"44.30000","0.73820","8.90030"
"44.40000","0.73973","8.90811"
"44.50000","0.74139","8.92272"
"44.60000","0.74314","8.93949"
"44.70000","0.74485","8.95464"
"44.80000","0.74648","8.96554"
"44.90000","0.74820","8.98168"
"45.00000","0.74988","8.99459"
"45.10000","0.75147","9.00526"
"45.20000","0.75308","9.01738"
"45.30000","0.75473","9.03045"
"45.40000","0.75641","9.04436"
"45.50000","0.75811","9.05982"
"45.60000","0.75982","9.07423"
"45.70000","0.76145","9.08580"
"45.80000","0.76302","9.09575"
"45.90000","0.76479","9.11379"
"46.00000","0.76652","9.12903"
"46.10000","0.76821","9.14227"
"46.20000","0.76990","9.15541"
"46.30000","0.77153","9.16653"
"46.40000","0.77315","9.17884"
"46.50000","0.77472","9.18921"
