General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"17.60000","0.29286","3.69300"
"17.70000","0.29449","3.70646"
"17.80000","0.29619","3.72285"
"17.90000","0.29792","3.73826"
"18.00000","0.29965","3.75371"
"18.10000","0.30140","3.76958"
"18.20000","0.30310","3.78317"
"18.30000","0.30472","3.79519"
"18.40000","0.30640","3.80962"
"18.50000","0.30805","3.82272"
"18.60000","0.30976","3.83742"
"18.70000","0.31147","3.85204"
"18.80000","0.31311","3.86504"
"18.90000","0.31472","3.87669"
"19.00000","0.31633","3.89106"
"19.10000","0.31799","3.90519"
"19.20000","0.31962","3.91848"
"19.30000","0.32123","3.93091"
"19.40000","0.32282","3.94389"
"19.50000","0.32445","3.95672"
"19.60000","0.32616","3.97220"
"19.70000","0.32790","3.98847"
"19.80000","0.32953","4.00099"
"19.90000","0.33118","4.01380"
"20.00000","0.33295","4.03114"
"20.10000","0.33478","4.04907"
"20.20000","0.33650","4.06311"
"20.30000","0.33820","4.07690"
"20.40000","0.33984","4.08931"
"20.50000","0.34142","4.10021"
"20.60000","0.34308","4.11390"
"20.70000","0.34474","4.12783"
"20.80000","0.34636","4.14041"
"20.90000","0.34791","4.15099"
"21.00000","0.34950","4.16356"
"21.10000","0.35110","4.17608"
"21.20000","0.35275","4.18943"
"21.30000","0.35446","4.20459"
"21.40000","0.35617","4.21913"
"21.50000","0.35787","4.23359"
"21.60000","0.35955","4.24812"
"21.70000","0.36119","4.26134"
"21.80000","0.36308","4.28153"
"21.90000","0.36485","4.29677"
"22.00000","0.36650","4.30807"
"22.10000","0.36809","4.31899"
"22.20000","0.36972","4.33206"
"22.30000","0.37139","4.34644"
"22.40000","0.37306","4.36019"
"22.50000","0.37470","4.37357"
"22.60000","0.37639","4.38837"
"22.70000","0.37806","4.40253"
"22.80000","0.37975","4.41638"
"22.90000","0.38145","4.43154"
"23.00000","0.38312","4.44609"
"23.10000","0.38475","4.45902"
"23.20000","0.38632","4.47080"
"23.30000","0.38811","4.48906"
"23.40000","0.38979","4.50233"
"23.50000","0.39140","4.51464"
"23.60000","0.39315","4.53127"
"23.70000","0.39483","4.54471"
"23.80000","0.39643","4.55617"
"23.90000","0.39807","4.56907"
"24.00000","0.39971","4.58277"
"24.10000","0.40139","4.59684"
"24.20000","0.40306","4.61115"
"24.30000","0.40470","4.62483"
"24.40000","0.40638","4.64003"
"24.50000","0.40811","4.65616"
"24.60000","0.40986","4.67190"
"24.70000","0.41162","4.68940"
"24.80000","0.41326","4.70233"
"24.90000","0.41490","4.71456"
"25.00000","0.41652","4.72717"
"25.10000","0.41822","4.74359"
"25.20000","0.41990","4.75918"
"25.30000","0.42160","4.77498"
"25.40000","0.42328","4.79012"
"25.50000","0.42475","4.79785"
"25.60000","0.42633","4.81028"
"25.70000","0.42795","4.82401"
"25.80000","0.42954","4.83570"
"25.90000","0.43113","4.84767"
"26.00000","0.43270","4.85880"
"26.10000","0.43432","4.87136"
"26.20000","0.43595","4.88409"
"26.30000","0.43756","4.89638"
"26.40000","0.43922","4.90969"
"26.50000","0.44085","4.92211"
"26.60000","0.44261","4.93860"
"26.70000","0.44434","4.95414"
"26.80000","0.44605","4.96774"
"26.90000","0.44777","4.98143"
"27.00000","0.44952","4.99645"
"27.10000","0.45125","5.01064"
"27.20000","0.45305","5.02796"
"27.30000","0.45472","5.03902"
"27.40000","0.45635","5.04981"
"27.50000","0.45800","5.06187"
"27.60000","0.45967","5.07476"
"27.70000","0.46124","5.08404"
"27.80000","0.46287","5.09580"
"27.90000","0.46459","5.10992"
"28.00000","0.46637","5.12468"
"28.10000","0.46813","5.13917"
"28.20000","0.46975","5.14905"
"28.30000","0.47131","5.15799"
"28.40000","0.47296","5.16952"
"28.50000","0.47468","5.18374"
"28.60000","0.47644","5.19852"
"28.70000","0.47802","5.20771"
"28.80000","0.47968","5.21978"
"28.90000","0.48130","5.23001"
"29.00000","0.48285","5.23882"
