General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{582F2FA4-2D1A-4A47-AE05-E3DDB51CC79F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P4 W1 2"
Break (Standard) : Load at Break (Standard),"7.19416",N
Maximum Load : Maximum Load,"12.84883",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.81673"
"0.10000","0.00012","0.81905"
"0.20000","0.00120","0.85506"
"0.30000","0.00317","0.92090"
"0.40000","0.00532","0.99183"
"0.50000","0.00733","1.05727"
"0.60000","0.00922","1.11850"
"0.70000","0.01106","1.17455"
"0.80000","0.01285","1.22649"
"0.90000","0.01449","1.27421"
"1.00000","0.01611","1.32155"
"1.10000","0.01775","1.37011"
"1.20000","0.01937","1.41689"
"1.30000","0.02100","1.46310"
"1.40000","0.02263","1.50875"
"1.50000","0.02423","1.55382"
"1.60000","0.02590","1.60174"
"1.70000","0.02767","1.65111"
"1.80000","0.02938","1.70195"
"1.90000","0.03113","1.74985"
"2.00000","0.03281","1.79560"
"2.10000","0.03441","1.83885"
"2.20000","0.03620","1.88752"
"2.30000","0.03789","1.93293"
"2.40000","0.03955","1.97832"
"2.50000","0.04120","2.02188"
"2.60000","0.04282","2.06254"
"2.70000","0.04449","2.10619"
"2.80000","0.04619","2.15020"
"2.90000","0.04780","2.19155"
"3.00000","0.04939","2.23272"
"3.10000","0.05102","2.27451"
"3.20000","0.05270","2.31786"
"3.30000","0.05438","2.36038"
"3.40000","0.05606","2.40314"
"3.50000","0.05776","2.44627"
"3.60000","0.05947","2.48934"
"3.70000","0.06123","2.53213"
"3.80000","0.06294","2.57323"
"3.90000","0.06470","2.61635"
"4.00000","0.06655","2.66072"
"4.10000","0.06829","2.69980"
"4.20000","0.06998","2.73715"
"4.30000","0.07157","2.77145"
"4.40000","0.07310","2.80256"
"4.50000","0.07473","2.83847"
"4.60000","0.07633","2.87140"
"4.70000","0.07798","2.90533"
"4.80000","0.07963","2.93850"
"4.90000","0.08119","2.96849"
"5.00000","0.08277","2.99976"
"5.10000","0.08440","3.03147"
"5.20000","0.08602","3.06200"
"5.30000","0.08758","3.08991"
"5.40000","0.08930","3.12459"
"5.50000","0.09105","3.15730"
"5.60000","0.09279","3.18848"
"5.70000","0.09454","3.21892"
"5.80000","0.09617","3.24530"
"5.90000","0.09789","3.27457"
"6.00000","0.09953","3.30052"
"6.10000","0.10118","3.32624"
"6.20000","0.10286","3.35382"
"6.30000","0.10453","3.38035"
"6.40000","0.10616","3.40539"
"6.50000","0.10781","3.43060"
"6.60000","0.10954","3.45953"
"6.70000","0.11126","3.48752"
"6.80000","0.11298","3.51515"
"6.90000","0.11465","3.54166"
"7.00000","0.11625","3.56580"
"7.10000","0.11796","3.59436"
"7.20000","0.11979","3.62618"
"7.30000","0.12152","3.65480"
"7.40000","0.12323","3.68239"
"7.50000","0.12497","3.70994"
"7.60000","0.12666","3.73809"
"7.70000","0.12827","3.76254"
"7.80000","0.12994","3.78868"
"7.90000","0.13158","3.81389"
"8.00000","0.13316","3.83810"
"8.10000","0.13483","3.86517"
"8.20000","0.13651","3.89203"
"8.30000","0.13816","3.91799"
"8.40000","0.13979","3.94280"
"8.50000","0.14149","3.97035"
"8.60000","0.14305","3.99392"
"8.70000","0.14487","4.02669"
"8.80000","0.14657","4.05374"
"8.90000","0.14815","4.07675"
"9.00000","0.14980","4.10383"
"9.10000","0.15148","4.13118"
"9.20000","0.15315","4.15921"
"9.30000","0.15475","4.18375"
"9.40000","0.15635","4.20742"
"9.50000","0.15806","4.23697"
"9.60000","0.15972","4.26304"
"9.70000","0.16140","4.28945"
"9.80000","0.16312","4.31739"
"9.90000","0.16482","4.34307"
"10.00000","0.16644","4.36580"
"10.10000","0.16809","4.39047"
"10.20000","0.16983","4.41889"
"10.30000","0.17138","4.43911"
"10.40000","0.17336","4.47667"
"10.50000","0.17510","4.50148"
"10.60000","0.17664","4.52070"
"10.70000","0.17821","4.54135"
"10.80000","0.17982","4.56471"
"10.90000","0.18145","4.58927"
"11.00000","0.18306","4.61337"
"11.10000","0.18462","4.63452"
"11.20000","0.18613","4.65409"
"11.30000","0.18775","4.67957"
"11.40000","0.18942","4.70561"
"11.50000","0.19112","4.73432"
"11.60000","0.19283","4.76082"
"11.70000","0.19472","4.79236"
"11.80000","0.19655","4.82188"
"11.90000","0.19822","4.84346"
"12.00000","0.19986","4.86686"
"12.10000","0.20151","4.89140"
"12.20000","0.20314","4.91332"
"12.30000","0.20474","4.93417"
"12.40000","0.20637","4.95724"
"12.50000","0.20796","4.97890"
"12.60000","0.20951","4.99943"
"12.70000","0.21118","5.02388"
"12.80000","0.21279","5.04715"
"12.90000","0.21441","5.06826"
"13.00000","0.21603","5.09116"
"13.10000","0.21764","5.11327"
"13.20000","0.21929","5.13664"
"13.30000","0.22096","5.16170"
"13.40000","0.22262","5.18542"
"13.50000","0.22427","5.20863"
"13.60000","0.22593","5.23133"
"13.70000","0.22755","5.25320"
"13.80000","0.22929","5.27801"
"13.90000","0.23102","5.30144"
"14.00000","0.23267","5.32171"
"14.10000","0.23439","5.34380"
"14.20000","0.23610","5.36619"
"14.30000","0.23776","5.38541"
"14.40000","0.23945","5.40612"
"14.50000","0.24112","5.42609"
"14.60000","0.24275","5.44436"
"14.70000","0.24438","5.46295"
"14.80000","0.24609","5.48558"
"14.90000","0.24782","5.50912"
"15.00000","0.24956","5.53242"
"15.10000","0.25119","5.55288"
"15.20000","0.25305","5.58306"
"15.30000","0.25490","5.61135"
"15.40000","0.25663","5.63564"
"15.50000","0.25830","5.65735"
"15.60000","0.25995","5.67842"
"15.70000","0.26169","5.70336"
"15.80000","0.26334","5.72417"
"15.90000","0.26495","5.74413"
