General : Start date,"2020-09-03"
General : End date,"2020-09-03"
General : Unique identifier,"{538B8E15-22A0-4FBB-A220-317DB81BEC10}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1282 P8 W1 4"
Break (Standard) : Load at Break (Standard),"8.48467",N
Maximum Load : Maximum Load,"9.97487",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29452","3.92360"
"17.80000","0.29617","3.93993"
"17.90000","0.29788","3.95743"
"18.00000","0.29960","3.97466"
"18.10000","0.30134","3.99278"
"18.20000","0.30308","4.00946"
"18.30000","0.30473","4.02574"
"18.40000","0.30639","4.04107"
"18.50000","0.30805","4.05694"
"18.60000","0.30972","4.07284"
"18.70000","0.31143","4.08976"
"18.80000","0.31305","4.10411"
"18.90000","0.31474","4.12090"
"19.00000","0.31642","4.13692"
"19.10000","0.31806","4.15275"
"19.20000","0.31968","4.16836"
"19.30000","0.32138","4.18518"
"19.40000","0.32307","4.20128"
"19.50000","0.32469","4.21698"
"19.60000","0.32634","4.23254"
"19.70000","0.32797","4.24835"
"19.80000","0.32954","4.26153"
"19.90000","0.33118","4.27807"
"20.00000","0.33287","4.29426"
"20.10000","0.33449","4.30904"
"20.20000","0.33621","4.32623"
"20.30000","0.33789","4.34206"
"20.40000","0.33961","4.35897"
"20.50000","0.34130","4.37494"
"20.60000","0.34303","4.39257"
"20.70000","0.34473","4.40920"
"20.80000","0.34643","4.42711"
"20.90000","0.34811","4.44502"
"21.00000","0.34970","4.45983"
"21.10000","0.35133","4.47779"
"21.20000","0.35295","4.49404"
"21.30000","0.35452","4.50913"
"21.40000","0.35615","4.52631"
"21.50000","0.35782","4.54462"
"21.60000","0.35957","4.56437"
"21.70000","0.36120","4.58078"
"21.80000","0.36281","4.59706"
"21.90000","0.36448","4.61545"
"22.00000","0.36614","4.63271"
"22.10000","0.36779","4.64971"
"22.20000","0.36954","4.66946"
"22.30000","0.37121","4.68515"
"22.40000","0.37286","4.70144"
"22.50000","0.37452","4.71834"
"22.60000","0.37613","4.73404"
"22.70000","0.37783","4.75080"
"22.80000","0.37953","4.76775"
"22.90000","0.38119","4.78308"
"23.00000","0.38281","4.79699"
"23.10000","0.38444","4.81204"
"23.20000","0.38613","4.82908"
"23.30000","0.38789","4.84681"
"23.40000","0.38956","4.86145"
"23.50000","0.39119","4.87622"
"23.60000","0.39306","4.89474"
"23.70000","0.39490","4.91246"
"23.80000","0.39657","4.92646"
"23.90000","0.39827","4.94211"
"24.00000","0.39993","4.95627"
"24.10000","0.40156","4.96934"
"24.20000","0.40315","4.98126"
"24.30000","0.40469","4.99134"
"24.40000","0.40633","5.00488"
"24.50000","0.40786","5.01614"
"24.60000","0.40945","5.02838"
"24.70000","0.41109","5.04151"
"24.80000","0.41271","5.05276"
"24.90000","0.41433","5.06441"
"25.00000","0.41593","5.07668"
"25.10000","0.41749","5.08782"
"25.20000","0.41907","5.09767"
"25.30000","0.42069","5.10929"
"25.40000","0.42242","5.12387"
"25.50000","0.42414","5.13570"
"25.60000","0.42596","5.15123"
"25.70000","0.42768","5.16441"
"25.80000","0.42938","5.17546"
"25.90000","0.43109","5.18789"
"26.00000","0.43282","5.20053"
"26.10000","0.43452","5.21177"
"26.20000","0.43620","5.22284"
"26.30000","0.43787","5.23311"
"26.40000","0.43955","5.24313"
"26.50000","0.44132","5.25679"
"26.60000","0.44308","5.26831"
"26.70000","0.44477","5.27936"
"26.80000","0.44645","5.28958"
"26.90000","0.44834","5.30500"
"27.00000","0.45002","5.31560"
"27.10000","0.45162","5.32507"
"27.20000","0.45336","5.33774"
"27.30000","0.45504","5.34980"
"27.40000","0.45664","5.36041"
"27.50000","0.45828","5.37205"
"27.60000","0.45988","5.38299"
"27.70000","0.46149","5.39567"
"27.80000","0.46320","5.40983"
"27.90000","0.46490","5.42318"
"28.00000","0.46659","5.43726"
"28.10000","0.46825","5.45020"
"28.20000","0.46983","5.46291"
"28.30000","0.47154","5.47878"
"28.40000","0.47326","5.49292"
"28.50000","0.47470","5.50228"
"28.60000","0.47664","5.52309"
"28.70000","0.47844","5.53984"
"28.80000","0.48003","5.55114"
"28.90000","0.48159","5.56267"
"29.00000","0.48321","5.57621"
"29.10000","0.48484","5.58986"
"29.20000","0.48645","5.60283"
"29.30000","0.48805","5.61478"
"29.40000","0.48961","5.62677"
"29.50000","0.49121","5.63995"
"29.60000","0.49294","5.65714"
"29.70000","0.49465","5.67222"
"29.80000","0.49622","5.68335"
"29.90000","0.49781","5.69619"
"30.00000","0.49947","5.71054"
"30.10000","0.50120","5.72646"
"30.20000","0.50298","5.74203"
"30.30000","0.50472","5.75690"
"30.40000","0.50644","5.77068"
"30.50000","0.50808","5.78286"
"30.60000","0.50971","5.79474"
"30.70000","0.51136","5.80683"
"30.80000","0.51301","5.81957"
"30.90000","0.51467","5.83317"
"31.00000","0.51636","5.84678"
"31.10000","0.51808","5.86140"
"31.20000","0.51967","5.87199"
"31.30000","0.52120","5.88202"
"31.40000","0.52282","5.89477"
"31.50000","0.52453","5.91012"
"31.60000","0.52623","5.92424"
"31.70000","0.52787","5.93702"
"31.80000","0.52951","5.94922"
"31.90000","0.53122","5.96347"
"32.00000","0.53297","5.97717"
"32.10000","0.53476","5.99207"
"32.20000","0.53647","6.00475"
"32.30000","0.53810","6.01590"
"32.40000","0.53976","6.02734"
"32.50000","0.54138","6.03783"
"32.60000","0.54297","6.04736"
"32.70000","0.54454","6.05637"
"32.80000","0.54613","6.06700"
"32.90000","0.54775","6.07813"
"33.00000","0.54945","6.09154"
"33.10000","0.55110","6.10202"
"33.20000","0.55270","6.11178"
"33.30000","0.55426","6.12123"
"33.40000","0.55597","6.13496"
"33.50000","0.55773","6.15003"
"33.60000","0.55948","6.16311"
"33.70000","0.56120","6.17559"
"33.80000","0.56289","6.18704"
"33.90000","0.56458","6.19859"
"34.00000","0.56628","6.21056"
"34.10000","0.56798","6.22115"
"34.20000","0.56973","6.23336"
"34.30000","0.57134","6.24134"
"34.40000","0.57300","6.25171"
"34.50000","0.57459","6.26038"
"34.60000","0.57626","6.27109"
"34.70000","0.57796","6.28158"
"34.80000","0.57958","6.28980"
"34.90000","0.58119","6.29913"
"35.00000","0.58280","6.30853"
"35.10000","0.58444","6.31776"
"35.20000","0.58610","6.32820"
"35.30000","0.58778","6.33900"
"35.40000","0.58942","6.34905"
"35.50000","0.59113","6.36089"
"35.60000","0.59287","6.37287"
"35.70000","0.59456","6.38422"
"35.80000","0.59619","6.39315"
"35.90000","0.59787","6.40414"
"36.00000","0.59957","6.41479"
"36.10000","0.60124","6.42520"
"36.20000","0.60295","6.43599"
"36.30000","0.60462","6.44537"
"36.40000","0.60620","6.45247"
"36.50000","0.60787","6.46265"
"36.60000","0.60947","6.47064"
"36.70000","0.61123","6.48395"
"36.80000","0.61293","6.49492"
"36.90000","0.61458","6.50355"
"37.00000","0.61626","6.51415"
"37.10000","0.61797","6.52571"
"37.20000","0.61956","6.53407"
"37.30000","0.62116","6.54353"
"37.40000","0.62287","6.55581"
"37.50000","0.62451","6.56597"
"37.60000","0.62622","6.57705"
"37.70000","0.62786","6.58756"
"37.80000","0.62960","6.60027"
"37.90000","0.63140","6.61564"
"38.00000","0.63309","6.62551"
"38.10000","0.63477","6.63565"
"38.20000","0.63649","6.64751"
"38.30000","0.63809","6.65520"
"38.40000","0.63969","6.66424"
"38.50000","0.64157","6.67946"
"38.60000","0.64326","6.68986"
"38.70000","0.64491","6.69897"
"38.80000","0.64657","6.70850"
"38.90000","0.64816","6.71627"
"39.00000","0.64972","6.72395"
"39.10000","0.65132","6.73283"
"39.20000","0.65285","6.74043"
"39.30000","0.65448","6.75089"
"39.40000","0.65602","6.75912"
"39.50000","0.65762","6.76957"
"39.60000","0.65921","6.77790"
"39.70000","0.66082","6.78723"
"39.80000","0.66238","6.79461"
"39.90000","0.66402","6.80482"
"40.00000","0.66582","6.81852"
"40.10000","0.66752","6.82769"
"40.20000","0.66932","6.84026"
"40.30000","0.67108","6.85069"
"40.40000","0.67282","6.86101"
"40.50000","0.67451","6.87003"
"40.60000","0.67622","6.87982"
"40.70000","0.67786","6.88781"
"40.80000","0.67948","6.89577"
"40.90000","0.68115","6.90521"
"41.00000","0.68285","6.91546"
"41.10000","0.68451","6.92423"
"41.20000","0.68616","6.93514"
"41.30000","0.68787","6.94488"
"41.40000","0.68959","6.95611"
"41.50000","0.69137","6.96818"
"41.60000","0.69309","6.97908"
"41.70000","0.69466","6.98451"
"41.80000","0.69655","7.00062"
"41.90000","0.69846","7.01563"
"42.00000","0.70006","7.02189"
"42.10000","0.70165","7.02921"
"42.20000","0.70328","7.03705"
"42.30000","0.70495","7.04658"
"42.40000","0.70652","7.05364"
"42.50000","0.70812","7.06192"
"42.60000","0.70976","7.07178"
"42.70000","0.71137","7.08042"
"42.80000","0.71302","7.08947"
"42.90000","0.71459","7.09776"
"43.00000","0.71614","7.10463"
"43.10000","0.71762","7.11062"
"43.20000","0.71934","7.12270"
"43.30000","0.72112","7.13560"
"43.40000","0.72286","7.14684"
"43.50000","0.72457","7.15664"
"43.60000","0.72622","7.16503"
"43.70000","0.72791","7.17498"
"43.80000","0.72958","7.18345"
"43.90000","0.73121","7.19107"
"44.00000","0.73288","7.19972"
"44.10000","0.73456","7.20856"
"44.20000","0.73624","7.21760"
"44.30000","0.73788","7.22515"
"44.40000","0.73959","7.23483"
"44.50000","0.74133","7.24463"
"44.60000","0.74315","7.25432"
"44.70000","0.74483","7.26098"
"44.80000","0.74645","7.26718"
"44.90000","0.74801","7.27364"
"45.00000","0.74966","7.28139"
"45.10000","0.75136","7.29171"
"45.20000","0.75307","7.30180"
"45.30000","0.75477","7.31156"
"45.40000","0.75644","7.31977"
"45.50000","0.75804","7.32630"
"45.60000","0.75972","7.33507"
"45.70000","0.76140","7.34400"
"45.80000","0.76301","7.35096"
"45.90000","0.76457","7.35638"
"46.00000","0.76621","7.36517"
"46.10000","0.76788","7.37334"
"46.20000","0.76957","7.38232"
"46.30000","0.77119","7.38916"
"46.40000","0.77272","7.39545"
"46.50000","0.77460","7.40927"
"46.60000","0.77640","7.41958"
"46.70000","0.77807","7.42618"
"46.80000","0.77977","7.43427"
"46.90000","0.78145","7.44165"
"47.00000","0.78305","7.44773"
"47.10000","0.78464","7.45311"
"47.20000","0.78625","7.45907"
"47.30000","0.78785","7.46535"
"47.40000","0.78948","7.47289"
"47.50000","0.79112","7.48061"
"47.60000","0.79274","7.48791"
"47.70000","0.79439","7.49604"
"47.80000","0.79605","7.50467"
"47.90000","0.79779","7.51428"
"48.00000","0.79949","7.52312"
"48.10000","0.80125","7.53271"
"48.20000","0.80284","7.53796"
"48.30000","0.80453","7.54644"
"48.40000","0.80641","7.55942"
"48.50000","0.80815","7.56800"
"48.60000","0.80978","7.57398"
"48.70000","0.81141","7.58025"
"48.80000","0.81304","7.58634"
"48.90000","0.81461","7.59176"
"49.00000","0.81618","7.59668"
"49.10000","0.81783","7.60449"
"49.20000","0.81953","7.61286"
"49.30000","0.82120","7.62072"
"49.40000","0.82288","7.62779"
"49.50000","0.82458","7.63434"
"49.60000","0.82619","7.64038"
"49.70000","0.82787","7.64773"
"49.80000","0.82981","7.66195"
"49.90000","0.83148","7.66805"
"50.00000","0.83313","7.67372"
"50.10000","0.83487","7.68273"
"50.20000","0.83655","7.68961"
"50.30000","0.83821","7.69599"
"50.40000","0.83993","7.70368"
"50.50000","0.84150","7.70757"
"50.60000","0.84304","7.71192"
"50.70000","0.84473","7.72037"
"50.80000","0.84640","7.72837"
"50.90000","0.84795","7.73269"
"51.00000","0.84949","7.73806"
"51.10000","0.85116","7.74560"
"51.20000","0.85284","7.75321"
"51.30000","0.85449","7.76039"
"51.40000","0.85621","7.76919"
"51.50000","0.85782","7.77409"
"51.60000","0.85954","7.78223"
"51.70000","0.86138","7.78668"
"51.80000","0.86310","7.79146"
"51.90000","0.86478","7.79754"
"52.00000","0.86642","7.80277"
"52.10000","0.86799","7.80677"
"52.20000","0.86957","7.81170"
"52.30000","0.87126","7.81912"
"52.40000","0.87294","7.82650"
"52.50000","0.87454","7.83127"
"52.60000","0.87618","7.83723"
"52.70000","0.87790","7.84527"
"52.80000","0.87960","7.85246"
"52.90000","0.88116","7.85558"
"53.00000","0.88271","7.85960"
"53.10000","0.88450","7.86987"
"53.20000","0.88636","7.88058"
"53.30000","0.88807","7.88635"
"53.40000","0.88977","7.89272"
"53.50000","0.89144","7.89817"
"53.60000","0.89306","7.90363"
"53.70000","0.89472","7.90911"
"53.80000","0.89637","7.91431"
"53.90000","0.89802","7.92020"
"54.00000","0.89967","7.92588"
"54.10000","0.90132","7.93171"
"54.20000","0.90304","7.93894"
"54.30000","0.90478","7.94597"
"54.40000","0.90642","7.95012"
"54.50000","0.90799","7.95265"
"54.60000","0.90962","7.95720"
"54.70000","0.91131","7.96308"
"54.80000","0.91292","7.96586"
"54.90000","0.91449","7.96972"
"55.00000","0.91620","7.97765"
"55.10000","0.91797","7.98598"
"55.20000","0.91970","7.99346"
"55.30000","0.92137","7.99817"
"55.40000","0.92303","8.00311"
"55.50000","0.92466","8.00744"
"55.60000","0.92630","8.01239"
"55.70000","0.92784","8.01461"
"55.80000","0.92950","8.02039"
"55.90000","0.93121","8.02732"
"56.00000","0.93291","8.03365"
"56.10000","0.93457","8.03829"
"56.20000","0.93624","8.04356"
"56.30000","0.93790","8.04940"
"56.40000","0.93973","8.05998"
"56.50000","0.94151","8.06880"
"56.60000","0.94317","8.07581"
"56.70000","0.94481","8.08149"
"56.80000","0.94646","8.08831"
"56.90000","0.94805","8.09363"
"57.00000","0.94962","8.09887"
"57.10000","0.95122","8.10551"
"57.20000","0.95286","8.11292"
"57.30000","0.95456","8.12199"
"57.40000","0.95622","8.12960"
"57.50000","0.95793","8.13825"
"57.60000","0.95962","8.14709"
"57.70000","0.96134","8.15697"
"57.80000","0.96309","8.16452"
"57.90000","0.96481","8.17253"
"58.00000","0.96645","8.17841"
"58.10000","0.96817","8.18792"
"58.20000","0.96996","8.19843"
"58.30000","0.97178","8.21002"
"58.40000","0.97341","8.21548"
"58.50000","0.97496","8.21909"
"58.60000","0.97653","8.22460"
"58.70000","0.97821","8.23220"
"58.80000","0.97982","8.23876"
