General : Start date,8/14/2020,
General : End date,8/14/2020,
General : Unique identifier,{8DCECF0A-C730-4C5D-BA36-70E71FA7EC6A},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1391 P2 W1 1,
Break (Standard) : Load at Break (Standard),2.86483,N
Maximum Load : Maximum Load,4.95428,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.53732
0.1,0.00009,0.53782
0.2,0.00057,0.54346
0.3,0.00161,0.5551
0.4,0.00343,0.57393
0.5,0.00599,0.60109
0.6,0.00886,0.6307
0.7,0.01121,0.65317
0.8,0.0129,0.66865
0.9,0.01461,0.68424
1,0.01646,0.70101
1.1,0.01815,0.71635
1.2,0.01976,0.73144
1.3,0.02138,0.7459
1.4,0.02308,0.76068
1.5,0.02475,0.77536
1.6,0.02623,0.78698
1.7,0.0277,0.79948
1.8,0.02924,0.81209
1.9,0.03094,0.82719
2,0.03271,0.84093
2.1,0.03443,0.85547
2.2,0.03612,0.86908
2.3,0.03778,0.88125
2.4,0.03937,0.89369
2.5,0.04118,0.90744
2.6,0.04288,0.91987
2.7,0.04452,0.93239
2.8,0.04618,0.94472
2.9,0.04787,0.95718
3,0.04952,0.96882
3.1,0.05122,0.98195
3.2,0.05288,0.99355
3.3,0.05449,1.00514
3.4,0.05617,1.01847
3.5,0.05787,1.03179
3.6,0.05953,1.0443
3.7,0.0612,1.05705
3.8,0.06285,1.06898
3.9,0.06454,1.08141
4,0.06626,1.0939
4.1,0.06785,1.1053
4.2,0.06984,1.12058
4.3,0.07169,1.13337
4.4,0.07326,1.14411
4.5,0.07487,1.1545
4.6,0.07653,1.16515
4.7,0.07817,1.17671
4.8,0.07977,1.18736
4.9,0.08138,1.198
5,0.08302,1.20927
5.1,0.08467,1.22036
5.2,0.08632,1.2307
5.3,0.08795,1.24108
5.4,0.08957,1.25128
5.5,0.09123,1.26149
5.6,0.09283,1.27117
5.7,0.09453,1.28236
5.8,0.09633,1.2934
5.9,0.09805,1.3031
6,0.09969,1.31275
6.1,0.10125,1.3205
6.2,0.1028,1.32853
6.3,0.10444,1.33717
6.4,0.10605,1.34557
6.5,0.10772,1.35434
6.6,0.10941,1.36367
6.7,0.11114,1.37325
6.8,0.11271,1.381
6.9,0.11433,1.38932
7,0.11603,1.39837
7.1,0.11777,1.40808
7.2,0.11952,1.41764
7.3,0.12126,1.42766
7.4,0.12285,1.43494
7.5,0.12459,1.44507
7.6,0.12648,1.45582
7.7,0.12821,1.46482
7.8,0.12982,1.47229
7.9,0.1314,1.4801
8,0.13307,1.48876
8.1,0.13474,1.49727
8.2,0.13639,1.50591
8.3,0.13809,1.51447
8.4,0.13983,1.52409
8.5,0.14142,1.53162
8.6,0.14302,1.53972
8.7,0.14473,1.54843
8.8,0.14632,1.55671
8.9,0.14784,1.56373
9,0.14958,1.5735
9.1,0.15129,1.58264
9.2,0.1531,1.59257
9.3,0.15476,1.60146
9.4,0.15641,1.60979
9.5,0.15804,1.61806
9.6,0.15972,1.62722
9.7,0.16133,1.63452
9.8,0.16289,1.64179
9.9,0.16451,1.64986
10,0.16615,1.65827
10.1,0.16782,1.66644
10.2,0.16947,1.6746
10.3,0.17111,1.68208
10.4,0.17276,1.68974
10.5,0.17443,1.69736
10.6,0.17613,1.70513
10.7,0.17781,1.71289
10.8,0.17952,1.72056
10.9,0.18125,1.72858
11,0.18297,1.73707
11.1,0.18472,1.7455
11.2,0.18639,1.75214
11.3,0.188,1.75917
11.4,0.18957,1.76436
11.5,0.1912,1.77073
11.6,0.1929,1.77816
11.7,0.19454,1.78471
11.8,0.19623,1.79222
11.9,0.19799,1.80037
12,0.19974,1.80815
12.1,0.20132,1.81345
12.2,0.20297,1.82062
12.3,0.20481,1.8297
12.4,0.20655,1.83652
12.5,0.20824,1.84265
12.6,0.21008,1.85111
12.7,0.21161,1.85523
12.8,0.21313,1.8601
12.9,0.21479,1.86746
13,0.21645,1.87421
13.1,0.21803,1.88062
13.2,0.21968,1.8881
13.3,0.22132,1.89605
13.4,0.22287,1.90158
13.5,0.22453,1.90818
13.6,0.2262,1.9149
13.7,0.22788,1.9216
13.8,0.22953,1.9286
13.9,0.23117,1.93446
14,0.23281,1.94051
14.1,0.23469,1.94938
14.2,0.23649,1.95725
14.3,0.23816,1.96354
14.4,0.23981,1.96933
14.5,0.24143,1.97454
14.6,0.24306,1.98022
14.7,0.2446,1.98422
14.8,0.24618,1.9896
14.9,0.24781,1.99525
15,0.24947,2.00184
15.1,0.25111,2.00751
15.2,0.25272,2.01306
15.3,0.25438,2.01907
15.4,0.25601,2.02486
15.5,0.25778,2.03281
15.6,0.25954,2.04046
15.7,0.26125,2.04687
15.8,0.26303,2.05497
15.9,0.26484,2.0621
16,0.26651,2.0684
16.1,0.26808,2.07275
16.2,0.26976,2.0789
16.3,0.27144,2.08476
16.4,0.27306,2.08994
16.5,0.27469,2.09595
16.6,0.27633,2.10165
16.7,0.278,2.10738
16.8,0.27956,2.1127
16.9,0.28116,2.11773
17,0.28287,2.12534
17.1,0.28459,2.13199
17.2,0.28621,2.13749
17.3,0.28779,2.14268
17.4,0.28965,2.15173
17.5,0.29153,2.15974
17.6,0.29304,2.16296
17.7,0.29469,2.16832
17.8,0.29637,2.17412
17.9,0.29801,2.17947
18,0.29967,2.18533
18.1,0.30136,2.19068
18.2,0.30304,2.19649
18.3,0.30475,2.20401
18.4,0.30634,2.20785
18.5,0.30788,2.2115
18.6,0.30945,2.21625
18.7,0.31101,2.22172
18.8,0.3128,2.22941
18.9,0.3146,2.23631
19,0.3162,2.24079
19.1,0.31788,2.24734
19.2,0.31956,2.2525
19.3,0.32123,2.25744
19.4,0.3229,2.26226
19.5,0.32458,2.26813
19.6,0.32623,2.27311
19.7,0.32787,2.27791
19.8,0.3295,2.28375
19.9,0.33115,2.28953
20,0.33281,2.29539
20.1,0.33454,2.30216
20.2,0.3362,2.30701
20.3,0.3379,2.31358
20.4,0.33962,2.31953
20.5,0.34135,2.32625
20.6,0.34312,2.33381
20.7,0.34484,2.34007
