General : Start date,8/14/2020,
General : End date,8/14/2020,
General : Unique identifier,{D5061BFD-962A-4F93-8877-14C1247F723E},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1391 P5 W1 4,
Break (Standard) : Load at Break (Standard),5.95816,N
Maximum Load : Maximum Load,10.46472,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.55236
0.1,0.00007,0.55268
0.2,0.00035,0.55629
0.3,0.00116,0.56941
0.4,0.00498,0.63117
0.5,0.00793,0.6728
0.6,0.00962,0.69459
0.7,0.01117,0.71366
0.8,0.0128,0.73434
0.9,0.01444,0.75447
1,0.01619,0.77636
1.1,0.01791,0.79728
1.2,0.01958,0.8163
1.3,0.02124,0.8357
1.4,0.02287,0.85452
1.5,0.02451,0.87318
1.6,0.02615,0.89163
1.7,0.02778,0.90999
1.8,0.02959,0.93043
1.9,0.0314,0.95045
2,0.03309,0.96854
2.1,0.03475,0.98535
2.2,0.03636,1.0021
2.3,0.03803,1.01911
2.4,0.03968,1.0355
2.5,0.04133,1.0527
2.6,0.04298,1.06908
2.7,0.0446,1.08519
2.8,0.04627,1.10161
2.9,0.04797,1.11892
3,0.04973,1.13704
3.1,0.05136,1.15274
3.2,0.05306,1.16958
3.3,0.05478,1.18666
3.4,0.05643,1.20271
3.5,0.05809,1.22038
3.6,0.05979,1.23774
3.7,0.06148,1.25426
3.8,0.06312,1.27009
3.9,0.06479,1.28702
4,0.06643,1.30342
4.1,0.06803,1.3189
4.2,0.06972,1.33687
4.3,0.07146,1.35445
4.4,0.07322,1.37238
4.5,0.07495,1.39024
4.6,0.0766,1.40655
4.7,0.07816,1.421
4.8,0.07977,1.43682
4.9,0.08144,1.45383
5,0.08312,1.47089
5.1,0.08482,1.48854
5.2,0.08658,1.50794
5.3,0.08817,1.5237
5.4,0.08981,1.54056
5.5,0.09141,1.55644
5.6,0.09301,1.57269
5.7,0.09457,1.58849
5.8,0.09614,1.6048
5.9,0.09777,1.62177
6,0.09937,1.63813
6.1,0.10109,1.65659
6.2,0.10282,1.67496
6.3,0.1045,1.69203
6.4,0.10616,1.70847
6.5,0.10785,1.72613
6.6,0.10964,1.74396
6.7,0.1114,1.76187
6.8,0.11308,1.77844
6.9,0.11476,1.79411
7,0.11641,1.80942
7.1,0.11803,1.82359
7.2,0.1196,1.83759
7.3,0.12115,1.8524
7.4,0.12285,1.86974
7.5,0.12454,1.8857
7.6,0.12619,1.9008
7.7,0.12787,1.91603
7.8,0.12954,1.9311
7.9,0.13119,1.94574
8,0.13287,1.96057
8.1,0.13453,1.97448
8.2,0.13618,1.98871
8.3,0.13783,2.00321
8.4,0.1396,2.01906
8.5,0.14129,2.03291
8.6,0.1431,2.04859
8.7,0.14478,2.06097
8.8,0.1464,2.0729
8.9,0.14806,2.08554
9,0.1497,2.09839
9.1,0.15131,2.10976
9.2,0.15287,2.12127
9.3,0.15441,2.13284
9.4,0.15607,2.14656
9.5,0.15782,2.16112
9.6,0.15954,2.17479
9.7,0.16111,2.1849
9.8,0.16287,2.19983
9.9,0.16467,2.21424
10,0.16643,2.22845
10.1,0.16816,2.24176
10.2,0.16979,2.25307
10.3,0.17144,2.26553
10.4,0.17302,2.27701
10.5,0.17464,2.28901
10.6,0.17628,2.30124
10.7,0.17785,2.31213
10.8,0.17943,2.32336
10.9,0.18111,2.33675
11,0.18278,2.34956
11.1,0.18442,2.36309
11.2,0.18606,2.37625
11.3,0.18765,2.38824
11.4,0.18928,2.40165
11.5,0.19095,2.41551
11.6,0.19274,2.43178
11.7,0.19448,2.44593
11.8,0.19622,2.45988
11.9,0.19793,2.47274
12,0.1996,2.48544
12.1,0.20129,2.49826
12.2,0.203,2.51188
12.3,0.20474,2.52592
12.4,0.20642,2.53854
12.5,0.20808,2.55045
12.6,0.20975,2.56183
12.7,0.2114,2.57392
12.8,0.21304,2.58566
12.9,0.21476,2.59902
13,0.21634,2.60971
13.1,0.21809,2.62392
13.2,0.21975,2.63531
13.3,0.22134,2.64616
13.4,0.223,2.65858
13.5,0.22461,2.66895
13.6,0.22618,2.67958
13.7,0.22781,2.69155
13.8,0.22946,2.70401
13.9,0.23108,2.71526
14,0.23271,2.72709
14.1,0.23433,2.7382
14.2,0.23595,2.74901
14.3,0.23762,2.76091
14.4,0.23929,2.77327
14.5,0.24105,2.78738
14.6,0.24278,2.79959
14.7,0.24435,2.80861
14.8,0.24626,2.82562
14.9,0.24818,2.84123
15,0.24983,2.85017
15.1,0.2514,2.8596
15.2,0.25303,2.86983
15.3,0.25462,2.87904
15.4,0.25617,2.88775
15.5,0.25775,2.89813
15.6,0.25939,2.90932
15.7,0.26101,2.92037
15.8,0.26265,2.93175
15.9,0.26429,2.94224
16,0.26599,2.95424
16.1,0.26768,2.96614
16.2,0.26937,2.97718
16.3,0.271,2.9875
16.4,0.27277,3.00012
16.5,0.27462,3.0144
16.6,0.27648,3.02882
16.7,0.27813,3.0375
16.8,0.27972,3.04653
16.9,0.28141,3.05753
17,0.28311,3.06894
17.1,0.28477,3.07965
17.2,0.28639,3.08927
17.3,0.28803,3.1
17.4,0.2897,3.11242
17.5,0.29135,3.12352
17.6,0.293,3.13463
17.7,0.29467,3.14617
17.8,0.29633,3.15835
17.9,0.29799,3.17021
18,0.29972,3.18275
18.1,0.30143,3.19554
18.2,0.30324,3.21045
18.3,0.30511,3.22563
18.4,0.30681,3.2369
18.5,0.30837,3.24571
18.6,0.31,3.25671
18.7,0.3117,3.26911
18.8,0.31333,3.27968
18.9,0.31498,3.29034
19,0.31662,3.30219
19.1,0.31821,3.31269
19.2,0.3198,3.32343
19.3,0.32145,3.33664
19.4,0.32306,3.34812
19.5,0.32465,3.35962
19.6,0.32643,3.37658
19.7,0.32814,3.38998
19.8,0.32989,3.40276
19.9,0.33158,3.40988
20,0.33329,3.42537
20.1,0.33496,3.43859
20.2,0.33655,3.45086
20.3,0.33816,3.46262
20.4,0.33977,3.47449
20.5,0.34138,3.48673
20.6,0.34301,3.49934
20.7,0.34473,3.51349
20.8,0.34637,3.52532
20.9,0.34804,3.53677
21,0.3497,3.54814
21.1,0.35132,3.55969
21.2,0.35294,3.57242
21.3,0.35453,3.5842
21.4,0.35622,3.5986
21.5,0.35793,3.61301
21.6,0.35967,3.6275
21.7,0.36141,3.6392
21.8,0.3631,3.65215
21.9,0.36476,3.66493
22,0.36637,3.67703
22.1,0.36803,3.69131
22.2,0.36974,3.70505
22.3,0.37136,3.71608
22.4,0.37309,3.73046
22.5,0.37482,3.74183
22.6,0.3765,3.75324
22.7,0.37812,3.7652
22.8,0.37978,3.77847
22.9,0.38154,3.79339
23,0.38319,3.80538
23.1,0.38474,3.81482
23.2,0.38639,3.82697
23.3,0.38801,3.83833
23.4,0.38953,3.84838
23.5,0.39113,3.86059
23.6,0.39276,3.87225
23.7,0.39433,3.88025
23.8,0.39591,3.8851
23.9,0.39756,3.89773
24,0.39927,3.91217
24.1,0.40096,3.92626
24.2,0.40262,3.93931
24.3,0.40437,3.95279
24.4,0.40614,3.96503
24.5,0.40781,3.97578
24.6,0.40942,3.98526
24.7,0.41125,4.00009
24.8,0.41308,4.0138
24.9,0.41472,4.02387
25,0.41635,4.03431
25.1,0.41799,4.04482
25.2,0.41953,4.0536
25.3,0.42109,4.06287
25.4,0.42271,4.07309
25.5,0.42437,4.08327
25.6,0.42601,4.09333
25.7,0.42769,4.10578
25.8,0.42945,4.12152
25.9,0.43116,4.13331
26,0.43272,4.14261
26.1,0.43439,4.15473
26.2,0.43624,4.16967
26.3,0.4381,4.184
26.4,0.43976,4.18887
26.5,0.44144,4.20041
