General : Start date,9/3/2020,
General : End date,9/3/2020,
General : Unique identifier,{4A7C0646-4D6C-405F-8024-987F609A0422},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1395 P2 W1 1,
Break (Standard) : Load at Break (Standard),12.88491,N
Maximum Load : Maximum Load,13.59637,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.78168
0.1,0.00008,0.78302
0.2,0.0005,0.79141
0.3,0.0036,0.86365
0.4,0.00621,0.91762
0.5,0.00778,0.94695
0.6,0.00934,0.97671
0.7,0.01097,1.00828
0.8,0.01265,1.04139
0.9,0.01437,1.07485
1,0.01611,1.10598
1.1,0.01775,1.13546
1.2,0.01941,1.16597
1.3,0.02122,1.20063
1.4,0.02301,1.23335
1.5,0.02478,1.26526
1.6,0.02648,1.29314
1.7,0.02814,1.32128
1.8,0.02977,1.34944
1.9,0.03142,1.37828
2,0.03307,1.40663
2.1,0.03473,1.43414
2.2,0.03638,1.46214
2.3,0.03804,1.49037
2.4,0.03958,1.51503
2.5,0.0411,1.53936
2.6,0.04278,1.56761
2.7,0.0445,1.59739
2.8,0.04617,1.62407
2.9,0.04781,1.65034
3,0.04941,1.67644
3.1,0.05122,1.70715
3.2,0.05301,1.73642
3.3,0.05474,1.76357
3.4,0.05647,1.7921
3.5,0.05806,1.81487
3.6,0.05975,1.84233
3.7,0.06141,1.86894
3.8,0.06304,1.89464
3.9,0.06461,1.91802
4,0.06622,1.94281
4.1,0.06792,1.96981
4.2,0.06965,1.99809
4.3,0.07142,2.02792
4.4,0.07304,2.0531
4.5,0.07456,2.07425
4.6,0.07621,2.10143
4.7,0.07788,2.12788
4.8,0.07953,2.15496
4.9,0.08121,2.18214
5,0.08288,2.20739
5.1,0.08455,2.23247
5.2,0.0862,2.25877
5.3,0.08783,2.28363
5.4,0.0895,2.31189
5.5,0.09116,2.33737
5.6,0.09277,2.36157
5.7,0.09444,2.38753
5.8,0.09612,2.41368
5.9,0.0978,2.43922
6,0.09956,2.46672
6.1,0.10127,2.49281
6.2,0.10297,2.51771
6.3,0.1047,2.54469
6.4,0.1064,2.57223
6.5,0.108,2.59537
6.6,0.10964,2.6197
6.7,0.11127,2.64427
6.8,0.11289,2.66891
6.9,0.11454,2.69474
7,0.11621,2.71977
7.1,0.1178,2.74418
7.2,0.11941,2.7677
7.3,0.12108,2.79406
7.4,0.12283,2.82111
7.5,0.12456,2.84735
7.6,0.1263,2.87453
7.7,0.12803,2.89978
7.8,0.12985,2.92813
7.9,0.1317,2.95642
8,0.13334,2.97925
8.1,0.13497,3.00267
8.2,0.13662,3.02536
8.3,0.13825,3.04813
8.4,0.1398,3.06959
8.5,0.14138,3.09179
8.6,0.14303,3.11649
8.7,0.1447,3.14044
8.8,0.1463,3.16209
8.9,0.14788,3.18318
9,0.14951,3.2051
9.1,0.15113,3.22666
9.2,0.15278,3.24824
9.3,0.1544,3.26863
9.4,0.15599,3.28928
9.5,0.15758,3.30888
9.6,0.15921,3.32859
9.7,0.16099,3.35219
9.8,0.16277,3.37513
9.9,0.16453,3.3967
10,0.16622,3.41563
10.1,0.16788,3.43419
10.2,0.16958,3.45428
10.3,0.17118,3.47132
10.4,0.17279,3.48714
10.5,0.17438,3.50519
10.6,0.17596,3.52105
10.7,0.17762,3.53921
10.8,0.17938,3.56045
10.9,0.18108,3.57875
11,0.1827,3.59525
11.1,0.18449,3.61707
11.2,0.18623,3.63659
11.3,0.18798,3.65551
11.4,0.18971,3.67475
11.5,0.19131,3.68976
11.6,0.19293,3.70628
11.7,0.19455,3.72198
11.8,0.19624,3.73963
