General : Start date,9/3/2020,
General : End date,9/3/2020,
General : Unique identifier,{D8806CD6-86C0-4D73-BFC7-67808CF02C71},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1395 P4 W1 3,
Break (Standard) : Load at Break (Standard),3.02751,N
Maximum Load : Maximum Load,5.04937,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.68539
0.1,0.00011,0.68662
0.2,0.00098,0.69647
0.3,0.00242,0.71245
0.4,0.00434,0.73328
0.5,0.00655,0.75836
0.6,0.00878,0.78217
0.7,0.01092,0.80427
0.8,0.01291,0.82503
0.9,0.01461,0.84318
1,0.01635,0.86097
1.1,0.01811,0.87914
1.2,0.01974,0.89632
1.3,0.02137,0.91313
1.4,0.02306,0.93009
1.5,0.02473,0.9478
1.6,0.02634,0.96456
1.7,0.02799,0.98186
1.8,0.0297,0.99936
1.9,0.03133,1.01599
2,0.03298,1.03374
2.1,0.03458,1.05097
2.2,0.03628,1.06815
2.3,0.03803,1.08633
2.4,0.03974,1.10372
2.5,0.0414,1.12111
2.6,0.0431,1.13914
2.7,0.04479,1.15667
2.8,0.04649,1.17334
2.9,0.04814,1.19159
3,0.04981,1.20696
3.1,0.05149,1.22573
3.2,0.05312,1.24265
3.3,0.0547,1.25867
3.4,0.05636,1.27589
3.5,0.058,1.29357
3.6,0.05964,1.31129
3.7,0.06124,1.32828
3.8,0.06284,1.34545
3.9,0.06451,1.36204
4,0.0662,1.37985
4.1,0.06805,1.40078
4.2,0.06985,1.41912
4.3,0.07149,1.43607
4.4,0.07311,1.45117
4.5,0.07473,1.46869
4.6,0.07634,1.4847
4.7,0.078,1.50023
4.8,0.0796,1.51654
4.9,0.08119,1.53101
5,0.08281,1.54889
5.1,0.08448,1.56527
5.2,0.08621,1.58415
5.3,0.08781,1.59933
5.4,0.08946,1.61752
5.5,0.09129,1.63813
5.6,0.09296,1.65377
5.7,0.09461,1.67034
5.8,0.09634,1.68882
5.9,0.09811,1.70929
6,0.09968,1.72451
6.1,0.10129,1.74187
6.2,0.10291,1.75645
6.3,0.10458,1.77466
6.4,0.10623,1.79103
6.5,0.10788,1.80828
6.6,0.10952,1.82394
6.7,0.11118,1.83896
6.8,0.11282,1.85739
6.9,0.11444,1.87148
7,0.1161,1.88874
7.1,0.11783,1.90548
7.2,0.11951,1.92205
7.3,0.12108,1.93753
7.4,0.12275,1.95387
7.5,0.12454,1.97169
7.6,0.12621,1.98707
7.7,0.1279,2.00236
7.8,0.12956,2.01751
7.9,0.1312,2.03355
8,0.13282,2.04893
8.1,0.13441,2.06186
8.2,0.13604,2.07693
8.3,0.13776,2.0925
