General : Start date,"2019-07-22"
General : End date,"2019-07-22"
General : Unique identifier,"{CC229F2C-F645-4D1D-83D0-32F0CCE89728}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"D_15_1_WR2
3_S2
"

Time,Extension,Load
(s),(mm),(N)
"14.97300","0.24909","4.04644"
"15.05100","0.25041","4.07165"
"15.13800","0.25191","4.09692"
"15.23500","0.25349","4.12215"
"15.33200","0.25505","4.14732"
"15.41800","0.25646","4.17235"
"15.49500","0.25777","4.19742"
"15.57700","0.25918","4.22264"
"15.66700","0.26070","4.24775"
"15.75500","0.26214","4.27288"
"15.83800","0.26350","4.29814"
"15.92000","0.26491","4.32314"
"16.00900","0.26639","4.34829"
"16.09800","0.26785","4.37332"
"16.16900","0.26912","4.39858"
"16.24700","0.27050","4.42359"
"16.32200","0.27184","4.44874"
"16.40500","0.27327","4.47395"
"16.50300","0.27481","4.49917"
"16.60300","0.27635","4.52394"
"16.69500","0.27783","4.54916"
"16.77800","0.27919","4.57423"
"16.85800","0.28049","4.59933"
"16.94000","0.28186","4.62465"
"17.02500","0.28328","4.64989"
"17.11100","0.28466","4.67490"
"17.18600","0.28593","4.70014"
"17.26300","0.28727","4.72539"
"17.34200","0.28862","4.75046"
"17.42400","0.28998","4.77557"
"17.51100","0.29140","4.80083"
"17.59400","0.29277","4.82610"
"17.66100","0.29398","4.85128"
"17.73300","0.29525","4.87638"
"17.80900","0.29657","4.90157"
"17.88900","0.29791","4.92659"
"17.96900","0.29926","4.95186"
"18.05300","0.30064","4.97689"
"18.14000","0.30206","5.00210"
"18.21500","0.30332","5.02729"
"18.29600","0.30468","5.05244"
"18.38000","0.30604","5.07746"
"18.46300","0.30736","5.10252"
"18.55000","0.30872","5.12758"
"18.63100","0.31002","5.15274"
"18.70200","0.31121","5.17805"
"18.77600","0.31246","5.20321"
"18.85600","0.31377","5.22847"
"18.93100","0.31500","5.25365"
"19.00400","0.31622","5.27890"
"19.08100","0.31751","5.30428"
"19.15500","0.31876","5.32946"
"19.22000","0.31988","5.35457"
"19.28900","0.32109","5.37961"
"19.36700","0.32239","5.40469"
"19.43700","0.32360","5.42991"
"19.50400","0.32478","5.45500"
"19.57800","0.32606","5.48030"
"19.64700","0.32726","5.50536"
"19.72200","0.32854","5.53049"
"19.80400","0.32986","5.55580"
"19.88400","0.33118","5.58102"
"19.95700","0.33242","5.60626"
"20.03700","0.33371","5.63127"
"20.11900","0.33503","5.65649"
"20.19800","0.33633","5.68183"
"20.27200","0.33755","5.70710"
"20.34700","0.33879","5.73233"
"20.42200","0.34004","5.75740"
"20.50300","0.34133","5.78263"
"20.58900","0.34265","5.80777"
"20.65400","0.34374","5.83277"
"20.72200","0.34490","5.85786"
"20.79700","0.34614","5.88293"
"20.87000","0.34733","5.90814"
"20.93400","0.34844","5.93322"
"20.99800","0.34957","5.95858"
"21.06500","0.35072","5.98380"
"21.13300","0.35191","6.00915"
"21.19700","0.35303","6.03437"
"21.26900","0.35425","6.05969"
"21.34000","0.35543","6.08470"
"21.41800","0.35670","6.10971"
"21.49500","0.35795","6.13478"
"21.57000","0.35919","6.16001"
"21.63800","0.36035","6.18536"
"21.71300","0.36159","6.21066"
"21.79000","0.36285","6.23587"
"21.85900","0.36400","6.26115"
"21.93600","0.36526","6.28627"
"22.00700","0.36644","6.31152"
"22.08100","0.36766","6.33683"
"22.15500","0.36888","6.36205"
"22.22500","0.37004","6.38717"
"22.29500","0.37122","6.41250"
"22.36800","0.37244","6.43756"
"22.44100","0.37361","6.46278"
"22.51400","0.37478","6.48790"
"22.58800","0.37599","6.51318"
"22.65600","0.37711","6.53845"
"22.71700","0.37818","6.56367"
"22.77900","0.37924","6.58896"
"22.84500","0.38037","6.61435"
"22.91100","0.38150","6.63948"
"22.96900","0.38252","6.66483"
"23.03200","0.38361","6.68989"
"23.10600","0.38482","6.71518"
"23.17900","0.38602","6.74034"
"23.24500","0.38712","6.76567"
"23.31000","0.38822","6.79110"
"23.38600","0.38946","6.81634"
"23.45300","0.39054","6.84169"
"23.52400","0.39172","6.86693"
"23.59700","0.39292","6.89219"
"23.66600","0.39404","6.91746"
"23.74100","0.39526","6.94262"
"23.80300","0.39631","6.96771"
"23.86800","0.39740","6.99272"
"23.94200","0.39862","7.01791"
"24.00300","0.39967","7.04307"
"24.07300","0.40085","7.06833"
"24.14100","0.40198","7.09336"
"24.20400","0.40308","7.11885"
"24.26200","0.40413","7.14404"
"24.33000","0.40527","7.16917"
"24.41200","0.40656","7.19441"
"24.48400","0.40769","7.21948"
"24.54900","0.40876","7.24450"
"24.61300","0.40986","7.26980"
"24.66700","0.41081","7.29493"
"24.73600","0.41198","7.31996"
"24.80200","0.41302","7.34525"
"24.88000","0.41426","7.37050"
"24.95200","0.41543","7.39555"
"25.01000","0.41639","7.42076"
"25.08300","0.41758","7.44601"
"25.14500","0.41861","7.47130"
"25.20900","0.41970","7.49656"
"25.27700","0.42083","7.52181"
"25.34100","0.42188","7.54685"
"25.41100","0.42305","7.57193"
"25.47100","0.42407","7.59708"
"25.53700","0.42521","7.62246"
"25.60000","0.42625","7.64780"
"25.66700","0.42738","7.67314"
"25.73900","0.42857","7.69815"
"25.79800","0.42957","7.72337"
"25.87100","0.43079","7.74856"
"25.93200","0.43180","7.77370"
"25.99500","0.43291","7.79915"
"26.04900","0.43390","7.82429"
"26.11000","0.43500","7.84962"
"26.18000","0.43617","7.87484"
"26.24800","0.43727","7.89999"
"26.32100","0.43848","7.92523"
"26.38100","0.43950","7.95027"
"26.45100","0.44064","7.97550"
"26.53300","0.44191","8.00080"
"26.60300","0.44298","8.02581"
"26.67200","0.44408","8.05083"
"26.73800","0.44516","8.07613"
"26.79800","0.44616","8.10142"
"26.86500","0.44728","8.12662"
"26.92600","0.44828","8.15185"
"26.99900","0.44946","8.17715"
"27.05900","0.45047","8.20250"
"27.11700","0.45149","8.22761"
"27.18000","0.45256","8.25292"
"27.24500","0.45364","8.27809"
"27.32200","0.45487","8.30315"
