General : Start date,8/13/2020,
General : End date,8/13/2020,
General : Unique identifier,{C58AA225-2AF6-4174-9147-F39532A62BB4},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1311 P1 W1 2,
Break (Standard) : Load at Break (Standard),13.13049,N
Maximum Load : Maximum Load,14.21022,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.38139
0.1,0.00007,0.38316
0.2,0.0006,0.39495
0.3,0.00161,0.41805
0.4,0.00337,0.45856
0.5,0.00582,0.5146
0.6,0.00862,0.5797
0.7,0.01091,0.63098
0.8,0.01271,0.67
0.9,0.01438,0.70685
1,0.01609,0.74408
1.1,0.01779,0.78037
1.2,0.01948,0.81601
1.3,0.02122,0.85341
1.4,0.02292,0.88953
1.5,0.02464,0.92521
1.6,0.02627,0.95828
1.7,0.02786,0.98999
1.8,0.02963,1.02501
1.9,0.03149,1.06161
2,0.03327,1.09566
2.1,0.03486,1.12467
2.2,0.0365,1.15501
2.3,0.03815,1.18567
2.4,0.03976,1.21565
2.5,0.0414,1.24652
2.6,0.04305,1.27715
2.7,0.04466,1.30739
2.8,0.04637,1.34059
2.9,0.04809,1.37444
3,0.04975,1.40659
3.1,0.05147,1.44034
3.2,0.05306,1.47075
3.3,0.05484,1.50707
3.4,0.05652,1.53926
3.5,0.05821,1.57204
3.6,0.05984,1.60289
3.7,0.06141,1.63222
3.8,0.06309,1.66445
3.9,0.06474,1.69566
4,0.06638,1.7268
4.1,0.06802,1.75745
4.2,0.06956,1.78515
4.3,0.07112,1.81312
4.4,0.07268,1.84177
4.5,0.07426,1.87077
4.6,0.07596,1.9045
4.7,0.07761,1.93534
4.8,0.07924,1.96585
4.9,0.08095,1.99811
5,0.08267,2.02995
5.1,0.08445,2.06364
5.2,0.08624,2.09705
5.3,0.08802,2.13003
5.4,0.08977,2.1618
5.5,0.09138,2.18966
5.6,0.09308,2.22029
5.7,0.09478,2.25133
5.8,0.09641,2.281
5.9,0.09805,2.31001
6,0.09968,2.3399
6.1,0.10131,2.36895
6.2,0.10289,2.39674
6.3,0.10452,2.42619
6.4,0.10612,2.45435
6.5,0.10773,2.48378
6.6,0.1094,2.51463
6.7,0.11104,2.54357
6.8,0.11267,2.57229
6.9,0.11431,2.60152
7,0.116,2.63132
7.1,0.11768,2.66039
7.2,0.11939,2.68991
7.3,0.12112,2.72017
7.4,0.12284,2.74989
7.5,0.1245,2.77723
7.6,0.12613,2.80463
7.7,0.12779,2.83208
7.8,0.12949,2.86102
7.9,0.13112,2.88775
8,0.13285,2.9168
8.1,0.13461,2.946
8.2,0.13633,2.97407
8.3,0.13795,3.00016
8.4,0.13965,3.02898
8.5,0.14144,3.06021
8.6,0.14314,3.08808
8.7,0.14476,3.11319
8.8,0.14644,3.13911
8.9,0.14805,3.16317
9,0.14968,3.18898
9.1,0.15129,3.21382
9.2,0.15289,3.2383
9.3,0.15455,3.2645
9.4,0.15623,3.2917
9.5,0.15786,3.31623
9.6,0.15955,3.34316
9.7,0.16116,3.36766
9.8,0.16289,3.39532
9.9,0.16468,3.42352
10,0.16641,3.45028
10.1,0.16805,3.47432
10.2,0.16971,3.49975
10.3,0.17131,3.52245
10.4,0.17287,3.545
10.5,0.17448,3.56881
10.6,0.17606,3.59171
10.7,0.17761,3.61367
10.8,0.1792,3.63642
10.9,0.18083,3.65998
11,0.18247,3.6831
11.1,0.18411,3.70647
11.2,0.18581,3.73039
11.3,0.18753,3.75555
11.4,0.18922,3.77852
11.5,0.19081,3.79879
11.6,0.19248,3.82121
11.7,0.19444,3.85166
11.8,0.19629,3.8785
11.9,0.19808,3.90292
12,0.19978,3.92502
12.1,0.20141,3.94541
12.2,0.20302,3.96623
12.3,0.20461,3.98716
12.4,0.20621,4.00867
12.5,0.20786,4.03195
12.6,0.20959,4.05622
12.7,0.21131,4.08187
12.8,0.21302,4.10567
12.9,0.21467,4.12795
13,0.21619,4.14641
13.1,0.21796,4.1728
13.2,0.21986,4.20125
13.3,0.22156,4.22305
13.4,0.22316,4.24422
13.5,0.22482,4.26478
13.6,0.22647,4.28635
13.7,0.22805,4.30556
13.8,0.22975,4.32921
13.9,0.23141,4.35098
14,0.233,4.37052
14.1,0.23463,4.39171
14.2,0.23624,4.41298
14.3,0.23781,4.4336
14.4,0.23949,4.45924
14.5,0.2412,4.48271
14.6,0.2429,4.50677
14.7,0.24464,4.53084
14.8,0.24638,4.55532
14.9,0.24809,4.57893
15,0.24994,4.60646
15.1,0.25168,4.63004
15.2,0.25329,4.6517
15.3,0.25498,4.67406
15.4,0.25666,4.69594
15.5,0.25831,4.71661
15.6,0.25994,4.73765
15.7,0.26157,4.75829
15.8,0.26316,4.77752
15.9,0.26485,4.80042
16,0.26655,4.82332
16.1,0.2682,4.84678
16.2,0.26969,4.86294
16.3,0.27137,4.8862
16.4,0.27313,4.91133
16.5,0.27475,4.9321
16.6,0.27634,4.9516
16.7,0.27801,4.97438
16.8,0.27969,4.99693
16.9,0.2813,5.01676
17,0.2829,5.03748
17.1,0.28456,5.06103
17.2,0.28622,5.08165
17.3,0.28786,5.10214
17.4,0.28953,5.12367
17.5,0.29122,5.14483
17.6,0.29288,5.16614
17.7,0.29459,5.18785
17.8,0.29627,5.2086
17.9,0.29799,5.23088
18,0.2997,5.25297
18.1,0.30133,5.27402
18.2,0.30296,5.29384
18.3,0.3046,5.31465
18.4,0.30626,5.3356
18.5,0.30789,5.35576
18.6,0.30956,5.37743
18.7,0.31123,5.39782
18.8,0.31286,5.41729
18.9,0.31453,5.43899
19,0.31624,5.46136
19.1,0.31781,5.4785
19.2,0.31945,5.49849
19.3,0.32116,5.52076
19.4,0.32288,5.54147
19.5,0.3244,5.5567
19.6,0.32618,5.58087
19.7,0.32812,5.6076
19.8,0.32984,5.62709
19.9,0.33154,5.64873
20,0.33318,5.66636
20.1,0.33474,5.68357
20.2,0.33633,5.70258
20.3,0.33801,5.72396
20.4,0.33974,5.74748
20.5,0.34138,5.76681
20.6,0.34302,5.78675
20.7,0.34467,5.80732
20.8,0.34636,5.82868
20.9,0.34801,5.84854
21,0.34967,5.86944
21.1,0.35137,5.89069
