General : Start date,8/13/2020,
General : End date,8/13/2020,
General : Unique identifier,{5664F47C-E39F-4E0B-829F-B3F39AA552FB},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1311 P5 W2 2,
Break (Standard) : Load at Break (Standard),12.25062,N
Maximum Load : Maximum Load,13.85496,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.45815
0.1,0.00002,0.45861
0.2,0.0003,0.46207
0.3,0.00103,0.4726
0.4,0.00247,0.49531
0.5,0.00534,0.54094
0.6,0.00923,0.60195
0.7,0.0113,0.63136
0.8,0.01289,0.65256
0.9,0.01455,0.67525
1,0.01621,0.69788
1.1,0.01783,0.71973
1.2,0.01943,0.74089
1.3,0.02101,0.76157
1.4,0.02259,0.78177
1.5,0.02424,0.80352
1.6,0.02592,0.82494
1.7,0.02766,0.84751
1.8,0.02938,0.86965
1.9,0.03106,0.88945
2,0.03263,0.90858
2.1,0.03444,0.93171
2.2,0.03621,0.95297
2.3,0.03786,0.97303
2.4,0.03954,0.99331
2.5,0.04121,1.01391
2.6,0.04286,1.03259
2.7,0.04455,1.05291
2.8,0.0462,1.07139
2.9,0.04789,1.0914
3,0.04954,1.11102
3.1,0.05122,1.13097
3.2,0.05285,1.14954
3.3,0.05446,1.16895
3.4,0.05599,1.18749
3.5,0.05775,1.20931
3.6,0.05951,1.23047
3.7,0.06126,1.25171
3.8,0.06291,1.27208
3.9,0.06459,1.29344
4,0.06636,1.31531
4.1,0.06811,1.33707
4.2,0.06978,1.35764
4.3,0.07142,1.37687
4.4,0.07307,1.39703
4.5,0.07473,1.41684
4.6,0.07637,1.4371
4.7,0.07806,1.45748
4.8,0.07973,1.47767
4.9,0.08138,1.49815
5,0.08308,1.51971
5.1,0.08477,1.54006
5.2,0.0864,1.56049
5.3,0.08802,1.58001
5.4,0.08982,1.60334
5.5,0.09156,1.62493
5.6,0.09324,1.64617
5.7,0.09486,1.66544
5.8,0.09654,1.68594
5.9,0.09812,1.70565
6,0.09972,1.72479
6.1,0.10137,1.74477
6.2,0.10307,1.76554
6.3,0.10474,1.78689
6.4,0.10645,1.80795
6.5,0.10822,1.83043
6.6,0.10991,1.85036
6.7,0.11148,1.86918
6.8,0.11323,1.89179
6.9,0.11496,1.9137
7,0.11668,1.9352
7.1,0.11836,1.95581
7.2,0.11987,1.97307
7.3,0.12136,1.9903
7.4,0.12299,2.01094
7.5,0.12459,2.03056
7.6,0.12616,2.04925
7.7,0.12772,2.06766
7.8,0.12934,2.08776
