General : Start date,8/13/2020,
General : End date,8/13/2020,
General : Unique identifier,{1956E580-C40B-48CA-A86E-D34F97883948},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1311 P1 W2 1,
Break (Standard) : Load at Break (Standard),9.74612,N
Maximum Load : Maximum Load,15.73791,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.62524
0.1,0.00015,0.62842
0.2,0.00107,0.64424
0.3,0.00261,0.66865
0.4,0.00463,0.70242
0.5,0.00686,0.73982
0.6,0.00892,0.77408
0.7,0.01071,0.80431
0.8,0.01248,0.83412
0.9,0.0142,0.86165
1,0.01582,0.888
1.1,0.01748,0.91539
1.2,0.01916,0.94181
1.3,0.02081,0.96792
1.4,0.02239,0.99196
1.5,0.02418,1.02097
1.6,0.02606,1.04958
1.7,0.0278,1.07686
1.8,0.02955,1.10415
1.9,0.03127,1.13163
2,0.03295,1.16184
2.1,0.0346,1.19242
2.2,0.03624,1.22269
2.3,0.03793,1.25467
2.4,0.03957,1.28533
2.5,0.04123,1.31637
2.6,0.04291,1.34841
2.7,0.04459,1.38008
2.8,0.04622,1.41112
2.9,0.04789,1.4433
3,0.04957,1.47485
3.1,0.05122,1.50651
3.2,0.05286,1.53741
3.3,0.05446,1.56758
3.4,0.05628,1.60188
3.5,0.05807,1.63647
3.6,0.05966,1.66532
3.7,0.06122,1.69309
3.8,0.06288,1.72383
3.9,0.06463,1.75639
4,0.06633,1.78747
4.1,0.06803,1.81913
4.2,0.06972,1.85008
4.3,0.07137,1.87937
4.4,0.07301,1.90924
4.5,0.07469,1.93948
4.6,0.0763,1.9688
4.7,0.07791,1.99855
4.8,0.07972,2.03229
4.9,0.08151,2.06591
5,0.08305,2.09238
5.1,0.0847,2.1224
5.2,0.08637,2.15215
5.3,0.088,2.18133
5.4,0.08962,2.20969
5.5,0.09129,2.23926
5.6,0.09299,2.26929
5.7,0.09468,2.29934
5.8,0.09639,2.33021
5.9,0.098,2.35686
6,0.09959,2.38411
6.1,0.10127,2.41306
6.2,0.10303,2.44435
6.3,0.10474,2.47438
6.4,0.10637,2.50268
6.5,0.108,2.53075
6.6,0.1096,2.5582
6.7,0.11123,2.58717
6.8,0.11297,2.61846
6.9,0.11465,2.64736
7,0.11636,2.67721
7.1,0.11801,2.70577
7.2,0.11962,2.73352
7.3,0.12119,2.76054
7.4,0.12282,2.78877
7.5,0.1246,2.82126
7.6,0.12637,2.85263
7.7,0.12809,2.8824
7.8,0.12969,2.90935
7.9,0.13118,2.93288
8,0.13295,2.96477
8.1,0.13485,2.99933
8.2,0.13657,3.02878
8.3,0.13823,3.05696
8.4,0.13992,3.08617
8.5,0.14159,3.11492
8.6,0.14314,3.14106
8.7,0.1447,3.16797
8.8,0.14635,3.19718
8.9,0.14794,3.22468
9,0.14948,3.25034
9.1,0.15114,3.27989
9.2,0.15281,3.30921
9.3,0.15449,3.33896
9.4,0.15616,3.36773
9.5,0.15788,3.39846
9.6,0.15958,3.4279
9.7,0.16132,3.45885
9.8,0.16307,3.48946
9.9,0.16486,3.52055
10,0.16659,3.54976
10.1,0.16823,3.57683
10.2,0.16987,3.60444
10.3,0.17157,3.63383
10.4,0.17326,3.66292
10.5,0.17484,3.68922
10.6,0.17644,3.71696
10.7,0.17814,3.74763
10.8,0.17989,3.77861
10.9,0.18157,3.8084
11,0.18315,3.83471
11.1,0.18484,3.86451
11.2,0.18649,3.89318
11.3,0.18833,3.92807
11.4,0.19005,3.9573
11.5,0.19163,3.98316
11.6,0.19322,4.00931
11.7,0.19491,4.0386
11.8,0.19653,4.06412
11.9,0.19808,4.08834
12,0.19968,4.11393
12.1,0.20126,4.13889
12.2,0.20279,4.16305
12.3,0.20439,4.1885
12.4,0.206,4.21445
12.5,0.20768,4.24219
12.6,0.2093,4.26789
12.7,0.21081,4.29019
12.8,0.21246,4.31758
12.9,0.21422,4.34685
13,0.21594,4.37493
13.1,0.21768,4.40261
13.2,0.21942,4.43087
13.3,0.22118,4.45879
13.4,0.22298,4.48816
13.5,0.22474,4.5167
13.6,0.22641,4.54202
13.7,0.22814,4.56893
13.8,0.22977,4.59299
13.9,0.23139,4.61637
14,0.23301,4.63985
14.1,0.23461,4.6629
14.2,0.23621,4.68558
14.3,0.23784,4.71033
14.4,0.23954,4.73528
14.5,0.24113,4.7569
14.6,0.24281,4.78305
14.7,0.24462,4.81217
14.8,0.24639,4.83923
14.9,0.24806,4.8629
15,0.2497,4.88551
15.1,0.25134,4.90871
15.2,0.25304,4.9333
15.3,0.25466,4.95543
15.4,0.25627,4.97715
15.5,0.25791,5.00072
15.6,0.25966,5.02652
15.7,0.26143,5.05208
15.8,0.26309,5.07437
15.9,0.26489,5.10062
16,0.26657,5.12223
16.1,0.2681,5.13973
16.2,0.26976,5.16225
16.3,0.27146,5.18599
16.4,0.27306,5.20619
16.5,0.27471,5.2276
16.6,0.27636,5.24901
16.7,0.27799,5.26988
16.8,0.27954,5.2885
16.9,0.28112,5.30784
17,0.2828,5.33051
17.1,0.28445,5.3525
17.2,0.28607,5.37273
17.3,0.28774,5.39507
17.4,0.28946,5.41861
17.5,0.29119,5.44228
17.6,0.29287,5.46318
17.7,0.29452,5.48327
17.8,0.29617,5.50298
17.9,0.29793,5.5264
18,0.29971,5.54973
18.1,0.30142,5.57083
18.2,0.30304,5.5888
18.3,0.30475,5.60978
18.4,0.30644,5.62954
18.5,0.30802,5.64658
18.6,0.3096,5.66453
18.7,0.31123,5.68345
18.8,0.31287,5.7027
18.9,0.31452,5.72218
19,0.31612,5.74026
19.1,0.31775,5.75932
19.2,0.3194,5.77873
19.3,0.32108,5.79868
19.4,0.32277,5.81901
19.5,0.32447,5.83937
19.6,0.32611,5.85744
19.7,0.3278,5.87751
19.8,0.32955,5.89859
19.9,0.33128,5.91828
20,0.33309,5.94099
20.1,0.33485,5.96126
20.2,0.33652,5.97786
20.3,0.3382,5.99594
20.4,0.33983,6.01209
20.5,0.34141,6.02813
20.6,0.34299,6.04386
20.7,0.34468,6.06413
20.8,0.34635,6.08328
20.9,0.34791,6.09816
21,0.34945,6.11336
21.1,0.35109,6.1325
