General : Start date,8/13/2020,
General : End date,8/13/2020,
General : Unique identifier,{8467B55B-614F-45E6-AA18-8F1BEC0BB423},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1311 P5 W1 3,
Break (Standard) : Load at Break (Standard),5.64466,N
Maximum Load : Maximum Load,8.16495,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.97324
0.1,0.00011,0.97552
0.2,0.00068,0.98715
0.3,0.00195,1.01566
0.4,0.00395,1.05913
0.5,0.00637,1.10947
0.6,0.00869,1.15054
0.7,0.01082,1.18841
0.8,0.01267,1.21989
0.9,0.01438,1.24918
1,0.016,1.27542
1.1,0.01769,1.30396
1.2,0.01929,1.33034
1.3,0.02093,1.35701
1.4,0.02255,1.38297
1.5,0.02419,1.40855
1.6,0.02587,1.43504
1.7,0.0275,1.46019
1.8,0.02916,1.48621
1.9,0.03084,1.51166
2,0.03244,1.53506
2.1,0.03407,1.55927
2.2,0.0357,1.58264
2.3,0.03742,1.60729
2.4,0.03914,1.63283
2.5,0.04089,1.65895
2.6,0.04257,1.683
2.7,0.04432,1.70778
2.8,0.04603,1.73206
2.9,0.04777,1.7568
3,0.04943,1.77976
3.1,0.05107,1.80151
3.2,0.05271,1.82416
3.3,0.05443,1.84773
3.4,0.05615,1.8713
3.5,0.05789,1.89517
3.6,0.05952,1.916
3.7,0.0614,1.94258
3.8,0.06325,1.96781
3.9,0.06493,1.98928
4,0.06666,2.01187
4.1,0.06826,2.03135
4.2,0.06987,2.0515
4.3,0.07153,2.07302
4.4,0.07311,2.09233
4.5,0.07467,2.11153
4.6,0.07624,2.13084
4.7,0.07783,2.15037
4.8,0.07951,2.17134
4.9,0.08119,2.19163
5,0.08284,2.21064
5.1,0.0845,2.2301
5.2,0.08623,2.25129
5.3,0.08789,2.26939
5.4,0.08942,2.28495
5.5,0.0912,2.3065
5.6,0.09313,2.32937
5.7,0.09485,2.34641
5.8,0.09649,2.36229
5.9,0.09813,2.37775
6,0.09971,2.39265
6.1,0.10132,2.40746
6.2,0.10289,2.42125
6.3,0.10447,2.43509
6.4,0.10605,2.44891
6.5,0.10768,2.46421
6.6,0.10929,2.47797
6.7,0.11092,2.49152
6.8,0.11249,2.50472
6.9,0.11402,2.51568
7,0.11577,2.53186
7.1,0.11755,2.54835
7.2,0.11926,2.56184
7.3,0.12103,2.57634
7.4,0.12281,2.59134
7.5,0.12457,2.60484
7.6,0.12621,2.61668
7.7,0.1279,2.62965
7.8,0.12957,2.64136
7.9,0.13118,2.65297
8,0.13286,2.66615
8.1,0.1345,2.67802
8.2,0.13615,2.6899
8.3,0.13776,2.70181
8.4,0.13941,2.7136
8.5,0.14111,2.72694
8.6,0.14284,2.74065
8.7,0.14452,2.75289
8.8,0.14629,2.76774
8.9,0.14828,2.78596
9,0.15013,2.79972
9.1,0.15164,2.80628
9.2,0.15332,2.81886
9.3,0.15511,2.83413
9.4,0.15682,2.84624
9.5,0.1584,2.85599
9.6,0.15998,2.86698
9.7,0.1617,2.88108
9.8,0.16341,2.89482
9.9,0.16514,2.90851
10,0.16671,2.91795
10.1,0.16813,2.92551
10.2,0.16979,2.93921
10.3,0.17155,2.95438
10.4,0.17322,2.96701
10.5,0.17486,2.97789
10.6,0.17651,2.99054
10.7,0.17819,3.00325
10.8,0.17983,3.01482
10.9,0.1815,3.0272
11,0.18314,3.03847
11.1,0.18479,3.05023
11.2,0.1865,3.06348
11.3,0.18814,3.07366
11.4,0.18973,3.08341
11.5,0.1914,3.0951
11.6,0.19313,3.10808
11.7,0.19481,3.12004
11.8,0.19644,3.13166
11.9,0.1981,3.14404
12,0.19979,3.15704
12.1,0.20148,3.16974
12.2,0.20316,3.18235
12.3,0.20488,3.19576
12.4,0.20658,3.20859
12.5,0.20821,3.21917
12.6,0.20981,3.23062
12.7,0.21141,3.24145
12.8,0.21299,3.25174
12.9,0.21461,3.26353
13,0.21622,3.27502
13.1,0.21792,3.2884
13.2,0.21964,3.30169
13.3,0.22142,3.31572
13.4,0.22301,3.32452
13.5,0.22477,3.33773
13.6,0.22653,3.35087
13.7,0.22814,3.36052
13.8,0.22983,3.37229
13.9,0.23154,3.38427
14,0.23317,3.39414
14.1,0.23471,3.40289
14.2,0.23631,3.41387
14.3,0.23785,3.42293
14.4,0.23941,3.43329
14.5,0.24107,3.44592
14.6,0.24267,3.45712
14.7,0.24431,3.46905
14.8,0.24602,3.48304
14.9,0.24775,3.49568
15,0.24943,3.50781
15.1,0.25109,3.51845
15.2,0.25279,3.53024
15.3,0.25443,3.54115
15.4,0.25615,3.55427
15.5,0.25789,3.56658
15.6,0.25957,3.57747
15.7,0.26126,3.58867
15.8,0.26298,3.6007
15.9,0.26466,3.6115
16,0.26626,3.62025
16.1,0.26781,3.62734
16.2,0.26939,3.6367
16.3,0.271,3.64604
16.4,0.27265,3.65698
16.5,0.27435,3.66817
16.6,0.27604,3.6792
16.7,0.27764,3.68692
16.8,0.27939,3.69967
16.9,0.28111,3.71041
17,0.28285,3.7194
17.1,0.28452,3.70817
17.2,0.28619,3.72323
17.3,0.28791,3.73732
17.4,0.28964,3.75036
17.5,0.29138,3.76387
17.6,0.29304,3.77427
17.7,0.29467,3.78525
17.8,0.29634,3.7961
17.9,0.29801,3.80668
18,0.29961,3.81681
18.1,0.30114,3.82542
18.2,0.30279,3.83642
18.3,0.30445,3.8473
18.4,0.30614,3.85864
18.5,0.3078,3.86879
18.6,0.30948,3.88027
18.7,0.31129,3.89368
18.8,0.31308,3.90664
18.9,0.3148,3.91651
19,0.31638,3.92415
19.1,0.31805,3.93397
19.2,0.31973,3.94448
19.3,0.32135,3.9531
