General : Start date,8/13/2020,
General : End date,8/13/2020,
General : Unique identifier,{182CE989-EEA0-48CC-A65A-FAE5A839A8CF},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1311 P5 W1 2,
Break (Standard) : Load at Break (Standard),4.38035,N
Maximum Load : Maximum Load,9.24003,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.36224
0.1,0.00013,0.36335
0.2,0.00106,0.3783
0.3,0.00261,0.40117
0.4,0.00463,0.429
0.5,0.00681,0.45691
0.6,0.00897,0.48393
0.7,0.01084,0.50617
0.8,0.01252,0.52613
0.9,0.01413,0.54409
1,0.01573,0.56192
1.1,0.01739,0.58065
1.2,0.01913,0.60062
1.3,0.02091,0.61966
1.4,0.02257,0.6379
1.5,0.02425,0.65556
1.6,0.02593,0.67337
1.7,0.02768,0.6918
1.8,0.02937,0.7098
1.9,0.03103,0.72658
2,0.0329,0.74804
2.1,0.03462,0.76738
2.2,0.0364,0.78899
2.3,0.03805,0.8076
2.4,0.03963,0.82604
2.5,0.04116,0.84355
2.6,0.04273,0.86221
2.7,0.04431,0.88037
2.8,0.04597,0.90095
2.9,0.04764,0.92111
3,0.04932,0.94117
3.1,0.05111,0.964
3.2,0.05299,0.9873
3.3,0.05474,1.00843
3.4,0.05673,1.03356
3.5,0.05847,1.05321
3.6,0.05999,1.07199
3.7,0.06169,1.09232
3.8,0.06347,1.11407
3.9,0.06515,1.13459
4,0.0667,1.15164
4.1,0.06817,1.16855
4.2,0.06979,1.18859
4.3,0.0714,1.20807
4.4,0.07305,1.22895
4.5,0.07471,1.2498
4.6,0.07638,1.27017
4.7,0.07805,1.29033
4.8,0.07969,1.30966
4.9,0.08135,1.33006
5,0.08306,1.35132
5.1,0.08472,1.37177
5.2,0.08641,1.39204
5.3,0.08806,1.4121
5.4,0.08981,1.43349
5.5,0.09153,1.45428
5.6,0.09312,1.47268
5.7,0.09478,1.49345
5.8,0.09646,1.51423
5.9,0.09809,1.5334
6,0.09974,1.55362
6.1,0.10136,1.57237
6.2,0.10301,1.59282
6.3,0.10463,1.61219
6.4,0.10618,1.63109
6.5,0.10777,1.65048
6.6,0.10946,1.6716
6.7,0.11128,1.69518
6.8,0.11309,1.7184
6.9,0.11485,1.74037
7,0.1165,1.75897
7.1,0.11815,1.77918
7.2,0.11974,1.79766
7.3,0.12137,1.81692
7.4,0.12297,1.83485
7.5,0.12453,1.85264
7.6,0.12619,1.87262
7.7,0.12788,1.89295
7.8,0.12953,1.91238
7.9,0.13119,1.93244
8,0.13288,1.95264
8.1,0.13446,1.97127
8.2,0.13612,1.99072
8.3,0.13781,2.01127
8.4,0.13965,2.03482
8.5,0.1414,2.05604
8.6,0.14311,2.0764
8.7,0.14482,2.0963
8.8,0.14653,2.11607
8.9,0.14812,2.13333
9,0.14975,2.15199
9.1,0.15143,2.17079
9.2,0.15306,2.18894
9.3,0.15471,2.20769
9.4,0.15637,2.22552
9.5,0.15804,2.24451
9.6,0.15969,2.26262
9.7,0.16136,2.28101
9.8,0.16295,2.297
9.9,0.16463,2.31619
10,0.16639,2.33607
10.1,0.16805,2.354
10.2,0.16966,2.37034
10.3,0.1713,2.3875
10.4,0.17292,2.40331
10.5,0.1745,2.41894
10.6,0.17608,2.43493
10.7,0.17773,2.45168
10.8,0.17943,2.46917
10.9,0.1811,2.48503
11,0.18282,2.50271
11.1,0.1845,2.51827
11.2,0.18614,2.5329
11.3,0.18777,2.54699
11.4,0.18944,2.56199
11.5,0.19105,2.575
11.6,0.19274,2.58981
11.7,0.19466,2.60956
11.8,0.19641,2.62471
11.9,0.19806,2.63723
12,0.19971,2.65044
12.1,0.20143,2.66503
12.2,0.20305,2.67667
12.3,0.20463,2.68848
12.4,0.20621,2.70031
12.5,0.2078,2.71224
12.6,0.20944,2.72482
12.7,0.21112,2.73925
12.8,0.21278,2.75142
12.9,0.21447,2.76459
13,0.21617,2.77729
13.1,0.21775,2.78711
13.2,0.21957,2.80226
13.3,0.22128,2.81407
13.4,0.22301,2.82665
13.5,0.2248,2.84002
13.6,0.22643,2.84957
13.7,0.22808,2.86013
13.8,0.22975,2.87131
13.9,0.23139,2.88145
14,0.23308,2.89349
14.1,0.23473,2.90465
14.2,0.23637,2.91576
14.3,0.23803,2.92788
14.4,0.23971,2.9402
14.5,0.24136,2.95176
14.6,0.24297,2.96337
14.7,0.24454,2.97338
14.8,0.24615,2.98501
14.9,0.24776,2.99594
15,0.24956,3.01187
15.1,0.25136,3.02663
15.2,0.25306,3.03789
15.3,0.25471,3.04909
15.4,0.25637,3.06053
15.5,0.25799,3.07054
15.6,0.25956,3.07972
15.7,0.26115,3.09039
15.8,0.26285,3.10333
15.9,0.26453,3.11525
16,0.26625,3.12846
16.1,0.26798,3.14186
16.2,0.2697,3.15504
16.3,0.27134,3.16685
16.4,0.27298,3.1794
16.5,0.27472,3.19315
16.6,0.27649,3.20808
16.7,0.27808,3.21762
16.8,0.27975,3.23034
16.9,0.28144,3.24304
17,0.28308,3.25361
17.1,0.28474,3.2655
17.2,0.28637,3.27689
17.3,0.288,3.28809
17.4,0.28955,3.29713
17.5,0.29117,3.3089
17.6,0.29282,3.32068
17.7,0.2945,3.33348
17.8,0.29613,3.3447
17.9,0.29773,3.35513
18,0.2994,3.3674
18.1,0.30109,3.38037
18.2,0.3027,3.39044
18.3,0.30441,3.40451
18.4,0.30619,3.4193
18.5,0.30791,3.43218
18.6,0.30956,3.44286
18.7,0.3112,3.4538
18.8,0.31291,3.4661
18.9,0.31459,3.47836
19,0.31622,3.48789
19.1,0.3179,3.49949
19.2,0.31965,3.51199
19.3,0.32142,3.52431
19.4,0.32314,3.53626
19.5,0.32476,3.54567
19.6,0.32639,3.55464
19.7,0.32812,3.56721
19.8,0.32983,3.57881
19.9,0.33147,3.58724
20,0.33313,3.59792
20.1,0.3348,3.60825
20.2,0.33635,3.6159
20.3,0.33796,3.6256
20.4,0.33956,3.63544
20.5,0.34122,3.64692
20.6,0.34289,3.65885
20.7,0.34455,3.6706
20.8,0.34624,3.68278
20.9,0.34795,3.69504
21,0.34963,3.70659
21.1,0.35132,3.71781
21.2,0.35305,3.73035
21.3,0.35473,3.74072
21.4,0.35627,3.7486
21.5,0.35797,3.76079
21.6,0.3599,3.779
21.7,0.36159,3.78958
21.8,0.3632,3.79976
21.9,0.36485,3.80983
22,0.36651,3.82075
22.1,0.36814,3.83297
22.2,0.36966,3.84173
22.3,0.37124,3.85414
22.4,0.37289,3.86852
22.5,0.3745,3.88072
22.6,0.37617,3.89441
22.7,0.37786,3.90837
22.8,0.37946,3.91898
22.9,0.38105,3.93121
23,0.38286,3.94853
23.1,0.38475,3.9684
23.2,0.38654,3.98349
23.3,0.3882,3.9946
23.4,0.38981,4.00608
23.5,0.3914,4.01675
23.6,0.39303,4.02863
23.7,0.39469,4.04127
23.8,0.39633,4.05328
23.9,0.39794,4.06463
24,0.3995,4.0746
24.1,0.40109,4.08555
24.2,0.40272,4.09801
24.3,0.40433,4.11039
24.4,0.40596,4.12374
24.5,0.40767,4.1371
24.6,0.40935,4.15044
24.7,0.41103,4.16428
24.8,0.41268,4.17677
24.9,0.41451,4.19387
25,0.41627,4.20854
25.1,0.41807,4.22505
25.2,0.41986,4.23954
25.3,0.42152,4.25146
25.4,0.42316,4.2631
25.5,0.42481,4.27507
25.6,0.42647,4.2873
25.7,0.42817,4.30093
25.8,0.42995,4.31674
25.9,0.43168,4.33078
26,0.43337,4.34469
26.1,0.43486,4.35239
26.2,0.43661,4.37036
26.3,0.43847,4.38949
26.4,0.44015,4.40287
26.5,0.44181,4.41626
26.6,0.44345,4.42915
26.7,0.44513,4.44454
26.8,0.44672,4.45547
26.9,0.44836,4.47011
27,0.45009,4.48651
27.1,0.45174,4.50015
27.2,0.45346,4.51649
27.3,0.45515,4.53239
27.4,0.45679,4.54649
27.5,0.45842,4.5601
27.6,0.46014,4.57704
27.7,0.46176,4.5893
27.8,0.46329,4.60079
27.9,0.46488,4.61361
28,0.46646,4.62639
28.1,0.46805,4.63903
28.2,0.46973,4.65445
28.3,0.47139,4.66859
28.4,0.47298,4.68051
28.5,0.47452,4.691
28.6,0.47612,4.70303
28.7,0.47768,4.71393
28.8,0.47924,4.72441
28.9,0.48082,4.73631
29,0.48238,4.74625
29.1,0.48399,4.758
29.2,0.48568,4.77193
29.3,0.48735,4.78435
29.4,0.48897,4.7944
29.5,0.4907,4.80795
29.6,0.49261,4.82754
29.7,0.49434,4.83984
29.8,0.496,4.85048
29.9,0.49773,4.86399
30,0.49947,4.8771
30.1,0.50112,4.88684
30.2,0.50282,4.89952
30.3,0.50449,4.91162
30.4,0.50609,4.92143
30.5,0.50767,4.93028
30.6,0.50932,4.94168
30.7,0.51101,4.95378
30.8,0.51274,4.96802
30.9,0.51448,4.98132
31,0.51625,4.99598
31.1,0.51795,5.00825
31.2,0.51977,5.02457
31.3,0.52155,5.03809
31.4,0.52336,5.05279
31.5,0.52504,5.06283
31.6,0.52668,5.07243
31.7,0.52833,5.08408
31.8,0.5299,5.09213
31.9,0.53141,5.09915
32,0.53301,5.11054
32.1,0.53462,5.12238
32.2,0.53617,5.13011
32.3,0.53782,5.14189
32.4,0.53954,5.15634
32.5,0.54119,5.16763
32.6,0.54277,5.17565
32.7,0.54433,5.1843
32.8,0.54603,5.1968
32.9,0.54772,5.20835
33,0.54944,5.2206
33.1,0.5511,5.23082
33.2,0.55279,5.2422
33.3,0.55448,5.25412
33.4,0.55618,5.26673
33.5,0.55786,5.27793
