General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{C24D4B34-3C3E-428C-9A01-9860C187F39F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 4"
Break (Standard) : Load at Break (Standard),"49.81925",N
Maximum Load : Maximum Load,"52.36094",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.50199"
"0.10000","0.00007","0.50292"
"0.20000","0.00079","0.50569"
"0.30000","0.00241","0.50604"
"0.40000","0.00464","0.50555"
"0.50000","0.00713","0.50507"
"0.60000","0.00931","0.50652"
"0.70000","0.01125","0.50640"
"0.80000","0.01294","0.50686"
"0.90000","0.01454","0.50793"
"1.00000","0.01610","0.50793"
"1.10000","0.01768","0.50855"
"1.20000","0.01931","0.50892"
"1.30000","0.02100","0.50976"
"1.40000","0.02271","0.51026"
"1.50000","0.02440","0.51103"
"1.60000","0.02606","0.51115"
"1.70000","0.02767","0.51082"
"1.80000","0.02946","0.51054"
"1.90000","0.03118","0.51129"
"2.00000","0.03287","0.53421"
"2.10000","0.03452","0.59093"
"2.20000","0.03619","0.64025"
"2.30000","0.03794","0.67325"
"2.40000","0.03955","0.71164"
"2.50000","0.04120","0.74620"
"2.60000","0.04276","0.78296"
"2.70000","0.04444","0.81424"
"2.80000","0.04616","0.83870"
"2.90000","0.04785","0.86056"
"3.00000","0.04951","0.89190"
"3.10000","0.05121","0.93903"
"3.20000","0.05288","0.97760"
"3.30000","0.05459","1.01627"
"3.40000","0.05621","1.05748"
"3.50000","0.05789","1.10103"
"3.60000","0.05964","1.14740"
"3.70000","0.06137","1.19582"
"3.80000","0.06303","1.24712"
"3.90000","0.06472","1.30525"
"4.00000","0.06640","1.36189"
"4.10000","0.06799","1.41307"
"4.20000","0.06956","1.46269"
"4.30000","0.07112","1.51229"
"4.40000","0.07274","1.56119"
"4.50000","0.07451","1.61602"
"4.60000","0.07624","1.66701"
"4.70000","0.07787","1.71562"
"4.80000","0.07952","1.76408"
"4.90000","0.08115","1.81555"
"5.00000","0.08279","1.87345"
"5.10000","0.08449","1.93938"
"5.20000","0.08622","2.00940"
"5.30000","0.08795","2.08103"
"5.40000","0.08972","2.15745"
"5.50000","0.09148","2.23433"
"5.60000","0.09313","2.30513"
"5.70000","0.09481","2.37844"
"5.80000","0.09644","2.44851"
"5.90000","0.09806","2.51910"
"6.00000","0.09979","2.59752"
"6.10000","0.10149","2.67344"
"6.20000","0.10309","2.74358"
"6.30000","0.10471","2.81482"
"6.40000","0.10635","2.88757"
"6.50000","0.10797","2.95727"
"6.60000","0.10951","3.02212"
"6.70000","0.11108","3.08834"
"6.80000","0.11265","3.15373"
"6.90000","0.11439","3.22929"
"7.00000","0.11604","3.29862"
"7.10000","0.11770","3.36847"
"7.20000","0.11933","3.43682"
"7.30000","0.12101","3.50764"
"7.40000","0.12276","3.58328"
"7.50000","0.12438","3.64878"
"7.60000","0.12608","3.72093"
"7.70000","0.12772","3.78824"
"7.80000","0.12941","3.85721"
"7.90000","0.13110","3.92693"
"8.00000","0.13284","3.99920"
"8.10000","0.13454","4.06706"
"8.20000","0.13616","4.13110"
"8.30000","0.13799","4.20739"
"8.40000","0.13983","4.28338"
"8.50000","0.14149","4.34577"
"8.60000","0.14315","4.40823"
"8.70000","0.14474","4.46591"
"8.80000","0.14641","4.52998"
"8.90000","0.14795","4.58555"
"9.00000","0.14952","4.64331"
"9.10000","0.15115","4.70584"
"9.20000","0.15276","4.76641"
"9.30000","0.15439","4.83024"
"9.40000","0.15607","4.89491"
"9.50000","0.15775","4.95971"
"9.60000","0.15943","5.02314"
"9.70000","0.16110","5.08659"
"9.80000","0.16282","5.15238"
"9.90000","0.16451","5.21618"
"10.00000","0.16607","5.26849"
"10.10000","0.16781","5.33576"
"10.20000","0.16968","5.41028"
"10.30000","0.17132","5.46553"
"10.40000","0.17301","5.52625"
"10.50000","0.17473","5.58818"
"10.60000","0.17634","5.64153"
"10.70000","0.17788","5.69123"
"10.80000","0.17954","5.74997"
"10.90000","0.18118","5.80785"
"11.00000","0.18283","5.86621"
"11.10000","0.18444","5.92092"
"11.20000","0.18612","5.98084"
"11.30000","0.18787","6.04460"
"11.40000","0.18949","6.09817"
"11.50000","0.19122","6.15932"
"11.60000","0.19304","6.22721"
"11.70000","0.19481","6.28878"
"11.80000","0.19652","6.34517"
"11.90000","0.19812","6.39384"
"12.00000","0.19974","6.44558"
"12.10000","0.20139","6.49960"
"12.20000","0.20301","6.55173"
"12.30000","0.20469","6.60778"
"12.40000","0.20638","6.66479"
"12.50000","0.20795","6.71311"
"12.60000","0.20948","6.75965"
"12.70000","0.21111","6.81425"
"12.80000","0.21280","6.87364"
"12.90000","0.21448","6.93250"
"13.00000","0.21618","6.99114"
"13.10000","0.21789","7.04774"
"13.20000","0.21958","7.10427"
"13.30000","0.22123","7.15728"
"13.40000","0.22287","7.21036"
"13.50000","0.22458","7.26697"
"13.60000","0.22622","7.31551"
"13.70000","0.22787","7.36407"
"13.80000","0.22953","7.41292"
"13.90000","0.23119","7.46266"
"14.00000","0.23286","7.51315"
"14.10000","0.23448","7.55730"
"14.20000","0.23613","7.60484"
"14.30000","0.23785","7.65671"
"14.40000","0.23953","7.70629"
"14.50000","0.24119","7.75434"
"14.60000","0.24290","7.80657"
"14.70000","0.24452","7.85092"
"14.80000","0.24626","7.90756"
"14.90000","0.24798","7.96253"
"15.00000","0.24978","8.02202"
"15.10000","0.25151","8.07559"
"15.20000","0.25316","8.12292"
"15.30000","0.25490","8.17875"
"15.40000","0.25661","8.23128"
"15.50000","0.25828","8.28109"
"15.60000","0.25995","8.33201"
"15.70000","0.26160","8.38025"
"15.80000","0.26320","8.42567"
"15.90000","0.26486","8.47539"
"16.00000","0.26654","8.52760"
"16.10000","0.26820","8.57728"
"16.20000","0.26992","8.63122"
"16.30000","0.27158","8.68041"
"16.40000","0.27324","8.72946"
"16.50000","0.27485","8.77500"
"16.60000","0.27639","8.81733"
"16.70000","0.27810","8.87451"
"16.80000","0.27987","8.93524"
"16.90000","0.28154","8.98791"
"17.00000","0.28317","9.03574"
"17.10000","0.28479","9.08336"
"17.20000","0.28637","9.12909"
"17.30000","0.28800","9.17967"
"17.40000","0.28962","9.22932"
"17.50000","0.29116","9.27223"
"17.60000","0.29279","9.32397"
"17.70000","0.29449","9.38006"
"17.80000","0.29623","9.43855"
"17.90000","0.29804","9.50115"
"18.00000","0.29964","9.54446"
"18.10000","0.30138","9.60180"
"18.20000","0.30321","9.66502"
"18.30000","0.30486","9.71230"
"18.40000","0.30643","9.75235"
"18.50000","0.30805","9.79763"
"18.60000","0.30968","9.84591"
"18.70000","0.31132","9.89387"
"18.80000","0.31289","9.93659"
"18.90000","0.31451","9.98564"
"19.00000","0.31623","10.04332"
"19.10000","0.31787","10.09257"
"19.20000","0.31947","10.13823"
"19.30000","0.32115","10.19067"
"19.40000","0.32282","10.24283"
"19.50000","0.32448","10.29371"
"19.60000","0.32619","10.34770"
"19.70000","0.32790","10.40263"
"19.80000","0.32956","10.45161"
"19.90000","0.33128","10.50549"
"20.00000","0.33311","10.56899"
"20.10000","0.33494","10.63079"
"20.20000","0.33667","10.68290"
"20.30000","0.33826","10.72341"
"20.40000","0.33983","10.76310"
"20.50000","0.34141","10.80604"
"20.60000","0.34308","10.85721"
"20.70000","0.34471","10.90555"
"20.80000","0.34631","10.95024"
"20.90000","0.34798","11.00252"
"21.00000","0.34964","11.05237"
"21.10000","0.35132","11.10304"
"21.20000","0.35302","11.15646"
"21.30000","0.35454","11.19401"
"21.40000","0.35632","11.25854"
"21.50000","0.35807","11.31655"
"21.60000","0.35968","11.36107"
"21.70000","0.36129","11.40609"
"21.80000","0.36292","11.45317"
"21.90000","0.36458","11.50320"
"22.00000","0.36625","11.55366"
"22.10000","0.36792","11.60453"
"22.20000","0.36957","11.65269"
"22.30000","0.37120","11.70101"
"22.40000","0.37287","11.75222"
"22.50000","0.37449","11.79860"
"22.60000","0.37606","11.84095"
"22.70000","0.37776","11.89637"
"22.80000","0.37947","11.95181"
"22.90000","0.38114","12.00228"
"23.00000","0.38282","12.05187"
"23.10000","0.38445","12.09873"
"23.20000","0.38622","12.15805"
"23.30000","0.38808","12.22430"
"23.40000","0.38993","12.28765"
"23.50000","0.39153","12.32500"
"23.60000","0.39306","12.35951"
"23.70000","0.39470","12.40544"
"23.80000","0.39642","12.45848"
"23.90000","0.39812","12.50836"
"24.00000","0.39975","12.55126"
"24.10000","0.40141","12.59794"
"24.20000","0.40310","12.64725"
"24.30000","0.40470","12.68748"
"24.40000","0.40638","12.73870"
"24.50000","0.40799","12.78157"
"24.60000","0.40947","12.81318"
"24.70000","0.41126","12.87523"
"24.80000","0.41304","12.93395"
"24.90000","0.41470","12.97992"
"25.00000","0.41635","13.02517"
"25.10000","0.41804","13.07441"
"25.20000","0.41972","13.12007"
"25.30000","0.42134","13.16121"
"25.40000","0.42296","13.20253"
"25.50000","0.42453","13.24068"
"25.60000","0.42619","13.28642"
"25.70000","0.42786","13.33376"
"25.80000","0.42952","13.38100"
"25.90000","0.43114","13.42169"
"26.00000","0.43286","13.47352"
"26.10000","0.43456","13.52032"
"26.20000","0.43618","13.56019"
"26.30000","0.43790","13.61036"
"26.40000","0.43958","13.65583"
"26.50000","0.44115","13.69147"
"26.60000","0.44277","13.73320"
"26.70000","0.44446","13.78059"
"26.80000","0.44620","13.83305"
"26.90000","0.44790","13.88100"
"27.00000","0.44953","13.92355"
"27.10000","0.45116","13.96684"
"27.20000","0.45284","14.01284"
"27.30000","0.45451","14.05805"
"27.40000","0.45618","14.10380"
"27.50000","0.45789","14.15508"
"27.60000","0.45960","14.20319"
"27.70000","0.46126","14.24652"
"27.80000","0.46292","14.29062"
"27.90000","0.46451","14.32840"
"28.00000","0.46631","14.38685"
"28.10000","0.46808","14.43833"
"28.20000","0.46968","14.47239"
"28.30000","0.47130","14.50853"
"28.40000","0.47288","14.54141"
"28.50000","0.47448","14.57758"
"28.60000","0.47606","14.61150"
"28.70000","0.47763","14.64693"
"28.80000","0.47928","14.69184"
"28.90000","0.48091","14.73436"
"29.00000","0.48255","14.77614"
"29.10000","0.48426","14.82605"
"29.20000","0.48598","14.87578"
"29.30000","0.48775","14.92882"
"29.40000","0.48953","14.98232"
"29.50000","0.49123","15.02729"
"29.60000","0.49295","15.07586"
"29.70000","0.49473","15.13002"
"29.80000","0.49657","15.19030"
"29.90000","0.49839","15.24677"
"30.00000","0.50020","15.29891"
"30.10000","0.50184","15.33493"
"30.20000","0.50333","15.36053"
"30.30000","0.50491","15.39777"
"30.40000","0.50653","15.43843"
"30.50000","0.50818","15.48137"
"30.60000","0.50973","15.51700"
"30.70000","0.51130","15.55555"
"30.80000","0.51295","15.60310"
"30.90000","0.51464","15.65580"
"31.00000","0.51630","15.70382"
"31.10000","0.51785","15.74013"
"31.20000","0.51960","15.79869"
"31.30000","0.52146","15.86633"
"31.40000","0.52319","15.91663"
"31.50000","0.52483","15.95747"
"31.60000","0.52644","15.99566"
"31.70000","0.52810","16.04053"
"31.80000","0.52976","16.08585"
"31.90000","0.53141","16.12999"
"32.00000","0.53307","16.17386"
"32.10000","0.53473","16.21805"
"32.20000","0.53639","16.26184"
"32.30000","0.53806","16.30569"
"32.40000","0.53969","16.34617"
"32.50000","0.54131","16.38548"
"32.60000","0.54289","16.42344"
"32.70000","0.54447","16.46325"
"32.80000","0.54612","16.50985"
"32.90000","0.54772","16.55250"
"33.00000","0.54944","16.60610"
"33.10000","0.55120","16.66286"
"33.20000","0.55293","16.71514"
"33.30000","0.55461","16.76144"
"33.40000","0.55632","16.81128"
"33.50000","0.55806","16.86287"
"33.60000","0.55970","16.90268"
"33.70000","0.56134","16.94251"
"33.80000","0.56291","16.97611"
"33.90000","0.56451","17.01293"
"34.00000","0.56619","17.05760"
"34.10000","0.56788","17.10155"
"34.20000","0.56956","17.14367"
"34.30000","0.57130","17.19263"
"34.40000","0.57295","17.23350"
"34.50000","0.57476","17.28991"
"34.60000","0.57643","17.33167"
"34.70000","0.57802","17.36700"
"34.80000","0.57967","17.41024"
"34.90000","0.58140","17.46343"
"35.00000","0.58304","17.50487"
"35.10000","0.58466","17.54434"
"35.20000","0.58623","17.57906"
"35.30000","0.58778","17.61362"
"35.40000","0.58941","17.65732"
"35.50000","0.59107","17.70286"
"35.60000","0.59272","17.74591"
"35.70000","0.59442","17.79430"
"35.80000","0.59611","17.84117"
"35.90000","0.59781","17.88666"
"36.00000","0.59953","17.93410"
"36.10000","0.60108","17.96227"
"36.20000","0.60283","18.01414"
"36.30000","0.60479","18.08570"
"36.40000","0.60647","18.12329"
"36.50000","0.60810","18.15913"
"36.60000","0.60975","18.19918"
"36.70000","0.61137","18.23832"
"36.80000","0.61305","18.28468"
"36.90000","0.61466","18.32382"
"37.00000","0.61628","18.36459"
"37.10000","0.61787","18.40326"
"37.20000","0.61954","18.45242"
"37.30000","0.62134","18.51460"
"37.40000","0.62307","18.56697"
"37.50000","0.62474","18.61198"
"37.60000","0.62642","18.65909"
"37.70000","0.62807","18.69936"
"37.80000","0.62981","18.75172"
"37.90000","0.63151","18.79642"
"38.00000","0.63315","18.83383"
"38.10000","0.63482","18.87525"
"38.20000","0.63640","18.90750"
"38.30000","0.63803","18.94800"
"38.40000","0.63967","18.98707"
"38.50000","0.64127","19.02293"
"38.60000","0.64288","19.06002"
"38.70000","0.64449","19.09936"
"38.80000","0.64603","19.13017"
"38.90000","0.64761","19.16691"
"39.00000","0.64926","19.21230"
"39.10000","0.65092","19.25864"
"39.20000","0.65265","19.31116"
"39.30000","0.65438","19.36325"
"39.40000","0.65604","19.40697"
"39.50000","0.65774","19.45465"
"39.60000","0.65966","19.52728"
"39.70000","0.66156","19.59151"
"39.80000","0.66331","19.63660"
"39.90000","0.66499","19.67537"
"40.00000","0.66672","19.72354"
"40.10000","0.66841","19.76622"
"40.20000","0.66997","19.79444"
"40.30000","0.67158","19.82922"
"40.40000","0.67318","19.86389"
"40.50000","0.67483","19.90607"
"40.60000","0.67648","19.94966"
"40.70000","0.67810","19.99165"
"40.80000","0.67971","20.03010"
"40.90000","0.68136","20.07386"
"41.00000","0.68306","20.12582"
"41.10000","0.68479","20.18106"
"41.20000","0.68642","20.22371"
"41.30000","0.68808","20.26888"
"41.40000","0.68981","20.32176"
"41.50000","0.69154","20.37582"
"41.60000","0.69324","20.42389"
"41.70000","0.69486","20.46339"
"41.80000","0.69640","20.49126"
"41.90000","0.69790","20.51660"
"42.00000","0.69946","20.54848"
"42.10000","0.70107","20.58993"
"42.20000","0.70276","20.63878"
"42.30000","0.70445","20.68736"
"42.40000","0.70611","20.73167"
"42.50000","0.70775","20.77098"
"42.60000","0.70943","20.81550"
"42.70000","0.71112","20.86260"
"42.80000","0.71268","20.89626"
"42.90000","0.71441","20.94915"
"43.00000","0.71617","21.00412"
"43.10000","0.71797","21.06493"
"43.20000","0.71973","21.11950"
"43.30000","0.72146","21.16764"
"43.40000","0.72320","21.21820"
"43.50000","0.72479","21.24958"
"43.60000","0.72653","21.29989"
"43.70000","0.72823","21.34494"
"43.80000","0.72986","21.38309"
"43.90000","0.73147","21.41953"
"44.00000","0.73310","21.45721"
"44.10000","0.73470","21.48952"
"44.20000","0.73626","21.51821"
"44.30000","0.73789","21.55661"
"44.40000","0.73959","21.60262"
"44.50000","0.74128","21.64350"
"44.60000","0.74294","21.68235"
"44.70000","0.74455","21.71488"
"44.80000","0.74612","21.74481"
"44.90000","0.74772","21.78014"
"45.00000","0.74934","21.81728"
"45.10000","0.75098","21.85731"
"45.20000","0.75256","21.89100"
"45.30000","0.75425","21.93690"
"45.40000","0.75592","21.97943"
"45.50000","0.75766","22.02929"
"45.60000","0.75939","22.07633"
"45.70000","0.76109","22.11690"
"45.80000","0.76283","22.16565"
"45.90000","0.76458","22.21361"
"46.00000","0.76616","22.24003"
"46.10000","0.76795","22.29538"
"46.20000","0.76995","22.37198"
"46.30000","0.77160","22.40155"
"46.40000","0.77325","22.43516"
"46.50000","0.77496","22.47723"
"46.60000","0.77660","22.51418"
"46.70000","0.77812","22.53829"
"46.80000","0.77977","22.58093"
"46.90000","0.78148","22.63301"
"47.00000","0.78313","22.67648"
"47.10000","0.78472","22.71251"
"47.20000","0.78636","22.75557"
"47.30000","0.78808","22.80775"
"47.40000","0.78969","22.84753"
"47.50000","0.79132","22.88783"
"47.60000","0.79302","22.93769"
"47.70000","0.79484","23.00657"
"47.80000","0.79660","23.05985"
"47.90000","0.79812","23.07917"
"48.00000","0.79979","23.12170"
"48.10000","0.80147","23.16487"
"48.20000","0.80308","23.19631"
"48.30000","0.80470","23.23060"
"48.40000","0.80633","23.26770"
"48.50000","0.80802","23.31269"
"48.60000","0.80973","23.36032"
"48.70000","0.81135","23.39771"
"48.80000","0.81309","23.46302"
"48.90000","0.81472","23.50023"
"49.00000","0.81633","23.53830"
"49.10000","0.81796","23.58040"
"49.20000","0.81955","23.61833"
"49.30000","0.82116","23.65698"
"49.40000","0.82282","23.70171"
"49.50000","0.82459","23.75956"
"49.60000","0.82632","23.80929"
"49.70000","0.82812","23.86753"
"49.80000","0.82989","23.92685"
"49.90000","0.83154","23.95903"
"50.00000","0.83313","23.98526"
"50.10000","0.83468","24.00885"
"50.20000","0.83632","24.04553"
"50.30000","0.83799","24.08516"
"50.40000","0.83967","24.12533"
"50.50000","0.84136","24.16637"
"50.60000","0.84298","24.20124"
"50.70000","0.84452","24.23353"
"50.80000","0.84615","24.27232"
"50.90000","0.84782","24.31705"
"51.00000","0.84947","24.35780"
"51.10000","0.85106","24.38968"
"51.20000","0.85264","24.42113"
"51.30000","0.85433","24.46734"
"51.40000","0.85599","24.50908"
"51.50000","0.85766","24.55564"
"51.60000","0.85938","24.60343"
"51.70000","0.86106","24.64546"
"51.80000","0.86275","24.68843"
"51.90000","0.86447","24.73410"
"52.00000","0.86616","24.77487"
"52.10000","0.86787","24.81681"
"52.20000","0.86954","24.85416"
"52.30000","0.87125","24.89809"
"52.40000","0.87307","24.95669"
"52.50000","0.87469","24.98490"
"52.60000","0.87620","25.00182"
"52.70000","0.87781","25.03763"
"52.80000","0.87953","25.08830"
"52.90000","0.88125","25.13569"
"53.00000","0.88292","25.18205"
"53.10000","0.88471","25.23931"
"53.20000","0.88645","25.28887"
"53.30000","0.88810","25.32416"
"53.40000","0.88968","25.35378"
"53.50000","0.89130","25.38882"
"53.60000","0.89290","25.42224"
"53.70000","0.89456","25.46144"
"53.80000","0.89627","25.50814"
"53.90000","0.89801","25.55719"
"54.00000","0.89958","25.58149"
"54.10000","0.90142","25.64306"
"54.20000","0.90324","25.69558"
"54.30000","0.90478","25.71165"
"54.40000","0.90642","25.74386"
"54.50000","0.90803","25.77325"
"54.60000","0.90961","25.80332"
"54.70000","0.91118","25.83390"
"54.80000","0.91284","25.87563"
"54.90000","0.91449","25.91668"
"55.00000","0.91611","25.95336"
"55.10000","0.91769","25.98516"
"55.20000","0.91935","26.02819"
"55.30000","0.92105","26.07447"
"55.40000","0.92278","26.12548"
"55.50000","0.92455","26.17922"
"55.60000","0.92631","26.23068"
"55.70000","0.92807","26.28149"
"55.80000","0.92974","26.31972"
"55.90000","0.93148","26.36819"
"56.00000","0.93330","26.42695"
"56.10000","0.93519","26.49373"
"56.20000","0.93687","26.52715"
"56.30000","0.93839","26.54354"
"56.40000","0.94000","26.57407"
"56.50000","0.94151","26.59360"
"56.60000","0.94303","26.61882"
"56.70000","0.94466","26.65879"
"56.80000","0.94628","26.69624"
"56.90000","0.94785","26.72948"
"57.00000","0.94945","26.76533"
"57.10000","0.95103","26.79818"
"57.20000","0.95271","26.84486"
"57.30000","0.95429","26.87618"
"57.40000","0.95610","26.93970"
"57.50000","0.95782","26.98624"
"57.60000","0.95953","27.03046"
"57.70000","0.96122","27.07374"
"57.80000","0.96292","27.11504"
"57.90000","0.96468","27.16434"
"58.00000","0.96644","27.21199"
"58.10000","0.96808","27.24211"
"58.20000","0.96968","27.26859"
"58.30000","0.97123","27.29181"
"58.40000","0.97277","27.31435"
"58.50000","0.97438","27.34817"
"58.60000","0.97601","27.38389"
"58.70000","0.97767","27.42530"
"58.80000","0.97931","27.46256"
"58.90000","0.98098","27.50570"
"59.00000","0.98274","27.55827"
"59.10000","0.98440","27.59522"
"59.20000","0.98605","27.63253"
"59.30000","0.98779","27.68337"
"59.40000","0.98948","27.72374"
"59.50000","0.99119","27.76662"
"59.60000","0.99289","27.80622"
"59.70000","0.99448","27.83192"
"59.80000","0.99614","27.86760"
"59.90000","0.99784","27.90797"
"60.00000","0.99953","27.94617"
"60.10000","1.00122","27.98500"
"60.20000","1.00292","28.02506"
"60.30000","1.00458","28.06042"
"60.40000","1.00629","28.10283"
"60.50000","1.00801","28.14425"
"60.60000","1.00960","28.16876"
"60.70000","1.01144","28.23034"
"60.80000","1.01320","28.27798"
"60.90000","1.01483","28.30808"
"61.00000","1.01648","28.34335"
"61.10000","1.01808","28.37217"
"61.20000","1.01972","28.40656"
"61.30000","1.02135","28.44088"
"61.40000","1.02304","28.48440"
"61.50000","1.02472","28.52492"
"61.60000","1.02636","28.56131"
"61.70000","1.02802","28.59892"
"61.80000","1.02975","28.64504"
"61.90000","1.03140","28.68181"
"62.00000","1.03309","28.72343"
"62.10000","1.03476","28.75962"
"62.20000","1.03638","28.79085"
"62.30000","1.03810","28.83371"
"62.40000","1.03970","28.86055"
"62.50000","1.04127","28.88739"
"62.60000","1.04292","28.92522"
"62.70000","1.04461","28.96935"
"62.80000","1.04638","29.02388"
"62.90000","1.04804","29.06261"
"63.00000","1.04968","29.09853"
"63.10000","1.05127","29.12863"
"63.20000","1.05290","29.16364"
"63.30000","1.05454","29.20240"
"63.40000","1.05619","29.24071"
"63.50000","1.05788","29.28445"
"63.60000","1.05956","29.32550"
"63.70000","1.06124","29.36421"
"63.80000","1.06290","29.40069"
"63.90000","1.06453","29.43323"
"64.00000","1.06634","29.49215"
"64.10000","1.06819","29.55132"
"64.20000","1.06986","29.58384"
"64.30000","1.07152","29.61738"
"64.40000","1.07313","29.64415"
"64.50000","1.07471","29.66881"
"64.60000","1.07637","29.70840"
"64.70000","1.07802","29.74617"
"64.80000","1.07975","29.79716"
"64.90000","1.08147","29.84727"
"65.00000","1.08316","29.89046"
"65.10000","1.08484","29.93138"
"65.20000","1.08651","29.97186"
"65.30000","1.08822","30.01918"
"65.40000","1.08997","30.07312"
"65.50000","1.09167","30.11667"
"65.60000","1.09327","30.14956"
"65.70000","1.09490","30.18759"
"65.80000","1.09661","30.23719"
"65.90000","1.09835","30.29038"
"66.00000","1.10006","30.33867"
"66.10000","1.10164","30.36419"
"66.20000","1.10321","30.39232"
"66.30000","1.10483","30.42798"
"66.40000","1.10648","30.46776"
"66.50000","1.10803","30.48964"
"66.60000","1.10963","30.52547"
"66.70000","1.11117","30.55262"
"66.80000","1.11281","30.59629"
"66.90000","1.11450","30.64782"
"67.00000","1.11621","30.69681"
"67.10000","1.11780","30.72955"
"67.20000","1.11956","30.79079"
"67.30000","1.12131","30.84689"
"67.40000","1.12296","30.88343"
"67.50000","1.12466","30.92697"
"67.60000","1.12631","30.96507"
"67.70000","1.12796","31.00246"
"67.80000","1.12958","31.03653"
"67.90000","1.13127","31.07885"
"68.00000","1.13302","31.13204"
"68.10000","1.13476","31.18064"
"68.20000","1.13640","31.21298"
"68.30000","1.13804","31.24777"
"68.40000","1.13969","31.28135"
"68.50000","1.14133","31.31663"
"68.60000","1.14293","31.34726"
"68.70000","1.14452","31.37863"
"68.80000","1.14625","31.43289"
"68.90000","1.14791","31.47543"
"69.00000","1.14963","31.52852"
"69.10000","1.15130","31.57142"
"69.20000","1.15304","31.62239"
"69.30000","1.15471","31.66196"
"69.40000","1.15624","31.67864"
"69.50000","1.15781","31.70871"
"69.60000","1.15953","31.76178"
"69.70000","1.16116","31.79581"
"69.80000","1.16276","31.82302"
"69.90000","1.16443","31.86316"
"70.00000","1.16613","31.90438"
"70.10000","1.16784","31.94704"
"70.20000","1.16954","31.98680"
"70.30000","1.17121","32.02149"
"70.40000","1.17287","32.05394"
"70.50000","1.17469","32.11158"
"70.60000","1.17638","32.14729"
"70.70000","1.17796","32.16839"
"70.80000","1.17954","32.19410"
"70.90000","1.18124","32.23945"
"71.00000","1.18287","32.27128"
"71.10000","1.18449","32.30326"
"71.20000","1.18612","32.33650"
"71.30000","1.18785","32.38630"
"71.40000","1.18956","32.43040"
"71.50000","1.19125","32.47175"
"71.60000","1.19292","32.50920"
"71.70000","1.19464","32.55174"
"71.80000","1.19648","32.61391"
"71.90000","1.19819","32.65219"
"72.00000","1.19977","32.67108"
"72.10000","1.20127","32.67912"
"72.20000","1.20303","32.73114"
"72.30000","1.20494","32.79990"
"72.40000","1.20659","32.82777"
"72.50000","1.20824","32.85637"
"72.60000","1.20981","32.87369"
"72.70000","1.21141","32.90030"
"72.80000","1.21304","32.93214"
"72.90000","1.21461","32.95762"
"73.00000","1.21624","32.99435"
"73.10000","1.21783","33.02546"
"73.20000","1.21946","33.06296"
"73.30000","1.22108","33.09796"
"73.40000","1.22269","33.12881"
"73.50000","1.22433","33.16509"
"73.60000","1.22602","33.20848"
"73.70000","1.22769","33.24672"
"73.80000","1.22951","33.30327"
"73.90000","1.23123","33.34109"
"74.00000","1.23289","33.37160"
"74.10000","1.23458","33.40638"
"74.20000","1.23625","33.43771"
"74.30000","1.23791","33.46873"
"74.40000","1.23950","33.48642"
"74.50000","1.24117","33.51997"
"74.60000","1.24286","33.55460"
"74.70000","1.24458","33.59595"
"74.80000","1.24617","33.61914"
"74.90000","1.24784","33.65823"
"75.00000","1.24950","33.69424"
"75.10000","1.25110","33.72066"
"75.20000","1.25275","33.75486"
"75.30000","1.25444","33.79627"
"75.40000","1.25610","33.83087"
"75.50000","1.25771","33.85718"
"75.60000","1.25950","33.91113"
"75.70000","1.26129","33.96043"
"75.80000","1.26308","34.00791"
"75.90000","1.26473","34.03135"
"76.00000","1.26633","34.05028"
"76.10000","1.26791","34.06780"
"76.20000","1.26949","34.08707"
"76.30000","1.27116","34.12004"
"76.40000","1.27280","34.14882"
"76.50000","1.27445","34.18129"
"76.60000","1.27608","34.20840"
"76.70000","1.27774","34.24105"
"76.80000","1.27935","34.26546"
"76.90000","1.28097","34.29366"
"77.00000","1.28272","34.34470"
"77.10000","1.28466","34.42297"
"77.20000","1.28649","34.48161"
"77.30000","1.28821","34.51873"
"77.40000","1.28988","34.54885"
"77.50000","1.29151","34.57331"
"77.60000","1.29314","34.59898"
"77.70000","1.29482","34.63301"
"77.80000","1.29634","34.64148"
"77.90000","1.29784","34.64682"
"78.00000","1.29939","34.66262"
"78.10000","1.30100","34.68852"
"78.20000","1.30263","34.71592"
"78.30000","1.30427","34.74366"
"78.40000","1.30586","34.76092"
"78.50000","1.30747","34.78289"
"78.60000","1.30910","34.80889"
"78.70000","1.31065","34.82292"
"78.80000","1.31228","34.85292"
"78.90000","1.31415","34.91969"
"79.00000","1.31603","34.98093"
"79.10000","1.31780","35.02221"
"79.20000","1.31954","35.06003"
"79.30000","1.32125","35.09558"
"79.40000","1.32302","35.14009"
"79.50000","1.32476","35.17906"
"79.60000","1.32646","35.21158"
"79.70000","1.32814","35.24207"
"79.80000","1.32985","35.27894"
