General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{C6FCA825-32AD-4DDF-8735-4037458D7A68}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P3 W3 2"
Break (Standard) : Load at Break (Standard),"42.63090",N
Maximum Load : Maximum Load,"48.75054",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29468","8.35449"
"17.80000","0.29636","8.39824"
"17.90000","0.29793","8.43495"
"18.00000","0.29951","8.47368"
"18.10000","0.30118","8.52035"
"18.20000","0.30288","8.56741"
"18.30000","0.30454","8.61164"
"18.40000","0.30616","8.65247"
"18.50000","0.30789","8.70252"
"18.60000","0.30976","8.75958"
"18.70000","0.31145","8.80231"
"18.80000","0.31308","8.84279"
"18.90000","0.31476","8.88670"
"19.00000","0.31650","8.93532"
"19.10000","0.31818","8.97862"
"19.20000","0.31978","9.01647"
"19.30000","0.32138","9.05606"
"19.40000","0.32305","9.10049"
"19.50000","0.32469","9.14311"
"19.60000","0.32624","9.18030"
"19.70000","0.32777","9.21683"
"19.80000","0.32946","9.26640"
"19.90000","0.33115","9.31681"
"20.00000","0.33283","9.36505"
"20.10000","0.33453","9.41344"
"20.20000","0.33623","9.46283"
"20.30000","0.33788","9.50684"
"20.40000","0.33956","9.55393"
"20.50000","0.34141","9.61343"
"20.60000","0.34310","9.65714"
"20.70000","0.34470","9.69431"
"20.80000","0.34635","9.73693"
"20.90000","0.34802","9.77906"
"21.00000","0.34961","9.81614"
"21.10000","0.35115","9.84996"
"21.20000","0.35278","9.89171"
"21.30000","0.35447","9.93757"
"21.40000","0.35620","9.98518"
"21.50000","0.35787","10.02966"
"21.60000","0.35955","10.07459"
"21.70000","0.36115","10.11417"
"21.80000","0.36288","10.16508"
"21.90000","0.36459","10.21405"
"22.00000","0.36630","10.26280"
"22.10000","0.36805","10.31437"
"22.20000","0.36977","10.36113"
"22.30000","0.37149","10.40994"
"22.40000","0.37311","10.44951"
"22.50000","0.37478","10.49412"
"22.60000","0.37640","10.53369"
"22.70000","0.37802","10.57384"
"22.80000","0.37971","10.62126"
"22.90000","0.38140","10.66907"
"23.00000","0.38314","10.71994"
"23.10000","0.38491","10.77131"
"23.20000","0.38658","10.81452"
"23.30000","0.38826","10.85969"
"23.40000","0.38998","10.90886"
"23.50000","0.39155","10.94590"
"23.60000","0.39311","10.98578"
"23.70000","0.39481","11.03749"
"23.80000","0.39663","11.09955"
"23.90000","0.39842","11.15681"
"24.00000","0.40006","11.20081"
"24.10000","0.40169","11.24610"
"24.20000","0.40326","11.28731"
"24.30000","0.40483","11.32859"
"24.40000","0.40643","11.37492"
"24.50000","0.40802","11.41957"
"24.60000","0.40964","11.46638"
"24.70000","0.41124","11.51128"
"24.80000","0.41290","11.56118"
"24.90000","0.41467","11.61915"
"25.00000","0.41625","11.66020"
"25.10000","0.41796","11.71271"
"25.20000","0.41982","11.77781"
"25.30000","0.42150","11.82342"
"25.40000","0.42312","11.86621"
"25.50000","0.42471","11.90662"
"25.60000","0.42633","11.95037"
"25.70000","0.42788","11.98966"
"25.80000","0.42948","12.03083"
"25.90000","0.43110","12.07144"
"26.00000","0.43275","12.12076"
"26.10000","0.43434","12.16300"
"26.20000","0.43600","12.21086"
"26.30000","0.43771","12.26242"
"26.40000","0.43937","12.30686"
"26.50000","0.44103","12.35409"
"26.60000","0.44269","12.39782"
"26.70000","0.44435","12.44292"
"26.80000","0.44604","12.49071"
"26.90000","0.44777","12.54224"
"27.00000","0.44965","12.60375"
"27.10000","0.45149","12.66170"
"27.20000","0.45325","12.71243"
"27.30000","0.45491","12.75411"
"27.40000","0.45652","12.79361"
"27.50000","0.45809","12.83047"
"27.60000","0.45972","12.87522"
"27.70000","0.46139","12.92238"
"27.80000","0.46299","12.96463"
"27.90000","0.46470","13.01731"
"28.00000","0.46634","13.06238"
"28.10000","0.46806","13.11486"
"28.20000","0.46975","13.16411"
"28.30000","0.47127","13.19704"
"28.40000","0.47306","13.25772"
"28.50000","0.47475","13.30539"
"28.60000","0.47632","13.34303"
"28.70000","0.47792","13.38511"
"28.80000","0.47952","13.42531"
"28.90000","0.48125","13.47612"
"29.00000","0.48300","13.53001"
"29.10000","0.48472","13.57999"
"29.20000","0.48632","13.61937"
"29.30000","0.48794","13.66092"
"29.40000","0.48955","13.70322"
"29.50000","0.49118","13.74834"
"29.60000","0.49280","13.79224"
"29.70000","0.49449","13.84266"
"29.80000","0.49620","13.89419"
"29.90000","0.49791","13.94606"
"30.00000","0.49961","13.99368"
"30.10000","0.50124","14.03815"
"30.20000","0.50302","14.09619"
"30.30000","0.50486","14.16029"
"30.40000","0.50658","14.20883"
"30.50000","0.50817","14.24575"
"30.60000","0.50967","14.27633"
"30.70000","0.51131","14.32292"
"30.80000","0.51299","14.37186"
"30.90000","0.51465","14.41873"
"31.00000","0.51637","14.47078"
"31.10000","0.51804","14.51672"
"31.20000","0.51970","14.56224"
"31.30000","0.52131","14.60317"
"31.40000","0.52292","14.64528"
"31.50000","0.52452","14.68704"
"31.60000","0.52609","14.72799"
"31.70000","0.52796","14.79717"
"31.80000","0.52983","14.86354"
"31.90000","0.53147","14.90555"
"32.00000","0.53309","14.94679"
"32.10000","0.53475","14.99324"
"32.20000","0.53639","15.03643"
"32.30000","0.53805","15.08184"
"32.40000","0.53969","15.12627"
"32.50000","0.54132","15.17042"
"32.60000","0.54290","15.20891"
"32.70000","0.54446","15.24695"
"32.80000","0.54610","15.29252"
"32.90000","0.54773","15.33655"
"33.00000","0.54942","15.38630"
"33.10000","0.55120","15.44255"
"33.20000","0.55288","15.48765"
"33.30000","0.55455","15.53232"
"33.40000","0.55621","15.57485"
"33.50000","0.55782","15.61541"
"33.60000","0.55952","15.66380"
"33.70000","0.56124","15.71422"
"33.80000","0.56296","15.76202"
"33.90000","0.56476","15.81828"
"34.00000","0.56639","15.85887"
"34.10000","0.56799","15.89791"
"34.20000","0.56964","15.94364"
"34.30000","0.57134","15.99282"
"34.40000","0.57303","16.04175"
"34.50000","0.57472","16.09087"
"34.60000","0.57634","16.13192"
"34.70000","0.57797","16.17226"
"34.80000","0.57955","16.20990"
"34.90000","0.58115","16.24957"
"35.00000","0.58291","16.30487"
"35.10000","0.58466","16.35510"
"35.20000","0.58629","16.39347"
"35.30000","0.58783","16.42436"
"35.40000","0.58934","16.45264"
"35.50000","0.59097","16.49356"
"35.60000","0.59262","16.53640"
"35.70000","0.59426","16.57815"
"35.80000","0.59588","16.61905"
"35.90000","0.59760","16.66955"
"36.00000","0.59927","16.71379"
