General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{A14E19B9-44F3-4E04-9390-75F8F0D84BB7}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W1 3"
Break (Standard) : Load at Break (Standard),"19.99846",N
Maximum Load : Maximum Load,"20.61802",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.81790"
"0.10000","0.00011","0.81887"
"0.20000","0.00052","0.82510"
"0.30000","0.00308","0.86727"
"0.40000","0.00589","0.90884"
"0.50000","0.00781","0.93296"
"0.60000","0.00951","0.95293"
"0.70000","0.01114","0.97259"
"0.80000","0.01275","0.99115"
"0.90000","0.01432","1.00817"
"1.00000","0.01592","1.02637"
"1.10000","0.01761","1.04635"
"1.20000","0.01931","1.06463"
"1.30000","0.02090","1.08145"
"1.40000","0.02259","1.09938"
"1.50000","0.02428","1.11748"
"1.60000","0.02602","1.13584"
"1.70000","0.02774","1.15415"
"1.80000","0.02947","1.17057"
"1.90000","0.03116","1.18787"
"2.00000","0.03287","1.20453"
"2.10000","0.03458","1.22117"
"2.20000","0.03632","1.23834"
"2.30000","0.03812","1.25709"
"2.40000","0.03982","1.27239"
"2.50000","0.04142","1.28621"
"2.60000","0.04304","1.30161"
"2.70000","0.04467","1.31703"
"2.80000","0.04632","1.33192"
"2.90000","0.04784","1.34544"
"3.00000","0.04944","1.36091"
"3.10000","0.05117","1.37783"
"3.20000","0.05283","1.39379"
"3.30000","0.05443","1.40870"
"3.40000","0.05601","1.42355"
"3.50000","0.05771","1.44062"
"3.60000","0.05959","1.46015"
"3.70000","0.06125","1.47446"
"3.80000","0.06292","1.49031"
"3.90000","0.06458","1.50522"
"4.00000","0.06629","1.52131"
"4.10000","0.06804","1.53723"
"4.20000","0.06971","1.55190"
"4.30000","0.07134","1.56522"
"4.40000","0.07301","1.58082"
"4.50000","0.07464","1.59517"
"4.60000","0.07630","1.61111"
"4.70000","0.07798","1.62685"
"4.80000","0.07970","1.64334"
"4.90000","0.08140","1.65940"
"5.00000","0.08304","1.67402"
"5.10000","0.08473","1.69023"
"5.20000","0.08639","1.70484"
"5.30000","0.08824","1.72476"
"5.40000","0.09000","1.74056"
"5.50000","0.09175","1.75700"
"5.60000","0.09338","1.77276"
"5.70000","0.09498","1.78540"
"5.80000","0.09658","1.80006"
"5.90000","0.09821","1.81469"
"6.00000","0.09979","1.82625"
"6.10000","0.10142","1.84178"
"6.20000","0.10313","1.85937"
"6.30000","0.10486","1.87629"
"6.40000","0.10650","1.89073"
"6.50000","0.10813","1.90549"
"6.60000","0.10985","1.92170"
"6.70000","0.11142","1.93600"
"6.80000","0.11322","1.95309"
"6.90000","0.11495","1.97032"
"7.00000","0.11652","1.98437"
"7.10000","0.11823","2.00158"
"7.20000","0.11992","2.01758"
"7.30000","0.12149","2.03256"
"7.40000","0.12313","2.04744"
"7.50000","0.12480","2.06370"
"7.60000","0.12643","2.08092"
"7.70000","0.12803","2.09444"
"7.80000","0.12962","2.10858"
"7.90000","0.13120","2.12228"
"8.00000","0.13285","2.13850"
"8.10000","0.13448","2.15302"
"8.20000","0.13616","2.17011"
"8.30000","0.13786","2.18572"
"8.40000","0.13941","2.19806"
"8.50000","0.14115","2.21401"
"8.60000","0.14303","2.23355"
"8.70000","0.14476","2.24757"
"8.80000","0.14645","2.26124"
"8.90000","0.14807","2.27399"
"9.00000","0.14964","2.28575"
"9.10000","0.15123","2.29807"
"9.20000","0.15282","2.31124"
"9.30000","0.15448","2.32846"
"9.40000","0.15612","2.34159"
"9.50000","0.15773","2.35597"
"9.60000","0.15942","2.36997"
"9.70000","0.16109","2.38596"
"9.80000","0.16275","2.40121"
"9.90000","0.16444","2.41627"
"10.00000","0.16606","2.42848"
"10.10000","0.16798","2.45066"
"10.20000","0.16971","2.46401"
"10.30000","0.17135","2.47683"
"10.40000","0.17302","2.49049"
"10.50000","0.17463","2.50249"
"10.60000","0.17621","2.51339"
"10.70000","0.17787","2.52792"
"10.80000","0.17956","2.54287"
"10.90000","0.18119","2.55737"
"11.00000","0.18276","2.56981"
"11.10000","0.18440","2.58334"
"11.20000","0.18617","2.59960"
"11.30000","0.18784","2.61494"
"11.40000","0.18951","2.62871"
"11.50000","0.19121","2.64469"
"11.60000","0.19285","2.65714"
"11.70000","0.19450","2.67088"
"11.80000","0.19617","2.68576"
"11.90000","0.19792","2.70258"
"12.00000","0.19972","2.71867"
"12.10000","0.20141","2.73251"
"12.20000","0.20312","2.74679"
"12.30000","0.20472","2.75884"
"12.40000","0.20639","2.77405"
"12.50000","0.20809","2.78848"
"12.60000","0.20967","2.79977"
"12.70000","0.21127","2.81248"
"12.80000","0.21290","2.82657"
"12.90000","0.21453","2.83987"
"13.00000","0.21616","2.85439"
"13.10000","0.21779","2.86757"
"13.20000","0.21937","2.88000"
"13.30000","0.22102","2.89485"
"13.40000","0.22287","2.91380"
"13.50000","0.22459","2.92866"
"13.60000","0.22623","2.94132"
"13.70000","0.22792","2.95500"
"13.80000","0.22954","2.96757"
"13.90000","0.23118","2.98188"
"14.00000","0.23287","2.99584"
"14.10000","0.23452","3.00813"
"14.20000","0.23613","3.01956"
"14.30000","0.23773","3.03116"
"14.40000","0.23937","3.04330"
"14.50000","0.24105","3.05655"
"14.60000","0.24276","3.07130"
"14.70000","0.24438","3.08253"
"14.80000","0.24609","3.09754"
"14.90000","0.24775","3.11046"
"15.00000","0.24938","3.12257"
"15.10000","0.25107","3.13672"
"15.20000","0.25274","3.15019"
"15.30000","0.25451","3.16611"
"15.40000","0.25626","3.18041"
"15.50000","0.25790","3.19342"
"15.60000","0.25952","3.20501"
"15.70000","0.26122","3.22004"
"15.80000","0.26291","3.23377"
"15.90000","0.26452","3.24636"
"16.00000","0.26615","3.25920"
"16.10000","0.26780","3.27199"
"16.20000","0.26948","3.28567"
"16.30000","0.27123","3.30097"
"16.40000","0.27292","3.31410"
