General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{51FBF6D2-C4C1-4BA6-A1EF-E3106FF91B0B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W3 4"
Break (Standard) : Load at Break (Standard),"40.18446",N
Maximum Load : Maximum Load,"40.56791",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.68915"
"0.10000","0.00009","0.69004"
"0.20000","0.00093","0.71472"
"0.30000","0.00296","0.77586"
"0.40000","0.00518","0.84043"
"0.50000","0.00738","0.90114"
"0.60000","0.00929","0.95210"
"0.70000","0.01103","0.99653"
"0.80000","0.01270","1.03772"
"0.90000","0.01433","1.07669"
"1.00000","0.01599","1.11638"
"1.10000","0.01770","1.15552"
"1.20000","0.01943","1.19532"
"1.30000","0.02103","1.23040"
"1.40000","0.02285","1.27178"
"1.50000","0.02460","1.30885"
"1.60000","0.02624","1.34406"
"1.70000","0.02792","1.38032"
"1.80000","0.02962","1.41664"
"1.90000","0.03136","1.45346"
"2.00000","0.03301","1.48676"
"2.10000","0.03451","1.51534"
"2.20000","0.03605","1.54616"
"2.30000","0.03765","1.57698"
"2.40000","0.03932","1.60688"
"2.50000","0.04103","1.63395"
"2.60000","0.04274","1.66151"
"2.70000","0.04446","1.69586"
"2.80000","0.04611","1.73125"
"2.90000","0.04788","1.77236"
"3.00000","0.04960","1.81209"
"3.10000","0.05126","1.84978"
"3.20000","0.05294","1.88711"
"3.30000","0.05466","1.92603"
"3.40000","0.05635","1.96290"
"3.50000","0.05802","1.99948"
"3.60000","0.05970","2.03588"
"3.70000","0.06132","2.07087"
"3.80000","0.06294","2.10541"
"3.90000","0.06451","2.13761"
"4.00000","0.06612","2.17194"
"4.10000","0.06769","2.20447"
"4.20000","0.06934","2.23919"
"4.30000","0.07096","2.27283"
"4.40000","0.07261","2.30722"
"4.50000","0.07430","2.34178"
"4.60000","0.07595","2.37498"
"4.70000","0.07774","2.41402"
"4.80000","0.07965","2.45597"
"4.90000","0.08151","2.49438"
"5.00000","0.08319","2.52581"
"5.10000","0.08484","2.55655"
"5.20000","0.08644","2.58684"
"5.30000","0.08804","2.61811"
"5.40000","0.08976","2.65305"
"5.50000","0.09142","2.68359"
"5.60000","0.09306","2.71508"
"5.70000","0.09469","2.74675"
"5.80000","0.09637","2.78113"
"5.90000","0.09806","2.81431"
"6.00000","0.09970","2.84554"
"6.10000","0.10132","2.87701"
"6.20000","0.10314","2.91780"
"6.30000","0.10486","2.95356"
"6.40000","0.10641","2.98333"
"6.50000","0.10804","3.01521"
"6.60000","0.10969","3.04849"
"6.70000","0.11133","3.08099"
"6.80000","0.11297","3.11317"
"6.90000","0.11452","3.14213"
"7.00000","0.11613","3.17232"
"7.10000","0.11772","3.20165"
"7.20000","0.11932","3.23203"
"7.30000","0.12098","3.26380"
"7.40000","0.12264","3.29367"
"7.50000","0.12435","3.32529"
"7.60000","0.12606","3.35718"
"7.70000","0.12783","3.39052"
"7.80000","0.12951","3.42018"
"7.90000","0.13119","3.44995"
"8.00000","0.13290","3.48056"
"8.10000","0.13463","3.51201"
"8.20000","0.13644","3.54674"
"8.30000","0.13813","3.57630"
"8.40000","0.13971","3.60033"
"8.50000","0.14139","3.63027"
"8.60000","0.14301","3.65676"
"8.70000","0.14463","3.68423"
"8.80000","0.14622","3.71000"
"8.90000","0.14787","3.73833"
"9.00000","0.14952","3.76680"
"9.10000","0.15122","3.79674"
"9.20000","0.15287","3.82377"
"9.30000","0.15443","3.84735"
"9.40000","0.15609","3.87512"
"9.50000","0.15787","3.90792"
"9.60000","0.15951","3.93393"
"9.70000","0.16125","3.96375"
"9.80000","0.16294","3.99092"
"9.90000","0.16453","4.01446"
"10.00000","0.16615","4.04120"
"10.10000","0.16783","4.07029"
"10.20000","0.16951","4.09901"
"10.30000","0.17110","4.12421"
"10.40000","0.17270","4.14884"
"10.50000","0.17426","4.17297"
"10.60000","0.17587","4.19909"
"10.70000","0.17761","4.23011"
"10.80000","0.17929","4.25716"
"10.90000","0.18107","4.28889"
"11.00000","0.18277","4.31671"
"11.10000","0.18440","4.34216"
"11.20000","0.18620","4.37570"
"11.30000","0.18819","4.41605"
"11.40000","0.18994","4.44334"
"11.50000","0.19156","4.46614"
"11.60000","0.19324","4.49301"
"11.70000","0.19503","4.52496"
"11.80000","0.19657","4.54475"
"11.90000","0.19809","4.56577"
"12.00000","0.19970","4.59177"
"12.10000","0.20134","4.61873"
"12.20000","0.20302","4.64711"
"12.30000","0.20471","4.67556"
"12.40000","0.20637","4.70179"
"12.50000","0.20803","4.72746"
"12.60000","0.20956","4.74766"
"12.70000","0.21133","4.77898"
"12.80000","0.21309","4.80763"
"12.90000","0.21471","4.82909"
"13.00000","0.21637","4.85299"
"13.10000","0.21802","4.87662"
"13.20000","0.21962","4.89830"
"13.30000","0.22119","4.91890"
"13.40000","0.22287","4.94420"
"13.50000","0.22452","4.96714"
"13.60000","0.22617","4.99015"
"13.70000","0.22777","5.01083"
"13.80000","0.22937","5.03246"
"13.90000","0.23103","5.05747"
"14.00000","0.23267","5.08005"
"14.10000","0.23431","5.10353"
"14.20000","0.23601","5.12873"
"14.30000","0.23767","5.15185"
"14.40000","0.23938","5.17704"
"14.50000","0.24105","5.19837"
"14.60000","0.24290","5.22852"
"14.70000","0.24467","5.25439"
"14.80000","0.24645","5.27955"
"14.90000","0.24818","5.30287"
"15.00000","0.24983","5.32259"
"15.10000","0.25149","5.34078"
"15.20000","0.25322","5.36408"
"15.30000","0.25492","5.38566"
"15.40000","0.25649","5.40129"
"15.50000","0.25816","5.42235"
"15.60000","0.25987","5.44583"
"15.70000","0.26151","5.46610"
"15.80000","0.26307","5.48285"
"15.90000","0.26475","5.50658"
"16.00000","0.26653","5.53418"
"16.10000","0.26822","5.55677"
"16.20000","0.26977","5.57158"
"16.30000","0.27144","5.59387"
"16.40000","0.27310","5.61597"
"16.50000","0.27473","5.63304"
"16.60000","0.27642","5.65391"
"16.70000","0.27812","5.67499"
"16.80000","0.27977","5.69509"
"16.90000","0.28147","5.71856"
"17.00000","0.28317","5.74312"
"17.10000","0.28486","5.76692"
"17.20000","0.28660","5.79392"
"17.30000","0.28829","5.81701"
"17.40000","0.28986","5.83567"
"17.50000","0.29149","5.85821"
"17.60000","0.29317","5.88455"
"17.70000","0.29474","5.90376"
"17.80000","0.29627","5.92386"
"17.90000","0.29789","5.94985"
"18.00000","0.29958","5.97904"
"18.10000","0.30125","6.00864"
"18.20000","0.30298","6.03996"
"18.30000","0.30473","6.07239"
"18.40000","0.30635","6.09806"
"18.50000","0.30790","6.12068"
"18.60000","0.30948","6.14752"
"18.70000","0.31111","6.17603"
"18.80000","0.31277","6.20723"
"18.90000","0.31448","6.24133"
"19.00000","0.31619","6.27067"
"19.10000","0.31781","6.29662"
"19.20000","0.31945","6.32476"
"19.30000","0.32137","6.36640"
"19.40000","0.32315","6.39889"
"19.50000","0.32482","6.42682"
"19.60000","0.32644","6.45162"
"19.70000","0.32807","6.47377"
"19.80000","0.32960","6.49281"
"19.90000","0.33116","6.51710"
"20.00000","0.33279","6.54579"
"20.10000","0.33441","6.57439"
"20.20000","0.33610","6.60876"
"20.30000","0.33779","6.64035"
"20.40000","0.33947","6.67302"
"20.50000","0.34119","6.70727"
"20.60000","0.34290","6.74224"
"20.70000","0.34460","6.77530"
"20.80000","0.34631","6.81027"
"20.90000","0.34805","6.84574"
"21.00000","0.34973","6.87829"
"21.10000","0.35154","6.91854"
"21.20000","0.35329","6.95577"
"21.30000","0.35496","6.98749"
"21.40000","0.35663","7.01961"
"21.50000","0.35824","7.04825"
"21.60000","0.35974","7.07149"
"21.70000","0.36126","7.09832"
"21.80000","0.36285","7.12969"
"21.90000","0.36443","7.16016"
"22.00000","0.36601","7.19056"
"22.10000","0.36764","7.22434"
"22.20000","0.36930","7.25880"
