General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{6E1359B4-D233-41C5-96C0-B7E8CEA854AE}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W2 5"
Break (Standard) : Load at Break (Standard),"55.55626",N
Maximum Load : Maximum Load,"56.44427",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29464","6.89297"
"17.80000","0.29630","6.94211"
"17.90000","0.29804","6.99586"
"18.00000","0.29977","7.04809"
"18.10000","0.30141","7.09295"
"18.20000","0.30304","7.13646"
"18.30000","0.30470","7.18392"
"18.40000","0.30633","7.22852"
"18.50000","0.30793","7.27325"
"18.60000","0.30948","7.31286"
"18.70000","0.31110","7.35931"
"18.80000","0.31274","7.40823"
"18.90000","0.31443","7.45929"
"19.00000","0.31619","7.51421"
"19.10000","0.31791","7.56605"
"19.20000","0.31953","7.60462"
"19.30000","0.32138","7.66062"
"19.40000","0.32318","7.71670"
"19.50000","0.32488","7.76483"
"19.60000","0.32650","7.80825"
"19.70000","0.32814","7.85258"
"19.80000","0.32986","7.90342"
"19.90000","0.33161","7.95665"
"20.00000","0.33329","8.00459"
"20.10000","0.33491","8.04678"
"20.20000","0.33653","8.09124"
"20.30000","0.33809","8.13114"
"20.40000","0.33971","8.17779"
"20.50000","0.34140","8.22798"
"20.60000","0.34301","8.27143"
"20.70000","0.34465","8.31908"
"20.80000","0.34623","8.36283"
"20.90000","0.34788","8.41215"
"21.00000","0.34954","8.46171"
"21.10000","0.35121","8.51157"
"21.20000","0.35295","8.56542"
"21.30000","0.35472","8.62039"
"21.40000","0.35642","8.66951"
"21.50000","0.35801","8.70998"
"21.60000","0.35965","8.75687"
"21.70000","0.36129","8.80091"
"21.80000","0.36292","8.84542"
"21.90000","0.36462","8.89493"
"22.00000","0.36633","8.94591"
"22.10000","0.36800","8.99273"
"22.20000","0.36968","9.04129"
"22.30000","0.37142","9.09453"
"22.40000","0.37305","9.13949"
"22.50000","0.37468","9.18434"
"22.60000","0.37649","9.24471"
"22.70000","0.37817","9.29282"
"22.80000","0.37977","9.33429"
"22.90000","0.38136","9.37587"
"23.00000","0.38304","9.42555"
"23.10000","0.38471","9.47476"
"23.20000","0.38632","9.51662"
