General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{50DD61B3-58A1-4F91-AB42-E4130450AC06}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W3 3"
Break (Standard) : Load at Break (Standard),"26.97978",N
Maximum Load : Maximum Load,"36.86805",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29452","5.37089"
"17.80000","0.29615","5.39815"
"17.90000","0.29787","5.42944"
"18.00000","0.29957","5.45963"
"18.10000","0.30131","5.49004"
"18.20000","0.30306","5.52090"
"18.30000","0.30463","5.54405"
"18.40000","0.30620","5.56731"
"18.50000","0.30782","5.59227"
"18.60000","0.30945","5.61894"
"18.70000","0.31116","5.64957"
"18.80000","0.31291","5.68243"
"18.90000","0.31466","5.71454"
"19.00000","0.31642","5.74577"
"19.10000","0.31802","5.76965"
"19.20000","0.31960","5.79461"
"19.30000","0.32119","5.81990"
"19.40000","0.32288","5.85011"
"19.50000","0.32461","5.88223"
"19.60000","0.32629","5.91009"
"19.70000","0.32787","5.93411"
"19.80000","0.32950","5.96198"
"19.90000","0.33119","5.99148"
"20.00000","0.33296","6.02483"
"20.10000","0.33491","6.06486"
"20.20000","0.33670","6.09545"
"20.30000","0.33833","6.12018"
"20.40000","0.33998","6.14693"
"20.50000","0.34172","6.17868"
"20.60000","0.34341","6.20734"
"20.70000","0.34493","6.22840"
"20.80000","0.34651","6.25404"
"20.90000","0.34817","6.28346"
"21.00000","0.34978","6.31116"
"21.10000","0.35137","6.33629"
"21.20000","0.35307","6.36859"
"21.30000","0.35476","6.39949"
"21.40000","0.35638","6.42629"
"21.50000","0.35804","6.45557"
"21.60000","0.35966","6.48245"
"21.70000","0.36130","6.51033"
"21.80000","0.36296","6.54088"
"21.90000","0.36462","6.57094"
"22.00000","0.36634","6.60309"
"22.10000","0.36817","6.63948"
"22.20000","0.36981","6.66650"
"22.30000","0.37143","6.69251"
"22.40000","0.37309","6.72121"
"22.50000","0.37473","6.74775"
"22.60000","0.37639","6.77671"
"22.70000","0.37800","6.80305"
"22.80000","0.37958","6.82765"
"22.90000","0.38115","6.85288"
"23.00000","0.38282","6.88286"
"23.10000","0.38443","6.90984"
"23.20000","0.38603","6.93599"
"23.30000","0.38778","6.97125"
"23.40000","0.38951","7.00313"
"23.50000","0.39123","7.03512"
"23.60000","0.39287","7.06274"
"23.70000","0.39455","7.09279"
"23.80000","0.39623","7.12173"
"23.90000","0.39787","7.14914"
"24.00000","0.39958","7.17971"
"24.10000","0.40126","7.20837"
"24.20000","0.40295","7.23794"
"24.30000","0.40472","7.27112"
"24.40000","0.40646","7.30200"
"24.50000","0.40812","7.32937"
"24.60000","0.40976","7.35740"
"24.70000","0.41136","7.38275"
"24.80000","0.41291","7.40598"
"24.90000","0.41444","7.42899"
"25.00000","0.41616","7.46267"
"25.10000","0.41788","7.49484"
"25.20000","0.41957","7.52556"
"25.30000","0.42137","7.56059"
"25.40000","0.42313","7.59394"
"25.50000","0.42485","7.62327"
"25.60000","0.42640","7.64486"
"25.70000","0.42802","7.67065"
"25.80000","0.42961","7.69503"
"25.90000","0.43117","7.71808"
"26.00000","0.43283","7.74789"
"26.10000","0.43455","7.77847"
"26.20000","0.43626","7.80776"
"26.30000","0.43791","7.83404"
"26.40000","0.43953","7.85885"
"26.50000","0.44123","7.88935"
"26.60000","0.44297","7.92076"
"26.70000","0.44466","7.95004"
"26.80000","0.44626","7.97421"
"26.90000","0.44785","8.00014"
"27.00000","0.44947","8.02710"
"27.10000","0.45115","8.05744"
"27.20000","0.45282","8.08684"
"27.30000","0.45454","8.11844"
"27.40000","0.45621","8.14736"
"27.50000","0.45784","8.17415"
"27.60000","0.45950","8.20236"
"27.70000","0.46118","8.23237"
"27.80000","0.46288","8.26211"
"27.90000","0.46457","8.29046"
"28.00000","0.46634","8.32181"
"28.10000","0.46803","8.34933"
"28.20000","0.46951","8.36687"
"28.30000","0.47136","8.40638"
"28.40000","0.47317","8.44044"
"28.50000","0.47481","8.46446"
"28.60000","0.47643","8.48835"
"28.70000","0.47805","8.51308"
"28.80000","0.47967","8.53889"
"28.90000","0.48130","8.56562"
"29.00000","0.48286","8.58883"
"29.10000","0.48447","8.61590"
"29.20000","0.48609","8.64319"
"29.30000","0.48776","8.67335"
"29.40000","0.48944","8.70371"
"29.50000","0.49119","8.73688"
"29.60000","0.49287","8.76568"
"29.70000","0.49452","8.79119"
"29.80000","0.49632","8.82604"
"29.90000","0.49810","8.85832"
"30.00000","0.49976","8.88408"
"30.10000","0.50144","8.91155"
"30.20000","0.50310","8.93805"
"30.30000","0.50473","8.96279"
"30.40000","0.50644","8.99261"
"30.50000","0.50812","9.01963"
"30.60000","0.50969","9.04202"
"30.70000","0.51134","9.06996"
"30.80000","0.51302","9.10027"
"30.90000","0.51464","9.12551"
"31.00000","0.51620","9.14729"
"31.10000","0.51782","9.17444"
"31.20000","0.51950","9.20580"
"31.30000","0.52122","9.23770"
"31.40000","0.52286","9.26420"
"31.50000","0.52447","9.28968"
"31.60000","0.52620","9.32319"
"31.70000","0.52806","9.36041"
"31.80000","0.52980","9.38977"
"31.90000","0.53151","9.41751"
"32.00000","0.53314","9.44217"
"32.10000","0.53477","9.46686"
"32.20000","0.53636","9.48872"
"32.30000","0.53802","9.51661"
"32.40000","0.53969","9.54489"
"32.50000","0.54134","9.57195"
"32.60000","0.54297","9.59880"
"32.70000","0.54455","9.62360"
"32.80000","0.54619","9.65230"
"32.90000","0.54789","9.68275"
"33.00000","0.54955","9.71161"
"33.10000","0.55135","9.75022"
"33.20000","0.55312","9.78476"
"33.30000","0.55474","9.80978"
"33.40000","0.55639","9.83862"
"33.50000","0.55814","9.87179"
"33.60000","0.55987","9.90442"
"33.70000","0.56151","9.93131"
"33.80000","0.56306","9.95258"
"33.90000","0.56469","9.98004"
"34.00000","0.56629","10.00475"
"34.10000","0.56782","10.02802"
"34.20000","0.56951","10.06091"
"34.30000","0.57127","10.09695"
"34.40000","0.57306","10.13408"
"34.50000","0.57471","10.15911"
"34.60000","0.57635","10.18580"
"34.70000","0.57803","10.21494"
"34.80000","0.57965","10.24082"
"34.90000","0.58128","10.26830"
"35.00000","0.58298","10.30011"
"35.10000","0.58474","10.33597"
"35.20000","0.58647","10.36722"
"35.30000","0.58808","10.39256"
"35.40000","0.58972","10.42064"
"35.50000","0.59135","10.44677"
"35.60000","0.59297","10.47329"
"35.70000","0.59455","10.49759"
"35.80000","0.59623","10.52853"
"35.90000","0.59792","10.55952"
"36.00000","0.59969","10.59564"
"36.10000","0.60142","10.62836"
"36.20000","0.60299","10.64983"
"36.30000","0.60464","10.67781"
"36.40000","0.60645","10.71516"
"36.50000","0.60813","10.74268"
"36.60000","0.60988","10.77497"
"36.70000","0.61154","10.80128"
"36.80000","0.61309","10.82142"
"36.90000","0.61471","10.84803"
"37.00000","0.61640","10.88026"
"37.10000","0.61803","10.90830"
"37.20000","0.61962","10.93482"
"37.30000","0.62122","10.96251"
"37.40000","0.62287","10.99301"
"37.50000","0.62458","11.02731"
"37.60000","0.62635","11.06328"
"37.70000","0.62809","11.09800"
"37.80000","0.62973","11.12329"
"37.90000","0.63137","11.14991"
"38.00000","0.63298","11.17451"
"38.10000","0.63465","11.20388"
"38.20000","0.63646","11.24142"
"38.30000","0.63806","11.26320"
"38.40000","0.63972","11.29093"
"38.50000","0.64136","11.31413"
"38.60000","0.64298","11.33854"
"38.70000","0.64457","11.36137"
"38.80000","0.64614","11.38427"
