Year,Row,Geno,Condition,Stage,Plant.ID,WR,Root,Section,K,BL,UL,ai2,bi2,ai,bi,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,MajorThicc2,MinorThicc2,MOI_solid,E_MPa_solid,E,MOI_hollow,E_MPa_hollow,E_GPa_hollow,MOI_hollow2,E_MPa_hollow2,E_GPa_hollow2,Condcolor,Sample,Grow
2019,,B73,Dry/Greenhouse,V13,P01,TWR,R1,S1,13.06169,7.21187,7.25151,0.054,0.311,0.339,1.018,0.506,1.181,2.362,1.012,0.163,0.167,0.87,0.452,0.120168691,11125.3471,11.1253471,0.089020218,15018.14331,15.01814331,0.120130229,11128.90909,11.12890909,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P01,TWR,R2,S1,9.51455,7.96492,7.97044,0.178,0.651,0.371,0.842,0.512,0.931,1.862,1.024,0.089,0.141,0.28,0.334,0.098140766,9923.030682,9.923030682,0.064371339,15128.68704,15.12868704,0.095257194,10223.41512,10.22341512,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P01,TWR,R3,S1,6.36676,3.24704,3.34144,0.149,0.746,0.358,0.607,0.523,0.867,1.734,1.046,0.26,0.165,0.121,0.374,0.097412356,6689.751112,6.689751112,0.075538384,8626.930884,8.626930884,0.095474205,6825.554756,6.825554756,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P01,TWR,R4,S1,15.60869,1.24654,1.25267,0.54,0.96,0.411,0.855,0.664,1.014,2.028,1.328,0.159,0.253,0.054,0.124,0.233148204,6852.35584,6.85235584,0.186527217,8565.047402,8.565047402,0.114423145,13962.33652,13.96233652,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P01,TWR,R5,S1,15.60869,0.70576,1.25267,0.062,1.105,0.321,1.253,0.478,1.38,2.76,0.956,0.127,0.157,0.275,0.416,0.118373001,13496.44299,13.49644299,0.085822622,18615.30704,18.61530704,0.118166164,13520.06699,13.52006699,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P02,BWR,R1,S1,37.88143,12.81782,19.51423,0.533,0.827,1.114,1.34,1.321,1.557,3.114,2.642,0.217,0.207,0.73,0.788,2.818947235,1375.450435,1.375450435,1.36398992,2842.632591,2.842632591,2.720596634,1425.17349,1.42517349,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P02,BWR,R2,S1,69.43029,29.00129,30.97797,0.589,1.016,1.096,1.414,1.82,1.592,3.184,3.64,0.178,0.724,0.576,1.231,7.537843366,942.7735665,0.942773567,6.075763983,1169.643767,1.169643767,7.374790111,963.6178613,0.963617861,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P02,BWR,R3,S1,54.83234,17.77874,31.52803,0.648,0.829,0.955,1.472,1.274,1.771,3.542,2.548,0.299,0.319,0.942,0.626,2.876184401,1951.3069,1.9513069,1.869234633,3002.468694,3.002468694,2.699022868,2079.389002,2.079389002,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P02,BWR,R5,S1,32.60595,12.16451,18.72814,0.513,0.96,0.915,1.234,1.17,1.439,2.878,2.34,0.205,0.255,0.479,0.657,1.810123725,1843.716424,1.843716424,1.067671824,3125.824589,3.125824589,1.708331827,1953.575288,1.953575288,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P02,MWR,R1,S1,12.31232,1.49265,10.95845,0.079,0.785,1.017,1.572,1.395,1.891,3.782,2.79,0.319,0.378,1.106,1.316,4.031846906,312.5657503,0.31256575,2.733157547,461.0847459,0.461084746,4.031542929,312.5893177,0.312589318,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,MWR,R1,S1,41.63637,11.77439,18.1653,0.334,0.646,1.007,1.659,1.23,1.926,3.852,2.46,0.267,0.223,1.28,0.896,2.814890455,1513.968668,1.513968668,1.484360431,2871.038505,2.871038505,2.795986103,1524.204984,1.524204984,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,MWR,R2,S1,34.46125,6.27107,18.60769,0.652,1.149,1.061,1.69,1.286,1.91,3.82,2.572,0.22,0.225,0.761,0.634,3.190407477,1105.580573,1.105580573,1.605066308,2197.574336,2.197574336,2.940285013,1199.629461,1.199629461,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,MWR,R5,S1,30.47268,22.04696,22.27149,0.576,1.029,0.979,1.978,1.303,2.326,4.652,2.606,0.348,0.324,1.297,0.727,4.041409322,771.7619075,0.771761908,2.583722445,1207.175242,1.207175242,3.88696473,802.4270824,0.802427082,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,TWR,R1,S1,17.59421,12.10501,12.15414,0.639,0.984,0.815,1.31,1.062,1.607,3.214,2.124,0.297,0.247,0.623,0.423,1.511747672,1191.231008,1.191231008,0.95477485,1886.141745,1.886141745,1.310102627,1374.579873,1.374579873,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,TWR,R2,S1,13.03556,9.05759,9.79671,0.472,0.652,0.594,1.015,0.862,1.392,2.784,1.724,0.377,0.268,0.74,0.39,0.700246447,1905.39186,1.90539186,0.53316999,2502.473707,2.502473707,0.646399204,2064.117456,2.064117456,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P03,TWR,R3,S1,16.16494,13.6078,14.15056,0.816,1.097,0.959,1.279,1.18,1.567,3.134,2.36,0.288,0.221,0.47,0.364,2.022110572,818.2287289,0.818228729,1.136146221,1456.281711,1.456281711,1.553980021,1064.717011,1.064717011,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P04,MWR,R1,S1,14.30111,7.62954,7.67166,0.216,0.604,0.227,1.027,0.364,1.153,2.306,0.728,0.126,0.137,0.549,0.148,0.043674037,33515.9809,33.5159809,0.034239124,42751.62487,42.75162487,0.038893375,37635.6694,37.6356694,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P04,MWR,R4,S1,11.03155,7.34763,7.35439,0.105,0.726,0.518,0.883,0.716,1.058,2.116,1.432,0.175,0.198,0.332,0.611,0.305010378,3701.923574,3.701923574,0.208618628,5412.388717,5.412388717,0.304350301,3709.952327,3.709952327,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P04,MWR,R5,S1,6.77119,3.3467,3.35252,0.188,0.566,0.279,0.626,0.555,0.785,1.57,1.11,0.159,0.276,0.219,0.367,0.105399485,6575.54932,6.57554932,0.094721807,7316.789396,7.316789396,0.102445693,6765.140529,6.765140529,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P04,TWR,R1,S1,8.81187,3.34622,4.66722,0.12,0.555,0.279,0.867,0.473,1.005,2.01,0.946,0.138,0.194,0.45,0.353,0.083529401,10797.77424,10.79777424,0.068740987,13120.72534,13.12072534,0.082776172,10896.02943,10.89602943,indianred,Dry,Greenhouse
2019,,B73,Dry/Greenhouse,V13,P05,BWR,R1,S1,18.24607,9.43492,10.23632,0.368,0.729,0.693,1.167,0.873,1.356,2.712,1.746,0.189,0.18,0.627,0.505,0.708585567,2635.618586,2.635618586,0.403543004,4627.911453,4.627911453,0.680051685,2746.204931,2.746204931,indianred,Dry,Greenhouse
