Geno,Plant,WR,Root,ai,bi,ao,bo,MajorD,MinorD,K,BL,UL,MOI,E_MPa,E_GPa,Condition
B73,P01,BWR,R03,,,2.485,3.14,6.28,4.97,172.74907,26.97978,36.86805,37.84414594,467.2211953,0.467221195,Fresh/Field
B73,P01,BWR,R04,,,2.85,2.96,5.92,5.7,170.14686,40.18446,40.56791,53.81658957,323.6035618,0.323603562,Fresh/Field
Oh43,P02,BWR,R01,,,1.935,2.185,4.37,3.87,163.23296,22.14098,22.62478,12.43323753,1343.783029,1.343783029,Fresh/Field
B73,P02,BWR,R02,,,2.02,2.45,4.9,4.04,172.51377,12.16002,22.51682,15.86025166,1113.317969,1.113317969,Fresh/Field
B73,P02,BWR,R03,,,2.74,2.785,5.57,5.48,327.96261,43.11969,49.57373,44.99526038,746.04168,0.74604168,Fresh/Field
B73,P02,BWR,R04,,,2.505,2.67,5.34,5.01,287.72243,28.27843,41.09212,32.96281806,893.418442,0.893418442,Fresh/Field
B73,P03,BWR,R01,,,2.84,3.005,6.01,5.68,233.46809,26.31168,41.83991,54.06166012,442.0217903,0.44202179,Fresh/Field
Oh43,P03,BWR,R01,,,2.7,2.83,5.66,5.4,213.6397,37.58775,40.79914,43.7489475,499.8271892,0.499827189,Fresh/Field
B73,P03,BWR,R02,,,2.755,2.845,5.69,5.51,278.96981,42.6309,48.75054,46.72367148,611.1189794,0.611118979,Fresh/Field
Oh43,P03,BWR,R02,,,2.84,3.01,6.02,5.68,229.28421,30.55741,45.85977,54.15161297,433.3794131,0.433379413,Fresh/Field
B73,P03,BWR,R03,,,2.935,3.06,6.12,5.87,392.31419,,58.40696,60.76249867,660.8515592,0.660851559,Fresh/Field
B73,P03,BWR,R04,,,2.875,2.95,5.9,5.75,320.47469,49.81925,52.36094,55.05863553,595.7633988,0.595763399,Fresh/Field
A632,P04,BWR,R01,,,1.785,1.995,3.99,3.57,111.54377,,17.03254,8.911430876,1281.160095,1.281160095,Fresh/Field
B73,P04,BWR,R01,,,1.695,2.06,4.12,3.39,194.42787,25.6273,25.95995,7.878911265,2525.793468,2.525793468,Fresh/Field
Oh43,P04,BWR,R01,,,2.56,2.82,5.64,5.12,122.72751,9.72717,27.84951,37.15856087,338.0559344,0.338055934,Fresh/Field
A632,P04,BWR,R02,,,2.595,2.715,5.43,5.19,254.60545,39.27019,45.64647,37.26248394,699.361017,0.699361017,Fresh/Field
B73,P04,BWR,R02,,,2.67,2.695,5.39,5.34,287.72287,43.08811,45.00459,40.288624,730.9665028,0.730966503,Fresh/Field
B73,P04,BWR,R03,,,2.745,2.805,5.61,5.49,163.18623,12.99308,34.29671,45.56693248,366.55508,0.36655508,Fresh/Field
B73,P04,BWR,R04,,,2.825,2.92,5.84,5.65,311.90841,45.76444,55.00023,51.70446983,617.4538775,0.617453878,Fresh/Field
A632,P05,BWR,R01,,,1.91,2.38,4.76,3.82,152.23793,17.50175,28.0147,13.02467635,1196.358823,1.196358823,Fresh/Field
B73,P05,BWR,R01,,,2.315,2.86,5.72,4.63,266.66779,26.4416,36.61389,27.86819884,979.4159852,0.979415985,Fresh/Field
Oh43,P05,BWR,R01,,,2.35,2.67,5.34,4.7,68.4882,7.09349,16.0389,27.21477384,257.582616,0.257582616,Fresh/Field
A632,P05,BWR,R02,,,2.125,2.385,4.77,4.25,104.39502,11.83495,21.34659,17.97442755,594.4704078,0.594470408,Fresh/Field
B73,P05,BWR,R02,,,2.59,2.9,5.8,5.18,305.05991,55.34361,56.52829,39.57192447,789.0481266,0.789048127,Fresh/Field
Oh43,P05,BWR,R02,,,2.225,2.495,4.99,4.45,177.3148,17.88194,23.58996,21.58492169,840.8141969,0.840814197,Fresh/Field
A632,P05,BWR,R03,,,2.245,2.64,5.28,4.49,276.7369,,44.01642,23.46080146,1207.340458,1.207340458,Fresh/Field
B73,P05,BWR,R03,,,3.085,3.125,6.25,6.17,347.58174,52.47672,63.09343,72.06185014,493.6931161,0.493693116,Fresh/Field
Oh43,P05,BWR,R03,,,2.895,3.145,6.29,5.79,176.0072,36.38087,37.00059,59.9316501,300.5935971,0.300593597,Fresh/Field
B73,P05,BWR,R04,,,3.085,3.1,6.2,6.17,236.10261,49.50163,52.17684,71.48535534,338.0564562,0.338056456,Fresh/Field
A632,P06,BWR,R01,,,1.865,2.01,4.02,3.73,147.82631,,20.37295,10.24053031,1477.524925,1.477524925,Fresh/Field
B73,P06,BWR,R01,,,2.33,2.72,5.44,4.66,240.73178,28.86229,46.96871,27.02256365,911.8269107,0.911826911,Fresh/Field
Oh43,P06,BWR,R01,,,3.19,3.28,6.56,6.38,202.06092,23.65553,38.60097,83.62493135,247.315923,0.247315923,Fresh/Field
A632,P06,BWR,R02,,,2.74,2.845,5.69,5.48,172.32767,38.56689,43.69752,45.96463762,383.739674,0.383739674,Fresh/Field
B73,P06,BWR,R02,,,2.895,2.91,5.82,5.79,295.5183,49.70814,56.60788,55.45345049,545.4580204,0.54545802,Fresh/Field
A632,P06,BWR,R03,,,2.39,2.6,5.2,4.78,324.59283,43.65483,53.86013,27.87769948,1191.756466,1.191756466,Fresh/Field
B73,P06,BWR,R03,,,2.565,3.005,6.01,5.13,272.66296,,49.78386,39.82873069,700.7049827,0.700704983,Fresh/Field
B73,P06,BWR,R04,,,2.795,2.835,5.67,5.59,273.86582,36.89283,44.94873,48.61702517,576.5738995,0.576573899,Fresh/Field
A632,P01,MWR,R01,,,2.68,2.72,5.44,5.36,198.50837,16.20532,35.8213,41.12095266,494.1072002,0.4941072,Fresh/Field
Oh43,P01,MWR,R01,,,2.32,2.555,5.11,4.64,138.34352,,,25.05790397,565.092584,0.565092584,Fresh/Field
A632,P01,MWR,R02,,,2.255,2.73,5.46,4.51,183.63327,,41.51675,24.58624285,764.4775347,0.764477535,Fresh/Field
B73,P01,MWR,R02,,,2.195,2.63,5.26,4.39,184.10994,21.2777,21.65488,21.84485687,862.6478806,0.862647881,Fresh/Field
Oh43,P01,MWR,R02,,,2.645,2.795,5.59,5.29,125.58846,18.67444,33.07038,40.62082342,316.4510486,0.316451049,Fresh/Field
A632,P01,MWR,R03,,,2.445,2.8,5.6,4.89,255.14179,26.70255,42.25251,32.14285899,812.4611847,0.812461185,Fresh/Field
B73,P01,MWR,R03,,,1.76,2.15,4.3,3.52,115.09385,10.68173,17.51306,9.205901944,1279.650291,1.279650291,Fresh/Field
Oh43,P01,MWR,R03,,,2.585,2.64,5.28,5.17,121.11033,22.98234,25.83434,35.81586551,346.1077019,0.346107702,Fresh/Field
B73,P01,MWR,R04,,,2.67,2.87,5.74,5.34,148.66878,30.89988,30.89988,42.90476842,354.6661513,0.354666151,Fresh/Field
Oh43,P01,MWR,R04,,,2.7,2.715,5.43,5.4,127.38387,30.97203,32.50254,41.97116342,310.6482832,0.310648283,Fresh/Field
B73,P01,MWR,R05,,,2.815,2.92,5.84,5.63,281.67072,55.55626,56.44427,51.15733714,563.5588838,0.563558884,Fresh/Field
A632,P02,MWR,R01,,,2.375,2.62,5.24,4.75,179.69302,41.62061,42.14031,27.56652447,667.1979756,0.667197976,Fresh/Field
Oh43,P02,MWR,R01,,,2.135,2.335,4.67,4.27,101.57884,,20.83614,17.8472129,582.556928,0.582556928,Fresh/Field
A632,P02,MWR,R02,,,2.725,2.93,5.86,5.45,174.50185,31.96914,37.37822,46.56472276,383.5734518,0.383573452,Fresh/Field
B73,P02,MWR,R02,,,2.16,2.22,4.44,4.32,96.74682,10.04632,15.52824,17.57130872,563.5573476,0.563557348,Fresh/Field
Oh43,P02,MWR,R02,,,2.735,2.775,5.55,5.47,114.68077,,33.86291,44.58870517,263.2517496,0.26325175,Fresh/Field
B73,P02,MWR,R03,,,2.365,2.575,5.15,4.73,194.30333,,27.29639,26.75226452,743.4045596,0.74340456,Fresh/Field
Oh43,P02,MWR,R03,,,2.88,2.965,5.93,5.76,190.73798,27.00961,40.42011,55.62782021,350.9543772,0.350954377,Fresh/Field
B73,P02,MWR,R04,,,1.775,1.965,3.93,3.55,72.63853,6.69941,8.25243,8.630729557,861.4400622,0.861440062,Fresh/Field
B73,P02,MWR,R05,,,2.15,2.185,4.37,4.3,102.82976,16.56358,16.87465,17.05519552,617.1171936,0.617117194,Fresh/Field
A632,P03,MWR,R01,,,1.72,2.005,4.01,3.44,163.60082,14.19326,20.57138,8.012897716,2089.78402,2.08978402,Fresh/Field
B73,P03,MWR,R01,,,2.125,2.41,4.82,4.25,158.57472,,30.19314,18.16283874,893.6259111,0.893625911,Fresh/Field
Oh43,P03,MWR,R01,,,2.45,2.52,5.04,4.9,80.501,16.68914,24.20286,29.10641219,283.0858272,0.283085827,Fresh/Field
A632,P03,MWR,R02,,,2.635,2.76,5.52,5.27,184.96057,20.97877,23.61683,39.65891442,477.3576203,0.47735762,Fresh/Field
B73,P03,MWR,R02,,,2.485,2.49,4.98,4.97,123.26934,21.78113,25.30285,30.01016669,420.4285402,0.42042854,Fresh/Field
Oh43,P03,MWR,R02,,,3.1,3.19,6.38,6.2,136.76194,27.43805,30.09813,74.63897143,187.544846,0.187544846,Fresh/Field
A632,P03,MWR,R03,,,2.285,2.605,5.21,4.57,281.7658,25.95324,32.53975,24.40935042,1181.510493,1.181510493,Fresh/Field
B73,P03,MWR,R03,,,2.4,2.66,5.32,4.8,178.72205,,33.57056,28.8805356,633.4005278,0.633400528,Fresh/Field
Oh43,P03,MWR,R03,,,2.355,2.68,5.36,4.71,107.58421,,24.74909,27.491435,400.5499226,0.400549923,Fresh/Field
B73,P03,MWR,R04,,,2.315,2.355,4.71,4.63,105.42165,12.57413,18.69213,22.94741548,470.220498,0.470220498,Fresh/Field
A632,P04,MWR,R01,,,2.355,2.655,5.31,4.71,126.05381,14.58288,31.57062,27.23498505,473.7337896,0.47373379,Fresh/Field
B73,P04,MWR,R01,,,2.37,2.465,4.93,4.74,116.8885,13.17131,20.07622,25.77222077,464.2217338,0.464221734,Fresh/Field
A632,P04,MWR,R02,,,2.41,2.46,4.92,4.82,190.47091,35.9991,40.85575,27.04432312,720.871851,0.720871851,Fresh/Field
B73,P04,MWR,R02,,,2.66,2.805,5.61,5.32,170.47035,,33.15494,41.46366212,420.8106502,0.42081065,Fresh/Field
Oh43,P04,MWR,R02,,,2.955,3.06,6.12,5.91,164.65504,23.99881,45.87537,62.0131459,271.7670449,0.271767045,Fresh/Field
A632,P04,MWR,R03,,,2.095,2.475,4.95,4.19,89.08081,13.25607,21.49355,17.87381121,510.1201956,0.510120196,Fresh/Field
B73,P04,MWR,R03,,,2.32,2.42,4.84,4.64,112.97854,14.06515,21.82295,23.73390513,487.2280499,0.48722805,Fresh/Field
Oh43,P04,MWR,R03,,,3.05,3.15,6.3,6.1,129.15589,31.20428,39.36015,70.19399383,188.330123,0.188330123,Fresh/Field
B73,P04,MWR,R04,,,2.49,2.545,5.09,4.98,124.74643,,26.84251,30.85856379,413.7689938,0.413768994,Fresh/Field
A632,P05,MWR,R01,,,2.015,2.225,4.45,4.03,132.96769,,28.96249,14.29700431,951.9334826,0.951933483,Fresh/Field
B73,P05,MWR,R01,,,2.575,2.79,5.58,5.15,122.80279,24.64585,26.77698,37.41328005,335.9603119,0.335960312,Fresh/Field
Oh43,P05,MWR,R01,,,2.205,2.31,4.62,4.41,111.9337,18.83248,23.37102,19.45035994,589.031803,0.589031803,Fresh/Field
A632,P05,MWR,R02,,,2.26,2.38,4.76,4.52,173.57839,28.76078,29.10911,21.57705437,823.3965191,0.823396519,Fresh/Field
B73,P05,MWR,R03,,,1.785,2.04,4.08,3.57,122.7437,23.63947,24.89625,9.112440595,1378.700799,1.378700799,Fresh/Field
Oh43,P05,MWR,R03,,,2.215,2.535,5.07,4.43,105.26155,24.62507,26.77585,21.63660102,497.9505895,0.49795059,Fresh/Field
A632,P05,MWR,R04,,,2.165,2.51,5.02,4.33,187.27062,35.90565,35.94696,20.00494238,958.1596329,0.958159633,Fresh/Field
B73,P05,MWR,R04,,,2.49,2.53,5.06,4.98,127.11284,23.82592,24.17058,30.6766862,424.1178049,0.424117805,Fresh/Field
Oh43,P05,MWR,R04,,,2.37,2.745,5.49,4.74,106.94334,24.94904,27.48355,28.69969413,381.4011535,0.381401154,Fresh/Field
A632,P06,MWR,R01,,,2.34,2.345,4.69,4.68,184.64492,27.05068,29.84427,23.59827733,800.8710405,0.80087104,Fresh/Field
B73,P06,MWR,R01,,,2.125,2.225,4.45,4.25,103.53286,10.3427,17.49466,16.76859593,631.956286,0.631956286,Fresh/Field
Oh43,P06,MWR,R01,,,2.325,2.54,5.08,4.65,88.92569,16.84461,21.30442,25.07220151,363.0281486,0.363028149,Fresh/Field
A632,P06,MWR,R02,,,2.565,2.845,5.69,5.13,164.24722,42.74769,42.98886,37.70806616,445.8300051,0.445830005,Fresh/Field
B73,P06,MWR,R02,,,2.255,2.405,4.81,4.51,107.90999,15.87598,18.37689,21.65930918,509.9441081,0.509944108,Fresh/Field
A632,P06,MWR,R03,,,2.66,2.815,5.63,5.32,246.30862,30.09903,37.98857,41.61148266,605.8595352,0.605859535,Fresh/Field
B73,P06,MWR,R03,,,2.69,2.9,5.8,5.38,168.93426,25.97118,38.11458,44.33479649,390.0125132,0.390012513,Fresh/Field
Oh43,P06,MWR,R03,,,2.345,2.49,4.98,4.69,88.90784,20.05901,24.93525,25.21841397,360.8509196,0.36085092,Fresh/Field
B73,P06,MWR,R04,,,2.81,2.9,5.8,5.62,123.18703,20.42542,25.3303,50.53669529,249.4960489,0.249496049,Fresh/Field
Oh43,P06,MWR,R04,,,2.395,2.42,4.84,4.79,130.66546,16.63254,22.57911,26.11089754,512.2058424,0.512205842,Fresh/Field
A632,P01,TWR,R01,,,1.27,1.685,3.37,2.54,66.10386,8.77109,8.85718,2.710821675,2495.924231,2.495924231,Fresh/Field
Oh43,P01,TWR,R01,,,2.295,2.365,4.73,4.59,73.48959,11.44853,14.49338,22.45272701,335.0134591,0.335013459,Fresh/Field
A632,P01,TWR,R02,,,1.955,2.3,4.6,3.91,95.60838,,19.91836,13.49764503,725.0091434,0.725009143,Fresh/Field
B73,P01,TWR,R02,,,2.36,2.405,4.81,4.72,96.69076,14.56003,16.19914,24.82795622,398.6112298,0.39861123,Fresh/Field
A632,P01,TWR,R03,,,1.93,2.365,4.73,3.86,154.29222,,27.29908,13.35343367,1182.650994,1.182650994,Fresh/Field
B73,P01,TWR,R03,,,2.24,2.31,4.62,4.48,114.13205,19.13668,22.47168,20.39134705,572.8847063,0.572884706,Fresh/Field
Oh43,P01,TWR,R03,,,2.34,2.4,4.8,4.68,96.96958,19.98269,19.98269,24.15175505,410.9531806,0.410953181,Fresh/Field
B73,P01,TWR,R04,,,2.35,2.37,4.74,4.7,138.52992,17.46133,19.10651,24.15693408,586.9583645,0.586958365,Fresh/Field
B73,P01,TWR,R05,,,2.07,2.16,4.32,4.14,107.07393,17.98234,18.26973,15.0471645,728.3407366,0.728340737,Fresh/Field
A632,P02,TWR,R01,,,1.96,2.135,4.27,3.92,83.85496,15.26836,16.06865,12.6257148,679.7955355,0.679795536,Fresh/Field
Oh43,P02,TWR,R01,,,1.835,2.015,4.03,3.67,74.64367,,13.74225,9.778520208,781.3135809,0.781313581,Fresh/Field
A632,P02,TWR,R02,,,2.25,2.475,4.95,4.5,89.56487,,18.09904,22.14178549,414.0288341,0.414028834,Fresh/Field
Oh43,P02,TWR,R02,,,2.35,2.7,5.4,4.7,114.53187,17.77049,22.51159,27.52055781,425.9657159,0.425965716,Fresh/Field
A632,P02,TWR,R03,,,2.08,2.3,4.6,4.16,88.6682,,20.61802,16.2557766,558.2975174,0.558297517,Fresh/Field
A632,P03,TWR,R01,,,1.435,1.52,3.04,2.87,78.91307,10.38214,10.757,3.527679916,2289.62993,2.28962993,Fresh/Field
Oh43,P03,TWR,R01,,,2.155,2.405,4.81,4.31,62.52214,15.27429,15.71394,18.90369866,338.5264257,0.338526426,Fresh/Field
A632,P03,TWR,R02,,,1.525,1.73,3.46,3.05,102.77557,,,4.818873386,2182.980746,2.182980746,Fresh/Field
B73,P03,TWR,R02,,,2.03,2.185,4.37,4.06,52.10225,4.56151,7.30556,14.35586734,371.4775467,0.371477547,Fresh/Field
Oh43,P03,TWR,R02,,,1.56,1.775,3.55,3.12,76.2946,,12.42658,5.292514223,1475.493475,1.475493475,Fresh/Field
A632,P03,TWR,R03,,,1.525,1.565,3.13,3.05,95.45989,8.30664,13.12558,4.359269855,2241.365599,2.241365599,Fresh/Field
B73,P03,TWR,R03,,,1.905,2.09,4.18,3.81,44.92018,3.11995,3.96552,11.34804652,405.1593886,0.405159389,Fresh/Field
Oh43,P03,TWR,R03,,,1.865,1.96,3.92,3.73,58.93048,9.6515,10.00332,9.985790747,604.0363076,0.604036308,Fresh/Field
B73,P03,TWR,R05,,,2.07,2.36,4.72,4.14,103.07617,21.10206,21.44849,16.44042047,641.7278378,0.641727838,Fresh/Field
A632,P04,TWR,R01,,,1.685,1.965,3.93,3.37,158.85795,,,7.383327823,2202.228247,2.202228247,Fresh/Field
B73,P04,TWR,R01,,,2.06,2.125,4.25,4.12,70.82923,11.40402,11.77335,14.58983824,496.8983681,0.496898368,Fresh/Field
Oh43,P04,TWR,R01,,,1.835,2.23,4.46,3.67,66.90284,,,10.82188589,632.7718206,0.632771821,Fresh/Field
A632,P04,TWR,R02,,,1.435,1.575,3.15,2.87,71.2065,,12.842,3.655326229,1993.88003,1.99388003,Fresh/Field
B73,P04,TWR,R02,,,1.945,1.985,3.97,3.89,47.22236,6.7347,6.92304,11.47120945,421.3509768,0.421350977,Fresh/Field
Oh43,P04,TWR,R02,,,1.86,2.245,4.49,3.72,63.57555,8.75543,11.76668,11.34605957,573.5226755,0.573522676,Fresh/Field
A632,P04,TWR,R03,,,1.74,1.9,3.8,3.48,146.33102,8.88126,19.97952,7.861243111,1905.244425,1.905244425,Fresh/Field
B73,P04,TWR,R03,,,1.97,2.16,4.32,3.94,58.95309,6.16097,6.46561,12.97006973,465.232225,0.465232225,Fresh/Field
Oh43,P04,TWR,R03,,,2.195,2.325,4.65,4.39,83.65201,12.17155,19.34379,19.31151796,443.3691744,0.443369174,Fresh/Field
B73,P04,TWR,R04,,,2.06,2.14,4.28,4.12,49.98383,5.74637,7.27589,14.69282533,348.2007817,0.348200782,Fresh/Field
B73,P05,TWR,R01,,,2.09,2.1,4.2,4.18,20.59264,6.4959,6.75629,15.05733228,139.9811379,0.139981138,Fresh/Field
Oh43,P05,TWR,R01,,,2.025,2.035,4.07,4.05,68.66569,16.88981,16.89926,13.27178622,529.5609318,0.529560932,Fresh/Field
Oh43,P05,TWR,R02,,,2.055,2.135,4.27,4.11,71.32771,13.8219,14.3122,14.55201854,501.6959192,0.501695919,Fresh/Field
B73,P05,TWR,R03,,,1.965,2.255,4.51,3.93,29.35947,7.55591,7.55591,13.43767372,223.6297851,0.223629785,Fresh/Field
Oh43,P05,TWR,R03,,,2.065,2.22,4.44,4.13,71.96461,13.42426,13.46813,15.35334553,479.7571756,0.479757176,Fresh/Field
A632,P06,TWR,R01,,,2.07,2.14,4.28,4.14,111.32724,21.78923,21.78923,14.9078389,764.3500141,0.764350014,Fresh/Field
B73,P06,TWR,R01,,,1.88,2.22,4.44,3.76,65.35467,8.93309,11.04961,11.58554327,577.3853352,0.577385335,Fresh/Field
Oh43,P06,TWR,R01,,,1.85,1.955,3.91,3.7,73.71071,10.15998,13.32581,9.721915194,776.0403322,0.776040332,Fresh/Field
A632,P06,TWR,R02,,,1.84,1.99,3.98,3.68,153.39722,10.29935,32.20925,9.736355591,1612.599753,1.612599753,Fresh/Field
B73,P06,TWR,R02,,,2.375,2.39,4.78,4.75,99.8054,14.73037,20.59959,25.1465624,406.2383711,0.406238371,Fresh/Field
Oh43,P06,TWR,R02,,,2.075,2.15,4.3,4.15,74.8461,10.56564,17.20819,15.08629669,507.7992532,0.507799253,Fresh/Field
A632,P06,TWR,R03,,,1.71,1.94,3.88,3.42,100.52233,19.0705,19.13752,7.61868368,1350.479919,1.350479919,Fresh/Field
B73,P06,TWR,R03,,,1.935,2.51,5.02,3.87,96.1858,15.36784,15.98804,14.28257492,689.3026963,0.689302696,Fresh/Field
Oh43,P06,TWR,R03,,,2.005,2.08,4.16,4.01,63.73937,3.82511,11.2834,13.16728838,495.4695236,0.495469524,Fresh/Field
B73,P06,TWR,R04,,,2.54,2.655,5.31,5.08,140.97916,29.93805,30.34426,34.17083227,422.2842548,0.422284255,Fresh/Field
