Geno,Row,Plant,WR_old,WR,Root,BL_Blue,BL_Py,UL_Py,UL_Blue
B73,1311,P10,W1,MWR,2,8.75899,10.19809,11.4446,11.4446
B73,1311,P10,W1,MWR,3,3.57407,5.42069,8.96055,8.96055
B73,1311,P11,W1,MWR,2,7.67513,10.15795,12.39336,12.39336
B73,1311,P11,W1,MWR,4,4.49059,6.8908,11.74697,11.74697
B73,1311,P11,W2,BWR,1,11.14468,15.51679,20.75183,20.75183
B73,1311,P11,W2,BWR,2,14.72068,15.09687,21.91976,21.91976
B73,1311,P11,W2,BWR,3,13.49841,19.12435,19.12465,19.12465
B73,1311,P11,W2,BWR,4,24.44353,28.8535,32.56108,32.56108
B73,1311,P2,W1,MWR,1,7.70647,8.7322,12.92906,12.92906
B73,1311,P2,W1,MWR,2,5.87622,8.9128,12.36328,12.36328
B73,1311,P2,W1,MWR,3,6.67467,6.68079,10.40168,10.40168
B73,1311,P2,W1,MWR,4,7.49612,9.1953,12.84109,12.84109
B73,1311,P2,W2,BWR,2,15.68447,18.05764,18.25818,18.25818
B73,1311,P3,W1,MWR,3,4.71296,5.68692,9.7953,9.7953
B73,1311,P3,W2,BWR,1,14.09722,15.65122,18.36753,18.36753
B73,1311,P3,W2,BWR,2,10.07047,16.47869,17.5408,17.5408
B73,1311,P3,W2,BWR,4,16.6347,19.8914,25.14729,25.14729
B73,1311,P4,W1,MWR,2,3.03915,4.57539,5.83711,5.83711
B73,1311,P4,W1,MWR,3,6.18005,6.17977,8.91041,8.91041
B73,1311,P4,W1,MWR,4,3.30191,4.7196,4.72785,4.72785
B73,1311,P5,W1,MWR,2,4.38035,9.23717,9.24003,9.24003
B73,1311,P5,W1,MWR,3,5.644466,5.91715,8.16495,8.16495
B73,1311,P5,W1,MWR,4,6.00785,7.27144,8.50848,8.50848
B73,1311,P5,W2,BWR,3,12.59229,12.59696,14.16623,14.16623
B73,1391,P1,W1,MWR,1,12.13737,14.69443,16.75431,16.75431
B73,1391,P1,W1,MWR,2,8.58762,14.54643,16.09961,16.09961
B73,1391,P2,W1,MWR,3,2.82244,2.82128,6.43006,6.43006
