General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{8D7BC8E0-8E5C-45F2-9594-0475D2B73FBA}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P5 W2 2"
Break (Standard) : Load at Break (Standard),"19.83793",N
Maximum Load : Maximum Load,"19.83793",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29493","3.54604"
"17.80000","0.29652","3.55820"
"17.90000","0.29810","3.57120"
"18.00000","0.29976","3.58602"
"18.10000","0.30139","3.60068"
"18.20000","0.30306","3.61502"
"18.30000","0.30473","3.63047"
"18.40000","0.30638","3.64508"
"18.50000","0.30808","3.66106"
"18.60000","0.30975","3.67555"
"18.70000","0.31118","3.68381"
"18.80000","0.31287","3.69989"
"18.90000","0.31472","3.72042"
"19.00000","0.31644","3.73491"
"19.10000","0.31804","3.74707"
"19.20000","0.31968","3.76149"
"19.30000","0.32131","3.77541"
"19.40000","0.32289","3.78843"
"19.50000","0.32446","3.80122"
"19.60000","0.32610","3.81632"
"19.70000","0.32777","3.83124"
"19.80000","0.32943","3.84689"
"19.90000","0.33115","3.86342"
"20.00000","0.33284","3.87915"
"20.10000","0.33450","3.89317"
"20.20000","0.33619","3.90917"
"20.30000","0.33788","3.92428"
"20.40000","0.33958","3.93958"
"20.50000","0.34122","3.94953"
"20.60000","0.34287","3.96313"
"20.70000","0.34466","3.98112"
"20.80000","0.34654","4.00170"
"20.90000","0.34818","4.01381"
"21.00000","0.34972","4.02427"
"21.10000","0.35138","4.03859"
"21.20000","0.35302","4.05230"
"21.30000","0.35458","4.06370"
"21.40000","0.35614","4.07634"
"21.50000","0.35780","4.09171"
"21.60000","0.35949","4.10801"
"21.70000","0.36116","4.12272"
"21.80000","0.36285","4.13820"
"21.90000","0.36455","4.15334"
"22.00000","0.36611","4.16460"
"22.10000","0.36796","4.18526"
"22.20000","0.36978","4.20315"
"22.30000","0.37152","4.21826"
"22.40000","0.37323","4.23322"
"22.50000","0.37487","4.24583"
"22.60000","0.37658","4.26164"
"22.70000","0.37827","4.27535"
"22.80000","0.37981","4.28520"
"22.90000","0.38132","4.29476"
"23.00000","0.38295","4.30915"
"23.10000","0.38459","4.32369"
"23.20000","0.38619","4.33629"
"23.30000","0.38781","4.34875"
"23.40000","0.38945","4.36216"
"23.50000","0.39117","4.37817"
"23.60000","0.39288","4.39322"
"23.70000","0.39454","4.40772"
"23.80000","0.39619","4.42195"
"23.90000","0.39790","4.43816"
"24.00000","0.39968","4.45502"
"24.10000","0.40152","4.47424"
"24.20000","0.40326","4.49001"
"24.30000","0.40493","4.50350"
"24.40000","0.40657","4.51608"
"24.50000","0.40823","4.53070"
"24.60000","0.40984","4.54272"
"24.70000","0.41143","4.55486"
"24.80000","0.41306","4.56799"
"24.90000","0.41475","4.58407"
"25.00000","0.41648","4.60162"
"25.10000","0.41817","4.61639"
"25.20000","0.41972","4.62710"
"25.30000","0.42125","4.63882"
"25.40000","0.42297","4.65591"
"25.50000","0.42475","4.67482"
"25.60000","0.42639","4.68814"
"25.70000","0.42800","4.70126"
"25.80000","0.42956","4.71317"
"25.90000","0.43117","4.72696"
"26.00000","0.43282","4.74178"
"26.10000","0.43443","4.75471"
"26.20000","0.43603","4.76851"
"26.30000","0.43772","4.78377"
"26.40000","0.43938","4.79829"
"26.50000","0.44107","4.81319"
"26.60000","0.44282","4.83033"
"26.70000","0.44460","4.84692"
"26.80000","0.44632","4.86064"
"26.90000","0.44794","4.87216"
"27.00000","0.44963","4.88726"
"27.10000","0.45144","4.90588"
"27.20000","0.45318","4.92113"
"27.30000","0.45497","4.93870"
"27.40000","0.45676","4.95563"
"27.50000","0.45848","4.97053"
"27.60000","0.46011","4.98238"
"27.70000","0.46169","4.99411"
"27.80000","0.46336","5.00937"
"27.90000","0.46493","5.01984"
