General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{8E54F1B6-7CAA-4A40-9EDF-3C300BD6EAE3},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1321 P9 W1 2,
Break (Standard) : Load at Break (Standard),4.21588,N
Maximum Load : Maximum Load,7.04792,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.37247
0.1,0.00011,0.37391
0.2,0.00051,0.37982
0.3,0.00312,0.42409
0.4,0.00582,0.46343
0.5,0.00784,0.49088
0.6,0.00958,0.51285
0.7,0.01115,0.53252
0.8,0.01283,0.55339
0.9,0.01449,0.57291
1,0.01609,0.59129
1.1,0.0179,0.6131
1.2,0.01972,0.63347
1.3,0.02149,0.65317
1.4,0.02319,0.67086
1.5,0.02475,0.68632
1.6,0.02627,0.70104
1.7,0.02787,0.71731
1.8,0.0296,0.73467
1.9,0.03142,0.753
2,0.03313,0.7679
2.1,0.03469,0.78103
2.2,0.0363,0.79519
2.3,0.03798,0.80925
2.4,0.03966,0.82372
2.5,0.04138,0.83744
2.6,0.04302,0.85003
2.7,0.04472,0.86337
2.8,0.04643,0.87629
2.9,0.04806,0.88818
3,0.04957,0.89696
3.1,0.05124,0.90983
3.2,0.05313,0.92592
3.3,0.05477,0.93631
3.4,0.0564,0.94769
3.5,0.05806,0.95924
3.6,0.05968,0.97083
3.7,0.06123,0.98161
3.8,0.06283,0.99282
3.9,0.06452,1.00576
4,0.06616,1.01722
4.1,0.06778,1.02851
4.2,0.0694,1.03883
4.3,0.07104,1.05073
4.4,0.07269,1.06149
4.5,0.07433,1.07278
4.6,0.07604,1.08479
4.7,0.07774,1.0968
4.8,0.07946,1.10846
4.9,0.0811,1.11867
5,0.08289,1.13101
5.1,0.08469,1.14368
5.2,0.08647,1.15555
5.3,0.08816,1.16634
5.4,0.08986,1.17696
5.5,0.09144,1.18595
5.6,0.09299,1.19486
5.7,0.09459,1.20517
5.8,0.09621,1.21585
5.9,0.09793,1.228
6,0.09955,1.23773
6.1,0.10117,1.2477
6.2,0.10285,1.25881
6.3,0.10442,1.2676
6.4,0.10615,1.28014
6.5,0.10781,1.29022
6.6,0.10947,1.30001
6.7,0.11112,1.30975
6.8,0.11287,1.32123
6.9,0.11462,1.33209
7,0.11637,1.34251
7.1,0.11807,1.35224
7.2,0.11967,1.36048
7.3,0.12127,1.36894
7.4,0.12282,1.37652
7.5,0.12443,1.38549
7.6,0.12601,1.39336
7.7,0.12763,1.40282
7.8,0.12932,1.41311
7.9,0.13099,1.42261
8,0.13263,1.43196
8.1,0.13431,1.44182
8.2,0.13597,1.4512
8.3,0.1378,1.46357
8.4,0.13958,1.47428
8.5,0.14127,1.48308
8.6,0.143,1.49352
8.7,0.14477,1.50336
8.8,0.14641,1.51168
8.9,0.14803,1.52034
9,0.14982,1.53085
9.1,0.15149,1.53917
9.2,0.15304,1.54634
9.3,0.15476,1.55679
9.4,0.15648,1.56726
9.5,0.15813,1.57551
9.6,0.15966,1.58224
9.7,0.16136,1.5925
9.8,0.16314,1.60395
9.9,0.16481,1.61234
10,0.16645,1.62063
10.1,0.1681,1.62966
10.2,0.16973,1.63744
10.3,0.17138,1.64614
10.4,0.17305,1.65404
10.5,0.1747,1.66359
10.6,0.17631,1.67142
10.7,0.17786,1.67918
10.8,0.17942,1.68772
10.9,0.18104,1.69684
11,0.1827,1.70656
11.1,0.18437,1.71565
11.2,0.18602,1.7255
11.3,0.18771,1.7349
11.4,0.18939,1.7445
11.5,0.19107,1.75494
11.6,0.19278,1.7662
11.7,0.19451,1.77792
11.8,0.1962,1.78892
11.9,0.19781,1.79827
12,0.1994,1.80776
12.1,0.20104,1.81798
12.2,0.20266,1.82876
12.3,0.20431,1.83982
12.4,0.20599,1.85055
12.5,0.20763,1.86086
12.6,0.2094,1.8744
12.7,0.21126,1.88862
12.8,0.21305,1.90152
12.9,0.21473,1.91281
13,0.21661,1.9289
13.1,0.21841,1.9415
13.2,0.21999,1.95152
13.3,0.22167,1.96348
13.4,0.22337,1.97626
13.5,0.225,1.98748
13.6,0.2265,1.99593
13.7,0.22806,2.00716
13.8,0.2297,2.01938
13.9,0.23135,2.03211
14,0.23297,2.04378
14.1,0.23456,2.05596
14.2,0.23619,2.06874
14.3,0.23786,2.08115
14.4,0.23948,2.09351
14.5,0.24107,2.10445
14.6,0.24269,2.11693
14.7,0.24436,2.12971
14.8,0.24607,2.1432
14.9,0.24789,2.15877
15,0.24971,2.17339
15.1,0.25148,2.18658
15.2,0.25306,2.19602
15.3,0.25463,2.20634
15.4,0.25626,2.21826
15.5,0.25787,2.22928
15.6,0.2595,2.24226
15.7,0.26113,2.25475
15.8,0.26283,2.26884
15.9,0.26463,2.28493
16,0.26643,2.30145
16.1,0.26807,2.31344
16.2,0.26975,2.32709
16.3,0.27165,2.34557
16.4,0.27338,2.35968
16.5,0.27498,2.37125
16.6,0.27664,2.38478
16.7,0.27832,2.39905
16.8,0.27999,2.41237
16.9,0.28167,2.42642
17,0.28327,2.43898
17.1,0.28492,2.45292
17.2,0.28657,2.46627
17.3,0.28821,2.47982
17.4,0.28984,2.49326
17.5,0.29149,2.50815
17.6,0.29308,2.52051
17.7,0.29469,2.53417
17.8,0.29631,2.54807
17.9,0.29783,2.55976
18,0.2995,2.57549
18.1,0.30124,2.59199
18.2,0.30292,2.60648
18.3,0.30466,2.6227
18.4,0.3064,2.63831
18.5,0.30804,2.65107
18.6,0.30971,2.66535
18.7,0.31139,2.67901
18.8,0.31299,2.69112
18.9,0.31462,2.70416
19,0.31633,2.71922
19.1,0.31807,2.73395
19.2,0.31975,2.74713
19.3,0.32135,2.759
19.4,0.32291,2.76942
19.5,0.32457,2.78265
19.6,0.32634,2.79811
19.7,0.32807,2.81254
19.8,0.32975,2.8257
19.9,0.33141,2.8389
20,0.33304,2.8505
20.1,0.3346,2.86117
20.2,0.33616,2.87199
20.3,0.33785,2.88627
20.4,0.33951,2.89887
20.5,0.34115,2.91144
20.6,0.34282,2.92459
20.7,0.34449,2.93715
20.8,0.34623,2.95125
20.9,0.34791,2.96408
21,0.34955,2.97527
21.1,0.35115,2.98537
21.2,0.35273,2.99527
21.3,0.3547,3.01427
21.4,0.35656,3.02929
21.5,0.35825,3.03976
21.6,0.35981,3.04841
21.7,0.36145,3.05962
21.8,0.36308,3.06998
21.9,0.36468,3.08013
22,0.36629,3.0908
22.1,0.36789,3.10171
22.2,0.36951,3.11348
22.3,0.37122,3.12697
22.4,0.37286,3.13797
22.5,0.37459,3.15164
22.6,0.3764,3.16623
22.7,0.37807,3.1772
22.8,0.37988,3.19251
22.9,0.38164,3.20494
23,0.3833,3.21497
23.1,0.38492,3.22499
23.2,0.38649,3.23435
23.3,0.3881,3.24425
23.4,0.3897,3.2536
23.5,0.39129,3.26327
23.6,0.39289,3.27342
23.7,0.39451,3.28412
23.8,0.39614,3.29485
23.9,0.39777,3.3065
24,0.39944,3.31833
24.1,0.40109,3.32921
24.2,0.40274,3.34019
24.3,0.40436,3.35013
24.4,0.40602,3.3613
24.5,0.40771,3.37258
24.6,0.40943,3.38514
24.7,0.41125,3.39899
24.8,0.41295,3.40915
24.9,0.41459,3.41761
25,0.41624,3.42744
25.1,0.41798,3.43961
25.2,0.41962,3.44833
25.3,0.42122,3.45696
25.4,0.42291,3.46781
25.5,0.42457,3.47716
25.6,0.42618,3.48635
25.7,0.42787,3.49721
25.8,0.42953,3.50755
25.9,0.43122,3.51864
26,0.43282,3.52736
26.1,0.43457,3.54019
26.2,0.43629,3.5513
26.3,0.43796,3.5612
26.4,0.43968,3.57242
26.5,0.44139,3.58342
26.6,0.44295,3.59141
26.7,0.44448,3.59911
26.8,0.44611,3.60837
26.9,0.44777,3.61928
27,0.44944,3.62991
27.1,0.45112,3.64126
27.2,0.45284,3.65249
27.3,0.45455,3.66345
27.4,0.45615,3.67202
27.5,0.4578,3.68187
27.6,0.45957,3.69452
27.7,0.46124,3.70431
27.8,0.46283,3.71264
27.9,0.46458,3.72529
28,0.46631,3.73681
28.1,0.46805,3.74861
28.2,0.46974,3.75882
28.3,0.47134,3.76745
28.4,0.47297,3.77742
28.5,0.47462,3.78697
28.6,0.47627,3.79689
28.7,0.47787,3.80538
28.8,0.47957,3.81591
28.9,0.48128,3.82676
29,0.48303,3.83842
29.1,0.48475,3.84834
29.2,0.48637,3.85668
29.3,0.48811,3.86861
29.4,0.48997,3.88236
29.5,0.49157,3.8899
29.6,0.49327,3.90057
29.7,0.49503,3.91234
29.8,0.49664,3.92039
29.9,0.49814,3.92652
30,0.49973,3.93574
30.1,0.50133,3.94545
30.2,0.50294,3.95503
30.3,0.50451,3.96425
30.4,0.50617,3.97488
30.5,0.5078,3.98486
30.6,0.50947,3.99603
30.7,0.51117,4.00638
30.8,0.51282,4.01619
30.9,0.51448,4.02623
31,0.51604,4.03401
31.1,0.51775,4.04487
31.2,0.51964,4.0604
31.3,0.52146,4.07305
31.4,0.52311,4.08057
31.5,0.52467,4.08737
31.6,0.52634,4.09612
31.7,0.52793,4.10367
31.8,0.5295,4.11223
31.9,0.53119,4.12286
32,0.53278,4.13087
32.1,0.53441,4.14037
32.2,0.53609,4.1518
32.3,0.53784,4.1638
32.4,0.53956,4.17457
32.5,0.5411,4.18119
32.6,0.54288,4.19461
32.7,0.54485,4.21397
32.8,0.54641,4.21835
32.9,0.54806,4.2277
33,0.54983,4.23859
33.1,0.55154,4.24802
33.2,0.55317,4.2554
33.3,0.55482,4.26393
33.4,0.55644,4.2717
33.5,0.55801,4.27822
33.6,0.55963,4.28657
33.7,0.56121,4.29409
33.8,0.56282,4.30226
33.9,0.56448,4.31285
34,0.5661,4.32135
34.1,0.56772,4.33084
34.2,0.56935,4.34034
34.3,0.57104,4.35137
34.4,0.57273,4.36237
34.5,0.57462,4.37814
34.6,0.57644,4.39079
34.7,0.57815,4.4009
34.8,0.57979,4.40973
34.9,0.58144,4.41834
35,0.58308,4.42737
35.1,0.5848,4.43924
35.2,0.58645,4.44729
35.3,0.58802,4.45442
35.4,0.58974,4.46493
35.5,0.59141,4.47475
35.6,0.59303,4.48248
35.7,0.59463,4.49165
35.8,0.59623,4.50026
35.9,0.598,4.51342
36,0.59985,4.53059
36.1,0.60145,4.53708
36.2,0.60302,4.54436
36.3,0.60468,4.55486
36.4,0.60637,4.56533
36.5,0.60792,4.57268
36.6,0.6095,4.5812
36.7,0.61124,4.59682
36.8,0.61295,4.60815
36.9,0.61464,4.61903
37,0.61632,4.63048
37.1,0.61811,4.64354
37.2,0.61983,4.65494
37.3,0.62154,4.66633
37.4,0.62332,4.6813
37.5,0.6249,4.68877
37.6,0.6265,4.6973
37.7,0.6282,4.70987
37.8,0.63009,4.72748
37.9,0.63199,4.74429
38,0.63358,4.75475
38.1,0.63504,4.7601
38.2,0.63675,4.77369
38.3,0.63851,4.78854
38.4,0.64008,4.79689
38.5,0.64168,4.8086
38.6,0.64326,4.81794
38.7,0.64489,4.82967
38.8,0.64655,4.84214
38.9,0.64824,4.85477
39,0.64984,4.86492
39.1,0.65151,4.87839
39.2,0.65325,4.89294
39.3,0.65474,4.89947
39.4,0.65632,4.90956
39.5,0.65794,4.92022
39.6,0.65948,4.92892
39.7,0.66107,4.9389
39.8,0.66272,4.94948
39.9,0.6643,4.95864
40,0.66588,4.96869
40.1,0.66745,4.97743
40.2,0.66909,4.98878
40.3,0.67072,4.99944
40.4,0.67234,5.00916
40.5,0.67402,5.02121
40.6,0.6758,5.03521
40.7,0.67748,5.04556
40.8,0.67912,5.05497
40.9,0.68078,5.06482
41,0.6826,5.07925
41.1,0.68449,5.09408
41.2,0.6862,5.10383
41.3,0.68789,5.11305
41.4,0.68956,5.12222
41.5,0.69119,5.13036
41.6,0.69278,5.13745
41.7,0.69443,5.14659
41.8,0.69607,5.1559
41.9,0.69772,5.16573
42,0.69941,5.17731
42.1,0.70111,5.18818
42.2,0.70287,5.19996
42.3,0.70448,5.20787
42.4,0.7062,5.21979
42.5,0.70802,5.23354
42.6,0.70982,5.24528
42.7,0.71152,5.25464
42.8,0.71321,5.26376
42.9,0.71487,5.27374
43,0.71653,5.28234
