General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{1E97B40B-62D2-484C-A212-B462E04546F8},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1321 P8 W1 2,
Break (Standard) : Load at Break (Standard),5.74971,N
Maximum Load : Maximum Load,6.87567,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.77159
0.1,0.00008,0.77268
0.2,0.00077,0.78158
0.3,0.00343,0.81438
0.4,0.00582,0.84157
0.5,0.00772,0.86137
0.6,0.00945,0.87956
0.7,0.01116,0.89642
0.8,0.01286,0.91364
0.9,0.01452,0.93011
1,0.01614,0.94551
1.1,0.0178,0.96176
1.2,0.01966,0.9806
1.3,0.02135,0.99654
1.4,0.02291,1.01034
1.5,0.02449,1.02512
1.6,0.02616,1.04106
1.7,0.02783,1.05645
1.8,0.02944,1.06996
1.9,0.03115,1.08585
2,0.03284,1.10105
2.1,0.03449,1.11513
2.2,0.03614,1.12974
2.3,0.03773,1.14306
2.4,0.03942,1.15751
2.5,0.04118,1.17351
2.6,0.0429,1.18844
2.7,0.04468,1.20427
2.8,0.04647,1.21964
2.9,0.04814,1.23375
3,0.04977,1.24727
3.1,0.05156,1.26323
3.2,0.05338,1.27954
3.3,0.05511,1.29421
3.4,0.05674,1.30793
3.5,0.05839,1.3214
3.6,0.06,1.33546
3.7,0.06165,1.34892
3.8,0.06329,1.36309
3.9,0.06495,1.37731
4,0.0666,1.39101
4.1,0.06818,1.40396
4.2,0.0698,1.41737
4.3,0.07141,1.4313
4.4,0.07293,1.44305
4.5,0.07469,1.45873
4.6,0.0764,1.47329
4.7,0.07802,1.48631
4.8,0.07972,1.50069
4.9,0.08133,1.51374
5,0.08287,1.52558
5.1,0.08452,1.53983
5.2,0.08616,1.55334
5.3,0.08779,1.56636
5.4,0.08945,1.58088
5.5,0.09112,1.59476
5.6,0.09274,1.60796
5.7,0.0944,1.62117
5.8,0.09606,1.63543
5.9,0.09776,1.64917
6,0.09951,1.66402
6.1,0.10124,1.67797
6.2,0.10285,1.69002
6.3,0.10454,1.70373
6.4,0.1063,1.71782
6.5,0.10798,1.73083
6.6,0.10966,1.74457
6.7,0.1113,1.7568
6.8,0.11292,1.76919
6.9,0.11445,1.78043
7,0.11605,1.79191
7.1,0.11759,1.80327
7.2,0.11916,1.81519
7.3,0.12074,1.827
7.4,0.12247,1.84166
7.5,0.12437,1.85754
7.6,0.12619,1.87228
7.7,0.12776,1.88346
7.8,0.12951,1.89711
7.9,0.13127,1.91081
8,0.13304,1.9244
8.1,0.13478,1.93775
8.2,0.13642,1.94952
8.3,0.13811,1.96221
8.4,0.13977,1.97466
8.5,0.14141,1.98622
8.6,0.14302,1.99793
8.7,0.14465,2.00984
8.8,0.14628,2.02124
8.9,0.14795,2.03467
9,0.1496,2.04671
9.1,0.15119,2.05791
9.2,0.1528,2.06996
9.3,0.15444,2.0821
9.4,0.15616,2.09543
9.5,0.15781,2.10825
9.6,0.15951,2.12101
9.7,0.16125,2.13467
9.8,0.16292,2.1467
9.9,0.16461,2.15918
10,0.16631,2.17166
10.1,0.16797,2.18296
10.2,0.16958,2.19474
10.3,0.17117,2.20539
10.4,0.17281,2.21686
10.5,0.17443,2.2289
10.6,0.17607,2.24014
10.7,0.17781,2.25376
10.8,0.17955,2.26675
10.9,0.18123,2.27899
11,0.18285,2.28955
11.1,0.18463,2.30395
11.2,0.18643,2.31844
11.3,0.18812,2.33039
11.4,0.18983,2.34334
11.5,0.19154,2.35625
11.6,0.19326,2.36905
11.7,0.19498,2.38202
11.8,0.19665,2.3944
11.9,0.19825,2.40596
12,0.19985,2.41685
12.1,0.2015,2.4287
12.2,0.2031,2.44012
12.3,0.20474,2.45331
12.4,0.20636,2.46377
12.5,0.208,2.47555
12.6,0.20965,2.48733
12.7,0.21132,2.49995
12.8,0.21302,2.51416
12.9,0.2146,2.52464
13,0.21622,2.53517
13.1,0.21782,2.54595
13.2,0.21949,2.55823
13.3,0.22113,2.57032
13.4,0.22277,2.58222
13.5,0.22442,2.59399
13.6,0.22607,2.60578
13.7,0.22769,2.61643
13.8,0.22932,2.62808
13.9,0.23099,2.64051
14,0.2326,2.65121
14.1,0.23423,2.66274
14.2,0.23589,2.67429
14.3,0.23749,2.68539
14.4,0.23925,2.69891
14.5,0.24095,2.71104
14.6,0.2426,2.72258
14.7,0.24428,2.7344
14.8,0.246,2.74638
14.9,0.24777,2.75999
15,0.24952,2.77303
15.1,0.25114,2.78377
15.2,0.25282,2.79594
15.3,0.25447,2.80747
15.4,0.25617,2.82024
15.5,0.25786,2.8328
15.6,0.25958,2.84622
15.7,0.26141,2.86138
15.8,0.26327,2.87706
15.9,0.26493,2.8885
16,0.26646,2.89859
16.1,0.26813,2.91154
16.2,0.26997,2.9271
16.3,0.27185,2.94338
16.4,0.27364,2.95722
16.5,0.27516,2.96746
16.6,0.27674,2.97888
16.7,0.27845,2.9933
16.8,0.2801,3.00598
16.9,0.28177,3.01923
17,0.28345,3.03276
17.1,0.28496,3.04329
17.2,0.28654,3.05568
17.3,0.28822,3.069
17.4,0.28983,3.08189
17.5,0.29141,3.09388
17.6,0.29312,3.10892
17.7,0.29492,3.12483
17.8,0.29659,3.13779
17.9,0.29824,3.15065
18,0.29988,3.16329
18.1,0.3015,3.17491
18.2,0.30313,3.18786
18.3,0.30477,3.20003
18.4,0.30642,3.21274
18.5,0.30808,3.22529
18.6,0.30966,3.23591
18.7,0.31125,3.24721
18.8,0.31287,3.25899
18.9,0.31455,3.27163
19,0.31626,3.2852
19.1,0.31794,3.297
19.2,0.31951,3.30797
19.3,0.32116,3.32005
19.4,0.32294,3.33451
19.5,0.32462,3.34651
19.6,0.32638,3.36025
19.7,0.32806,3.3717
19.8,0.32966,3.38197
19.9,0.33128,3.39287
20,0.33293,3.40437
20.1,0.33463,3.41626
20.2,0.33625,3.42604
20.3,0.33782,3.4354
20.4,0.33952,3.44744
20.5,0.34121,3.45836
20.6,0.34287,3.46818
20.7,0.34456,3.47866
20.8,0.34615,3.48739
20.9,0.34794,3.50008
21,0.34973,3.51206
21.1,0.35137,3.52081
21.2,0.35301,3.53089
21.3,0.35473,3.54176
21.4,0.35638,3.5517
21.5,0.35797,3.56045
21.6,0.3596,3.57031
21.7,0.36119,3.57855
21.8,0.36281,3.58831
21.9,0.3645,3.59916
22,0.36621,3.60912
22.1,0.36787,3.61849
22.2,0.36952,3.62766
22.3,0.37122,3.6381
22.4,0.37291,3.64678
22.5,0.37441,3.65266
22.6,0.37623,3.66491
22.7,0.37813,3.67754
22.8,0.37989,3.68782
22.9,0.38161,3.69754
23,0.38325,3.70426
23.1,0.38495,3.71379
23.2,0.38655,3.72121
23.3,0.38812,3.72851
23.4,0.3897,3.7364
23.5,0.39121,3.74263
23.6,0.39271,3.74943
23.7,0.39435,3.75787
23.8,0.39606,3.76865
23.9,0.39775,3.77796
24,0.39938,3.78493
24.1,0.40089,3.79087
24.2,0.40265,3.80026
24.3,0.40434,3.80933
24.4,0.40605,3.81715
24.5,0.40771,3.82453
24.6,0.40934,3.83181
24.7,0.41101,3.83898
24.8,0.41268,3.84684
24.9,0.41434,3.85414
25,0.41604,3.8625
25.1,0.41775,3.87043
25.2,0.41943,3.87864
25.3,0.42109,3.88648
25.4,0.42269,3.893
25.5,0.42432,3.9013
25.6,0.42598,3.90966
25.7,0.42758,3.91614
25.8,0.42926,3.92471
25.9,0.43098,3.93383
26,0.43282,3.94465
26.1,0.43467,3.95529
26.2,0.43644,3.96368
26.3,0.43805,3.96998
26.4,0.43974,3.97722
26.5,0.44136,3.9833
26.6,0.44298,3.99061
26.7,0.44457,3.9961
26.8,0.4462,4.00286
26.9,0.44788,4.01081
27,0.44957,4.01873
27.1,0.45119,4.02476
27.2,0.45277,4.03056
27.3,0.45435,4.03624
27.4,0.45605,4.04448
27.5,0.4578,4.05333
27.6,0.45958,4.06232
27.7,0.4612,4.0686
27.8,0.46285,4.07553
27.9,0.46455,4.0826
28,0.46622,4.09035
28.1,0.46782,4.09489
28.2,0.46949,4.1017
28.3,0.47116,4.10885
28.4,0.47282,4.11549
28.5,0.47449,4.12141
28.6,0.47612,4.1281
28.7,0.4778,4.13489
28.8,0.47952,4.14268
28.9,0.48116,4.14862
29,0.48278,4.15384
29.1,0.48446,4.1608
29.2,0.48613,4.16832
29.3,0.48784,4.17591
29.4,0.4895,4.18266
29.5,0.49118,4.18932
29.6,0.49286,4.19632
29.7,0.49453,4.20347
29.8,0.49619,4.20992
29.9,0.49783,4.2152
30,0.49951,4.2222
30.1,0.50117,4.22813
30.2,0.50283,4.23438
30.3,0.50454,4.24139
30.4,0.50625,4.24819
30.5,0.50792,4.25403
30.6,0.50966,4.26169
30.7,0.51154,4.27082
30.8,0.5133,4.27806
30.9,0.51494,4.28335
31,0.51665,4.28927
31.1,0.51832,4.29554
31.2,0.51993,4.30078
31.3,0.52161,4.30811
31.4,0.52333,4.31533
31.5,0.52501,4.32249
31.6,0.52651,4.32549
31.7,0.52802,4.32974
31.8,0.52969,4.33745
31.9,0.53141,4.34468
32,0.53306,4.35123
32.1,0.53471,4.35718
32.2,0.53639,4.36326
32.3,0.53807,4.37037
32.4,0.53968,4.37579
32.5,0.54152,4.38583
32.6,0.54341,4.39549
32.7,0.54512,4.40195
32.8,0.54663,4.40505
32.9,0.54817,4.40887
33,0.54984,4.41556
33.1,0.55143,4.42099
33.2,0.55301,4.42715
33.3,0.55465,4.4331
33.4,0.55627,4.43921
33.5,0.55793,4.44593
33.6,0.55962,4.45385
33.7,0.56132,4.46133
33.8,0.56306,4.46935
33.9,0.56463,4.47403
34,0.56633,4.48124
34.1,0.56806,4.48845
34.2,0.56967,4.49248
34.3,0.57129,4.49697
34.4,0.57297,4.5031
34.5,0.57459,4.50758
34.6,0.57619,4.5116
34.7,0.57783,4.51731
34.8,0.57945,4.52125
34.9,0.58107,4.52604
35,0.58272,4.53177
35.1,0.58438,4.53704
35.2,0.58607,4.54442
35.3,0.58777,4.55042
35.4,0.58954,4.55843
35.5,0.59131,4.56652
35.6,0.59305,4.57247
35.7,0.59467,4.57702
35.8,0.59652,4.5864
35.9,0.59843,4.59563
36,0.60006,4.59975
36.1,0.60165,4.60259
36.2,0.6032,4.60567
36.3,0.60483,4.61091
36.4,0.60651,4.61673
36.5,0.6081,4.61946
36.6,0.60965,4.62259
36.7,0.61119,4.62549
36.8,0.61276,4.62978
36.9,0.61439,4.63415
37,0.61605,4.63995
37.1,0.61762,4.64341
37.2,0.61926,4.64867
37.3,0.62102,4.65553
37.4,0.62277,4.66281
37.5,0.62449,4.66798
37.6,0.62617,4.67305
37.7,0.62788,4.67932
37.8,0.62952,4.68311
37.9,0.63119,4.6877
38,0.63288,4.69228
38.1,0.63453,4.69636
38.2,0.63624,4.70102
38.3,0.63792,4.70661
38.4,0.63967,4.71218
38.5,0.64152,4.71975
38.6,0.64325,4.72465
38.7,0.64488,4.72762
38.8,0.64652,4.73161
38.9,0.64815,4.7354
39,0.64976,4.73941
39.1,0.65142,4.74436
39.2,0.65319,4.75103
39.3,0.65494,4.75777
39.4,0.65652,4.76061
39.5,0.6582,4.76594
39.6,0.6599,4.77147
39.7,0.66153,4.77498
39.8,0.66311,4.77826
39.9,0.66471,4.78272
40,0.66638,4.78726
40.1,0.66806,4.79222
40.2,0.66977,4.79807
40.3,0.6714,4.8016
40.4,0.67288,4.80309
40.5,0.67471,4.81211
40.6,0.6765,4.81883
40.7,0.67811,4.82144
40.8,0.67973,4.82569
40.9,0.68142,4.83032
41,0.68302,4.83354
41.1,0.68458,4.83689
41.2,0.68616,4.84014
41.3,0.68776,4.84431
41.4,0.68935,4.84867
41.5,0.69098,4.85354
41.6,0.69269,4.85907
41.7,0.69443,4.86578
41.8,0.69607,4.86976
41.9,0.69769,4.87337
42,0.69939,4.87939
42.1,0.70113,4.88515
42.2,0.70284,4.88941
42.3,0.70457,4.89473
42.4,0.70649,4.90408
42.5,0.70833,4.90996
42.6,0.70997,4.91286
42.7,0.71157,4.91583
42.8,0.71317,4.91842
42.9,0.71476,4.92137
43,0.71634,4.92412
43.1,0.71793,4.92774
43.2,0.71952,4.93153
43.3,0.72121,4.93758
43.4,0.72286,4.94188
43.5,0.72451,4.94651
43.6,0.72618,4.95142
43.7,0.7278,4.95462
43.8,0.72958,4.96165
