General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{18C3C328-B868-405F-BA49-5A65379BE1DC},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1321 P2 W1 4,
Break (Standard) : Load at Break (Standard),8.15051,N
Maximum Load : Maximum Load,9.86694,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.5839
0.1,0.00009,0.58594
0.2,0.00068,0.59595
0.3,0.00191,0.61806
0.4,0.00398,0.65433
0.5,0.00644,0.69704
0.6,0.00864,0.73229
0.7,0.01057,0.76307
0.8,0.01235,0.78945
0.9,0.01409,0.81526
1,0.01583,0.83886
1.1,0.0175,0.86306
1.2,0.01916,0.88544
1.3,0.021,0.91117
1.4,0.02276,0.93631
1.5,0.02458,0.96354
1.6,0.02627,0.98922
1.7,0.02791,1.01386
1.8,0.0296,1.03996
1.9,0.03129,1.06609
2,0.03298,1.09208
2.1,0.03466,1.11786
2.2,0.03641,1.14487
2.3,0.03806,1.16968
2.4,0.03972,1.19441
2.5,0.04138,1.21981
2.6,0.04306,1.24552
2.7,0.04483,1.27311
2.8,0.04651,1.29853
2.9,0.04809,1.32176
3,0.04974,1.34716
3.1,0.05162,1.37753
3.2,0.05331,1.40192
3.3,0.05486,1.42421
3.4,0.05659,1.4509
3.5,0.05822,1.4742
3.6,0.05979,1.49652
3.7,0.06147,1.52217
3.8,0.06311,1.54508
3.9,0.06478,1.56955
4,0.06645,1.59382
4.1,0.06808,1.61659
4.2,0.06973,1.64053
4.3,0.07142,1.66419
4.4,0.07302,1.68646
4.5,0.07464,1.70966
4.6,0.07633,1.73428
4.7,0.07809,1.7603
4.8,0.07978,1.7838
4.9,0.08144,1.80703
5,0.08303,1.82849
5.1,0.08462,1.85022
5.2,0.08621,1.87172
5.3,0.0879,1.89589
5.4,0.08962,1.9202
5.5,0.0915,1.94852
5.6,0.09332,1.97377
5.7,0.09489,1.9935
5.8,0.09636,2.01073
5.9,0.09811,2.03617
6,0.09994,2.0623
6.1,0.10149,2.08101
6.2,0.10313,2.10295
6.3,0.10476,2.12398
6.4,0.1064,2.14575
6.5,0.10796,2.16493
6.6,0.10942,2.18247
6.7,0.11094,2.20215
6.8,0.11253,2.22292
6.9,0.11414,2.24389
7,0.11576,2.26467
7.1,0.11743,2.28631
7.2,0.11919,2.3095
7.3,0.1209,2.33209
7.4,0.12262,2.3541
7.5,0.12432,2.37567
7.6,0.12617,2.40083
7.7,0.1279,2.42205
7.8,0.1297,2.445
7.9,0.13149,2.46734
8,0.13319,2.48816
8.1,0.13478,2.50543
8.2,0.13641,2.52558
8.3,0.13802,2.54402
8.4,0.13959,2.56162
8.5,0.14111,2.57887
8.6,0.14272,2.59805
8.7,0.14438,2.61844
8.8,0.14606,2.6391
8.9,0.14768,2.65758
9,0.14935,2.678
9.1,0.15094,2.696
9.2,0.15268,2.71778
9.3,0.15453,2.74137
9.4,0.15632,2.76356
9.5,0.1581,2.78507
9.6,0.15987,2.80624
9.7,0.16157,2.82598
9.8,0.16318,2.84397
9.9,0.16479,2.86142
10,0.16642,2.88035
10.1,0.16804,2.89819
10.2,0.16966,2.91651
10.3,0.17122,2.93306
10.4,0.17273,2.94927
10.5,0.17438,2.96909
10.6,0.17603,2.98831
10.7,0.1776,3.0048
10.8,0.17924,3.02354
10.9,0.18092,3.04227
11,0.1826,3.06102
11.1,0.18436,3.0819
11.2,0.18617,3.10313
11.3,0.18793,3.12236
11.4,0.18968,3.14211
11.5,0.1914,3.16034
11.6,0.19312,3.17909
11.7,0.19479,3.19619
11.8,0.19645,3.21327
11.9,0.19817,3.23224
12,0.19983,3.24967
12.1,0.20151,3.26753
12.2,0.20331,3.28755
12.3,0.20494,3.30374
12.4,0.20639,3.31559
12.5,0.20807,3.33427
12.6,0.20975,3.35211
12.7,0.21137,3.36829
12.8,0.21306,3.38676
12.9,0.21471,3.40268
13,0.21636,3.41974
13.1,0.21796,3.43471
13.2,0.21946,3.44691
13.3,0.22097,3.45997
13.4,0.22253,3.47472
13.5,0.22414,3.4891
13.6,0.22575,3.50454
13.7,0.22744,3.52041
13.8,0.22917,3.53691
13.9,0.23088,3.5527
14,0.23254,3.56665
14.1,0.23421,3.58133
14.2,0.23588,3.59528
14.3,0.23753,3.60857
14.4,0.23905,3.61902
14.5,0.24085,3.63631
