General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{AF0B54D0-3CD6-402E-A6CB-2482EC628E09},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1321 P10 W2 1,
Break (Standard) : Load at Break (Standard),16.8298,N
Maximum Load : Maximum Load,20.51822,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.68351
0.1,0.00004,0.68383
0.2,0.00029,0.68923
0.3,0.00108,0.71611
0.4,0.00529,0.86912
0.5,0.00815,0.95357
0.6,0.00971,0.98996
0.7,0.0113,1.02781
0.8,0.0129,1.06207
0.9,0.0145,1.09282
1,0.01616,1.12203
1.1,0.01786,1.14653
1.2,0.01947,1.16515
1.3,0.02109,1.18244
1.4,0.02277,1.20144
1.5,0.02445,1.22003
1.6,0.0261,1.23794
1.7,0.02784,1.26158
1.8,0.0297,1.28702
1.9,0.03145,1.30858
2,0.03308,1.32759
2.1,0.03471,1.34811
2.2,0.03632,1.37056
2.3,0.03787,1.39098
2.4,0.03944,1.41326
2.5,0.04106,1.43719
2.6,0.04273,1.46248
2.7,0.04445,1.48689
2.8,0.04612,1.50831
2.9,0.04777,1.5297
3,0.04946,1.55278
3.1,0.05118,1.57839
3.2,0.05304,1.60585
3.3,0.05484,1.62902
3.4,0.05657,1.65021
3.5,0.05821,1.67086
3.6,0.05989,1.69396
3.7,0.06162,1.71916
3.8,0.06326,1.74014
3.9,0.06493,1.76298
4,0.06653,1.78288
4.1,0.06806,1.80303
4.2,0.06968,1.82857
4.3,0.07129,1.85271
4.4,0.07287,1.87447
4.5,0.07453,1.89954
4.6,0.07619,1.92363
4.7,0.07782,1.94621
4.8,0.07952,1.97122
4.9,0.08113,1.99037
5,0.08285,2.01504
5.1,0.08474,2.04438
5.2,0.08657,2.06964
5.3,0.08824,2.08919
5.4,0.08983,2.10677
5.5,0.09144,2.12621
5.6,0.093,2.14438
5.7,0.09458,2.16362
5.8,0.09617,2.18427
5.9,0.0978,2.20739
6,0.09942,2.22799
6.1,0.10114,2.25308
6.2,0.10289,2.27783
6.3,0.10442,2.29218
6.4,0.10602,2.31161
6.5,0.10777,2.33658
6.6,0.10956,2.35969
6.7,0.1112,2.375
6.8,0.11284,2.39032
6.9,0.11452,2.40895
7,0.11616,2.42608
7.1,0.11782,2.44398
7.2,0.11951,2.46274
7.3,0.1212,2.47992
7.4,0.12291,2.50047
7.5,0.12457,2.51896
7.6,0.12625,2.54043
7.7,0.128,2.56476
7.8,0.12982,2.59106
7.9,0.13158,2.61479
8,0.1332,2.63417
8.1,0.13486,2.65686
8.2,0.13648,2.67727
8.3,0.13807,2.69725
8.4,0.13987,2.72706
8.5,0.14167,2.75469
8.6,0.14329,2.77447
8.7,0.14489,2.79318
8.8,0.14656,2.81706
8.9,0.14812,2.83703
9,0.14968,2.86006
9.1,0.15132,2.88905
9.2,0.15297,2.91759
9.3,0.15465,2.94783
9.4,0.15633,2.97771
9.5,0.15801,3.00739
9.6,0.1597,3.03864
9.7,0.16148,3.07416
9.8,0.16335,3.11303
9.9,0.16499,3.14055
10,0.16656,3.16753
10.1,0.16819,3.19878
10.2,0.16986,3.23193
10.3,0.17143,3.25991
10.4,0.17298,3.28881
10.5,0.17467,3.32432
10.6,0.1763,3.3566
10.7,0.17781,3.38307
10.8,0.1794,3.41538
10.9,0.18104,3.44942
11,0.18271,3.48348
11.1,0.18438,3.51775
11.2,0.18601,3.54948
11.3,0.18768,3.58399
11.4,0.18938,3.61901
11.5,0.19106,3.65221
11.6,0.19282,3.68908
11.7,0.19456,3.72349
11.8,0.19626,3.75638
11.9,0.19791,3.78598
12,0.19951,3.8133
12.1,0.2012,3.84589
12.2,0.20284,3.87541
12.3,0.20439,3.90065
12.4,0.20604,3.93204
12.5,0.20775,3.96568
12.6,0.20942,3.99714
12.7,0.21125,4.03565
12.8,0.21299,4.06839
12.9,0.21457,4.0936
13,0.21644,4.1329
13.1,0.21819,4.16379
13.2,0.21982,4.1898
13.3,0.22151,4.21952
13.4,0.22315,4.24602
13.5,0.2248,4.27299
13.6,0.22644,4.29932
13.7,0.22804,4.32502
13.8,0.22967,4.35193
13.9,0.23137,4.3818
14,0.23303,4.40954
14.1,0.23467,4.43666
14.2,0.23627,4.46307
14.3,0.23781,4.48546
14.4,0.23941,4.51303
14.5,0.24099,4.53893
14.6,0.24256,4.56436
14.7,0.2442,4.59457
14.8,0.24599,4.6299
14.9,0.24773,4.66166
15,0.24956,4.69767
15.1,0.25128,4.72622
15.2,0.2529,4.75174
15.3,0.25457,4.78086
15.4,0.25622,4.80865
15.5,0.25785,4.83595
15.6,0.25952,4.86582
15.7,0.26125,4.89717
15.8,0.26292,4.92598
15.9,0.26455,4.95254
16,0.2662,4.98065
16.1,0.26789,5.01125
16.2,0.26946,5.0354
16.3,0.27126,5.07229
16.4,0.27288,5.09979
16.5,0.27448,5.12716
16.6,0.27615,5.15909
16.7,0.27785,5.1918
16.8,0.2795,5.22125
16.9,0.28121,5.25487
17,0.28295,5.28966
17.1,0.28464,5.32192
17.2,0.28628,5.35194
17.3,0.28794,5.38358
17.4,0.28965,5.41779
17.5,0.29141,5.45304
17.6,0.29315,5.487
17.7,0.29495,5.52355
17.8,0.29664,5.55329
17.9,0.29809,5.57213
18,0.30007,5.61938
18.1,0.30187,5.65353
18.2,0.30342,5.67685
18.3,0.30494,5.70023
18.4,0.30655,5.73032
18.5,0.30818,5.76184
18.6,0.30972,5.78748
18.7,0.31127,5.81542
18.8,0.31287,5.84568
18.9,0.31454,5.87994
19,0.31622,5.91337
19.1,0.31785,5.94465
19.2,0.31949,5.97572
19.3,0.32118,6.00865
19.4,0.32274,6.03493
19.5,0.32441,6.06714
19.6,0.32628,6.10797
19.7,0.32796,6.13712
19.8,0.32967,6.16874
19.9,0.3314,6.19981
20,0.33308,6.22928
20.1,0.33477,6.25991
20.2,0.33644,6.28995
20.3,0.33817,6.32311
20.4,0.33978,6.35049
20.5,0.34137,6.3781
20.6,0.34308,6.41253
20.7,0.34477,6.44582
20.8,0.34643,6.47665
20.9,0.34813,6.50927
21,0.34975,6.53788
21.1,0.3514,6.57
21.2,0.35304,6.60053
21.3,0.3547,6.63131
21.4,0.3565,6.66922
21.5,0.35822,6.70093
21.6,0.35991,6.73209
21.7,0.36153,6.75867
21.8,0.36319,6.78858
21.9,0.36478,6.81445
22,0.36639,6.84133
22.1,0.36804,6.86984
22.2,0.36968,6.89876
22.3,0.37132,6.92739
22.4,0.37302,6.96002
22.5,0.37467,6.98889
22.6,0.37635,7.02064
22.7,0.37798,7.04973
22.8,0.37967,7.08228
22.9,0.38139,7.11522
23,0.38305,7.14459
23.1,0.38467,7.17198
23.2,0.38634,7.20285
23.3,0.388,7.23244
23.4,0.38964,7.26065
23.5,0.39124,7.28717
23.6,0.39281,7.31198
23.7,0.39444,7.33946
23.8,0.39611,7.36924
23.9,0.39775,7.39663
24,0.39942,7.42591
24.1,0.40103,7.45168
24.2,0.40275,7.48312
24.3,0.4045,7.51752
24.4,0.40623,7.54853
24.5,0.40785,7.57631
24.6,0.40955,7.6092
24.7,0.41133,7.64577
24.8,0.41311,7.68179
24.9,0.41476,7.70986
25,0.41636,7.73718
25.1,0.41796,7.76529
25.2,0.41953,7.79198
25.3,0.42115,7.82122
25.4,0.42269,7.84566
25.5,0.42438,7.87787
25.6,0.42607,7.90902
25.7,0.42773,7.9388
25.8,0.4294,7.96848
25.9,0.43108,7.99869
26,0.4327,8.02505
26.1,0.43451,8.06258
26.2,0.4363,8.0965
26.3,0.43801,8.12695
26.4,0.43976,8.15933
