General : Start date,9/2/2020,
General : End date,9/2/2020,
General : Unique identifier,{0946BFFA-3793-40A9-B253-2666521220B7},
Specimen notes : Length, D1, D2
Specimen notes : Genotype and WR,1321 P5 W1 2,
Break (Standard) : Load at Break (Standard),8.19148,N
Maximum Load : Maximum Load,10.04526,N
,,
Time,Extension,Load
(s),(mm),(N)
0,0,0.57533
0.1,0.00006,0.57554
0.2,0.00038,0.5786
0.3,0.00194,0.60481
0.4,0.00572,0.6686
0.5,0.00809,0.70186
0.6,0.00975,0.72251
0.7,0.01136,0.74327
0.8,0.013,0.76492
0.9,0.01464,0.78507
1,0.01618,0.8039
1.1,0.01778,0.82312
1.2,0.0194,0.8424
1.3,0.02101,0.86152
1.4,0.02264,0.88024
1.5,0.02431,0.89945
1.6,0.02603,0.91857
1.7,0.02766,0.93613
1.8,0.02952,0.9573
1.9,0.03128,0.9752
2,0.03295,0.99105
2.1,0.03463,1.00725
2.2,0.03628,1.02237
2.3,0.03786,1.03632
2.4,0.03954,1.05133
2.5,0.04121,1.06647
2.6,0.04286,1.0807
2.7,0.04452,1.09475
2.8,0.04615,1.10823
2.9,0.04783,1.12157
3,0.04951,1.13585
3.1,0.05111,1.14736
3.2,0.0527,1.15943
3.3,0.0544,1.17259
3.4,0.0561,1.18614
3.5,0.05771,1.19792
3.6,0.05944,1.21166
3.7,0.06135,1.22752
3.8,0.06311,1.24024
3.9,0.06474,1.25165
4,0.06644,1.26421
4.1,0.06819,1.27756
4.2,0.06981,1.28819
4.3,0.07146,1.29972
4.4,0.07316,1.31219
4.5,0.07481,1.32311
4.6,0.07639,1.33383
4.7,0.07799,1.34472
4.8,0.07968,1.3565
4.9,0.0813,1.36794
5,0.08296,1.38062
5.1,0.08463,1.39221
5.2,0.08625,1.40313
5.3,0.0879,1.41453
5.4,0.0896,1.42649
5.5,0.09128,1.43856
5.6,0.09292,1.44903
5.7,0.09459,1.46052
5.8,0.09622,1.47105
5.9,0.09788,1.48225
6,0.09957,1.49362
6.1,0.10121,1.50351
6.2,0.10286,1.51434
6.3,0.10454,1.52521
6.4,0.10621,1.53608
6.5,0.1078,1.54561
6.6,0.10947,1.55598
6.7,0.11112,1.5667
6.8,0.1128,1.57749
6.9,0.11454,1.58929
7,0.11625,1.59985
7.1,0.11792,1.61048
7.2,0.11952,1.61974
7.3,0.12119,1.63108
7.4,0.12291,1.64222
7.5,0.12458,1.65145
7.6,0.12625,1.66189
7.7,0.12791,1.67173
7.8,0.1296,1.68176
7.9,0.13144,1.6938
8,0.1333,1.70684
8.1,0.13501,1.71679
8.2,0.13653,1.72387
8.3,0.13845,1.73881
8.4,0.14033,1.75148
8.5,0.14187,1.75817
8.6,0.14346,1.76751
8.7,0.14523,1.77963
8.8,0.14699,1.79111
8.9,0.14858,1.79976
9,0.15002,1.80683
9.1,0.15162,1.81687
9.2,0.15327,1.82747
9.3,0.15485,1.837
9.4,0.15642,1.84646
9.5,0.15809,1.85833
9.6,0.1597,1.86757
9.7,0.16135,1.87804
9.8,0.16294,1.88647
9.9,0.16451,1.89574
10,0.16614,1.90593
10.1,0.1677,1.91439
10.2,0.16934,1.92523
10.3,0.17095,1.93406
10.4,0.1726,1.94389
10.5,0.17419,1.95335
10.6,0.17575,1.9617
10.7,0.17742,1.97203
10.8,0.17909,1.98194
10.9,0.18072,1.99132
11,0.18236,2.00081
11.1,0.18417,2.01284
11.2,0.18598,2.02446
11.3,0.18773,2.03377
11.4,0.18947,2.04413
11.5,0.19102,2.05108
11.6,0.19286,2.06293
11.7,0.19469,2.07383
11.8,0.19645,2.08369
11.9,0.19809,2.09098
12,0.19971,2.09868
12.1,0.20141,2.10784
12.2,0.20306,2.11641
12.3,0.20472,2.12411
12.4,0.20635,2.13229
12.5,0.20803,2.14158
12.6,0.20973,2.15104
12.7,0.21138,2.15934
12.8,0.21296,2.16729
12.9,0.21449,2.17474
13,0.21618,2.18383
13.1,0.21792,2.19454
13.2,0.2196,2.20321
13.3,0.22117,2.21056
13.4,0.22287,2.21998
13.5,0.22466,2.23076
13.6,0.22635,2.23946
13.7,0.22802,2.24774
13.8,0.22964,2.25601
13.9,0.23122,2.26348
14,0.23285,2.27121
14.1,0.23452,2.28015
14.2,0.23616,2.28887
14.3,0.23782,2.29708
14.4,0.23951,2.30623
14.5,0.2412,2.31547
14.6,0.24292,2.32524
14.7,0.24454,2.33352
14.8,0.24609,2.33944
14.9,0.24783,2.3497
15,0.24965,2.36124
15.1,0.25139,2.36996
15.2,0.25304,2.37779
15.3,0.25473,2.38632
15.4,0.25642,2.39531
15.5,0.2581,2.40405
15.6,0.25981,2.41399
15.7,0.2615,2.42197
15.8,0.26323,2.43181
15.9,0.26489,2.43904
16,0.26656,2.44775
16.1,0.26825,2.45655
16.2,0.26998,2.46596
16.3,0.27168,2.47515
16.4,0.27329,2.48285
16.5,0.27495,2.49136
16.6,0.27662,2.5004
16.7,0.2782,2.50791
16.8,0.27978,2.51551
16.9,0.28135,2.52256
17,0.28294,2.5304
17.1,0.28449,2.53776
17.2,0.28614,2.5461
17.3,0.2877,2.55317
17.4,0.28921,2.55832
17.5,0.29075,2.56523
17.6,0.29237,2.57343
17.7,0.29403,2.5815
17.8,0.29575,2.5906
17.9,0.29751,2.60006
18,0.29922,2.60832
18.1,0.30087,2.61547
18.2,0.30258,2.62402
18.3,0.30435,2.63308
18.4,0.30609,2.64179
18.5,0.3078,2.64999
18.6,0.30951,2.65776
18.7,0.31116,2.66371
18.8,0.31286,2.67126
18.9,0.31452,2.67865
19,0.31612,2.68478
19.1,0.31776,2.69221
19.2,0.31942,2.69925
19.3,0.32107,2.70598
19.4,0.32276,2.71402
19.5,0.32452,2.72259
19.6,0.32622,2.73015
19.7,0.32791,2.73794
19.8,0.3297,2.74732
19.9,0.33154,2.7571
20,0.33329,2.76595
20.1,0.33502,2.77399
20.2,0.33678,2.78255
20.3,0.33843,2.78994
20.4,0.33994,2.79569
20.5,0.34157,2.80479
20.6,0.34323,2.81554
20.7,0.34486,2.82627
20.8,0.34655,2.83849
20.9,0.3482,2.85
21,0.34987,2.86217
21.1,0.35154,2.8752
21.2,0.35319,2.88759
21.3,0.35476,2.89771
21.4,0.3565,2.91196
21.5,0.3583,2.9266
21.6,0.35998,2.93863
21.7,0.36166,2.95154
21.8,0.3633,2.96373
21.9,0.36506,2.97868
22,0.36679,2.992
22.1,0.36841,3.00279
22.2,0.37001,3.0149
22.3,0.37161,3.02657
22.4,0.37322,3.03819
22.5,0.37492,3.0513
22.6,0.37654,3.06311
22.7,0.37808,3.07326
22.8,0.37973,3.08523
22.9,0.38133,3.09728
23,0.38289,3.10838
23.1,0.38448,3.12
23.2,0.38624,3.13463
23.3,0.38788,3.14603
23.4,0.38956,3.15819
23.5,0.39127,3.17151
23.6,0.39294,3.18316
23.7,0.39461,3.19561
23.8,0.39633,3.20935
23.9,0.39813,3.22346
24,0.39977,3.23379
24.1,0.4014,3.24547
24.2,0.40312,3.25875
24.3,0.40483,3.27142
24.4,0.40648,3.28452
24.5,0.40813,3.29911
24.6,0.40968,3.31288
24.7,0.41149,3.33243
24.8,0.41328,3.35081
24.9,0.41486,3.36417
25,0.4164,3.37917
25.1,0.41808,3.39727
25.2,0.41974,3.41541
25.3,0.42136,3.43269
25.4,0.42305,3.45184
25.5,0.42472,3.47088
