General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{7F195BDB-EE90-46D7-8850-0E779F89F3F6}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W2 2"
Break (Standard) : Load at Break (Standard),"31.96914",N
Maximum Load : Maximum Load,"37.37822",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29471","6.33135"
"17.80000","0.29631","6.35730"
"17.90000","0.29787","6.38353"
"18.00000","0.29958","6.41600"
"18.10000","0.30128","6.44716"
"18.20000","0.30295","6.47655"
"18.30000","0.30450","6.50041"
"18.40000","0.30624","6.53361"
"18.50000","0.30798","6.56533"
"18.60000","0.30970","6.59630"
"18.70000","0.31134","6.62275"
"18.80000","0.31294","6.64783"
"18.90000","0.31449","6.67093"
"19.00000","0.31611","6.69746"
"19.10000","0.31779","6.72668"
"19.20000","0.31946","6.75517"
"19.30000","0.32109","6.78055"
"19.40000","0.32273","6.80761"
"19.50000","0.32444","6.83703"
"19.60000","0.32620","6.86787"
"19.70000","0.32776","6.88901"
"19.80000","0.32935","6.91360"
"19.90000","0.33113","6.94675"
"20.00000","0.33288","6.97747"
"20.10000","0.33456","7.00359"
"20.20000","0.33620","7.02952"
"20.30000","0.33782","7.05424"
"20.40000","0.33951","7.08276"
"20.50000","0.34122","7.11061"
"20.60000","0.34283","7.13453"
"20.70000","0.34452","7.16220"
"20.80000","0.34619","7.18915"
"20.90000","0.34788","7.21628"
"21.00000","0.34954","7.24113"
"21.10000","0.35116","7.26433"
"21.20000","0.35284","7.29134"
"21.30000","0.35481","7.33320"
"21.40000","0.35652","7.35831"
"21.50000","0.35816","7.38139"
"21.60000","0.35992","7.41137"
"21.70000","0.36153","7.43525"
"21.80000","0.36307","7.45645"
"21.90000","0.36472","7.48463"
"22.00000","0.36639","7.51249"
"22.10000","0.36802","7.53900"
"22.20000","0.36961","7.56328"
"22.30000","0.37119","7.58708"
"22.40000","0.37288","7.61736"
"22.50000","0.37454","7.64394"
"22.60000","0.37619","7.66999"
"22.70000","0.37787","7.69734"
"22.80000","0.37948","7.72057"
"22.90000","0.38111","7.74551"
"23.00000","0.38273","7.77132"
"23.10000","0.38455","7.80578"
"23.20000","0.38629","7.83473"
"23.30000","0.38799","7.86156"
"23.40000","0.38966","7.88646"
"23.50000","0.39129","7.91042"
"23.60000","0.39288","7.93198"
"23.70000","0.39450","7.95687"
"23.80000","0.39620","7.98669"
"23.90000","0.39787","8.01463"
"24.00000","0.39959","8.04493"
"24.10000","0.40136","8.07793"
"24.20000","0.40311","8.10984"
"24.30000","0.40474","8.13468"
"24.40000","0.40627","8.15474"
"24.50000","0.40791","8.18211"
"24.60000","0.40967","8.21524"
"24.70000","0.41143","8.24668"
"24.80000","0.41308","8.27043"
"24.90000","0.41473","8.29559"
"25.00000","0.41643","8.32369"
"25.10000","0.41808","8.34807"
"25.20000","0.41971","8.37074"
"25.30000","0.42135","8.39523"
"25.40000","0.42301","8.42075"
"25.50000","0.42457","8.44102"
"25.60000","0.42614","8.46356"
"25.70000","0.42779","8.48958"
"25.80000","0.42950","8.51976"
"25.90000","0.43116","8.54524"
"26.00000","0.43277","8.56942"
"26.10000","0.43443","8.59645"
"26.20000","0.43618","8.62846"
"26.30000","0.43780","8.65226"
"26.40000","0.43959","8.68324"
"26.50000","0.44146","8.71808"
"26.60000","0.44318","8.74408"
"26.70000","0.44491","8.77318"
"26.80000","0.44658","8.79866"
"26.90000","0.44815","8.81817"
"27.00000","0.44981","8.84530"
"27.10000","0.45155","8.87582"
"27.20000","0.45318","8.89976"
"27.30000","0.45488","8.92863"
"27.40000","0.45660","8.95786"
"27.50000","0.45824","8.98246"
"27.60000","0.45980","9.00455"
"27.70000","0.46132","9.02523"
"27.80000","0.46321","9.06960"
"27.90000","0.46493","9.09965"
"28.00000","0.46652","9.12298"
"28.10000","0.46830","9.15816"
"28.20000","0.46996","9.18566"
"28.30000","0.47157","9.20997"
"28.40000","0.47317","9.23488"
"28.50000","0.47480","9.26185"
"28.60000","0.47653","9.29435"
"28.70000","0.47815","9.31902"
"28.80000","0.47975","9.34439"
"28.90000","0.48145","9.37493"
"29.00000","0.48317","9.40544"
"29.10000","0.48483","9.43190"
"29.20000","0.48643","9.45380"
"29.30000","0.48801","9.47599"
"29.40000","0.48972","9.50527"
"29.50000","0.49137","9.53152"
"29.60000","0.49285","9.54806"
"29.70000","0.49443","9.57316"
"29.80000","0.49626","9.61292"
"29.90000","0.49797","9.64145"
"30.00000","0.49954","9.66235"
"30.10000","0.50123","9.69250"
"30.20000","0.50290","9.72012"
"30.30000","0.50451","9.74503"
"30.40000","0.50618","9.77325"
"30.50000","0.50794","9.80669"
"30.60000","0.50962","9.83367"
"30.70000","0.51123","9.85664"
"30.80000","0.51294","9.88726"
"30.90000","0.51469","9.91849"
"31.00000","0.51643","9.94858"
"31.10000","0.51826","9.98368"
"31.20000","0.51993","10.00652"
"31.30000","0.52148","10.02350"
"31.40000","0.52310","10.04661"
"31.50000","0.52472","10.07066"
"31.60000","0.52625","10.08824"
"31.70000","0.52776","10.10563"
"31.80000","0.52938","10.13191"
"31.90000","0.53107","10.16136"
"32.00000","0.53276","10.19191"
"32.10000","0.53442","10.21774"
"32.20000","0.53611","10.24599"
"32.30000","0.53785","10.27699"
"32.40000","0.53952","10.30391"
"32.50000","0.54119","10.32993"
"32.60000","0.54288","10.35809"
"32.70000","0.54465","10.39165"
"32.80000","0.54634","10.41843"
