General : Start date,"2020-08-26"
General : End date,"2020-08-26"
General : Unique identifier,"{F25B74AA-82CB-4349-929E-9612E7E7C950}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P2 W1 2"
Break (Standard) : Load at Break (Standard),"8.99128",N
Maximum Load : Maximum Load,"18.09904",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.71492"
"0.10000","0.00011","0.71615"
"0.20000","0.00101","0.72957"
"0.30000","0.00283","0.75529"
"0.40000","0.00511","0.78617"
"0.50000","0.00753","0.81772"
"0.60000","0.00960","0.84244"
"0.70000","0.01131","0.86181"
"0.80000","0.01307","0.88179"
"0.90000","0.01474","0.90056"
"1.00000","0.01641","0.91947"
"1.10000","0.01811","0.93837"
"1.20000","0.01977","0.95630"
"1.30000","0.02149","0.97517"
"1.40000","0.02324","0.99448"
"1.50000","0.02486","1.01164"
"1.60000","0.02646","1.02907"
"1.70000","0.02805","1.04566"
"1.80000","0.02968","1.06330"
"1.90000","0.03133","1.08074"
"2.00000","0.03309","1.09976"
"2.10000","0.03473","1.11735"
"2.20000","0.03646","1.13547"
"2.30000","0.03806","1.15124"
"2.40000","0.03966","1.16756"
"2.50000","0.04135","1.18550"
"2.60000","0.04308","1.20348"
"2.70000","0.04469","1.21991"
"2.80000","0.04624","1.23486"
"2.90000","0.04782","1.25010"
"3.00000","0.04941","1.26627"
"3.10000","0.05101","1.28202"
"3.20000","0.05266","1.29871"
"3.30000","0.05434","1.31580"
"3.40000","0.05595","1.33139"
"3.50000","0.05761","1.34771"
"3.60000","0.05942","1.36675"
"3.70000","0.06109","1.38294"
"3.80000","0.06274","1.39938"
"3.90000","0.06452","1.41774"
"4.00000","0.06620","1.43388"
"4.10000","0.06783","1.44973"
"4.20000","0.06952","1.46629"
"4.30000","0.07119","1.48297"
"4.40000","0.07279","1.49883"
"4.50000","0.07439","1.51341"
"4.60000","0.07609","1.52974"
"4.70000","0.07776","1.54539"
"4.80000","0.07937","1.56039"
"4.90000","0.08103","1.57573"
"5.00000","0.08270","1.59227"
"5.10000","0.08432","1.60721"
"5.20000","0.08608","1.62472"
"5.30000","0.08801","1.64469"
"5.40000","0.08975","1.66148"
"5.50000","0.09137","1.67607"
"5.60000","0.09306","1.69237"
"5.70000","0.09468","1.70748"
"5.80000","0.09629","1.72207"
"5.90000","0.09797","1.73864"
"6.00000","0.09966","1.75510"
"6.10000","0.10119","1.76910"
"6.20000","0.10279","1.78437"
"6.30000","0.10450","1.80176"
"6.40000","0.10620","1.81818"
"6.50000","0.10802","1.83786"
"6.60000","0.10984","1.85631"
"6.70000","0.11136","1.86902"
"6.80000","0.11327","1.89079"
"6.90000","0.11498","1.90705"
"7.00000","0.11660","1.92224"
"7.10000","0.11820","1.93782"
"7.20000","0.11978","1.95187"
"7.30000","0.12136","1.96639"
"7.40000","0.12298","1.98091"
"7.50000","0.12459","1.99576"
"7.60000","0.12619","2.01067"
"7.70000","0.12782","2.02652"
"7.80000","0.12945","2.04141"
"7.90000","0.13114","2.05761"
"8.00000","0.13280","2.07355"
"8.10000","0.13444","2.08892"
"8.20000","0.13612","2.10551"
"8.30000","0.13776","2.12108"
"8.40000","0.13946","2.13755"
"8.50000","0.14111","2.15190"
"8.60000","0.14283","2.16900"
"8.70000","0.14467","2.18784"
"8.80000","0.14638","2.20320"
"8.90000","0.14798","2.21714"
"9.00000","0.14955","2.23074"
"9.10000","0.15119","2.24582"
"9.20000","0.15284","2.26064"
"9.30000","0.15448","2.27555"
"9.40000","0.15615","2.28911"
"9.50000","0.15776","2.30370"
"9.60000","0.15938","2.31828"
"9.70000","0.16102","2.33219"
"9.80000","0.16264","2.34642"
"9.90000","0.16434","2.36334"
"10.00000","0.16604","2.37980"
"10.10000","0.16787","2.39805"
"10.20000","0.16961","2.41461"
"10.30000","0.17128","2.42897"
"10.40000","0.17295","2.44463"
"10.50000","0.17466","2.46093"
"10.60000","0.17634","2.47623"
"10.70000","0.17801","2.49139"
"10.80000","0.17953","2.50356"
"10.90000","0.18113","2.51758"
"11.00000","0.18282","2.53250"
"11.10000","0.18454","2.54925"
"11.20000","0.18621","2.56438"
"11.30000","0.18790","2.58018"
"11.40000","0.18953","2.59423"
"11.50000","0.19119","2.60827"
"11.60000","0.19284","2.62186"
"11.70000","0.19441","2.63658"
"11.80000","0.19609","2.65224"
"11.90000","0.19789","2.67062"
"12.00000","0.19968","2.68746"
"12.10000","0.20145","2.70448"
"12.20000","0.20309","2.71843"
"12.30000","0.20471","2.73278"
"12.40000","0.20640","2.74926"
"12.50000","0.20804","2.76334"
"12.60000","0.20964","2.77745"
"12.70000","0.21126","2.79214"
"12.80000","0.21289","2.80615"
"12.90000","0.21457","2.82165"
"13.00000","0.21623","2.83648"
"13.10000","0.21790","2.85133"
"13.20000","0.21953","2.86584"
"13.30000","0.22125","2.88113"
"13.40000","0.22304","2.89876"
"13.50000","0.22468","2.91179"
"13.60000","0.22631","2.92446"
"13.70000","0.22787","2.93689"
"13.80000","0.22948","2.95039"
"13.90000","0.23113","2.96479"
"14.00000","0.23276","2.97877"
"14.10000","0.23439","2.99316"
"14.20000","0.23605","3.00762"
"14.30000","0.23773","3.02299"
"14.40000","0.23944","3.03874"
"14.50000","0.24121","3.05503"
"14.60000","0.24297","3.07182"
"14.70000","0.24485","3.09094"
"14.80000","0.24655","3.10518"
"14.90000","0.24816","3.11801"
"15.00000","0.24971","3.12978"
"15.10000","0.25156","3.14889"
"15.20000","0.25350","3.16891"
"15.30000","0.25515","3.18263"
"15.40000","0.25676","3.19468"
"15.50000","0.25837","3.20770"
"15.60000","0.25994","3.22046"
"15.70000","0.26151","3.23361"
"15.80000","0.26314","3.24869"
"15.90000","0.26477","3.26344"
"16.00000","0.26632","3.27584"
"16.10000","0.26793","3.29051"
"16.20000","0.26953","3.30463"
"16.30000","0.27121","3.32061"
"16.40000","0.27290","3.33673"
"16.50000","0.27445","3.34919"
"16.60000","0.27626","3.36762"
"16.70000","0.27808","3.38535"
"16.80000","0.27988","3.40224"
"16.90000","0.28147","3.41394"
"17.00000","0.28302","3.42559"
"17.10000","0.28470","3.43979"
"17.20000","0.28638","3.45470"
"17.30000","0.28808","3.47021"
"17.40000","0.28974","3.48459"
"17.50000","0.29137","3.49760"
"17.60000","0.29295","3.51162"
"17.70000","0.29457","3.52694"
"17.80000","0.29623","3.54204"
"17.90000","0.29789","3.55795"
"18.00000","0.29947","3.57063"
"18.10000","0.30108","3.58549"
"18.20000","0.30276","3.60100"
"18.30000","0.30443","3.61575"
"18.40000","0.30605","3.63024"
"18.50000","0.30792","3.65122"
"18.60000","0.30973","3.66916"
"18.70000","0.31138","3.68268"
"18.80000","0.31301","3.69570"
"18.90000","0.31462","3.70927"
"19.00000","0.31621","3.72135"
"19.10000","0.31778","3.73366"
"19.20000","0.31941","3.74761"
"19.30000","0.32102","3.76084"
"19.40000","0.32271","3.77610"
"19.50000","0.32431","3.78920"
"19.60000","0.32595","3.80343"
"19.70000","0.32757","3.81913"
"19.80000","0.32928","3.83579"
"19.90000","0.33114","3.85608"
"20.00000","0.33291","3.87225"
"20.10000","0.33460","3.88689"
"20.20000","0.33635","3.90367"
"20.30000","0.33810","3.92094"
"20.40000","0.33975","3.93437"
"20.50000","0.34138","3.94859"
"20.60000","0.34309","3.96409"
"20.70000","0.34478","3.97951"
"20.80000","0.34652","3.99655"
"20.90000","0.34823","4.01190"
"21.00000","0.35003","4.03168"
"21.10000","0.35171","4.04513"
"21.20000","0.35321","4.05538"
"21.30000","0.35483","4.06928"
"21.40000","0.35650","4.08503"
"21.50000","0.35805","4.09714"
"21.60000","0.35955","4.10920"
"21.70000","0.36108","4.12248"
"21.80000","0.36280","4.14005"
"21.90000","0.36454","4.15794"
"22.00000","0.36622","4.17320"
"22.10000","0.36790","4.18929"
"22.20000","0.36961","4.20500"
"22.30000","0.37128","4.21974"
"22.40000","0.37291","4.23382"
"22.50000","0.37451","4.24735"
"22.60000","0.37618","4.26251"
"22.70000","0.37794","4.28001"
"22.80000","0.37980","4.30038"
"22.90000","0.38163","4.31852"
"23.00000","0.38312","4.32686"
"23.10000","0.38489","4.34413"
"23.20000","0.38678","4.36367"
"23.30000","0.38836","4.37404"
"23.40000","0.38992","4.38537"
"23.50000","0.39156","4.40031"
"23.60000","0.39320","4.41452"
"23.70000","0.39469","4.42499"
"23.80000","0.39624","4.43766"
"23.90000","0.39790","4.45420"
"24.00000","0.39951","4.46830"
"24.10000","0.40115","4.48322"
"24.20000","0.40277","4.49701"
"24.30000","0.40444","4.51294"
"24.40000","0.40612","4.52841"
"24.50000","0.40776","4.54303"
"24.60000","0.40942","4.55737"
"24.70000","0.41108","4.57240"
"24.80000","0.41275","4.58673"
"24.90000","0.41437","4.59974"
"25.00000","0.41625","4.62106"
"25.10000","0.41815","4.64006"
"25.20000","0.41986","4.65355"
"25.30000","0.42148","4.66555"
"25.40000","0.42304","4.67651"
"25.50000","0.42455","4.68636"
"25.60000","0.42609","4.69783"
"25.70000","0.42770","4.71116"
