General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29466","4.30980"
"17.80000","0.29625","4.33182"
"17.90000","0.29786","4.35564"
"18.00000","0.29954","4.38152"
"18.10000","0.30115","4.40467"
"18.20000","0.30277","4.42822"
"18.30000","0.30449","4.45478"
"18.40000","0.30619","4.47959"
"18.50000","0.30775","4.49839"
"18.60000","0.30952","4.52595"
"18.70000","0.31127","4.55158"
"18.80000","0.31296","4.57404"
"18.90000","0.31466","4.59733"
"19.00000","0.31631","4.61853"
"19.10000","0.31781","4.63548"
"19.20000","0.31939","4.65588"
"19.30000","0.32106","4.67956"
"19.40000","0.32273","4.70236"
"19.50000","0.32440","4.72601"
"19.60000","0.32609","4.74990"
"19.70000","0.32785","4.77665"
"19.80000","0.32958","4.80142"
"19.90000","0.33133","4.82701"
"20.00000","0.33310","4.85334"
"20.10000","0.33476","4.87419"
"20.20000","0.33645","4.89737"
"20.30000","0.33823","4.92412"
"20.40000","0.34008","4.95259"
"20.50000","0.34174","4.97287"
"20.60000","0.34332","4.99154"
"20.70000","0.34504","5.01410"
"20.80000","0.34666","5.03449"
"20.90000","0.34815","5.05010"
"21.00000","0.34962","5.06676"
"21.10000","0.35113","5.08447"
"21.20000","0.35275","5.10710"
"21.30000","0.35442","5.13192"
"21.40000","0.35605","5.15379"
"21.50000","0.35768","5.17625"
"21.60000","0.35938","5.20055"
"21.70000","0.36107","5.22444"
"21.80000","0.36272","5.24618"
"21.90000","0.36452","5.27347"
"22.00000","0.36627","5.29848"
"22.10000","0.36794","5.31939"
"22.20000","0.36955","5.33800"
"22.30000","0.37123","5.35924"
"22.40000","0.37290","5.37987"
"22.50000","0.37458","5.40092"
"22.60000","0.37624","5.42114"
"22.70000","0.37792","5.44144"
"22.80000","0.37958","5.46164"
"22.90000","0.38117","5.48000"
