General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{BAAF9473-DEAB-490B-8BF5-78E12C1247F0}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P4 W1 1"
Break (Standard) : Load at Break (Standard),"10.04241",N
Maximum Load : Maximum Load,"13.87876",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29474","3.58694"
"17.80000","0.29639","3.59919"
"17.90000","0.29808","3.61240"
"18.00000","0.29973","3.62446"
"18.10000","0.30134","3.63563"
"18.20000","0.30291","3.64677"
"18.30000","0.30449","3.65873"
"18.40000","0.30615","3.67152"
"18.50000","0.30785","3.68593"
"18.60000","0.30953","3.69970"
"18.70000","0.31119","3.71331"
"18.80000","0.31290","3.72676"
"18.90000","0.31464","3.74217"
"19.00000","0.31636","3.75586"
"19.10000","0.31813","3.77068"
"19.20000","0.31995","3.78661"
"19.30000","0.32162","3.79853"
"19.40000","0.32321","3.80891"
"19.50000","0.32490","3.82267"
"19.60000","0.32668","3.83771"
"19.70000","0.32820","3.84624"
"19.80000","0.32985","3.85937"
"19.90000","0.33151","3.87173"
"20.00000","0.33306","3.88209"
"20.10000","0.33470","3.89462"
"20.20000","0.33639","3.90822"
"20.30000","0.33801","3.92010"
"20.40000","0.33961","3.93079"
"20.50000","0.34120","3.94246"
"20.60000","0.34297","3.95783"
"20.70000","0.34469","3.97214"
"20.80000","0.34637","3.98546"
"20.90000","0.34807","4.00026"
"21.00000","0.34989","4.01471"
"21.10000","0.35156","4.02590"
"21.20000","0.35321","4.03822"
"21.30000","0.35481","4.05014"
"21.40000","0.35644","4.06168"
"21.50000","0.35804","4.07284"
"21.60000","0.35971","4.08618"
"21.70000","0.36141","4.09903"
"21.80000","0.36315","4.11299"
"21.90000","0.36490","4.12767"
"22.00000","0.36650","4.13780"
"22.10000","0.36811","4.14837"
"22.20000","0.36969","4.15868"
"22.30000","0.37138","4.17168"
"22.40000","0.37309","4.18523"
"22.50000","0.37476","4.19809"
"22.60000","0.37641","4.20982"
"22.70000","0.37804","4.22223"
"22.80000","0.37966","4.23242"
"22.90000","0.38125","4.24333"
"23.00000","0.38280","4.25413"
"23.10000","0.38443","4.26558"
"23.20000","0.38608","4.27733"
"23.30000","0.38773","4.28840"
"23.40000","0.38938","4.29912"
"23.50000","0.39102","4.30996"
"23.60000","0.39268","4.32152"
"23.70000","0.39427","4.33060"
"23.80000","0.39594","4.34241"
"23.90000","0.39780","4.35661"
"24.00000","0.39952","4.36706"
"24.10000","0.40120","4.37775"
"24.20000","0.40285","4.38678"
"24.30000","0.40451","4.39729"
"24.40000","0.40616","4.40732"
"24.50000","0.40774","4.41609"
"24.60000","0.40933","4.42466"
"24.70000","0.41091","4.43397"
"24.80000","0.41256","4.44525"
"24.90000","0.41422","4.45574"
"25.00000","0.41598","4.46870"
"25.10000","0.41781","4.48292"
"25.20000","0.41955","4.49349"
"25.30000","0.42125","4.50387"
"25.40000","0.42299","4.51504"
"25.50000","0.42455","4.52360"
"25.60000","0.42627","4.53458"
"25.70000","0.42827","4.55265"
"25.80000","0.42998","4.56220"
"25.90000","0.43152","4.56958"
"26.00000","0.43316","4.57825"
"26.10000","0.43476","4.58783"
"26.20000","0.43630","4.59526"
"26.30000","0.43787","4.60431"
"26.40000","0.43950","4.61473"
"26.50000","0.44116","4.62528"
"26.60000","0.44275","4.63521"
"26.70000","0.44445","4.64725"
"26.80000","0.44608","4.65735"
"26.90000","0.44770","4.66773"
"27.00000","0.44931","4.67709"
"27.10000","0.45112","4.69166"
"27.20000","0.45296","4.70558"
"27.30000","0.45477","4.71775"
"27.40000","0.45644","4.72703"
"27.50000","0.45804","4.73599"
"27.60000","0.45971","4.74545"
"27.70000","0.46138","4.75477"
"27.80000","0.46302","4.76493"
"27.90000","0.46472","4.77605"
"28.00000","0.46637","4.78558"
"28.10000","0.46805","4.79594"
"28.20000","0.46971","4.80638"
"28.30000","0.47138","4.81621"
"28.40000","0.47303","4.82682"
"28.50000","0.47465","4.83634"
"28.60000","0.47627","4.84682"
"28.70000","0.47790","4.85620"
"28.80000","0.47952","4.86626"
"28.90000","0.48109","4.87387"
"29.00000","0.48287","4.88711"
"29.10000","0.48454","4.89719"
"29.20000","0.48623","4.90762"
"29.30000","0.48789","4.91645"
"29.40000","0.48953","4.92586"
"29.50000","0.49121","4.93525"
"29.60000","0.49283","4.94361"
"29.70000","0.49442","4.95130"
"29.80000","0.49603","4.95921"
"29.90000","0.49768","4.96862"
"30.00000","0.49934","4.97745"
"30.10000","0.50103","4.98678"
"30.20000","0.50262","4.99503"
"30.30000","0.50417","5.00276"
"30.40000","0.50598","5.01588"
"30.50000","0.50781","5.02897"
"30.60000","0.50959","5.04059"
"30.70000","0.51126","5.04821"
"30.80000","0.51286","5.05604"
"30.90000","0.51445","5.06340"
"31.00000","0.51612","5.07306"
"31.10000","0.51780","5.08122"
"31.20000","0.51946","5.09021"
"31.30000","0.52110","5.09804"
"31.40000","0.52272","5.10606"
"31.50000","0.52443","5.11557"
"31.60000","0.52615","5.12476"
"31.70000","0.52776","5.13151"
"31.80000","0.52944","5.13943"
"31.90000","0.53109","5.14649"
"32.00000","0.53269","5.15341"
"32.10000","0.53430","5.16062"
"32.20000","0.53596","5.16822"
"32.30000","0.53761","5.17705"
"32.40000","0.53946","5.18951"
"32.50000","0.54131","5.20152"
"32.60000","0.54311","5.21177"
"32.70000","0.54483","5.22067"
"32.80000","0.54654","5.22919"
"32.90000","0.54817","5.23738"
"33.00000","0.54979","5.24413"
"33.10000","0.55146","5.25325"
"33.20000","0.55316","5.26246"
"33.30000","0.55502","5.27556"
"33.40000","0.55697","5.28982"
"33.50000","0.55848","5.29411"
"33.60000","0.56009","5.30212"
"33.70000","0.56185","5.31202"
"33.80000","0.56350","5.32001"
"33.90000","0.56506","5.32636"
"34.00000","0.56673","5.33663"
"34.10000","0.56838","5.34552"
"34.20000","0.56993","5.35243"
"34.30000","0.57159","5.36220"
"34.40000","0.57321","5.37145"
"34.50000","0.57487","5.38143"
"34.60000","0.57650","5.39098"
"34.70000","0.57820","5.40203"
"34.80000","0.57983","5.41097"
"34.90000","0.58147","5.42066"
"35.00000","0.58314","5.43019"
"35.10000","0.58481","5.44054"
"35.20000","0.58653","5.45326"
"35.30000","0.58825","5.46312"
"35.40000","0.58990","5.47230"
"35.50000","0.59173","5.48585"
"35.60000","0.59346","5.49678"
"35.70000","0.59496","5.50163"
"35.80000","0.59657","5.51073"
"35.90000","0.59825","5.52095"
"36.00000","0.59979","5.52718"
"36.10000","0.60132","5.53423"
"36.20000","0.60289","5.54206"
"36.30000","0.60453","5.55252"
"36.40000","0.60622","5.56258"
"36.50000","0.60786","5.57238"
"36.60000","0.60945","5.58341"
"36.70000","0.61107","5.59338"
"36.80000","0.61263","5.60190"
"36.90000","0.61436","5.61507"
"37.00000","0.61616","5.62862"
"37.10000","0.61795","5.64291"
"37.20000","0.61969","5.65525"
"37.30000","0.62134","5.66627"
"37.40000","0.62297","5.67760"
"37.50000","0.62467","5.69033"
"37.60000","0.62641","5.70311"
"37.70000","0.62805","5.71489"
"37.80000","0.62975","5.72813"
"37.90000","0.63137","5.73956"
"38.00000","0.63298","5.74919"
"38.10000","0.63450","5.75897"
"38.20000","0.63607","5.76908"
"38.30000","0.63774","5.78209"
"38.40000","0.63938","5.79426"
"38.50000","0.64097","5.80434"
"38.60000","0.64254","5.81405"
"38.70000","0.64409","5.82425"
"38.80000","0.64583","5.83792"
"38.90000","0.64765","5.85295"
"39.00000","0.64938","5.86344"
"39.10000","0.65110","5.87650"
"39.20000","0.65280","5.88748"
"39.30000","0.65441","5.89651"
"39.40000","0.65603","5.90583"
"39.50000","0.65770","5.91685"
"39.60000","0.65938","5.92873"
"39.70000","0.66110","5.94117"
"39.80000","0.66278","5.95199"
"39.90000","0.66449","5.96418"
"40.00000","0.66619","5.97547"
"40.10000","0.66775","5.98419"
"40.20000","0.66945","5.99736"
"40.30000","0.67133","6.01127"
"40.40000","0.67303","6.02209"
"40.50000","0.67463","6.03058"
"40.60000","0.67630","6.04178"
"40.70000","0.67805","6.05520"
"40.80000","0.67974","6.06514"
"40.90000","0.68138","6.07515"
"41.00000","0.68304","6.08552"
"41.10000","0.68468","6.09515"
"41.20000","0.68627","6.10325"
"41.30000","0.68778","6.11007"
"41.40000","0.68943","6.12093"
"41.50000","0.69114","6.13228"
"41.60000","0.69285","6.14318"
"41.70000","0.69456","6.15489"
"41.80000","0.69622","6.16542"
"41.90000","0.69793","6.17615"
"42.00000","0.69962","6.18624"
"42.10000","0.70128","6.19623"
"42.20000","0.70314","6.21164"
"42.30000","0.70496","6.22374"
"42.40000","0.70653","6.23119"
"42.50000","0.70809","6.23881"
"42.60000","0.70977","6.24937"
"42.70000","0.71139","6.25944"
"42.80000","0.71302","6.26831"
"42.90000","0.71465","6.27815"
"43.00000","0.71621","6.28631"
"43.10000","0.71785","6.29608"
"43.20000","0.71953","6.30677"
"43.30000","0.72121","6.31718"
"43.40000","0.72281","6.32502"
"43.50000","0.72450","6.33547"
"43.60000","0.72631","6.34799"
"43.70000","0.72796","6.35725"
"43.80000","0.72955","6.36462"
"43.90000","0.73122","6.37435"
"44.00000","0.73284","6.38283"
"44.10000","0.73443","6.39074"
"44.20000","0.73600","6.39845"
"44.30000","0.73761","6.40681"
"44.40000","0.73930","6.41633"
"44.50000","0.74098","6.42702"
"44.60000","0.74260","6.43490"
"44.70000","0.74433","6.44579"
"44.80000","0.74615","6.45834"
"44.90000","0.74792","6.46942"
"45.00000","0.74964","6.47994"
"45.10000","0.75142","6.49150"
"45.20000","0.75324","6.50398"
"45.30000","0.75504","6.51532"
"45.40000","0.75675","6.52449"
"45.50000","0.75846","6.53368"
"45.60000","0.76018","6.54289"
"45.70000","0.76173","6.54941"
"45.80000","0.76320","6.55326"
"45.90000","0.76479","6.56082"
"46.00000","0.76639","6.56902"
"46.10000","0.76793","6.57508"
"46.20000","0.76942","6.58024"
"46.30000","0.77104","6.58947"
"46.40000","0.77268","6.59873"
"46.50000","0.77436","6.60857"
"46.60000","0.77601","6.61773"
"46.70000","0.77758","6.62464"
"46.80000","0.77940","6.63826"
"46.90000","0.78121","6.64987"
"47.00000","0.78295","6.66023"
"47.10000","0.78464","6.66899"
"47.20000","0.78628","6.67733"
"47.30000","0.78796","6.68622"
"47.40000","0.78972","6.69649"
"47.50000","0.79143","6.70487"
"47.60000","0.79309","6.71310"
"47.70000","0.79468","6.71987"
"47.80000","0.79636","6.72876"
"47.90000","0.79808","6.73785"
"48.00000","0.79966","6.74430"
"48.10000","0.80131","6.75279"
"48.20000","0.80297","6.76159"
"48.30000","0.80464","6.77118"
"48.40000","0.80635","6.78187"
"48.50000","0.80823","6.79644"
"48.60000","0.80993","6.80605"
"48.70000","0.81176","6.81857"
"48.80000","0.81353","6.82973"
"48.90000","0.81506","6.83418"
"49.00000","0.81657","6.83947"
"49.10000","0.81818","6.84866"
"49.20000","0.81988","6.85893"
"49.30000","0.82143","6.86501"
"49.40000","0.82297","6.87158"
"49.50000","0.82462","6.88192"
"49.60000","0.82636","6.89243"
"49.70000","0.82809","6.90329"
"49.80000","0.82971","6.91094"
"49.90000","0.83132","6.91856"
"50.00000","0.83293","6.92675"
"50.10000","0.83465","6.93809"
"50.20000","0.83630","6.94700"
"50.30000","0.83784","6.95320"
"50.40000","0.83949","6.96338"
"50.50000","0.84121","6.97478"
"50.60000","0.84288","6.98414"
"50.70000","0.84453","6.99319"
"50.80000","0.84618","7.00274"
"50.90000","0.84785","7.01258"
"51.00000","0.84948","7.02117"
"51.10000","0.85116","7.03115"
"51.20000","0.85285","7.04081"
"51.30000","0.85457","7.05134"
"51.40000","0.85621","7.05877"
"51.50000","0.85789","7.06829"
"51.60000","0.85952","7.07694"
"51.70000","0.86108","7.08418"
"51.80000","0.86308","7.10222"
"51.90000","0.86493","7.11513"
"52.00000","0.86652","7.12153"
"52.10000","0.86809","7.12861"
"52.20000","0.86970","7.13751"
"52.30000","0.87129","7.14596"
"52.40000","0.87286","7.15327"
"52.50000","0.87447","7.16228"
"52.60000","0.87609","7.17132"
"52.70000","0.87772","7.18095"
"52.80000","0.87940","7.19180"
"52.90000","0.88109","7.20274"
"53.00000","0.88279","7.21356"
"53.10000","0.88454","7.22647"
"53.20000","0.88614","7.23368"
"53.30000","0.88791","7.24704"
"53.40000","0.88979","7.26166"
"53.50000","0.89156","7.27338"
"53.60000","0.89323","7.28213"
"53.70000","0.89491","7.29234"
"53.80000","0.89654","7.30074"
"53.90000","0.89818","7.31018"
"54.00000","0.89982","7.31991"
"54.10000","0.90149","7.33100"
"54.20000","0.90304","7.33866"
"54.30000","0.90464","7.34698"
"54.40000","0.90622","7.35590"
"54.50000","0.90785","7.36657"
