General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{37C4AEB7-850D-4A7C-A207-E37014FEA96A}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P5 W1 1"
Break (Standard) : Load at Break (Standard),"7.64877",N
Maximum Load : Maximum Load,"12.15929",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29469","4.15177"
"17.80000","0.29643","4.17405"
"17.90000","0.29800","4.19096"
"18.00000","0.29959","4.19181"
"18.10000","0.30119","4.21189"
"18.20000","0.30286","4.23604"
"18.30000","0.30460","4.26113"
"18.40000","0.30640","4.28625"
"18.50000","0.30807","4.30732"
"18.60000","0.30973","4.32887"
"18.70000","0.31150","4.35306"
"18.80000","0.31316","4.37348"
"18.90000","0.31468","4.38950"
"19.00000","0.31628","4.40842"
"19.10000","0.31785","4.42748"
"19.20000","0.31948","4.44866"
"19.30000","0.32118","4.47161"
"19.40000","0.32281","4.49257"
"19.50000","0.32444","4.51356"
"19.60000","0.32618","4.53774"
"19.70000","0.32782","4.55832"
"19.80000","0.32953","4.58122"
"19.90000","0.33126","4.60405"
"20.00000","0.33291","4.62451"
"20.10000","0.33456","4.64618"
"20.20000","0.33627","4.66991"
"20.30000","0.33803","4.69506"
"20.40000","0.33968","4.71642"
"20.50000","0.34125","4.73498"
"20.60000","0.34287","4.75614"
"20.70000","0.34450","4.77742"
"20.80000","0.34614","4.79771"
"20.90000","0.34775","4.81662"
"21.00000","0.34948","4.83935"
"21.10000","0.35118","4.86034"
"21.20000","0.35275","4.87725"
"21.30000","0.35438","4.89610"
"21.40000","0.35629","4.92222"
"21.50000","0.35810","4.94495"
"21.60000","0.35979","4.96254"
"21.70000","0.36137","4.97703"
"21.80000","0.36298","4.99300"
"21.90000","0.36457","5.00885"
"22.00000","0.36609","5.02310"
"22.10000","0.36773","5.04054"
"22.20000","0.36935","5.05802"
"22.30000","0.37092","5.07298"
"22.40000","0.37261","5.09283"
"22.50000","0.37430","5.11159"
"22.60000","0.37604","5.13130"
"22.70000","0.37779","5.14985"
"22.80000","0.37959","5.17211"
"22.90000","0.38148","5.19552"
"23.00000","0.38322","5.21307"
"23.10000","0.38491","5.22951"
"23.20000","0.38658","5.24505"
"23.30000","0.38830","5.22998"
"23.40000","0.38991","5.25061"
