General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{7C0190C7-5F46-4979-A61D-2AD1FB77A002}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P2 W2 1"
Break (Standard) : Load at Break (Standard),"14.50338",N
Maximum Load : Maximum Load,"21.27872",N

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.26212"
"0.10000","0.00007","0.26299"
"0.20000","0.00039","0.26899"
"0.30000","0.00175","0.30431"
"0.40000","0.00594","0.40567"
"0.50000","0.00820","0.45158"
"0.60000","0.00971","0.48156"
"0.70000","0.01121","0.51242"
"0.80000","0.01283","0.54646"
"0.90000","0.01442","0.58086"
"1.00000","0.01608","0.61532"
"1.10000","0.01772","0.65085"
"1.20000","0.01932","0.68506"
"1.30000","0.02092","0.71808"
"1.40000","0.02261","0.75526"
"1.50000","0.02431","0.79115"
"1.60000","0.02596","0.82647"
"1.70000","0.02777","0.86578"
"1.80000","0.02963","0.90645"
"1.90000","0.03147","0.94561"
"2.00000","0.03313","0.97864"
"2.10000","0.03471","1.01121"
"2.20000","0.03632","1.04437"
"2.30000","0.03784","1.07533"
"2.40000","0.03943","1.10755"
"2.50000","0.04107","1.14143"
"2.60000","0.04269","1.17384"
"2.70000","0.04433","1.20769"
"2.80000","0.04593","1.23898"
"2.90000","0.04755","1.27136"
"3.00000","0.04918","1.30443"
"3.10000","0.05087","1.33868"
"3.20000","0.05251","1.37023"
"3.30000","0.05411","1.40173"
"3.40000","0.05590","1.43810"
"3.50000","0.05768","1.47376"
"3.60000","0.05939","1.50710"
"3.70000","0.06115","1.54204"
"3.80000","0.06287","1.57603"
"3.90000","0.06448","1.60608"
"4.00000","0.06615","1.63870"
"4.10000","0.06789","1.67268"
"4.20000","0.06952","1.70272"
"4.30000","0.07120","1.73555"
"4.40000","0.07294","1.76948"
"4.50000","0.07465","1.80197"
"4.60000","0.07642","1.83702"
"4.70000","0.07810","1.86915"
"4.80000","0.07963","1.89724"
"4.90000","0.08140","1.93305"
"5.00000","0.08330","1.97091"
"5.10000","0.08477","1.99709"
"5.20000","0.08634","2.02679"
"5.30000","0.08806","2.06076"
"5.40000","0.08967","2.09163"
"5.50000","0.09131","2.12260"
"5.60000","0.09287","2.15166"
"5.70000","0.09451","2.18245"
"5.80000","0.09617","2.21452"
"5.90000","0.09782","2.24525"
"6.00000","0.09947","2.27564"
"6.10000","0.10117","2.30763"
"6.20000","0.10283","2.33799"
"6.30000","0.10454","2.37052"
"6.40000","0.10624","2.40163"
"6.50000","0.10782","2.42852"
"6.60000","0.10948","2.45931"
"6.70000","0.11147","2.49782"
"6.80000","0.11308","2.52505"
"6.90000","0.11470","2.55346"
"7.00000","0.11633","2.58171"
"7.10000","0.11797","2.61190"
"7.20000","0.11956","2.63975"
"7.30000","0.12118","2.66950"
"7.40000","0.12287","2.70156"
"7.50000","0.12451","2.73146"
"7.60000","0.12615","2.76177"
"7.70000","0.12791","2.79553"
"7.80000","0.12960","2.82618"
"7.90000","0.13130","2.85767"
"8.00000","0.13312","2.89322"
"8.10000","0.13465","2.91931"
"8.20000","0.13634","2.95014"
"8.30000","0.13806","2.98226"
"8.40000","0.13970","3.01271"
"8.50000","0.14136","3.04257"
"8.60000","0.14303","3.07247"
"8.70000","0.14467","3.10212"
"8.80000","0.14630","3.13160"
"8.90000","0.14789","3.15802"
"9.00000","0.14955","3.18846"
"9.10000","0.15115","3.21589"
"9.20000","0.15275","3.24507"
"9.30000","0.15437","3.27438"
"9.40000","0.15598","3.30243"
"9.50000","0.15760","3.33114"
"9.60000","0.15926","3.36153"
"9.70000","0.16092","3.39138"
"9.80000","0.16261","3.42099"
"9.90000","0.16422","3.44796"
"10.00000","0.16600","3.48143"
"10.10000","0.16804","3.52108"
"10.20000","0.16992","3.55518"
"10.30000","0.17163","3.58399"
"10.40000","0.17326","3.61181"
"10.50000","0.17488","3.63873"
"10.60000","0.17650","3.66578"
"10.70000","0.17815","3.69372"
"10.80000","0.17986","3.72407"
"10.90000","0.18152","3.75274"
"11.00000","0.18315","3.78043"
"11.10000","0.18487","3.81061"
"11.20000","0.18648","3.83759"
"11.30000","0.18809","3.86495"
"11.40000","0.18977","3.89457"
"11.50000","0.19150","3.92582"
"11.60000","0.19322","3.95612"
"11.70000","0.19484","3.98171"
"11.80000","0.19648","4.00974"
"11.90000","0.19825","4.04065"
"12.00000","0.19990","4.06646"
"12.10000","0.20150","4.09276"
"12.20000","0.20315","4.12068"
"12.30000","0.20484","4.14814"
"12.40000","0.20638","4.17140"
"12.50000","0.20799","4.19671"
"12.60000","0.20969","4.22561"
"12.70000","0.21139","4.25353"
"12.80000","0.21305","4.27888"
"12.90000","0.21466","4.30340"
"13.00000","0.21632","4.32944"
"13.10000","0.21803","4.35784"
"13.20000","0.21967","4.38246"
"13.30000","0.22137","4.40912"
"13.40000","0.22312","4.43760"
"13.50000","0.22482","4.46430"
"13.60000","0.22644","4.48818"
"13.70000","0.22801","4.51103"
"13.80000","0.22969","4.53685"
"13.90000","0.23135","4.56207"
"14.00000","0.23294","4.58475"
"14.10000","0.23455","4.60880"
"14.20000","0.23617","4.63178"
"14.30000","0.23784","4.65665"
"14.40000","0.23949","4.68092"
"14.50000","0.24113","4.70515"
"14.60000","0.24277","4.72915"
"14.70000","0.24446","4.75263"
"14.80000","0.24624","4.78027"
"14.90000","0.24790","4.80202"
"15.00000","0.24956","4.82364"
"15.10000","0.25125","4.84772"
"15.20000","0.25287","4.86937"
"15.30000","0.25447","4.89115"
"15.40000","0.25612","4.91387"
"15.50000","0.25780","4.93719"
"15.60000","0.25951","4.96137"
"15.70000","0.26118","4.98413"
"15.80000","0.26287","5.00829"
"15.90000","0.26459","5.03262"
"16.00000","0.26636","5.05910"
"16.10000","0.26813","5.08343"
"16.20000","0.26975","5.10270"
"16.30000","0.27138","5.12307"
"16.40000","0.27300","5.14366"
"16.50000","0.27479","5.16961"
"16.60000","0.27671","5.19835"
"16.70000","0.27845","5.22059"
"16.80000","0.28008","5.23956"
"16.90000","0.28157","5.25456"
"17.00000","0.28322","5.27595"
"17.10000","0.28483","5.29553"
"17.20000","0.28636","5.31317"
"17.30000","0.28799","5.33344"
"17.40000","0.28958","5.35267"
"17.50000","0.29114","5.37091"
"17.60000","0.29281","5.39333"
"17.70000","0.29447","5.41473"
"17.80000","0.29616","5.43761"
"17.90000","0.29775","5.45562"
"18.00000","0.29945","5.47779"
"18.10000","0.30123","5.50192"
"18.20000","0.30302","5.52557"
"18.30000","0.30472","5.54612"
"18.40000","0.30638","5.56505"
"18.50000","0.30803","5.58346"
"18.60000","0.30969","5.60279"
"18.70000","0.31132","5.62103"
"18.80000","0.31298","5.64016"
"18.90000","0.31456","5.65698"
"19.00000","0.31610","5.67268"
"19.10000","0.31769","5.69135"
"19.20000","0.31937","5.71238"
"19.30000","0.32110","5.73460"
"19.40000","0.32280","5.75613"
"19.50000","0.32447","5.77554"
"19.60000","0.32610","5.79366"
"19.70000","0.32766","5.80995"
"19.80000","0.32922","5.82700"
"19.90000","0.33107","5.85180"
"20.00000","0.33285","5.87349"
"20.10000","0.33467","5.89844"
"20.20000","0.33638","5.91578"
"20.30000","0.33794","5.93081"
"20.40000","0.33952","5.94555"
"20.50000","0.34116","5.96230"
"20.60000","0.34279","5.97862"
"20.70000","0.34438","5.99388"
"20.80000","0.34603","6.01227"
"20.90000","0.34777","6.03158"
"21.00000","0.34942","6.04807"
"21.10000","0.35099","6.06302"
"21.20000","0.35270","6.08393"
"21.30000","0.35455","6.10717"
"21.40000","0.35634","6.12766"
"21.50000","0.35807","6.14634"
"21.60000","0.35971","6.16268"
"21.70000","0.36141","6.18102"
"21.80000","0.36310","6.19959"
"21.90000","0.36483","6.21826"
"22.00000","0.36647","6.23594"
"22.10000","0.36807","6.25032"
"22.20000","0.36971","6.26854"
"22.30000","0.37139","6.28652"
"22.40000","0.37305","6.30249"
"22.50000","0.37476","6.32181"
"22.60000","0.37639","6.33800"
"22.70000","0.37809","6.35559"
"22.80000","0.37981","6.37460"
"22.90000","0.38142","6.39040"
"23.00000","0.38299","6.40455"
"23.10000","0.38464","6.42229"
"23.20000","0.38641","6.44392"
"23.30000","0.38824","6.46722"
"23.40000","0.38989","6.48322"
"23.50000","0.39146","6.49713"
"23.60000","0.39304","6.51283"
"23.70000","0.39473","6.53108"
"23.80000","0.39632","6.54736"
"23.90000","0.39796","6.56403"
"24.00000","0.39953","6.57865"
"24.10000","0.40124","6.59777"
"24.20000","0.40293","6.61590"
"24.30000","0.40464","6.63425"
"24.40000","0.40619","6.64798"
"24.50000","0.40797","6.66823"
"24.60000","0.40980","6.69077"
"24.70000","0.41147","6.70635"
"24.80000","0.41311","6.72195"
"24.90000","0.41477","6.73915"
"25.00000","0.41644","6.75637"
"25.10000","0.41804","6.77215"
"25.20000","0.41971","6.78947"
"25.30000","0.42139","6.80699"
"25.40000","0.42302","6.82242"
"25.50000","0.42462","6.83752"
"25.60000","0.42615","6.85027"
"25.70000","0.42777","6.86576"
"25.80000","0.42939","6.88043"
"25.90000","0.43100","6.89606"
"26.00000","0.43268","6.91327"
"26.10000","0.43436","6.92929"
"26.20000","0.43604","6.94621"
"26.30000","0.43768","6.96064"
"26.40000","0.43950","6.98191"
"26.50000","0.44129","7.00013"
"26.60000","0.44308","7.01857"
"26.70000","0.44475","7.03339"
"26.80000","0.44634","7.04708"
"26.90000","0.44799","7.06273"
"27.00000","0.44962","7.07675"
"27.10000","0.45121","7.09068"
"27.20000","0.45285","7.10682"
"27.30000","0.45459","7.12508"
"27.40000","0.45629","7.14126"
"27.50000","0.45800","7.15813"
"27.60000","0.45967","7.17366"
"27.70000","0.46112","7.18196"
"27.80000","0.46279","7.19873"
"27.90000","0.46451","7.21545"
"28.00000","0.46619","7.23144"
"28.10000","0.46783","7.24577"
"28.20000","0.46951","7.26167"
"28.30000","0.47121","7.27728"
"28.40000","0.47292","7.29363"
"28.50000","0.47463","7.30943"
"28.60000","0.47635","7.32539"
"28.70000","0.47800","7.33980"
"28.80000","0.47954","7.35081"
"28.90000","0.48111","7.36299"
"29.00000","0.48271","7.37697"
"29.10000","0.48447","7.39677"
"29.20000","0.48626","7.41575"
