General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{78DC655F-DF33-4A6B-8575-2865BF350A6B}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P1 W2 1"
Break (Standard) : Load at Break (Standard),"20.59314",N
Maximum Load : Maximum Load,"24.77087",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29467","6.44293"
"17.80000","0.29637","6.47827"
"17.90000","0.29805","6.51343"
"18.00000","0.29971","6.51529"
"18.10000","0.30135","6.55077"
"18.20000","0.30294","6.58348"
"18.30000","0.30449","6.61735"
"18.40000","0.30607","6.65216"
"18.50000","0.30767","6.68863"
"18.60000","0.30935","6.72657"
"18.70000","0.31106","6.76314"
"18.80000","0.31275","6.79664"
"18.90000","0.31444","6.80538"
"19.00000","0.31601","6.83090"
"19.10000","0.31784","6.87258"
"19.20000","0.31971","6.91414"
"19.30000","0.32145","6.94968"
"19.40000","0.32304","6.98058"
"19.50000","0.32467","7.01249"
"19.60000","0.32638","7.04855"
"19.70000","0.32799","7.07877"
"19.80000","0.32955","7.10494"
"19.90000","0.33124","7.12779"
"20.00000","0.33289","7.16052"
"20.10000","0.33457","7.19417"
"20.20000","0.33624","7.22745"
"20.30000","0.33795","7.26160"
"20.40000","0.33973","7.29855"
"20.50000","0.34133","7.31134"
"20.60000","0.34291","7.33067"
"20.70000","0.34479","7.37432"
"20.80000","0.34655","7.40981"
"20.90000","0.34821","7.44121"
"21.00000","0.34984","7.47179"
"21.10000","0.35147","7.50192"
"21.20000","0.35304","7.52882"
"21.30000","0.35469","7.55842"
"21.40000","0.35639","7.56887"
"21.50000","0.35795","7.59824"
"21.60000","0.35950","7.62766"
"21.70000","0.36115","7.66125"
"21.80000","0.36280","7.69506"
"21.90000","0.36442","7.72498"
"22.00000","0.36601","7.75414"
"22.10000","0.36765","7.78570"
"22.20000","0.36938","7.81757"
"22.30000","0.37102","7.82288"
"22.40000","0.37271","7.85716"
