General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{5D87EEB6-DCD4-40DC-9557-08174DBD8A07}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1321 P4 W1 3"
Break (Standard) : Load at Break (Standard),"7.75250",N
Maximum Load : Maximum Load,"9.84585",N

Time,Extension,Load
(s),(mm),(N)
"17.70000","0.29489","3.78416"
"17.80000","0.29659","3.79389"
"17.90000","0.29818","3.80300"
"18.00000","0.29981","3.81443"
"18.10000","0.30149","3.82558"
"18.20000","0.30320","3.83684"
"18.30000","0.30482","3.84651"
"18.40000","0.30647","3.85732"
"18.50000","0.30808","3.86594"
"18.60000","0.30968","3.87702"
"18.70000","0.31129","3.88660"
"18.80000","0.31287","3.89631"
"18.90000","0.31450","3.90723"
"19.00000","0.31615","3.91841"
"19.10000","0.31779","3.92926"
"19.20000","0.31946","3.94101"
"19.30000","0.32109","3.95086"
"19.40000","0.32279","3.96315"
"19.50000","0.32458","3.97732"
"19.60000","0.32622","3.98670"
"19.70000","0.32791","3.99812"
"19.80000","0.32962","4.00931"
"19.90000","0.33130","4.01967"
"20.00000","0.33290","4.02819"
"20.10000","0.33450","4.03708"
"20.20000","0.33617","4.04813"
"20.30000","0.33786","4.05888"
"20.40000","0.33951","4.06868"
"20.50000","0.34117","4.07882"
"20.60000","0.34288","4.09060"
"20.70000","0.34453","4.09979"
"20.80000","0.34613","4.10892"
"20.90000","0.34791","4.12253"
"21.00000","0.34979","4.13736"
"21.10000","0.35143","4.14584"
"21.20000","0.35305","4.15452"
"21.30000","0.35470","4.16344"
"21.40000","0.35633","4.17212"
"21.50000","0.35790","4.17940"
"21.60000","0.35952","4.18817"
"21.70000","0.36117","4.19829"
"21.80000","0.36286","4.20762"
"21.90000","0.36454","4.21831"
"22.00000","0.36620","4.22721"
"22.10000","0.36788","4.23746"
"22.20000","0.36961","4.24771"
"22.30000","0.37143","4.26166"
"22.40000","0.37311","4.27163"
"22.50000","0.37478","4.28036"
"22.60000","0.37643","4.28996"
"22.70000","0.37807","4.29867"
"22.80000","0.37979","4.31099"
"22.90000","0.38152","4.32214"
"23.00000","0.38320","4.33239"
"23.10000","0.38483","4.34149"
"23.20000","0.38652","4.35288"
"23.30000","0.38813","4.36122"
"23.40000","0.38971","4.36973"
"23.50000","0.39128","4.37784"
"23.60000","0.39283","4.38553"
"23.70000","0.39448","4.39546"
"23.80000","0.39616","4.40661"
"23.90000","0.39787","4.41814"
"24.00000","0.39956","4.42854"
"24.10000","0.40121","4.43830"
"24.20000","0.40312","4.45632"
"24.30000","0.40498","4.46962"
"24.40000","0.40655","4.47514"
"24.50000","0.40812","4.48356"
